,ID,Flags,Mode,Runtime,Elapsed_Time
0,-O0,['-O0'],fast,-----,-----
1,-O2,['-O2'],fast,-----,-----
2,139cf07f-e721-4324-b625-6c00105292ef,"['-O0' '-fpedantic-bottoms' '-ffull-laziness' '-fdo-lambda-eta-expansion'
 '-fspec-constr-count=3' '-fspec-constr' '-fmax-worker-args=10'
 '-fmax-relevant-binds=6' '-fstrictness' '-foptimal-applicative-do'
 '-fspecialise' '-fdicts-strict' '-fno-pre-inlining' '-fcase-merge'
 '-fworker-wrapper' '-fno-pre-inlining' '-floopification'
 '-fno-opt-coercion' '-fcse' '-foptimal-applicative-do'
 '-feager-blackholing' '-funfolding-keeness-factor=1.5' '-fcmm-sink'
 '-fmax-simplifier-iterations=4' '-funfolding-use-threshold=60'
 '-fregs-graph' '-fcross-module-specialise' '-fno-pre-inlining'
 '-feager-blackholing' '-fsimplifier-phases=2'
 '-funbox-small-strict-fields' '-fcall-arity' '-fpedantic-bottoms'
 '-fcall-arity' '-fspec-constr-threshold=2000' '-ffull-laziness'
 '-fignore-asserts' '-fdicts-strict']",fast,-----,-----
3,26e999da-ca56-49a5-b301-ff34b054a8cb,"['-O0' '-fmax-simplifier-iterations=4' '-ffloat-in' '-fignore-asserts'
 '-feager-blackholing' '-foptimal-applicative-do' '-fdicts-cheap'
 '-fno-pre-inlining' '-fcase-merge' '-fstatic-argument-transformation'
 '-fdicts-cheap' '-flate-dmd-anal' '-fregs-iterative' '-fstrictness'
 '-funfolding-keeness-factor=1.5' '-fenable-rewrite-rules'
 '-fmax-inline-memcpy-insns=32' '-fmax-inline-memset-insns=32'
 '-fdicts-cheap' '-fmax-inline-memset-insns=32'
 '-funfolding-keeness-factor=1.5' '-fvectorise' '-fdicts-strict'
 '-fmax-simplifier-iterations=4' '-fsimplifier-phases=2'
 '-funbox-strict-fields' '-floopification' '-fcase-merge'
 '-foptimal-applicative-do' '-fexpose-all-unfoldings' '-fdo-eta-reduction'
 '-funfolding-dict-discount=30' '-fstatic-argument-transformation'
 '-fmax-simplifier-iterations=4' '-fvectorisation-avoidance'
 '-fexcess-precision' '-funfolding-dict-discount=30' '-fstrictness']",fast,-----,-----
4,313d3c7d-02bd-42b5-88b4-34e70c55e306,"['-O0' '-ffun-to-thunk' '-fliberate-case' '-fno-pre-inlining'
 '-fdicts-strict' '-fstatic-argument-transformation' '-fregs-iterative'
 '-fliberate-case-threshold=2000' '-fomit-yields' '-feager-blackholing'
 '-fignore-asserts' '-funfolding-dict-discount=30' '-fregs-iterative'
 '-fsimpl-tick-factor=100' '-fdmd-tx-dict-sel' '-feager-blackholing'
 '-fliberate-case' '-fignore-asserts' '-fmax-worker-args=10'
 '-fsimplifier-phases=2' '-funfolding-keeness-factor=1.5' '-fspecialise'
 '-funbox-strict-fields' '-funbox-small-strict-fields'
 '-fstatic-argument-transformation' '-fmax-inline-memcpy-insns=32' '-fcse'
 '-fdo-lambda-eta-expansion' '-fno-opt-coercion'
 '-fcmm-elim-common-blocks' '-fspec-constr-count=3' '-ffloat-in'
 '-fomit-yields' '-fmax-simplifier-iterations=4' '-floopification'
 '-fdicts-cheap' '-fcall-arity' '-fstrictness']",fast,-----,-----
5,cbad8ffb-85b7-431b-80ed-57dd4d0e6903,"['-O0' '-fdo-eta-reduction' '-fstrictness-before=1'
 '-fmax-inline-memset-insns=32' '-fno-opt-coercion'
 '-fdo-lambda-eta-expansion' '-fregs-iterative' '-fno-pre-inlining'
 '-foptimal-applicative-do' '-fexcess-precision' '-floopification'
 '-fworker-wrapper' '-fsimpl-tick-factor=100'
 '-fmax-inline-memset-insns=32' '-fcpr-anal' '-fliberate-case'
 '-fexcess-precision' '-fcall-arity' '-fmax-inline-alloc-size=128'
 '-ffun-to-thunk' '-feager-blackholing' '-fignore-asserts' '-fomit-yields'
 '-fmax-inline-memset-insns=32' '-fno-state-hack' '-fvectorise'
 '-foptimal-applicative-do' '-floopification' '-fexcess-precision'
 '-fcpr-anal' '-funfolding-dict-discount=30' '-fdicts-cheap'
 '-fstatic-argument-transformation' '-fcall-arity' '-fspecialise' '-fcse'
 '-fregs-iterative' '-fcall-arity']",fast,-----,-----
6,faf9ec38-c74f-47c0-9651-320c44b0bd59,"['-O0' '-fspec-constr-threshold=2000' '-fspec-constr-threshold=2000'
 '-funbox-strict-fields' '-fdo-eta-reduction' '-fliberate-case'
 '-fstrictness' '-fcase-merge' '-fmax-inline-memset-insns=32'
 '-fmax-worker-args=10' '-funbox-small-strict-fields' '-fomit-yields'
 '-fmax-relevant-binds=6' '-fworker-wrapper' '-foptimal-applicative-do'
 '-fmax-worker-args=10' '-fdmd-tx-dict-sel' '-fexcess-precision'
 '-fcase-merge' '-fmax-simplifier-iterations=4' '-fsimpl-tick-factor=100'
 '-fdmd-tx-dict-sel' '-fcpr-anal' '-fstrictness-before=1'
 '-fspec-constr-count=3' '-fcpr-anal' '-fno-state-hack'
 '-fstatic-argument-transformation' '-fmax-inline-memcpy-insns=32'
 '-fvectorisation-avoidance' '-fdo-lambda-eta-expansion' '-floopification'
 '-fworker-wrapper' '-feager-blackholing' '-fliberate-case-threshold=2000'
 '-foptimal-applicative-do' '-fstatic-argument-transformation'
 '-fmax-inline-memcpy-insns=32']",fast,-----,-----
7,1dac1bb1-621a-484b-b655-22638dfe1d06,"['-O0' '-ffun-to-thunk' '-fignore-asserts' '-funfolding-dict-discount=30'
 '-fstrictness' '-fstrictness' '-fcse' '-fmax-simplifier-iterations=4'
 '-fstrictness' '-fcmm-sink' '-fenable-rewrite-rules'
 '-funfolding-creation-threshold=750' '-fdicts-strict'
 '-funbox-strict-fields' '-fmax-relevant-binds=6' '-fspec-constr'
 '-fliberate-case' '-fspec-constr-count=3' '-fspecialise'
 '-fspec-constr-count=3' '-fstatic-argument-transformation'
 '-fcmm-elim-common-blocks' '-fno-opt-coercion'
 '-funbox-small-strict-fields' '-fspec-constr-threshold=2000'
 '-fcmm-elim-common-blocks' '-fignore-asserts' '-fenable-rewrite-rules'
 '-fstrictness-before=1' '-funfolding-use-threshold=60'
 '-fno-pre-inlining' '-fdicts-cheap' '-ffun-to-thunk' '-fstrictness'
 '-fsimpl-tick-factor=100' '-fstatic-argument-transformation'
 '-fexcess-precision' '-funbox-strict-fields']",fast,-----,-----
8,c4275de7-317e-48ef-838c-26f3247b75d3,"['-O0' '-ffull-laziness' '-fomit-yields'
 '-fstatic-argument-transformation' '-fmax-inline-memset-insns=32'
 '-fcmm-elim-common-blocks' '-fmax-relevant-binds=6'
 '-fstatic-argument-transformation' '-fregs-graph' '-fregs-iterative'
 '-feager-blackholing' '-funfolding-fun-discount=60'
 '-fmax-relevant-binds=6' '-fmax-inline-alloc-size=128' '-fregs-graph'
 '-fdo-lambda-eta-expansion' '-fomit-interface-pragmas' '-fignore-asserts'
 '-fcmm-sink' '-fpedantic-bottoms' '-funbox-strict-fields'
 '-fmax-simplifier-iterations=4' '-ffull-laziness' '-fspecialise'
 '-fignore-asserts' '-ffun-to-thunk' '-fcross-module-specialise'
 '-floopification' '-fexpose-all-unfoldings' '-funbox-small-strict-fields'
 '-fcall-arity' '-fstrictness' '-fexpose-all-unfoldings' '-fcse'
 '-fregs-graph' '-fregs-graph' '-fcmm-elim-common-blocks'
 '-fomit-interface-pragmas']",fast,-----,-----
9,96aca20b-6c39-467c-ae19-9a50c57c9b6b,"['-O0' '-fmax-inline-alloc-size=128' '-fenable-rewrite-rules'
 '-ffull-laziness' '-funbox-strict-fields' '-fmax-inline-alloc-size=128'
 '-fstatic-argument-transformation' '-fmax-inline-memset-insns=32'
 '-fdmd-tx-dict-sel' '-fliberate-case' '-fstatic-argument-transformation'
 '-fstrictness-before=1' '-foptimal-applicative-do'
 '-fmax-simplifier-iterations=4' '-fcase-merge' '-fcall-arity'
 '-fspecialise' '-fvectorise' '-funfolding-dict-discount=30' '-fcse'
 '-fmax-inline-alloc-size=128' '-funfolding-keeness-factor=1.5'
 '-fvectorisation-avoidance' '-ffloat-in' '-fvectorise' '-fcase-merge'
 '-fmax-inline-memset-insns=32' '-fdmd-tx-dict-sel'
 '-fenable-rewrite-rules' '-funbox-small-strict-fields'
 '-fdo-lambda-eta-expansion' '-fspec-constr'
 '-funfolding-use-threshold=60' '-fcross-module-specialise'
 '-fstatic-argument-transformation' '-fregs-graph'
 '-fstatic-argument-transformation' '-fcmm-sink']",fast,-----,-----
