,ID,Flags,Mode,Runtime,Elapsed_Time
0,-O0,['-O0'],fast,0.249,0.249
1,-O2,['-O2'],fast,0.251,0.251
2,30e7ad72-0410-4eec-afb7-b5e19bd11331,"['-O0' '-fsimpl-tick-factor=100' '-fstrictness-before=1'
 '-fmax-inline-alloc-size=128' '-fignore-asserts'
 '-fmax-inline-alloc-size=128' '-fcmm-sink' '-fdo-eta-reduction'
 '-fcpr-anal' '-fspec-constr-threshold=2000' '-fno-opt-coercion'
 '-fcase-merge' '-fspec-constr-threshold=2000'
 '-fmax-inline-memcpy-insns=32' '-fpedantic-bottoms'
 '-fvectorisation-avoidance' '-fexcess-precision' '-fmax-worker-args=10'
 '-fignore-interface-pragmas' '-fexcess-precision' '-fno-state-hack'
 '-fenable-rewrite-rules' '-floopification'
 '-fstatic-argument-transformation' '-fno-pre-inlining'
 '-fdo-lambda-eta-expansion' '-fspec-constr-threshold=2000' '-fcmm-sink'
 '-funfolding-creation-threshold=750' '-ffull-laziness'
 '-fomit-interface-pragmas' '-fdicts-cheap' '-fcross-module-specialise'
 '-fstatic-argument-transformation' '-fregs-iterative'
 '-fsimplifier-phases=2' '-fregs-graph' '-floopification'
 '-fignore-interface-pragmas' '-fvectorisation-avoidance'
 '-fcross-module-specialise' '-fliberate-case' '-flate-dmd-anal' '-fcse'
 '-fspec-constr-count=3' '-fmax-inline-memset-insns=32'
 '-funbox-strict-fields' '-fdicts-cheap' '-floopification'
 '-fcross-module-specialise']",fast,0.25,0.25
3,dc3303d0-75c0-4c53-93aa-fd482ced2f0a,"['-O0' '-fworker-wrapper' '-fmax-inline-memset-insns=32'
 '-fstrictness-before=1' '-fcmm-elim-common-blocks' '-fdicts-strict'
 '-funbox-strict-fields' '-fdicts-cheap' '-fcmm-elim-common-blocks'
 '-fignore-interface-pragmas' '-fno-pre-inlining' '-fstrictness-before=1'
 '-fvectorise' '-fvectorise' '-fworker-wrapper'
 '-fmax-simplifier-iterations=4' '-fdicts-cheap'
 '-fmax-inline-memcpy-insns=32' '-funfolding-creation-threshold=750'
 '-fspec-constr' '-fregs-iterative' '-funbox-small-strict-fields'
 '-fmax-inline-memset-insns=32' '-ffloat-in' '-fvectorise'
 '-fregs-iterative' '-funbox-strict-fields' '-fomit-interface-pragmas'
 '-feager-blackholing' '-fregs-graph' '-fcross-module-specialise'
 '-fsimplifier-phases=2' '-fno-pre-inlining' '-feager-blackholing'
 '-fmax-inline-memcpy-insns=32' '-fomit-yields' '-fregs-iterative'
 '-fspec-constr-threshold=2000' '-fdo-eta-reduction' '-feager-blackholing'
 '-fdo-eta-reduction' '-fdo-eta-reduction'
 '-funfolding-keeness-factor=1.5' '-funbox-strict-fields'
 '-foptimal-applicative-do' '-fmax-simplifier-iterations=4'
 '-fenable-rewrite-rules' '-floopification' '-feager-blackholing'
 '-fregs-iterative']",fast,0.251,0.251
4,10ecec94-b8fe-4720-bb57-a9d5fcd701d3,"['-O0' '-fliberate-case-threshold=2000' '-feager-blackholing'
 '-fmax-relevant-binds=6' '-floopification'
 '-funfolding-creation-threshold=750' '-fmax-simplifier-iterations=4'
 '-ffun-to-thunk' '-fcross-module-specialise'
 '-fstatic-argument-transformation' '-fno-opt-coercion'
 '-fmax-inline-alloc-size=128' '-fspec-constr' '-foptimal-applicative-do'
 '-fcmm-elim-common-blocks' '-funfolding-keeness-factor=1.5'
 '-fdo-eta-reduction' '-funbox-small-strict-fields'
 '-funfolding-use-threshold=60' '-floopification' '-fcpr-anal'
 '-fdo-lambda-eta-expansion' '-funfolding-dict-discount=30'
 '-fenable-rewrite-rules' '-flate-dmd-anal' '-fenable-rewrite-rules'
 '-fcse' '-ffun-to-thunk' '-fspec-constr-count=3' '-fdmd-tx-dict-sel'
 '-fworker-wrapper' '-funfolding-use-threshold=60' '-fmax-worker-args=10'
 '-feager-blackholing' '-fmax-inline-memcpy-insns=32' '-fworker-wrapper'
 '-fliberate-case' '-fstrictness' '-floopification'
 '-fmax-inline-alloc-size=128' '-ffull-laziness' '-fcpr-anal'
 '-fvectorisation-avoidance' '-fexpose-all-unfoldings'
 '-fcross-module-specialise' '-fcase-merge' '-fno-pre-inlining'
 '-funfolding-fun-discount=60' '-fcross-module-specialise'
 '-fstrictness-before=1']",fast,0.251,0.251
5,d6933d05-886a-4f26-ba83-141fb64490ab,"['-O0' '-fcmm-sink' '-fmax-simplifier-iterations=4'
 '-fexpose-all-unfoldings' '-fspec-constr-threshold=2000' '-fomit-yields'
 '-fignore-interface-pragmas' '-fspec-constr-threshold=2000'
 '-fcall-arity' '-fno-opt-coercion' '-funfolding-fun-discount=60'
 '-ffun-to-thunk' '-fcpr-anal' '-fexpose-all-unfoldings'
 '-fmax-inline-alloc-size=128' '-flate-dmd-anal' '-fexpose-all-unfoldings'
 '-fno-pre-inlining' '-fdicts-cheap' '-feager-blackholing'
 '-fdo-eta-reduction' '-funfolding-creation-threshold=750'
 '-fpedantic-bottoms' '-fspec-constr-count=3' '-fcase-merge'
 '-fignore-interface-pragmas' '-fspec-constr-threshold=2000'
 '-fpedantic-bottoms' '-feager-blackholing' '-fvectorise' '-fstrictness'
 '-fcase-merge' '-fregs-graph' '-fignore-interface-pragmas'
 '-fspec-constr' '-fregs-iterative' '-fno-opt-coercion'
 '-fmax-inline-memcpy-insns=32' '-funfolding-fun-discount=60'
 '-floopification' '-fstrictness-before=1' '-fmax-inline-alloc-size=128'
 '-fomit-yields' '-funfolding-keeness-factor=1.5' '-fregs-iterative'
 '-fspec-constr-threshold=2000' '-fcase-merge' '-fstrictness'
 '-foptimal-applicative-do' '-fcpr-anal']",fast,0.251,0.251
6,d08af17a-6f0c-4f36-b5f3-24abda79d36d,"['-O0' '-funfolding-use-threshold=60' '-fsimpl-tick-factor=100'
 '-fcmm-elim-common-blocks' '-ffull-laziness'
 '-funfolding-dict-discount=30' '-fignore-interface-pragmas'
 '-fno-opt-coercion' '-fregs-graph' '-fstrictness' '-fworker-wrapper'
 '-funfolding-use-threshold=60' '-ffull-laziness' '-fregs-iterative'
 '-fsimplifier-phases=2' '-fspec-constr-count=3' '-fregs-iterative'
 '-fmax-inline-memset-insns=32' '-fregs-graph'
 '-funfolding-creation-threshold=750' '-fcross-module-specialise'
 '-fmax-simplifier-iterations=4' '-fworker-wrapper'
 '-foptimal-applicative-do' '-fmax-worker-args=10' '-fworker-wrapper'
 '-fworker-wrapper' '-fcmm-elim-common-blocks' '-fsimplifier-phases=2'
 '-fpedantic-bottoms' '-fmax-simplifier-iterations=4'
 '-funfolding-use-threshold=60' '-fdo-eta-reduction' '-fregs-iterative'
 '-fno-pre-inlining' '-fomit-interface-pragmas' '-fdo-eta-reduction'
 '-fomit-interface-pragmas' '-fomit-yields' '-fvectorisation-avoidance'
 '-fliberate-case' '-fcase-merge' '-fcall-arity'
 '-fdo-lambda-eta-expansion' '-funfolding-fun-discount=60'
 '-flate-dmd-anal' '-funfolding-dict-discount=30'
 '-fexpose-all-unfoldings' '-fstatic-argument-transformation'
 '-fmax-inline-memset-insns=32']",fast,0.25,0.25
7,fdd8d73f-22a5-44a7-a7c6-fc6422aab4cd,"['-O0' '-fworker-wrapper' '-funfolding-use-threshold=60'
 '-fdmd-tx-dict-sel' '-fdo-eta-reduction' '-fignore-asserts'
 '-feager-blackholing' '-fspecialise' '-fspec-constr-threshold=2000'
 '-fstrictness' '-fno-state-hack' '-funfolding-creation-threshold=750'
 '-fvectorise' '-fdo-eta-reduction' '-fspec-constr' '-fdicts-strict'
 '-funfolding-keeness-factor=1.5' '-fliberate-case-threshold=2000'
 '-fspecialise' '-fworker-wrapper' '-fdmd-tx-dict-sel'
 '-fmax-worker-args=10' '-fstatic-argument-transformation'
 '-funbox-small-strict-fields' '-foptimal-applicative-do'
 '-fspec-constr-count=3' '-fstatic-argument-transformation' '-fstrictness'
 '-ffloat-in' '-funfolding-creation-threshold=750'
 '-funfolding-creation-threshold=750' '-fliberate-case-threshold=2000'
 '-funbox-small-strict-fields' '-fregs-graph'
 '-fmax-inline-memset-insns=32' '-fexpose-all-unfoldings' '-fstrictness'
 '-fvectorisation-avoidance' '-fsimplifier-phases=2'
 '-funbox-small-strict-fields' '-fmax-inline-memset-insns=32'
 '-fno-pre-inlining' '-foptimal-applicative-do'
 '-fdo-lambda-eta-expansion' '-fcross-module-specialise' '-fvectorise'
 '-fdmd-tx-dict-sel' '-funfolding-dict-discount=30'
 '-fmax-inline-memcpy-insns=32' '-fomit-interface-pragmas']",fast,0.249,0.249
8,91604ade-4273-405f-a8b8-03935e6eb251,"['-O0' '-funfolding-dict-discount=30' '-funfolding-fun-discount=60'
 '-ffull-laziness' '-fliberate-case' '-funbox-small-strict-fields'
 '-funfolding-use-threshold=60' '-fmax-worker-args=10' '-fregs-graph'
 '-ffull-laziness' '-fsimplifier-phases=2' '-fno-pre-inlining'
 '-feager-blackholing' '-fsimplifier-phases=2'
 '-fspec-constr-threshold=2000' '-flate-dmd-anal' '-fno-opt-coercion'
 '-fcross-module-specialise' '-funfolding-keeness-factor=1.5'
 '-fignore-asserts' '-fsimpl-tick-factor=100'
 '-fmax-simplifier-iterations=4' '-fenable-rewrite-rules' '-fcpr-anal'
 '-feager-blackholing' '-fno-opt-coercion' '-funfolding-use-threshold=60'
 '-fvectorise' '-flate-dmd-anal' '-fregs-iterative'
 '-funfolding-creation-threshold=750' '-foptimal-applicative-do'
 '-ffloat-in' '-fexpose-all-unfoldings' '-fno-pre-inlining'
 '-fstatic-argument-transformation' '-fmax-relevant-binds=6'
 '-fdicts-strict' '-fdo-lambda-eta-expansion' '-fcpr-anal'
 '-fno-pre-inlining' '-fomit-yields' '-fmax-simplifier-iterations=4'
 '-fspecialise' '-funbox-strict-fields' '-fno-state-hack'
 '-funfolding-fun-discount=60' '-fno-opt-coercion' '-fsimplifier-phases=2'
 '-fpedantic-bottoms']",fast,0.25,0.25
9,5805d262-c94e-4bce-88a9-170928d484c2,"['-O0' '-fmax-inline-alloc-size=128' '-funfolding-fun-discount=60'
 '-fomit-interface-pragmas' '-fno-pre-inlining' '-fexpose-all-unfoldings'
 '-fignore-asserts' '-fdicts-strict' '-fspec-constr-count=3'
 '-fno-opt-coercion' '-fvectorisation-avoidance'
 '-fliberate-case-threshold=2000' '-fomit-interface-pragmas'
 '-fignore-asserts' '-fcmm-sink' '-fomit-interface-pragmas'
 '-fomit-yields' '-fdo-lambda-eta-expansion' '-fregs-iterative'
 '-fspecialise' '-fomit-yields' '-fstrictness' '-fcase-merge'
 '-fcmm-elim-common-blocks' '-fspecialise' '-fno-opt-coercion'
 '-fsimpl-tick-factor=100' '-fomit-yields' '-fsimplifier-phases=2'
 '-fexcess-precision' '-funfolding-creation-threshold=750'
 '-fexpose-all-unfoldings' '-fstrictness' '-fmax-inline-memcpy-insns=32'
 '-fstrictness' '-fno-pre-inlining' '-funbox-strict-fields'
 '-funbox-strict-fields' '-fomit-interface-pragmas' '-fno-opt-coercion'
 '-fsimplifier-phases=2' '-fspec-constr-count=3'
 '-fomit-interface-pragmas' '-fmax-inline-alloc-size=128' '-fcse'
 '-fstatic-argument-transformation' '-fregs-graph' '-funbox-strict-fields'
 '-fvectorisation-avoidance' '-fcross-module-specialise']",fast,0.25,0.25
