,ID,Flags,Mode,Runtime,Elapsed_Time
0,-O0,['-O0'],fast,0.314,0.314
1,-O2,['-O2'],fast,0.314,0.314
2,07b3e87e-de07-4424-babc-9b90dfa1a92e,"['-O0' '-fexpose-all-unfoldings' '-fenable-rewrite-rules'
 '-fstatic-argument-transformation' '-fcmm-sink' '-fsimplifier-phases=2'
 '-fcpr-anal' '-fno-state-hack' '-foptimal-applicative-do' '-fstrictness'
 '-floopification' '-flate-dmd-anal' '-funfolding-keeness-factor=1.5'
 '-fsimpl-tick-factor=100' '-funfolding-creation-threshold=750'
 '-ffull-laziness' '-fmax-inline-memset-insns=32' '-fomit-yields' '-fcse'
 '-feager-blackholing' '-funfolding-keeness-factor=1.5' '-fomit-yields'
 '-fcmm-elim-common-blocks' '-fmax-inline-memcpy-insns=32'
 '-fworker-wrapper' '-fno-opt-coercion' '-ffull-laziness'
 '-fliberate-case' '-fno-state-hack' '-funbox-strict-fields'
 '-fno-state-hack' '-floopification' '-fomit-yields'
 '-fomit-interface-pragmas' '-fcross-module-specialise'
 '-funbox-small-strict-fields' '-fignore-interface-pragmas'
 '-ffull-laziness' '-fstrictness-before=1' '-fsimplifier-phases=2'
 '-fregs-iterative' '-funfolding-use-threshold=60'
 '-funfolding-fun-discount=60' '-fmax-inline-memset-insns=32'
 '-fignore-asserts' '-fno-state-hack']",fast,0.315,0.315
3,fdfdd4f0-81e5-4356-b2da-1d9a463da4b0,"['-O0' '-fdicts-cheap' '-fcall-arity' '-fdo-lambda-eta-expansion'
 '-fpedantic-bottoms' '-fspec-constr-threshold=2000' '-fregs-graph'
 '-fomit-interface-pragmas' '-fspec-constr-count=3'
 '-fcross-module-specialise' '-fno-state-hack' '-fomit-yields'
 '-fdo-lambda-eta-expansion' '-funfolding-use-threshold=60'
 '-fvectorisation-avoidance' '-fdicts-strict'
 '-fmax-simplifier-iterations=4' '-fdicts-strict' '-fdicts-cheap'
 '-fdo-eta-reduction' '-fliberate-case-threshold=2000' '-fno-pre-inlining'
 '-fexpose-all-unfoldings' '-fspec-constr-count=3' '-fcase-merge'
 '-funbox-small-strict-fields' '-fignore-interface-pragmas' '-fstrictness'
 '-fno-state-hack' '-fsimplifier-phases=2' '-fregs-graph'
 '-fvectorisation-avoidance' '-fcse' '-fenable-rewrite-rules'
 '-fvectorisation-avoidance' '-flate-dmd-anal'
 '-fmax-inline-memcpy-insns=32' '-fexpose-all-unfoldings' '-fcase-merge'
 '-funfolding-fun-discount=60' '-ffull-laziness'
 '-fmax-inline-alloc-size=128' '-fstrictness-before=1' '-ffloat-in'
 '-fliberate-case-threshold=2000' '-fmax-inline-alloc-size=128']",fast,0.315,0.315
4,86ac8da9-78c2-4af6-9bf2-7093b75392c1,"['-O0' '-fdmd-tx-dict-sel' '-fexcess-precision' '-fregs-graph'
 '-fenable-rewrite-rules' '-fdicts-cheap' '-fliberate-case-threshold=2000'
 '-funfolding-use-threshold=60' '-fcase-merge' '-fdicts-strict'
 '-fdo-lambda-eta-expansion' '-funbox-small-strict-fields'
 '-flate-dmd-anal' '-fno-state-hack' '-fspecialise'
 '-fcmm-elim-common-blocks' '-fliberate-case-threshold=2000'
 '-fcmm-elim-common-blocks' '-fspecialise' '-fcmm-elim-common-blocks'
 '-fmax-simplifier-iterations=4' '-fexcess-precision'
 '-fcross-module-specialise' '-fspec-constr-count=3' '-fcse'
 '-fno-state-hack' '-ffun-to-thunk' '-fmax-inline-memset-insns=32'
 '-fworker-wrapper' '-fmax-simplifier-iterations=4' '-fdicts-strict'
 '-fexcess-precision' '-fspec-constr' '-fno-opt-coercion'
 '-fexpose-all-unfoldings' '-ffull-laziness' '-ffun-to-thunk'
 '-fregs-graph' '-fcmm-sink' '-fcmm-elim-common-blocks' '-fstrictness'
 '-fomit-yields' '-funbox-strict-fields' '-ffloat-in'
 '-funbox-small-strict-fields' '-fsimplifier-phases=2']",fast,0.314,0.314
5,fe0e8547-6a00-4866-bd14-86e8e1de59ff,"['-O0' '-fworker-wrapper' '-fsimpl-tick-factor=100' '-fregs-iterative'
 '-fmax-inline-memset-insns=32' '-fno-pre-inlining' '-fdo-eta-reduction'
 '-fno-pre-inlining' '-feager-blackholing' '-fmax-inline-alloc-size=128'
 '-fstatic-argument-transformation' '-fliberate-case'
 '-fvectorisation-avoidance' '-fliberate-case-threshold=2000'
 '-funfolding-fun-discount=60' '-fdmd-tx-dict-sel'
 '-fmax-simplifier-iterations=4' '-funfolding-use-threshold=60'
 '-foptimal-applicative-do' '-fmax-worker-args=10' '-fcmm-sink'
 '-fregs-graph' '-fmax-worker-args=10' '-fspec-constr-threshold=2000'
 '-fdmd-tx-dict-sel' '-fworker-wrapper' '-fignore-interface-pragmas'
 '-funfolding-keeness-factor=1.5' '-fmax-worker-args=10' '-fno-state-hack'
 '-fcmm-elim-common-blocks' '-fno-state-hack' '-fmax-worker-args=10'
 '-fstrictness' '-flate-dmd-anal' '-fomit-yields' '-feager-blackholing'
 '-fmax-relevant-binds=6' '-fpedantic-bottoms'
 '-funfolding-use-threshold=60' '-fvectorise'
 '-fmax-inline-alloc-size=128' '-feager-blackholing'
 '-funfolding-keeness-factor=1.5' '-fenable-rewrite-rules'
 '-fignore-interface-pragmas']",fast,0.315,0.315
6,5ed3d047-ce69-46c7-85cf-82f042da4778,"['-O0' '-fstrictness' '-fcall-arity' '-floopification' '-fcpr-anal'
 '-fvectorise' '-funbox-small-strict-fields'
 '-fstatic-argument-transformation' '-fpedantic-bottoms'
 '-fcmm-elim-common-blocks' '-fomit-interface-pragmas' '-ffloat-in'
 '-fsimplifier-phases=2' '-fomit-yields' '-funfolding-keeness-factor=1.5'
 '-fignore-asserts' '-fexcess-precision' '-fcpr-anal'
 '-fomit-interface-pragmas' '-fmax-inline-memcpy-insns=32' '-fomit-yields'
 '-fpedantic-bottoms' '-fcase-merge' '-fliberate-case'
 '-funfolding-keeness-factor=1.5' '-fmax-worker-args=10'
 '-fno-pre-inlining' '-fno-pre-inlining' '-funbox-small-strict-fields'
 '-fspec-constr' '-fcase-merge' '-fdicts-strict' '-fexcess-precision'
 '-foptimal-applicative-do' '-fmax-worker-args=10' '-fspec-constr'
 '-fmax-inline-memset-insns=32' '-flate-dmd-anal'
 '-fomit-interface-pragmas' '-fspec-constr-count=3'
 '-fspec-constr-threshold=2000' '-fstrictness-before=1'
 '-funfolding-keeness-factor=1.5' '-fvectorisation-avoidance'
 '-fcmm-elim-common-blocks' '-fpedantic-bottoms']",fast,0.315,0.315
7,690a3ee0-4add-4c38-adea-6d8227d5b3e2,"['-O0' '-fignore-asserts' '-fomit-yields' '-fcross-module-specialise'
 '-fspec-constr' '-fexpose-all-unfoldings' '-fvectorisation-avoidance'
 '-fspecialise' '-fregs-iterative' '-fworker-wrapper' '-fregs-iterative'
 '-fignore-interface-pragmas' '-fdo-eta-reduction' '-flate-dmd-anal'
 '-fliberate-case' '-fcmm-elim-common-blocks'
 '-funbox-small-strict-fields' '-fdo-eta-reduction' '-fpedantic-bottoms'
 '-fmax-inline-memset-insns=32' '-funfolding-fun-discount=60'
 '-fspecialise' '-funbox-small-strict-fields'
 '-funfolding-use-threshold=60' '-fspec-constr-threshold=2000'
 '-funfolding-dict-discount=30' '-fsimpl-tick-factor=100'
 '-ffull-laziness' '-fignore-asserts' '-fcase-merge' '-fregs-iterative'
 '-flate-dmd-anal' '-fsimplifier-phases=2'
 '-fliberate-case-threshold=2000' '-ffun-to-thunk' '-ffull-laziness'
 '-ffull-laziness' '-fspec-constr' '-feager-blackholing' '-fvectorise'
 '-fsimplifier-phases=2' '-fdo-eta-reduction' '-fcpr-anal'
 '-ffull-laziness' '-fliberate-case-threshold=2000' '-fcase-merge']",fast,0.313,0.313
8,e439070f-1c95-4835-a7f3-cb29f3fc2196,"['-O0' '-funbox-small-strict-fields' '-fno-pre-inlining'
 '-fpedantic-bottoms' '-fspec-constr-count=3'
 '-fliberate-case-threshold=2000' '-fworker-wrapper'
 '-funfolding-use-threshold=60' '-fenable-rewrite-rules'
 '-fmax-simplifier-iterations=4' '-fno-state-hack' '-fregs-graph'
 '-funfolding-creation-threshold=750' '-fcase-merge' '-fcmm-sink'
 '-fcpr-anal' '-fcross-module-specialise' '-fcmm-sink'
 '-fdo-lambda-eta-expansion' '-fliberate-case-threshold=2000'
 '-fpedantic-bottoms' '-foptimal-applicative-do'
 '-fignore-interface-pragmas' '-fmax-inline-memset-insns=32'
 '-fomit-yields' '-fdo-eta-reduction' '-fcase-merge'
 '-fomit-interface-pragmas' '-funbox-strict-fields'
 '-fliberate-case-threshold=2000' '-fcse' '-fmax-worker-args=10'
 '-funbox-strict-fields' '-fcmm-elim-common-blocks'
 '-funfolding-keeness-factor=1.5' '-fdmd-tx-dict-sel'
 '-funbox-strict-fields' '-fmax-inline-memcpy-insns=32' '-fcpr-anal'
 '-funfolding-dict-discount=30' '-fstrictness-before=1'
 '-fliberate-case-threshold=2000' '-fmax-relevant-binds=6' '-fspec-constr'
 '-fomit-yields' '-fmax-simplifier-iterations=4']",fast,0.312,0.312
9,5f5ce937-410a-4137-a004-9e65c19d47b6,"['-O0' '-fvectorise' '-fcmm-sink' '-fmax-inline-memcpy-insns=32'
 '-ffloat-in' '-fmax-inline-memset-insns=32' '-fspecialise'
 '-foptimal-applicative-do' '-ffun-to-thunk' '-fpedantic-bottoms'
 '-fspec-constr-count=3' '-funbox-small-strict-fields' '-fregs-iterative'
 '-fmax-inline-memset-insns=32' '-fpedantic-bottoms' '-fpedantic-bottoms'
 '-fspecialise' '-fcpr-anal' '-fcmm-elim-common-blocks' '-fspec-constr'
 '-fspecialise' '-fcase-merge' '-fliberate-case-threshold=2000'
 '-fno-state-hack' '-fpedantic-bottoms' '-fno-state-hack'
 '-fignore-asserts' '-fmax-relevant-binds=6' '-fsimplifier-phases=2'
 '-funbox-strict-fields' '-fvectorisation-avoidance'
 '-fcmm-elim-common-blocks' '-funfolding-use-threshold=60'
 '-fliberate-case-threshold=2000' '-fdo-eta-reduction'
 '-funfolding-fun-discount=60' '-funbox-small-strict-fields'
 '-fenable-rewrite-rules' '-floopification' '-fno-state-hack'
 '-funbox-strict-fields' '-feager-blackholing' '-fsimplifier-phases=2'
 '-fexpose-all-unfoldings' '-fregs-iterative' '-fno-opt-coercion']",fast,0.312,0.312
