,ID,Flags,Mode,Runtime,Elapsed_Time
0,-O0,['-O0'],fast,0.99,0.99
1,-O2,['-O2'],fast,0.997,0.997
2,458923c8-06d4-4990-8786-f9f75539cef2,"['-O0' '-fregs-graph' '-fmax-inline-alloc-size=128' '-fvectorise'
 '-funfolding-creation-threshold=750' '-feager-blackholing'
 '-fomit-interface-pragmas' '-funfolding-creation-threshold=750'
 '-fno-state-hack' '-fliberate-case-threshold=2000'
 '-fmax-inline-memcpy-insns=32' '-fenable-rewrite-rules' '-fcpr-anal'
 '-fstrictness' '-fstatic-argument-transformation' '-fregs-graph'
 '-funfolding-fun-discount=60' '-fvectorisation-avoidance'
 '-funfolding-fun-discount=60' '-fdicts-cheap'
 '-funfolding-fun-discount=60' '-funfolding-dict-discount=30'
 '-funfolding-creation-threshold=750' '-fsimpl-tick-factor=100'
 '-fvectorise' '-fdmd-tx-dict-sel' '-funbox-strict-fields' '-fspecialise'
 '-fliberate-case-threshold=2000' '-fliberate-case' '-fspecialise'
 '-fsimplifier-phases=2' '-funfolding-fun-discount=60' '-floopification'
 '-funfolding-creation-threshold=750' '-fworker-wrapper' '-fspecialise'
 '-fdo-eta-reduction' '-fenable-rewrite-rules' '-fexpose-all-unfoldings'
 '-floopification' '-fno-pre-inlining' '-fregs-iterative' '-ffun-to-thunk']",fast,0.996,0.996
3,eb490047-6c01-4bce-818e-1b9923c88b46,"['-O0' '-fno-state-hack' '-floopification' '-floopification'
 '-flate-dmd-anal' '-fcpr-anal' '-fstrictness' '-fcpr-anal'
 '-feager-blackholing' '-funfolding-dict-discount=30'
 '-fenable-rewrite-rules' '-fstrictness' '-fspec-constr-threshold=2000'
 '-fmax-inline-memset-insns=32' '-foptimal-applicative-do'
 '-fmax-relevant-binds=6' '-fexcess-precision' '-fworker-wrapper'
 '-fregs-graph' '-funbox-strict-fields' '-fspec-constr' '-fspecialise'
 '-fdo-lambda-eta-expansion' '-funbox-strict-fields' '-fpedantic-bottoms'
 '-fstrictness' '-fdicts-strict' '-funfolding-creation-threshold=750'
 '-fpedantic-bottoms' '-fno-opt-coercion'
 '-funfolding-creation-threshold=750' '-fvectorisation-avoidance'
 '-funfolding-dict-discount=30' '-fsimpl-tick-factor=100' '-ffun-to-thunk'
 '-fomit-yields' '-fdmd-tx-dict-sel' '-foptimal-applicative-do'
 '-fspecialise' '-fcall-arity' '-fcpr-anal' '-fcse' '-fcall-arity'
 '-fvectorisation-avoidance']",fast,0.997,0.997
4,fc9dda89-df8c-4e27-b746-b0d3c074c19a,"['-O0' '-fno-opt-coercion' '-fspec-constr-threshold=2000'
 '-fno-opt-coercion' '-fworker-wrapper' '-feager-blackholing'
 '-fomit-yields' '-fcmm-elim-common-blocks' '-ffun-to-thunk'
 '-fspec-constr-count=3' '-feager-blackholing' '-fspec-constr'
 '-fvectorise' '-fomit-interface-pragmas' '-fvectorise'
 '-fpedantic-bottoms' '-funbox-small-strict-fields'
 '-fomit-interface-pragmas' '-fvectorisation-avoidance' '-fstrictness'
 '-fstrictness' '-floopification' '-fstrictness-before=1' '-fspec-constr'
 '-fregs-iterative' '-funbox-small-strict-fields' '-fenable-rewrite-rules'
 '-flate-dmd-anal' '-fstrictness-before=1' '-ffun-to-thunk' '-fstrictness'
 '-fspec-constr' '-feager-blackholing' '-fpedantic-bottoms' '-fcpr-anal'
 '-fmax-inline-alloc-size=128' '-fcse' '-fspec-constr-threshold=2000'
 '-fsimplifier-phases=2' '-fmax-inline-memcpy-insns=32' '-flate-dmd-anal'
 '-funfolding-keeness-factor=1.5' '-fexcess-precision'
 '-fmax-relevant-binds=6']",fast,0.998,0.998
5,5cdf018c-1192-46b3-9e84-95bbf6588000,"['-O0' '-fomit-yields' '-funbox-strict-fields'
 '-funfolding-use-threshold=60' '-fcse' '-funfolding-use-threshold=60'
 '-fcall-arity' '-fexcess-precision' '-fdicts-cheap' '-ffun-to-thunk'
 '-fstatic-argument-transformation' '-fsimpl-tick-factor=100'
 '-fomit-yields' '-funfolding-dict-discount=30'
 '-fcross-module-specialise' '-flate-dmd-anal' '-fcse'
 '-fdo-eta-reduction' '-floopification' '-fomit-interface-pragmas'
 '-funfolding-dict-discount=30' '-foptimal-applicative-do'
 '-fstrictness-before=1' '-fomit-interface-pragmas' '-fregs-iterative'
 '-fspec-constr' '-ffloat-in' '-feager-blackholing' '-fspec-constr'
 '-funfolding-dict-discount=30' '-funbox-small-strict-fields'
 '-fmax-inline-memset-insns=32' '-fpedantic-bottoms' '-fdo-eta-reduction'
 '-funbox-small-strict-fields' '-fcse' '-fliberate-case-threshold=2000'
 '-fexcess-precision' '-fspecialise' '-fworker-wrapper'
 '-fno-opt-coercion' '-fno-state-hack' '-ffull-laziness'
 '-funbox-small-strict-fields']",fast,0.997,0.997
6,703f5657-11d8-4c25-affb-498093781999,"['-O0' '-fregs-iterative' '-fdicts-strict' '-fregs-iterative'
 '-fno-pre-inlining' '-fcpr-anal' '-fmax-inline-memset-insns=32'
 '-fliberate-case' '-fsimpl-tick-factor=100' '-fcmm-sink'
 '-fspec-constr-count=3' '-fstrictness-before=1' '-fmax-relevant-binds=6'
 '-fcmm-elim-common-blocks' '-fregs-graph' '-fregs-iterative'
 '-funfolding-keeness-factor=1.5' '-fdmd-tx-dict-sel'
 '-fspec-constr-count=3' '-ffun-to-thunk' '-fcmm-sink'
 '-fcross-module-specialise' '-fignore-interface-pragmas' '-fcpr-anal'
 '-funfolding-dict-discount=30' '-fspec-constr-threshold=2000'
 '-fstatic-argument-transformation' '-fvectorisation-avoidance'
 '-fexpose-all-unfoldings' '-fliberate-case-threshold=2000'
 '-fcmm-elim-common-blocks' '-fcpr-anal' '-fexcess-precision' '-fcpr-anal'
 '-fmax-inline-memcpy-insns=32' '-fdmd-tx-dict-sel'
 '-fcmm-elim-common-blocks' '-fworker-wrapper' '-fmax-worker-args=10'
 '-fmax-simplifier-iterations=4' '-flate-dmd-anal' '-fspecialise'
 '-fsimpl-tick-factor=100' '-fspec-constr-threshold=2000']",fast,0.996,0.996
7,7dd6b890-1228-4649-b748-2049408042c9,"['-O0' '-fdicts-cheap' '-floopification' '-fenable-rewrite-rules'
 '-funfolding-dict-discount=30' '-fomit-yields' '-flate-dmd-anal'
 '-ffull-laziness' '-fregs-iterative' '-fcase-merge' '-ffloat-in'
 '-fspec-constr-threshold=2000' '-fmax-worker-args=10'
 '-fignore-interface-pragmas' '-fexpose-all-unfoldings' '-fstrictness'
 '-fomit-yields' '-fregs-iterative' '-fstrictness' '-feager-blackholing'
 '-fmax-worker-args=10' '-fmax-worker-args=10' '-fno-opt-coercion'
 '-fstrictness-before=1' '-fmax-simplifier-iterations=4'
 '-fspec-constr-count=3' '-fmax-inline-alloc-size=128' '-fcpr-anal'
 '-funfolding-creation-threshold=750' '-fstrictness' '-fignore-asserts'
 '-fsimpl-tick-factor=100' '-fexpose-all-unfoldings'
 '-funfolding-keeness-factor=1.5' '-fignore-asserts' '-fliberate-case'
 '-fworker-wrapper' '-fliberate-case-threshold=2000'
 '-fmax-simplifier-iterations=4' '-fmax-relevant-binds=6'
 '-fenable-rewrite-rules' '-fmax-relevant-binds=6'
 '-funfolding-use-threshold=60' '-fcse']",fast,0.994,0.994
8,e9323099-e7f7-4fe7-be96-43d1c8e5afc2,"['-O0' '-funbox-small-strict-fields' '-fenable-rewrite-rules'
 '-fmax-relevant-binds=6' '-funfolding-dict-discount=30'
 '-fcmm-elim-common-blocks' '-fspec-constr' '-ffloat-in' '-fcmm-sink'
 '-fliberate-case-threshold=2000' '-fdmd-tx-dict-sel' '-ffun-to-thunk'
 '-feager-blackholing' '-fomit-yields' '-fspec-constr-threshold=2000'
 '-fomit-interface-pragmas' '-foptimal-applicative-do' '-fdicts-cheap'
 '-funfolding-keeness-factor=1.5' '-fvectorise' '-ffull-laziness'
 '-fno-state-hack' '-fregs-graph' '-fno-opt-coercion' '-fdicts-strict'
 '-fmax-inline-memcpy-insns=32' '-fenable-rewrite-rules' '-fstrictness'
 '-fmax-worker-args=10' '-fcross-module-specialise' '-fstrictness'
 '-fcall-arity' '-fno-pre-inlining' '-ffull-laziness' '-fomit-yields'
 '-fsimplifier-phases=2' '-flate-dmd-anal'
 '-funfolding-keeness-factor=1.5' '-funfolding-dict-discount=30'
 '-fstrictness' '-funfolding-dict-discount=30' '-fcase-merge'
 '-flate-dmd-anal' '-fspec-constr']",fast,0.997,0.997
9,c72923d3-34dc-4e18-b066-9e74c213a961,"['-O0' '-fcmm-sink' '-fdicts-cheap' '-fvectorisation-avoidance'
 '-fspec-constr' '-fno-state-hack' '-fstrictness-before=1'
 '-fworker-wrapper' '-fspec-constr' '-foptimal-applicative-do'
 '-flate-dmd-anal' '-funfolding-use-threshold=60' '-ffun-to-thunk'
 '-fno-opt-coercion' '-fno-state-hack' '-fcpr-anal' '-fcall-arity'
 '-fdo-lambda-eta-expansion' '-fignore-asserts' '-fcmm-elim-common-blocks'
 '-fliberate-case' '-fspecialise' '-fstatic-argument-transformation'
 '-fspecialise' '-fcmm-sink' '-fexcess-precision' '-fenable-rewrite-rules'
 '-fexcess-precision' '-fno-pre-inlining' '-fcall-arity'
 '-funfolding-dict-discount=30' '-fstatic-argument-transformation'
 '-foptimal-applicative-do' '-fignore-interface-pragmas' '-ffloat-in'
 '-fcall-arity' '-fcmm-elim-common-blocks' '-fmax-relevant-binds=6'
 '-fmax-simplifier-iterations=4' '-ffun-to-thunk'
 '-fstatic-argument-transformation' '-fcross-module-specialise'
 '-fliberate-case-threshold=2000' '-fmax-simplifier-iterations=4']",fast,0.996,0.996
