,ID,Flags,Mode,Runtime,Elapsed_Time
0,-O0,['-O0'],fast,-----,-----
1,-O2,['-O2'],fast,-----,-----
2,7137723a-511b-4a0b-8156-54ce5ceae527,"['-O0' '-fvectorise' '-fregs-iterative' '-fmax-inline-memcpy-insns=32'
 '-fcase-merge' '-fdo-lambda-eta-expansion' '-fcall-arity'
 '-fdicts-strict' '-fmax-worker-args=10' '-ffun-to-thunk'
 '-fignore-interface-pragmas' '-fstrictness-before=1'
 '-fmax-inline-memcpy-insns=32' '-fstrictness'
 '-funfolding-fun-discount=60' '-fcmm-elim-common-blocks'
 '-fvectorisation-avoidance' '-fmax-inline-memset-insns=32'
 '-fvectorisation-avoidance' '-fexpose-all-unfoldings'
 '-fmax-inline-alloc-size=128' '-fmax-inline-memcpy-insns=32'
 '-fregs-iterative' '-fvectorisation-avoidance']",fast,-----,-----
3,4d036d87-1c85-4443-a86d-b149bb8bfe67,"['-O0' '-fvectorisation-avoidance' '-fregs-graph'
 '-fstatic-argument-transformation' '-ffloat-in' '-fmax-worker-args=10'
 '-feager-blackholing' '-fexpose-all-unfoldings' '-fdicts-strict'
 '-fdo-lambda-eta-expansion' '-fsimpl-tick-factor=100' '-fvectorise'
 '-fmax-inline-memset-insns=32' '-fsimpl-tick-factor=100'
 '-fno-state-hack' '-fcase-merge' '-fomit-yields'
 '-funfolding-keeness-factor=1.5' '-ffloat-in' '-fmax-relevant-binds=6'
 '-foptimal-applicative-do' '-fstrictness' '-fpedantic-bottoms'
 '-fenable-rewrite-rules']",fast,-----,-----
4,8c292ee9-1abe-48a4-a9f6-3e755e54d056,"['-O0' '-fspec-constr-count=3' '-fvectorisation-avoidance'
 '-fignore-interface-pragmas' '-fenable-rewrite-rules' '-fcpr-anal'
 '-fdicts-cheap' '-fsimpl-tick-factor=100' '-fspec-constr-threshold=2000'
 '-fstatic-argument-transformation' '-fignore-interface-pragmas'
 '-fcmm-sink' '-fvectorisation-avoidance' '-fcall-arity' '-flate-dmd-anal'
 '-fspecialise' '-funbox-strict-fields' '-fsimpl-tick-factor=100'
 '-fcross-module-specialise' '-funfolding-dict-discount=30'
 '-fenable-rewrite-rules' '-fstrictness-before=1'
 '-fomit-interface-pragmas' '-fspecialise']",fast,-----,-----
5,5f39efce-4195-41a9-8269-a28b95ba6108,"['-O0' '-fno-pre-inlining' '-foptimal-applicative-do' '-fliberate-case'
 '-ffun-to-thunk' '-foptimal-applicative-do'
 '-fspec-constr-threshold=2000' '-fcross-module-specialise'
 '-fliberate-case-threshold=2000' '-funfolding-keeness-factor=1.5'
 '-fvectorisation-avoidance' '-fpedantic-bottoms' '-fregs-graph'
 '-fcmm-elim-common-blocks' '-funbox-small-strict-fields'
 '-fstatic-argument-transformation' '-fomit-interface-pragmas'
 '-fmax-inline-alloc-size=128' '-ffun-to-thunk' '-fcse' '-flate-dmd-anal'
 '-fpedantic-bottoms' '-fliberate-case-threshold=2000' '-floopification']",fast,-----,-----
6,aab2867d-4c11-4212-a14e-eb82af6fbf22,"['-O0' '-fcmm-sink' '-fspec-constr-count=3' '-funfolding-fun-discount=60'
 '-fstrictness-before=1' '-funbox-strict-fields'
 '-funbox-small-strict-fields' '-fvectorise' '-floopification'
 '-fcall-arity' '-fliberate-case-threshold=2000' '-ffull-laziness'
 '-fregs-iterative' '-floopification' '-fmax-relevant-binds=6'
 '-fdicts-cheap' '-fliberate-case-threshold=2000' '-flate-dmd-anal'
 '-fvectorisation-avoidance' '-fspec-constr-count=3'
 '-funfolding-dict-discount=30' '-feager-blackholing' '-ffloat-in'
 '-fregs-graph']",fast,-----,-----
7,4f6d8e6f-6f8c-4003-83de-39961cff12c9,"['-O0' '-fliberate-case-threshold=2000' '-feager-blackholing'
 '-fspecialise' '-fworker-wrapper' '-fsimpl-tick-factor=100'
 '-fexpose-all-unfoldings' '-fignore-interface-pragmas' '-flate-dmd-anal'
 '-fexcess-precision' '-funfolding-creation-threshold=750'
 '-fexcess-precision' '-fstrictness-before=1' '-fstrictness-before=1'
 '-ffull-laziness' '-fcall-arity' '-ffun-to-thunk'
 '-foptimal-applicative-do' '-fregs-iterative' '-flate-dmd-anal'
 '-fmax-simplifier-iterations=4' '-fcmm-elim-common-blocks' '-fcse'
 '-fdmd-tx-dict-sel']",fast,-----,-----
8,d0a3d50b-3262-4dfc-8ab8-c6464758f0ef,"['-O0' '-fmax-worker-args=10' '-ffull-laziness'
 '-fmax-inline-alloc-size=128' '-fmax-relevant-binds=6'
 '-fstrictness-before=1' '-flate-dmd-anal' '-fstrictness'
 '-fno-opt-coercion' '-ffloat-in' '-funbox-small-strict-fields'
 '-fenable-rewrite-rules' '-fpedantic-bottoms' '-fcmm-sink'
 '-fliberate-case-threshold=2000' '-funfolding-keeness-factor=1.5'
 '-fliberate-case-threshold=2000' '-fcmm-sink'
 '-fliberate-case-threshold=2000' '-flate-dmd-anal' '-ffloat-in'
 '-fcase-merge' '-fno-opt-coercion' '-fstatic-argument-transformation']",fast,-----,-----
9,54435211-62d3-48ad-8434-56c26e7ab31a,"['-O0' '-fno-pre-inlining' '-fdicts-cheap' '-fspecialise' '-fregs-graph'
 '-funbox-strict-fields' '-fcmm-elim-common-blocks'
 '-fsimplifier-phases=2' '-fmax-relevant-binds=6' '-fcmm-sink'
 '-fregs-iterative' '-floopification' '-funfolding-use-threshold=60'
 '-fvectorise' '-fno-pre-inlining' '-fstatic-argument-transformation'
 '-fstrictness-before=1' '-fdo-eta-reduction' '-fcase-merge'
 '-fcase-merge' '-fcross-module-specialise' '-fcmm-sink'
 '-feager-blackholing' '-fvectorisation-avoidance']",fast,-----,-----
10,c0b48211-fde4-452e-88d6-d6540e3c84d1,"['-O0' '-foptimal-applicative-do' '-fdo-lambda-eta-expansion'
 '-fexpose-all-unfoldings' '-fmax-worker-args=10' '-fdicts-strict'
 '-fexcess-precision' '-flate-dmd-anal' '-fregs-iterative'
 '-fdo-lambda-eta-expansion' '-fomit-interface-pragmas'
 '-fdmd-tx-dict-sel' '-fcmm-sink' '-fcse' '-fcmm-sink' '-fcmm-sink'
 '-fcase-merge' '-fcall-arity' '-fcross-module-specialise'
 '-funbox-small-strict-fields' '-fliberate-case' '-fregs-iterative'
 '-fmax-worker-args=10' '-fno-pre-inlining']",fast,-----,-----
11,9e81f464-7ba9-4f99-b404-16f8467658e6,"['-O0' '-fstrictness' '-funfolding-use-threshold=60'
 '-funfolding-creation-threshold=750' '-fdicts-cheap'
 '-fmax-worker-args=10' '-fmax-inline-memset-insns=32'
 '-funfolding-dict-discount=30' '-floopification' '-fmax-relevant-binds=6'
 '-fpedantic-bottoms' '-fliberate-case' '-fomit-yields'
 '-fstrictness-before=1' '-fspecialise' '-funfolding-dict-discount=30'
 '-fspec-constr-count=3' '-fcpr-anal' '-funfolding-keeness-factor=1.5'
 '-funbox-small-strict-fields' '-fexcess-precision' '-floopification'
 '-fmax-inline-memcpy-insns=32' '-fcse']",fast,-----,-----
12,575319fe-9a28-40e7-9649-d22732ef8177,"['-O0' '-fregs-graph' '-fstrictness-before=1'
 '-funbox-small-strict-fields' '-fdo-eta-reduction' '-fdmd-tx-dict-sel'
 '-fmax-simplifier-iterations=4' '-fcross-module-specialise'
 '-fdo-eta-reduction' '-fcmm-sink' '-fno-state-hack' '-fliberate-case'
 '-fno-pre-inlining' '-fmax-relevant-binds=6' '-fomit-interface-pragmas'
 '-fcmm-sink' '-funbox-small-strict-fields' '-fspecialise'
 '-fliberate-case' '-fdmd-tx-dict-sel' '-fmax-inline-memset-insns=32'
 '-fspec-constr-threshold=2000' '-fomit-interface-pragmas' '-fcpr-anal']",fast,-----,-----
13,e2c60487-77df-40b5-865d-f7a76da829c9,"['-O0' '-ffun-to-thunk' '-fmax-simplifier-iterations=4'
 '-funfolding-dict-discount=30' '-fliberate-case-threshold=2000'
 '-foptimal-applicative-do' '-fmax-simplifier-iterations=4'
 '-fspec-constr' '-fcross-module-specialise' '-fno-opt-coercion'
 '-fcall-arity' '-fdo-eta-reduction' '-fenable-rewrite-rules'
 '-fspec-constr-threshold=2000' '-fomit-yields' '-floopification'
 '-fexcess-precision' '-fdicts-cheap' '-fcall-arity' '-fexcess-precision'
 '-fomit-interface-pragmas' '-funfolding-creation-threshold=750'
 '-fenable-rewrite-rules' '-fmax-relevant-binds=6']",fast,-----,-----
