,ID,Flags,Mode,Runtime,Elapsed_Time
0,-O0,['-O0'],fast,18.65,18.65
1,-O2,['-O2'],fast,19.868,19.868
2,b509bf27-e8d3-4dfa-a593-e32b14f9aed6,"['-O0' '-fstatic-argument-transformation' '-funbox-small-strict-fields'
 '-fspec-constr' '-funfolding-keeness-factor=1.5' '-fstrictness-before=1'
 '-fno-opt-coercion' '-fdo-lambda-eta-expansion' '-fspec-constr' '-fcse'
 '-fdmd-tx-dict-sel' '-fstrictness' '-floopification'
 '-fmax-relevant-binds=6' '-fworker-wrapper']",fast,18.614,18.614
3,aa420bee-46b1-4468-ba73-cb5bdb05d0cb,"['-O0' '-fmax-inline-memcpy-insns=32' '-foptimal-applicative-do'
 '-fignore-interface-pragmas' '-fenable-rewrite-rules'
 '-fstrictness-before=1' '-fexcess-precision' '-fmax-worker-args=10'
 '-fignore-interface-pragmas' '-fomit-interface-pragmas'
 '-funfolding-dict-discount=30' '-funfolding-keeness-factor=1.5'
 '-fdo-eta-reduction' '-flate-dmd-anal' '-fmax-simplifier-iterations=4']",fast,19.691,19.691
4,fed2ba1c-5495-4df5-bcfd-ee4a79201926,"['-O0' '-fmax-simplifier-iterations=4' '-funfolding-dict-discount=30'
 '-fno-opt-coercion' '-floopification' '-fcall-arity' '-ffloat-in'
 '-fdo-lambda-eta-expansion' '-fliberate-case-threshold=2000'
 '-fstrictness-before=1' '-fexcess-precision'
 '-fmax-inline-alloc-size=128' '-fstrictness-before=1' '-fregs-graph'
 '-funfolding-keeness-factor=1.5']",fast,18.959,18.959
5,9fa92491-3af9-40f2-8348-8fda4ac35556,"['-O0' '-fmax-inline-alloc-size=128' '-funfolding-creation-threshold=750'
 '-fmax-inline-memcpy-insns=32' '-fmax-inline-alloc-size=128'
 '-ffun-to-thunk' '-fstrictness' '-fmax-simplifier-iterations=4'
 '-fspec-constr' '-fsimplifier-phases=2' '-fsimpl-tick-factor=100'
 '-fmax-inline-memcpy-insns=32' '-funbox-small-strict-fields'
 '-fdo-eta-reduction' '-ffloat-in']",fast,18.963,18.963
6,e440e686-0705-4f4d-bc09-5bfd2e993ebc,"['-O0' '-fexpose-all-unfoldings' '-fcpr-anal' '-fno-pre-inlining'
 '-fmax-simplifier-iterations=4' '-fexpose-all-unfoldings'
 '-feager-blackholing' '-funfolding-dict-discount=30' '-fvectorise'
 '-funfolding-dict-discount=30' '-fignore-interface-pragmas'
 '-fdicts-cheap' '-fregs-graph' '-foptimal-applicative-do'
 '-fliberate-case']",fast,19.851,19.851
7,cc83f169-25a4-4982-97e4-a0c8abbd452d,"['-O0' '-funfolding-creation-threshold=750' '-fworker-wrapper'
 '-fdicts-cheap' '-fdicts-strict' '-fmax-worker-args=10'
 '-fno-pre-inlining' '-fignore-interface-pragmas'
 '-fmax-inline-alloc-size=128' '-foptimal-applicative-do'
 '-fmax-relevant-binds=6' '-fno-pre-inlining' '-fvectorisation-avoidance'
 '-fdmd-tx-dict-sel' '-fmax-relevant-binds=6']",fast,19.601,19.601
8,58dd6f96-d7e0-4bde-92ab-ad08d144a548,"['-O0' '-fspec-constr-count=3' '-flate-dmd-anal'
 '-fomit-interface-pragmas' '-fvectorise' '-funbox-strict-fields'
 '-ffloat-in' '-funfolding-creation-threshold=750' '-fcse' '-fcmm-sink'
 '-fregs-iterative' '-fno-state-hack' '-fregs-graph' '-fno-opt-coercion'
 '-fmax-inline-memset-insns=32']",fast,19.532,19.532
9,8fee49e6-ce26-4ea2-b48d-07357c430138,"['-O0' '-fmax-simplifier-iterations=4' '-fcpr-anal'
 '-funbox-small-strict-fields' '-ffloat-in' '-fspecialise'
 '-fmax-simplifier-iterations=4' '-fmax-relevant-binds=6' '-fdicts-cheap'
 '-fomit-yields' '-fno-pre-inlining' '-fcmm-elim-common-blocks'
 '-fstrictness-before=1' '-fdicts-cheap' '-fexpose-all-unfoldings']",fast,19.1,19.1
