,ID,Flags,Mode,Runtime,Elapsed_Time
0,-O0,['-O0'],fast,3.57,3.57
1,-O2,['-O2'],fast,3.581,3.581
2,5aabd436-adda-4f0f-9fd1-27efa43d71c0,"['-O0' '-fsimpl-tick-factor=100' '-fno-opt-coercion'
 '-fvectorisation-avoidance' '-funfolding-use-threshold=60' '-fstrictness'
 '-fspec-constr-threshold=2000' '-fmax-simplifier-iterations=4'
 '-ffull-laziness' '-fmax-inline-memcpy-insns=32' '-fexcess-precision'
 '-foptimal-applicative-do' '-funfolding-fun-discount=60'
 '-fliberate-case-threshold=2000' '-fvectorise' '-fcmm-sink' '-fvectorise'
 '-fmax-simplifier-iterations=4' '-feager-blackholing'
 '-funfolding-fun-discount=60' '-fdo-lambda-eta-expansion'
 '-fno-state-hack' '-funfolding-creation-threshold=750'
 '-feager-blackholing' '-fstatic-argument-transformation'
 '-fsimplifier-phases=2' '-fdo-eta-reduction' '-fno-pre-inlining' '-fcse'
 '-fcmm-elim-common-blocks' '-fpedantic-bottoms'
 '-fmax-inline-alloc-size=128' '-ffull-laziness' '-fworker-wrapper'
 '-fpedantic-bottoms']",fast,3.616,3.616
3,e1753575-2620-4e17-8c7a-ac835403d391,"['-O0' '-fmax-inline-memcpy-insns=32' '-fdmd-tx-dict-sel'
 '-fexcess-precision' '-fno-state-hack' '-fsimplifier-phases=2'
 '-fpedantic-bottoms' '-funfolding-creation-threshold=750' '-fspec-constr'
 '-fcpr-anal' '-fdmd-tx-dict-sel' '-fspec-constr' '-fno-opt-coercion'
 '-fno-opt-coercion' '-fdo-lambda-eta-expansion' '-fstrictness'
 '-funfolding-use-threshold=60' '-fcmm-sink' '-foptimal-applicative-do'
 '-fspec-constr' '-fsimpl-tick-factor=100' '-fliberate-case'
 '-feager-blackholing' '-ffull-laziness' '-fexcess-precision'
 '-fdo-eta-reduction' '-funfolding-fun-discount=60' '-fliberate-case'
 '-fspec-constr' '-fmax-simplifier-iterations=4' '-fno-pre-inlining'
 '-fcmm-elim-common-blocks' '-fdo-eta-reduction' '-fignore-asserts'
 '-fspecialise']",fast,3.63,3.63
4,796b17ba-cc91-4b44-9105-f651136f69c4,"['-O0' '-fregs-iterative' '-fomit-interface-pragmas'
 '-fsimpl-tick-factor=100' '-fcase-merge' '-fspec-constr-threshold=2000'
 '-fno-opt-coercion' '-fcall-arity' '-fspecialise'
 '-fmax-simplifier-iterations=4' '-ffull-laziness'
 '-foptimal-applicative-do' '-fliberate-case' '-funbox-strict-fields'
 '-fcmm-sink' '-fdmd-tx-dict-sel' '-fomit-yields' '-fpedantic-bottoms'
 '-fspec-constr-count=3' '-fno-pre-inlining' '-fno-pre-inlining'
 '-funfolding-creation-threshold=750' '-fstrictness-before=1'
 '-fdicts-cheap' '-fworker-wrapper' '-fomit-interface-pragmas'
 '-fno-state-hack' '-fmax-relevant-binds=6' '-fomit-interface-pragmas'
 '-fvectorisation-avoidance' '-fmax-worker-args=10' '-fregs-graph'
 '-fmax-inline-memset-insns=32' '-funbox-strict-fields'
 '-fmax-relevant-binds=6']",fast,3.637,3.637
5,c7657207-a4c0-4bad-b62a-526eedfc0d7e,"['-O0' '-ffun-to-thunk' '-fstatic-argument-transformation'
 '-funbox-small-strict-fields' '-fcmm-elim-common-blocks'
 '-ffull-laziness' '-fdo-lambda-eta-expansion'
 '-fmax-inline-alloc-size=128' '-fmax-inline-memset-insns=32'
 '-fsimplifier-phases=2' '-fdmd-tx-dict-sel'
 '-funfolding-use-threshold=60' '-fomit-interface-pragmas'
 '-feager-blackholing' '-fno-state-hack' '-funfolding-fun-discount=60'
 '-funfolding-creation-threshold=750' '-fmax-worker-args=10'
 '-fworker-wrapper' '-fdicts-cheap' '-fregs-iterative'
 '-fmax-inline-memset-insns=32' '-foptimal-applicative-do'
 '-fmax-relevant-binds=6' '-fvectorisation-avoidance'
 '-fenable-rewrite-rules' '-ffull-laziness' '-ffun-to-thunk'
 '-fdo-eta-reduction' '-fmax-inline-memcpy-insns=32'
 '-funfolding-fun-discount=60' '-funbox-strict-fields' '-fno-opt-coercion'
 '-fdicts-strict' '-funfolding-keeness-factor=1.5']",fast,3.608,3.608
6,244ea542-e5f0-48f0-bd45-793e4641869a,"['-O0' '-funbox-small-strict-fields' '-fspec-constr-count=3'
 '-fmax-simplifier-iterations=4' '-fno-opt-coercion'
 '-funfolding-dict-discount=30' '-flate-dmd-anal' '-fvectorise'
 '-fcross-module-specialise' '-fregs-iterative' '-ffun-to-thunk'
 '-fsimplifier-phases=2' '-fstatic-argument-transformation' '-ffloat-in'
 '-fignore-asserts' '-fno-state-hack' '-fexpose-all-unfoldings'
 '-fstrictness-before=1' '-foptimal-applicative-do' '-fdmd-tx-dict-sel'
 '-fmax-simplifier-iterations=4' '-fregs-iterative' '-fignore-asserts'
 '-fregs-graph' '-fexpose-all-unfoldings' '-fenable-rewrite-rules'
 '-floopification' '-fregs-graph' '-fstrictness'
 '-fcross-module-specialise' '-funfolding-keeness-factor=1.5'
 '-fdmd-tx-dict-sel' '-foptimal-applicative-do'
 '-funfolding-dict-discount=30' '-fregs-graph']",fast,3.655,3.655
7,f879eb80-2510-41ab-bd20-ef079827d400,"['-O0' '-fstrictness-before=1' '-fvectorisation-avoidance'
 '-fliberate-case' '-fsimpl-tick-factor=100' '-fignore-interface-pragmas'
 '-fspecialise' '-fliberate-case-threshold=2000' '-fsimplifier-phases=2'
 '-ffloat-in' '-fdmd-tx-dict-sel' '-fspec-constr' '-feager-blackholing'
 '-fliberate-case-threshold=2000' '-fdicts-cheap' '-fno-state-hack'
 '-fignore-interface-pragmas' '-fvectorisation-avoidance'
 '-fspec-constr-threshold=2000' '-fmax-inline-memset-insns=32'
 '-fdo-eta-reduction' '-foptimal-applicative-do' '-fdicts-cheap'
 '-fregs-graph' '-floopification' '-fliberate-case'
 '-fsimplifier-phases=2' '-foptimal-applicative-do' '-fno-opt-coercion'
 '-fcross-module-specialise' '-fcmm-sink' '-fmax-inline-alloc-size=128'
 '-fcmm-sink' '-fcase-merge' '-funfolding-keeness-factor=1.5']",fast,3.629,3.629
8,380acbde-2fb4-4c02-b764-49d2518233f4,"['-O0' '-fno-state-hack' '-fspec-constr-count=3' '-fcpr-anal'
 '-fmax-worker-args=10' '-fdo-lambda-eta-expansion' '-fdicts-cheap'
 '-fno-pre-inlining' '-fregs-graph' '-fspec-constr' '-fno-opt-coercion'
 '-ffloat-in' '-fcase-merge' '-funbox-small-strict-fields'
 '-foptimal-applicative-do' '-fignore-asserts'
 '-funfolding-dict-discount=30' '-fmax-relevant-binds=6' '-fspecialise'
 '-fliberate-case-threshold=2000' '-funfolding-creation-threshold=750'
 '-fomit-interface-pragmas' '-fdo-eta-reduction' '-ffloat-in'
 '-fregs-iterative' '-flate-dmd-anal' '-fspec-constr-threshold=2000'
 '-fspecialise' '-fmax-inline-memcpy-insns=32'
 '-funfolding-keeness-factor=1.5' '-fmax-inline-memset-insns=32'
 '-fenable-rewrite-rules' '-fmax-inline-memcpy-insns=32'
 '-fignore-interface-pragmas' '-fpedantic-bottoms']",fast,3.632,3.632
9,321ba1e7-3810-47fe-847d-3a4104bf5b7e,"['-O0' '-fspec-constr-count=3' '-fmax-worker-args=10' '-fno-opt-coercion'
 '-fliberate-case' '-ffloat-in' '-flate-dmd-anal' '-fno-opt-coercion'
 '-funbox-strict-fields' '-fexpose-all-unfoldings' '-ffull-laziness'
 '-fcse' '-foptimal-applicative-do' '-fdo-lambda-eta-expansion'
 '-fmax-worker-args=10' '-fcmm-elim-common-blocks' '-fdicts-cheap'
 '-fregs-graph' '-ffull-laziness' '-fstatic-argument-transformation'
 '-fregs-iterative' '-fregs-graph' '-fmax-relevant-binds=6' '-fcall-arity'
 '-fspec-constr-threshold=2000' '-fno-opt-coercion'
 '-funbox-strict-fields' '-fno-pre-inlining' '-fno-pre-inlining'
 '-fcpr-anal' '-floopification' '-funfolding-keeness-factor=1.5'
 '-funfolding-dict-discount=30' '-funfolding-use-threshold=60'
 '-fmax-inline-memcpy-insns=32']",fast,3.617,3.617
10,c8baa09d-5265-458f-88f7-ff8cac1fc679,"['-O0' '-fno-state-hack' '-fstatic-argument-transformation' '-fcase-merge'
 '-funfolding-creation-threshold=750' '-fcmm-elim-common-blocks'
 '-fcpr-anal' '-fmax-inline-memcpy-insns=32' '-fcse' '-ffull-laziness'
 '-fvectorisation-avoidance' '-fdo-lambda-eta-expansion'
 '-funfolding-use-threshold=60' '-fno-pre-inlining'
 '-fmax-simplifier-iterations=4' '-fstrictness-before=1'
 '-fspec-constr-threshold=2000' '-fworker-wrapper'
 '-fsimpl-tick-factor=100' '-fcase-merge' '-fno-pre-inlining'
 '-fno-state-hack' '-fignore-interface-pragmas' '-fcall-arity'
 '-fdo-lambda-eta-expansion' '-funfolding-keeness-factor=1.5'
 '-fomit-interface-pragmas' '-fcse' '-fmax-relevant-binds=6' '-fvectorise'
 '-fdmd-tx-dict-sel' '-fignore-interface-pragmas' '-fregs-graph'
 '-funfolding-creation-threshold=750' '-fdmd-tx-dict-sel']",fast,3.624,3.624
