,ID,Flags,Mode,Runtime,Elapsed_Time
0,-O0,['-O0'],fast,0.478,0.478
1,-O2,['-O2'],fast,0.475,0.475
2,1804e6de-23c2-48a6-bfb7-8bbbecc419a5,"['-O0' '-fmax-relevant-binds=6' '-funbox-small-strict-fields'
 '-fmax-inline-memcpy-insns=32' '-fpedantic-bottoms'
 '-fmax-inline-alloc-size=128' '-fsimpl-tick-factor=100' '-fcmm-sink'
 '-fmax-worker-args=10' '-fmax-inline-memcpy-insns=32' '-fomit-yields'
 '-fstrictness' '-fliberate-case-threshold=2000' '-fexcess-precision'
 '-fno-state-hack' '-funfolding-keeness-factor=1.5' '-fcpr-anal'
 '-fomit-yields' '-fspec-constr-threshold=2000' '-fmax-worker-args=10'
 '-fmax-inline-memset-insns=32' '-fmax-simplifier-iterations=4'
 '-funfolding-dict-discount=30' '-fcse' '-feager-blackholing'
 '-fvectorisation-avoidance' '-fmax-inline-memcpy-insns=32'
 '-fenable-rewrite-rules' '-fmax-inline-memcpy-insns=32'
 '-funfolding-keeness-factor=1.5' '-fignore-asserts' '-fno-opt-coercion'
 '-fomit-interface-pragmas' '-fignore-asserts'
 '-fmax-inline-memset-insns=32' '-fregs-graph' '-fpedantic-bottoms']",fast,0.479,0.479
3,51b6bd4b-24e8-429e-bfc3-269c6ce459f9,"['-O0' '-funfolding-use-threshold=60' '-fexpose-all-unfoldings'
 '-fliberate-case-threshold=2000' '-fmax-simplifier-iterations=4'
 '-fmax-inline-memcpy-insns=32' '-fexcess-precision'
 '-fstatic-argument-transformation' '-fdicts-cheap' '-floopification'
 '-fignore-interface-pragmas' '-fvectorisation-avoidance'
 '-fliberate-case-threshold=2000' '-fspecialise'
 '-funfolding-dict-discount=30' '-fspec-constr-count=3'
 '-funfolding-dict-discount=30' '-fignore-interface-pragmas'
 '-funbox-small-strict-fields' '-fignore-asserts' '-fignore-asserts'
 '-fliberate-case-threshold=2000' '-fworker-wrapper' '-fno-pre-inlining'
 '-fspec-constr' '-fpedantic-bottoms' '-fignore-interface-pragmas'
 '-fexcess-precision' '-fstatic-argument-transformation'
 '-fexpose-all-unfoldings' '-fcpr-anal' '-fno-pre-inlining'
 '-fregs-iterative' '-fno-pre-inlining' '-funfolding-use-threshold=60'
 '-ffull-laziness' '-fregs-graph']",fast,0.479,0.479
4,eb8be5ed-fd33-4ffe-8c59-9c6432fcee49,"['-O0' '-funbox-small-strict-fields' '-fcpr-anal'
 '-funfolding-use-threshold=60' '-fenable-rewrite-rules' '-ffull-laziness'
 '-fdicts-strict' '-fexcess-precision' '-fcross-module-specialise'
 '-fdo-lambda-eta-expansion' '-feager-blackholing'
 '-fliberate-case-threshold=2000' '-fcase-merge'
 '-fignore-interface-pragmas' '-fstrictness'
 '-fmax-inline-memset-insns=32' '-fregs-graph'
 '-fmax-simplifier-iterations=4' '-fcmm-elim-common-blocks'
 '-fdo-lambda-eta-expansion' '-fvectorisation-avoidance'
 '-fcross-module-specialise' '-fcse' '-fomit-interface-pragmas'
 '-fcall-arity' '-funbox-small-strict-fields' '-fvectorise'
 '-fdicts-cheap' '-fworker-wrapper' '-funfolding-dict-discount=30'
 '-fomit-interface-pragmas' '-funfolding-use-threshold=60'
 '-fworker-wrapper' '-feager-blackholing' '-fcross-module-specialise'
 '-ffull-laziness' '-funbox-strict-fields']",fast,0.479,0.479
5,00950d54-6514-4738-a6bf-9b377e33f9b7,"['-O0' '-fignore-asserts' '-fregs-iterative' '-funbox-small-strict-fields'
 '-fmax-inline-memset-insns=32' '-fvectorise' '-fignore-asserts'
 '-fdmd-tx-dict-sel' '-fstrictness' '-floopification' '-fvectorise'
 '-fno-pre-inlining' '-fsimplifier-phases=2' '-fspecialise'
 '-fstrictness-before=1' '-funfolding-use-threshold=60'
 '-fomit-interface-pragmas' '-fworker-wrapper' '-funbox-strict-fields'
 '-fregs-iterative' '-fenable-rewrite-rules' '-fcpr-anal'
 '-fspec-constr-count=3' '-fstrictness-before=1'
 '-fcross-module-specialise' '-ffloat-in' '-fcall-arity'
 '-fdo-eta-reduction' '-fdicts-strict' '-fomit-yields'
 '-fmax-inline-memset-insns=32' '-fmax-inline-alloc-size=128'
 '-fdmd-tx-dict-sel' '-fexpose-all-unfoldings'
 '-funfolding-dict-discount=30' '-fmax-relevant-binds=6'
 '-fspec-constr-threshold=2000']",fast,0.479,0.479
6,e3c97ae6-f247-44f7-ae4b-e04236b6dcb9,"['-O0' '-funfolding-dict-discount=30' '-fomit-interface-pragmas'
 '-fliberate-case-threshold=2000' '-fcpr-anal' '-fcmm-elim-common-blocks'
 '-ffun-to-thunk' '-fignore-asserts' '-fsimplifier-phases=2'
 '-fstrictness' '-fsimplifier-phases=2' '-fliberate-case-threshold=2000'
 '-fsimpl-tick-factor=100' '-ffun-to-thunk' '-fdmd-tx-dict-sel'
 '-fspec-constr-threshold=2000' '-foptimal-applicative-do' '-fomit-yields'
 '-fspecialise' '-fno-pre-inlining' '-fno-state-hack'
 '-fliberate-case-threshold=2000' '-fexpose-all-unfoldings'
 '-fignore-asserts' '-funfolding-keeness-factor=1.5'
 '-fsimpl-tick-factor=100' '-fcase-merge' '-fdo-eta-reduction'
 '-fliberate-case' '-fomit-interface-pragmas' '-fpedantic-bottoms'
 '-fmax-inline-memcpy-insns=32' '-feager-blackholing' '-fstrictness'
 '-funfolding-dict-discount=30' '-funfolding-use-threshold=60'
 '-fenable-rewrite-rules']",fast,0.479,0.479
7,3d1df2fe-c436-4fdf-9e00-2e3820134d95,"['-O0' '-fdicts-strict' '-fno-state-hack' '-fdo-lambda-eta-expansion'
 '-funbox-strict-fields' '-funfolding-fun-discount=60'
 '-funfolding-keeness-factor=1.5' '-funbox-small-strict-fields'
 '-fomit-interface-pragmas' '-fspecialise' '-fexcess-precision'
 '-funfolding-fun-discount=60' '-fsimplifier-phases=2'
 '-fspec-constr-threshold=2000' '-fno-state-hack'
 '-fomit-interface-pragmas' '-ffull-laziness' '-fenable-rewrite-rules'
 '-funfolding-fun-discount=60' '-fexpose-all-unfoldings' '-fstrictness'
 '-fcpr-anal' '-fvectorise' '-fdicts-cheap' '-fsimplifier-phases=2'
 '-ffun-to-thunk' '-fliberate-case-threshold=2000'
 '-foptimal-applicative-do' '-fdo-lambda-eta-expansion'
 '-fstrictness-before=1' '-fignore-interface-pragmas' '-fcmm-sink'
 '-fenable-rewrite-rules' '-funfolding-creation-threshold=750'
 '-fmax-inline-memset-insns=32' '-ffull-laziness' '-fpedantic-bottoms']",fast,0.478,0.478
8,6a6cb7b5-7e8c-4a86-937c-ca42e26c3412,"['-O0' '-fcmm-elim-common-blocks' '-fdmd-tx-dict-sel' '-floopification'
 '-fmax-inline-memset-insns=32' '-fcmm-elim-common-blocks'
 '-funfolding-fun-discount=60' '-ffun-to-thunk'
 '-fdo-lambda-eta-expansion' '-fomit-yields' '-fmax-worker-args=10'
 '-funfolding-creation-threshold=750' '-ffloat-in'
 '-fexpose-all-unfoldings' '-fdicts-cheap' '-fexpose-all-unfoldings'
 '-funfolding-use-threshold=60' '-fcpr-anal'
 '-fmax-inline-memset-insns=32' '-ffull-laziness'
 '-funbox-small-strict-fields' '-funfolding-fun-discount=60'
 '-fspecialise' '-funbox-strict-fields' '-fexpose-all-unfoldings'
 '-fliberate-case-threshold=2000' '-fdicts-strict'
 '-fomit-interface-pragmas' '-foptimal-applicative-do' '-fregs-graph'
 '-funfolding-dict-discount=30' '-fcase-merge'
 '-funfolding-keeness-factor=1.5' '-feager-blackholing'
 '-fcross-module-specialise' '-funbox-small-strict-fields'
 '-flate-dmd-anal']",fast,0.48,0.48
9,e9c91f21-c6cb-485f-a836-6df67d985efa,"['-O0' '-fstrictness' '-fmax-inline-memcpy-insns=32' '-fdo-eta-reduction'
 '-fspec-constr' '-fignore-asserts' '-fignore-interface-pragmas'
 '-fpedantic-bottoms' '-fno-pre-inlining' '-fspec-constr-threshold=2000'
 '-funfolding-fun-discount=60' '-fdo-lambda-eta-expansion'
 '-fomit-interface-pragmas' '-fexcess-precision'
 '-fliberate-case-threshold=2000' '-fdicts-strict'
 '-fomit-interface-pragmas' '-fmax-inline-memcpy-insns=32' '-ffloat-in'
 '-fdo-eta-reduction' '-feager-blackholing'
 '-fstatic-argument-transformation' '-fcmm-elim-common-blocks'
 '-fdicts-strict' '-fstatic-argument-transformation' '-fomit-yields'
 '-funfolding-use-threshold=60' '-fspec-constr-threshold=2000'
 '-fno-pre-inlining' '-fspec-constr-threshold=2000' '-fno-pre-inlining'
 '-fpedantic-bottoms' '-fspecialise' '-fregs-iterative' '-fcpr-anal'
 '-fregs-iterative' '-fspec-constr-count=3']",fast,0.479,0.479
