,ID,Flags,Mode,Runtime,Elapsed_Time
0,-O0,['-O0'],fast,0.324,0.324
1,-O2,['-O2'],fast,0.323,0.323
2,feaa8444-236b-4bd7-88e8-7bcce1e7086e,"['-O0' '-fmax-inline-memcpy-insns=32' '-fspec-constr-count=3'
 '-fomit-interface-pragmas' '-fworker-wrapper' '-fdicts-strict'
 '-fcross-module-specialise' '-fregs-graph' '-fignore-asserts'
 '-fvectorisation-avoidance' '-funfolding-keeness-factor=1.5'
 '-funbox-strict-fields' '-fexpose-all-unfoldings' '-fmax-worker-args=10'
 '-fcmm-sink' '-fliberate-case' '-fdo-lambda-eta-expansion' '-fvectorise'
 '-fmax-worker-args=10' '-fworker-wrapper' '-fspec-constr-count=3'
 '-ffull-laziness' '-fno-pre-inlining' '-ffull-laziness'
 '-fmax-inline-memcpy-insns=32' '-fcase-merge' '-fcmm-sink' '-fcse'
 '-fspec-constr-threshold=2000' '-fmax-simplifier-iterations=4'
 '-fspec-constr' '-flate-dmd-anal' '-fno-pre-inlining' '-ffull-laziness'
 '-fexcess-precision' '-fregs-iterative' '-funbox-small-strict-fields'
 '-fstrictness' '-funfolding-creation-threshold=750' '-fexcess-precision'
 '-fliberate-case-threshold=2000' '-flate-dmd-anal'
 '-fliberate-case-threshold=2000' '-fno-state-hack'
 '-fvectorisation-avoidance' '-ffloat-in' '-fmax-simplifier-iterations=4'
 '-fdicts-cheap' '-funfolding-creation-threshold=750']",fast,0.323,0.323
3,2b4dbe75-092f-4277-987d-ab4dbf85164a,"['-O0' '-fmax-simplifier-iterations=4' '-ffloat-in' '-fdmd-tx-dict-sel'
 '-fmax-inline-memcpy-insns=32' '-funfolding-use-threshold=60'
 '-fno-opt-coercion' '-fstrictness-before=1'
 '-fmax-inline-memcpy-insns=32' '-fdo-eta-reduction' '-fdmd-tx-dict-sel'
 '-fdo-eta-reduction' '-fcpr-anal' '-fspec-constr-threshold=2000'
 '-ffloat-in' '-foptimal-applicative-do' '-funbox-strict-fields'
 '-fvectorise' '-fstatic-argument-transformation' '-fcse' '-fdicts-strict'
 '-fspec-constr-count=3' '-fmax-inline-memset-insns=32' '-fspecialise'
 '-fspec-constr-threshold=2000' '-fcmm-elim-common-blocks' '-fcpr-anal'
 '-funbox-strict-fields' '-fomit-interface-pragmas'
 '-fmax-inline-memcpy-insns=32' '-fno-state-hack'
 '-fcmm-elim-common-blocks' '-fignore-interface-pragmas'
 '-fmax-inline-memset-insns=32' '-ffull-laziness'
 '-funfolding-fun-discount=60' '-fomit-yields' '-fdmd-tx-dict-sel'
 '-fcross-module-specialise' '-fspecialise' '-fmax-relevant-binds=6'
 '-fcross-module-specialise' '-fcross-module-specialise'
 '-fenable-rewrite-rules' '-fomit-interface-pragmas'
 '-funfolding-fun-discount=60' '-fexpose-all-unfoldings'
 '-fmax-simplifier-iterations=4' '-fomit-interface-pragmas']",fast,0.328,0.328
4,254f251e-3ad8-4603-a851-cf9794dc60e1,"['-O0' '-fliberate-case-threshold=2000' '-funfolding-fun-discount=60'
 '-fcall-arity' '-fexcess-precision' '-funfolding-creation-threshold=750'
 '-fcse' '-funbox-strict-fields' '-fcmm-sink' '-fno-opt-coercion'
 '-fspecialise' '-fspec-constr-count=3' '-fdo-eta-reduction' '-fcse'
 '-fcpr-anal' '-fliberate-case-threshold=2000' '-floopification'
 '-fmax-relevant-binds=6' '-fcross-module-specialise' '-fdo-eta-reduction'
 '-fcmm-sink' '-fdmd-tx-dict-sel' '-foptimal-applicative-do'
 '-flate-dmd-anal' '-fsimpl-tick-factor=100'
 '-fspec-constr-threshold=2000' '-fmax-simplifier-iterations=4'
 '-fsimpl-tick-factor=100' '-fstrictness' '-fexpose-all-unfoldings'
 '-fomit-interface-pragmas' '-fno-pre-inlining'
 '-fdo-lambda-eta-expansion' '-funfolding-use-threshold=60'
 '-fmax-relevant-binds=6' '-fcpr-anal' '-fdicts-cheap'
 '-funfolding-fun-discount=60' '-fspecialise'
 '-funfolding-keeness-factor=1.5' '-fmax-worker-args=10'
 '-funbox-strict-fields' '-fno-opt-coercion' '-fmax-inline-alloc-size=128'
 '-fomit-interface-pragmas' '-funbox-strict-fields' '-ffull-laziness'
 '-fregs-graph' '-fno-pre-inlining']",fast,0.324,0.324
5,d3b530e9-c7bd-4e81-9aff-9eec966971d1,"['-O0' '-fvectorise' '-feager-blackholing' '-funbox-strict-fields'
 '-fcpr-anal' '-fstrictness' '-fspec-constr-count=3'
 '-fcmm-elim-common-blocks' '-funfolding-fun-discount=60'
 '-fmax-relevant-binds=6' '-fvectorisation-avoidance'
 '-funfolding-dict-discount=30' '-funfolding-creation-threshold=750'
 '-fmax-simplifier-iterations=4' '-fdo-lambda-eta-expansion'
 '-flate-dmd-anal' '-floopification' '-fmax-inline-memcpy-insns=32'
 '-fsimplifier-phases=2' '-fdmd-tx-dict-sel' '-fspec-constr-count=3'
 '-fno-pre-inlining' '-fstatic-argument-transformation' '-fcase-merge'
 '-fcmm-elim-common-blocks' '-fcall-arity' '-fspec-constr-count=3'
 '-fspec-constr-threshold=2000' '-fpedantic-bottoms' '-fcmm-sink'
 '-fspec-constr-threshold=2000' '-fignore-interface-pragmas'
 '-fcase-merge' '-fspec-constr-count=3' '-fvectorise'
 '-fcmm-elim-common-blocks' '-foptimal-applicative-do'
 '-fpedantic-bottoms' '-fignore-asserts' '-fdo-lambda-eta-expansion'
 '-funbox-small-strict-fields' '-fstrictness' '-fignore-interface-pragmas'
 '-foptimal-applicative-do' '-fmax-simplifier-iterations=4'
 '-fstrictness-before=1' '-fmax-worker-args=10' '-fdmd-tx-dict-sel'
 '-fworker-wrapper']",fast,0.324,0.324
6,a43218c2-8a62-481c-b36d-5ab251f42650,"['-O0' '-fregs-graph' '-fdmd-tx-dict-sel' '-fdo-eta-reduction'
 '-funbox-small-strict-fields' '-fomit-interface-pragmas'
 '-fenable-rewrite-rules' '-fstrictness-before=1'
 '-fliberate-case-threshold=2000' '-fcase-merge' '-fspec-constr'
 '-fdmd-tx-dict-sel' '-fno-state-hack' '-fcse' '-fspec-constr-count=3'
 '-funfolding-creation-threshold=750' '-fdicts-strict'
 '-fstrictness-before=1' '-foptimal-applicative-do'
 '-funfolding-use-threshold=60' '-funfolding-keeness-factor=1.5'
 '-fno-opt-coercion' '-fcpr-anal' '-fcpr-anal' '-fspecialise'
 '-fstrictness-before=1' '-fno-opt-coercion' '-fexcess-precision'
 '-ffloat-in' '-fmax-worker-args=10' '-ffull-laziness' '-ffull-laziness'
 '-fmax-inline-alloc-size=128' '-fexcess-precision' '-fliberate-case'
 '-feager-blackholing' '-fmax-inline-memcpy-insns=32'
 '-funbox-strict-fields' '-funfolding-use-threshold=60' '-fspec-constr'
 '-fliberate-case' '-fspecialise' '-ffun-to-thunk' '-fcase-merge'
 '-fvectorise' '-fno-pre-inlining' '-fliberate-case'
 '-fliberate-case-threshold=2000' '-fpedantic-bottoms']",fast,0.323,0.323
7,9b60687b-791e-4600-9af6-baa8cdbf8bed,"['-O0' '-funbox-small-strict-fields' '-floopification' '-fregs-iterative'
 '-fmax-relevant-binds=6' '-fdo-lambda-eta-expansion'
 '-fspec-constr-threshold=2000' '-fcmm-elim-common-blocks'
 '-funfolding-use-threshold=60' '-fcall-arity' '-fcse'
 '-fvectorisation-avoidance' '-fignore-asserts' '-fenable-rewrite-rules'
 '-fregs-iterative' '-funfolding-dict-discount=30'
 '-fmax-inline-alloc-size=128' '-fsimplifier-phases=2'
 '-fsimpl-tick-factor=100' '-fspecialise' '-fcmm-sink' '-floopification'
 '-fno-pre-inlining' '-fdicts-cheap' '-ffun-to-thunk'
 '-fspec-constr-count=3' '-fdo-lambda-eta-expansion' '-fcse'
 '-fstrictness' '-fsimpl-tick-factor=100' '-ffull-laziness' '-fcall-arity'
 '-fcpr-anal' '-fexpose-all-unfoldings' '-fmax-simplifier-iterations=4'
 '-fmax-simplifier-iterations=4' '-fsimplifier-phases=2'
 '-fexcess-precision' '-fcmm-sink' '-fstrictness-before=1'
 '-ffun-to-thunk' '-ffloat-in' '-fdo-eta-reduction' '-fliberate-case'
 '-funbox-small-strict-fields' '-fliberate-case-threshold=2000'
 '-fcmm-sink' '-fignore-interface-pragmas' '-fdicts-strict']",fast,0.323,0.323
8,b3cbeffa-e8d6-4f2b-a13e-da2961667cda,"['-O0' '-fspec-constr-count=3' '-fcmm-elim-common-blocks'
 '-funbox-strict-fields' '-ffull-laziness' '-foptimal-applicative-do'
 '-fsimpl-tick-factor=100' '-funfolding-creation-threshold=750'
 '-fcmm-elim-common-blocks' '-fcase-merge' '-fstrictness'
 '-fmax-inline-memset-insns=32' '-fignore-interface-pragmas'
 '-fno-opt-coercion' '-fdicts-strict' '-fvectorisation-avoidance'
 '-funfolding-creation-threshold=750' '-fpedantic-bottoms' '-fcse'
 '-fstrictness-before=1' '-funfolding-keeness-factor=1.5'
 '-fdmd-tx-dict-sel' '-fliberate-case' '-fspecialise'
 '-fspec-constr-threshold=2000' '-fdicts-cheap' '-funbox-strict-fields'
 '-fenable-rewrite-rules' '-fpedantic-bottoms' '-fcse'
 '-fliberate-case-threshold=2000' '-funfolding-fun-discount=60'
 '-funbox-small-strict-fields' '-fdicts-strict' '-fcall-arity'
 '-funfolding-use-threshold=60' '-fregs-iterative'
 '-funfolding-use-threshold=60' '-fdicts-strict' '-fworker-wrapper'
 '-fomit-interface-pragmas' '-fno-pre-inlining' '-fregs-graph'
 '-fignore-asserts' '-funfolding-use-threshold=60' '-fdicts-cheap'
 '-fcmm-elim-common-blocks' '-floopification' '-fstrictness']",fast,0.327,0.327
9,1744bee5-8012-4e4a-89b0-3d260435a64e,"['-O0' '-funfolding-keeness-factor=1.5' '-fsimplifier-phases=2'
 '-funfolding-dict-discount=30' '-fcase-merge' '-fliberate-case'
 '-fcall-arity' '-fdo-eta-reduction' '-fomit-yields' '-fno-opt-coercion'
 '-fliberate-case' '-fpedantic-bottoms' '-fstrictness' '-floopification'
 '-fignore-interface-pragmas' '-fspec-constr' '-fno-state-hack'
 '-feager-blackholing' '-fcse' '-fregs-graph' '-fdo-lambda-eta-expansion'
 '-fvectorise' '-fliberate-case' '-fmax-inline-alloc-size=128'
 '-fdicts-strict' '-feager-blackholing' '-fmax-inline-alloc-size=128'
 '-fmax-relevant-binds=6' '-fcall-arity' '-fliberate-case'
 '-fspec-constr-threshold=2000' '-fignore-asserts' '-fregs-iterative'
 '-fspec-constr' '-fstrictness-before=1' '-fdo-lambda-eta-expansion'
 '-fstrictness-before=1' '-fno-state-hack' '-funfolding-use-threshold=60'
 '-fsimplifier-phases=2' '-fmax-relevant-binds=6' '-fdicts-cheap'
 '-fmax-worker-args=10' '-ffloat-in' '-fcmm-elim-common-blocks'
 '-fdmd-tx-dict-sel' '-fmax-worker-args=10' '-fenable-rewrite-rules'
 '-fcmm-sink']",fast,0.323,0.323
