,ID,Flags,Mode,Runtime,Elapsed_Time
0,-O0,['-O0'],fast,0.21,0.21
1,-O2,['-O2'],fast,0.209,0.209
2,4f5cc8d7-10ff-4216-b35c-a8586ab253b4,"['-O0' '-fmax-simplifier-iterations=4' '-fregs-iterative'
 '-fmax-relevant-binds=6' '-fignore-interface-pragmas'
 '-funbox-small-strict-fields' '-fdo-eta-reduction' '-ffun-to-thunk'
 '-fmax-simplifier-iterations=4' '-fdo-lambda-eta-expansion'
 '-fdmd-tx-dict-sel' '-flate-dmd-anal' '-funfolding-dict-discount=30'
 '-funbox-small-strict-fields' '-fcall-arity' '-fsimpl-tick-factor=100'
 '-fmax-inline-memcpy-insns=32' '-fcse' '-fspec-constr-threshold=2000'
 '-fsimplifier-phases=2' '-fmax-worker-args=10' '-fpedantic-bottoms'
 '-fdicts-cheap' '-fcpr-anal' '-fstrictness' '-fcpr-anal'
 '-funbox-strict-fields' '-fno-state-hack'
 '-funfolding-creation-threshold=750' '-fmax-relevant-binds=6' '-fcse']",fast,0.21,0.21
3,a22acc1c-e079-446d-b5bd-15916f0b67dd,"['-O0' '-ffun-to-thunk' '-fliberate-case-threshold=2000' '-floopification'
 '-fregs-graph' '-fpedantic-bottoms' '-funfolding-fun-discount=60'
 '-fvectorise' '-fomit-interface-pragmas' '-fmax-relevant-binds=6'
 '-fomit-yields' '-fcase-merge' '-fcall-arity' '-fcse'
 '-fsimplifier-phases=2' '-fmax-inline-memset-insns=32' '-fregs-graph'
 '-fmax-inline-memset-insns=32' '-fomit-interface-pragmas'
 '-feager-blackholing' '-fdicts-strict' '-fno-pre-inlining'
 '-fdmd-tx-dict-sel' '-fmax-inline-alloc-size=128' '-fdmd-tx-dict-sel'
 '-fspec-constr' '-ffun-to-thunk' '-fregs-graph' '-fspec-constr'
 '-floopification' '-fcse']",fast,0.21,0.21
4,12859980-cc5e-43f6-b7de-fad17bbd648c,"['-O0' '-ffull-laziness' '-fdicts-cheap' '-ffloat-in'
 '-fmax-simplifier-iterations=4' '-fcmm-sink' '-fenable-rewrite-rules'
 '-fcase-merge' '-fexcess-precision' '-fomit-yields' '-floopification'
 '-fomit-yields' '-fcase-merge' '-fpedantic-bottoms' '-fworker-wrapper'
 '-flate-dmd-anal' '-fmax-inline-alloc-size=128' '-feager-blackholing'
 '-fmax-relevant-binds=6' '-fmax-relevant-binds=6' '-funbox-strict-fields'
 '-fvectorise' '-funfolding-use-threshold=60' '-fomit-yields'
 '-feager-blackholing' '-fno-state-hack' '-fcpr-anal'
 '-funfolding-creation-threshold=750' '-fliberate-case-threshold=2000'
 '-fmax-relevant-binds=6' '-fsimplifier-phases=2']",fast,0.21,0.21
5,46dc66e7-a76b-4146-853b-a9be830b7c10,"['-O0' '-fmax-relevant-binds=6' '-fspec-constr-threshold=2000'
 '-fdicts-strict' '-fmax-relevant-binds=6' '-funbox-small-strict-fields'
 '-fspec-constr' '-fcase-merge' '-funfolding-dict-discount=30'
 '-fdicts-strict' '-fenable-rewrite-rules' '-ffloat-in' '-fregs-graph'
 '-fvectorise' '-fvectorise' '-funfolding-keeness-factor=1.5'
 '-fcall-arity' '-fdicts-strict' '-fcross-module-specialise'
 '-fmax-worker-args=10' '-fno-pre-inlining' '-fdo-eta-reduction'
 '-fworker-wrapper' '-ffun-to-thunk' '-fliberate-case'
 '-fomit-interface-pragmas' '-flate-dmd-anal' '-fvectorise' '-fregs-graph'
 '-fcpr-anal' '-fliberate-case-threshold=2000']",fast,0.21,0.21
6,4b843b1a-69c3-489e-a2c0-945d24d20492,"['-O0' '-fspec-constr' '-fvectorise' '-fmax-worker-args=10'
 '-fenable-rewrite-rules' '-fexpose-all-unfoldings' '-fliberate-case'
 '-feager-blackholing' '-ffloat-in' '-fomit-yields' '-fregs-iterative'
 '-floopification' '-fcmm-elim-common-blocks' '-ffun-to-thunk'
 '-fmax-inline-alloc-size=128' '-fdicts-cheap'
 '-funfolding-dict-discount=30' '-fmax-inline-memcpy-insns=32'
 '-ffull-laziness' '-fspec-constr' '-fcall-arity' '-fno-pre-inlining'
 '-fmax-simplifier-iterations=4' '-fdicts-cheap' '-ffull-laziness'
 '-fspec-constr-threshold=2000' '-flate-dmd-anal' '-fcase-merge'
 '-feager-blackholing' '-fstrictness-before=1' '-fomit-interface-pragmas']",fast,0.211,0.211
7,f0c18f5f-5fa6-49db-906a-894e2687a8a4,"['-O0' '-fregs-iterative' '-ffull-laziness' '-fcall-arity'
 '-fdo-eta-reduction' '-fvectorisation-avoidance'
 '-funfolding-creation-threshold=750' '-fregs-iterative'
 '-funfolding-keeness-factor=1.5' '-fcase-merge' '-fdo-eta-reduction'
 '-ffloat-in' '-fignore-asserts' '-fstrictness-before=1'
 '-fno-opt-coercion' '-fdicts-strict' '-ffun-to-thunk'
 '-fenable-rewrite-rules' '-funbox-small-strict-fields' '-fspec-constr'
 '-fmax-simplifier-iterations=4' '-funfolding-keeness-factor=1.5'
 '-fmax-inline-memcpy-insns=32' '-funfolding-dict-discount=30'
 '-fmax-simplifier-iterations=4' '-fstrictness' '-fstrictness'
 '-fcmm-elim-common-blocks' '-funfolding-fun-discount=60'
 '-fworker-wrapper' '-fregs-graph']",fast,0.21,0.21
8,97b7fca7-0fcd-41fb-9979-7838947d48fa,"['-O0' '-fspec-constr' '-funfolding-creation-threshold=750'
 '-fvectorisation-avoidance' '-funfolding-keeness-factor=1.5'
 '-fdicts-cheap' '-fmax-inline-alloc-size=128'
 '-funbox-small-strict-fields' '-funbox-strict-fields' '-fstrictness'
 '-funbox-strict-fields' '-fdo-eta-reduction'
 '-fmax-inline-alloc-size=128' '-fno-pre-inlining'
 '-fmax-simplifier-iterations=4' '-funbox-small-strict-fields'
 '-fomit-interface-pragmas' '-fdo-eta-reduction'
 '-fspec-constr-threshold=2000' '-fstrictness' '-fspec-constr'
 '-fvectorisation-avoidance' '-foptimal-applicative-do'
 '-fspec-constr-threshold=2000' '-funbox-small-strict-fields'
 '-funfolding-keeness-factor=1.5' '-fvectorisation-avoidance'
 '-funfolding-creation-threshold=750' '-fcall-arity' '-floopification'
 '-fmax-simplifier-iterations=4']",fast,0.21,0.21
9,11ba4aac-8c53-44f4-80cc-722b96e2fcb5,"['-O0' '-flate-dmd-anal' '-funfolding-use-threshold=60'
 '-fstrictness-before=1' '-fstrictness-before=1'
 '-fmax-inline-alloc-size=128' '-fcross-module-specialise'
 '-fmax-inline-alloc-size=128' '-fstrictness-before=1'
 '-fsimplifier-phases=2' '-fcmm-sink' '-fcmm-elim-common-blocks'
 '-ffloat-in' '-fdmd-tx-dict-sel' '-fregs-graph'
 '-fmax-inline-alloc-size=128' '-fspec-constr-threshold=2000'
 '-fstrictness' '-funfolding-dict-discount=30'
 '-fmax-inline-memcpy-insns=32' '-fmax-relevant-binds=6' '-fdicts-cheap'
 '-fdicts-cheap' '-fliberate-case' '-fenable-rewrite-rules'
 '-fregs-iterative' '-fno-pre-inlining' '-funbox-small-strict-fields'
 '-fliberate-case-threshold=2000' '-ffun-to-thunk' '-flate-dmd-anal']",fast,0.209,0.209
