,ID,Flags,Mode,Runtime,Elapsed_Time
0,-O0,['-O0'],norm,-----,-----
1,-O2,['-O2'],norm,-----,-----
2,dc894b75-08f2-4248-a954-2968475e7670,"['-O0' '-fmax-inline-memset-insns=32' '-fno-state-hack' '-floopification'
 '-fstrictness' '-fspec-constr-threshold=2000' '-foptimal-applicative-do']",norm,-----,-----
3,fed5f7ca-f6af-46ae-a72b-f21449c6d5e1,"['-O0' '-fcpr-anal' '-funbox-small-strict-fields' '-funbox-strict-fields'
 '-fspecialise' '-fworker-wrapper' '-fmax-simplifier-iterations=4']",norm,-----,-----
4,17d3af83-3b37-49e3-a798-6f793b6d8dd9,"['-O0' '-fregs-iterative' '-fstrictness-before=1' '-fomit-yields'
 '-fdmd-tx-dict-sel' '-fexcess-precision' '-fcmm-sink']",norm,-----,-----
5,b5fe41b3-c86d-4e6d-a8bb-25c847f67042,"['-O0' '-fregs-graph' '-fno-pre-inlining' '-fstrictness-before=1'
 '-fignore-interface-pragmas' '-feager-blackholing' '-fcase-merge']",norm,-----,-----
6,63eedf91-de8a-4695-a3d3-b72f8c84dd6c,"['-O0' '-fmax-inline-alloc-size=128' '-fdicts-strict'
 '-fmax-simplifier-iterations=4' '-fdicts-cheap' '-fexcess-precision'
 '-fpedantic-bottoms']",norm,-----,-----
7,dd6c981c-04f1-4d8d-b2d2-f00670129970,"['-O0' '-fmax-simplifier-iterations=4' '-fcmm-elim-common-blocks'
 '-funfolding-fun-discount=60' '-fdicts-cheap' '-fpedantic-bottoms'
 '-feager-blackholing']",norm,-----,-----
8,ab2fe6ee-d788-4b3e-8500-b9933cbaa334,"['-O0' '-foptimal-applicative-do' '-fcall-arity' '-ffun-to-thunk'
 '-funfolding-creation-threshold=750' '-floopification' '-fcall-arity']",norm,-----,-----
9,b15a8a04-61c1-44bc-bfd1-10dcd0e2cfbd,"['-O0' '-fstrictness' '-fexpose-all-unfoldings' '-fspec-constr'
 '-fcmm-sink' '-fspecialise' '-fcmm-elim-common-blocks']",norm,-----,-----
10,e4c8daee-99dd-43c7-a837-a9904e65075f,"['-O0' '-fignore-asserts' '-floopification' '-flate-dmd-anal'
 '-fdo-eta-reduction' '-funbox-strict-fields' '-fliberate-case']",norm,-----,-----
11,d137a68b-ecda-4a47-aef4-31919155b503,"['-O0' '-funfolding-fun-discount=60' '-fignore-interface-pragmas'
 '-funfolding-creation-threshold=750' '-fmax-relevant-binds=6'
 '-fcall-arity' '-fenable-rewrite-rules']",norm,-----,-----
12,e3bff3e0-74dd-4219-8d20-574de9f196ff,"['-O0' '-funfolding-use-threshold=60' '-fstatic-argument-transformation'
 '-fstatic-argument-transformation' '-fexpose-all-unfoldings'
 '-fignore-asserts' '-funfolding-keeness-factor=1.5']",norm,-----,-----
13,674bd930-925a-48e9-8a94-aa8c3855a847,"['-O0' '-fstrictness-before=1' '-fdo-lambda-eta-expansion'
 '-funfolding-fun-discount=60' '-fexcess-precision' '-fno-pre-inlining'
 '-fignore-interface-pragmas']",norm,-----,-----
14,88619c88-34c3-49d1-903c-b8224edae7df,"['-O0' '-fmax-worker-args=10' '-funfolding-dict-discount=30' '-fcse'
 '-funfolding-creation-threshold=750' '-fcmm-sink'
 '-fmax-inline-alloc-size=128']",norm,-----,-----
15,ef09d1f1-2607-4723-b744-fe1471418c58,"['-O0' '-fstrictness-before=1' '-fsimpl-tick-factor=100'
 '-fdmd-tx-dict-sel' '-fenable-rewrite-rules'
 '-fmax-inline-memcpy-insns=32' '-funfolding-dict-discount=30']",norm,-----,-----
16,b319dcf8-4268-4e3a-aa2f-77aeac6392b1,"['-O0' '-fvectorise' '-ffull-laziness' '-fexpose-all-unfoldings'
 '-fspecialise' '-fpedantic-bottoms' '-fmax-relevant-binds=6']",norm,-----,-----
