,ID,Flags,Mode,Runtime,Elapsed_Time
0,-O0,['-O0'],norm,6.994,6.994
1,-O2,['-O2'],norm,7.017,7.017
2,9ea36d9f-fe6e-4331-ac49-33c7bcb6dc52,"['-O0' '-funfolding-dict-discount=30' '-fcpr-anal'
 '-fsimpl-tick-factor=100' '-fmax-simplifier-iterations=4'
 '-fstatic-argument-transformation' '-ffull-laziness'
 '-fexpose-all-unfoldings' '-fsimplifier-phases=2' '-fcmm-sink'
 '-fmax-inline-memset-insns=32' '-fregs-graph' '-fomit-interface-pragmas'
 '-fsimplifier-phases=2' '-funfolding-keeness-factor=1.5' '-fdicts-cheap'
 '-fmax-inline-memcpy-insns=32' '-feager-blackholing'
 '-funbox-strict-fields' '-funfolding-use-threshold=60' '-fliberate-case'
 '-feager-blackholing' '-funfolding-creation-threshold=750'
 '-foptimal-applicative-do' '-fmax-inline-alloc-size=128'
 '-fspec-constr-count=3' '-fsimplifier-phases=2' '-fcpr-anal'
 '-fno-opt-coercion' '-fvectorisation-avoidance'
 '-fdo-lambda-eta-expansion' '-fmax-simplifier-iterations=4'
 '-feager-blackholing' '-fmax-inline-memset-insns=32']",norm,6.999,6.999
3,e4e8d0c8-efb1-4d32-ad58-d92570b0bc15,"['-O0' '-fcpr-anal' '-funfolding-fun-discount=60' '-fdo-eta-reduction'
 '-funfolding-dict-discount=30' '-fno-state-hack' '-fregs-graph'
 '-fspecialise' '-fno-opt-coercion' '-fliberate-case' '-fignore-asserts'
 '-funfolding-fun-discount=60' '-fenable-rewrite-rules' '-fcpr-anal'
 '-funfolding-fun-discount=60' '-fcall-arity' '-fsimpl-tick-factor=100'
 '-floopification' '-fdicts-strict' '-fcmm-elim-common-blocks'
 '-ffun-to-thunk' '-funbox-strict-fields' '-fexcess-precision'
 '-fdmd-tx-dict-sel' '-fcase-merge' '-fliberate-case-threshold=2000'
 '-fspec-constr-threshold=2000' '-fomit-yields' '-fstrictness-before=1'
 '-funfolding-use-threshold=60' '-fcross-module-specialise'
 '-funfolding-creation-threshold=750' '-fspecialise' '-fno-pre-inlining']",norm,6.957,6.957
4,efafc0b1-9a36-421b-9674-d5d0f1a2a724,"['-O0' '-funbox-small-strict-fields' '-floopification'
 '-fstatic-argument-transformation' '-fvectorisation-avoidance'
 '-fspec-constr-count=3' '-fomit-interface-pragmas'
 '-funbox-small-strict-fields' '-funfolding-use-threshold=60'
 '-fspec-constr-threshold=2000' '-fregs-graph' '-ffloat-in'
 '-funfolding-dict-discount=30' '-fmax-simplifier-iterations=4'
 '-floopification' '-flate-dmd-anal' '-funbox-small-strict-fields'
 '-foptimal-applicative-do' '-fstrictness-before=1'
 '-fspec-constr-threshold=2000' '-fmax-inline-alloc-size=128'
 '-fcall-arity' '-fliberate-case-threshold=2000' '-fspecialise'
 '-fignore-asserts' '-fdo-lambda-eta-expansion' '-floopification'
 '-fmax-relevant-binds=6' '-fregs-iterative' '-fignore-asserts'
 '-fspec-constr-threshold=2000' '-ffun-to-thunk'
 '-fmax-inline-memcpy-insns=32' '-fsimpl-tick-factor=100']",norm,6.967,6.967
5,6780aa7e-48ac-470a-9db7-a36cd1d9367c,"['-O0' '-funbox-small-strict-fields' '-fdo-lambda-eta-expansion'
 '-fcpr-anal' '-funfolding-dict-discount=30' '-fsimpl-tick-factor=100'
 '-fspec-constr-count=3' '-ffloat-in' '-fdicts-strict'
 '-fstatic-argument-transformation' '-funbox-strict-fields'
 '-fignore-interface-pragmas' '-fmax-inline-memset-insns=32' '-fcse'
 '-fworker-wrapper' '-fexcess-precision' '-ffull-laziness' '-fomit-yields'
 '-funfolding-fun-discount=60' '-fmax-inline-alloc-size=128'
 '-fstrictness' '-funfolding-use-threshold=60'
 '-fstatic-argument-transformation' '-fdo-eta-reduction'
 '-fignore-asserts' '-fexcess-precision' '-fregs-iterative'
 '-fomit-interface-pragmas' '-fcall-arity' '-fno-opt-coercion'
 '-funbox-strict-fields' '-floopification' '-fno-pre-inlining'
 '-fcpr-anal']",norm,7.002,7.002
6,ccecc77c-b295-4555-a36d-e7d7577b2019,"['-O0' '-fdicts-strict' '-fexcess-precision' '-flate-dmd-anal'
 '-fexpose-all-unfoldings' '-fcmm-sink' '-fcse' '-fno-pre-inlining'
 '-fdicts-cheap' '-fexpose-all-unfoldings' '-funfolding-fun-discount=60'
 '-fcall-arity' '-fliberate-case' '-fcall-arity'
 '-fcmm-elim-common-blocks' '-fdo-eta-reduction' '-fcall-arity'
 '-fmax-relevant-binds=6' '-fmax-simplifier-iterations=4'
 '-fmax-relevant-binds=6' '-fmax-inline-alloc-size=128'
 '-fspec-constr-threshold=2000' '-fcase-merge' '-fignore-asserts'
 '-fomit-interface-pragmas' '-fmax-relevant-binds=6' '-fstrictness'
 '-ffull-laziness' '-fcpr-anal' '-funfolding-use-threshold=60'
 '-fsimplifier-phases=2' '-ffun-to-thunk' '-fcall-arity' '-fdicts-strict']",norm,6.949,6.949
7,fa9a6919-aebb-4d65-b744-6580b90c50f4,"['-O0' '-ffull-laziness' '-fomit-yields'
 '-funfolding-creation-threshold=750' '-fcpr-anal' '-fcase-merge'
 '-fstatic-argument-transformation' '-fmax-relevant-binds=6'
 '-fdmd-tx-dict-sel' '-fstrictness-before=1'
 '-funfolding-use-threshold=60' '-fstatic-argument-transformation'
 '-ffloat-in' '-funfolding-fun-discount=60' '-funfolding-use-threshold=60'
 '-fdo-eta-reduction' '-fliberate-case' '-fignore-asserts'
 '-flate-dmd-anal' '-fomit-yields' '-fno-pre-inlining' '-fregs-iterative'
 '-fstrictness' '-fno-pre-inlining' '-fworker-wrapper'
 '-fexcess-precision' '-fspec-constr' '-fvectorisation-avoidance'
 '-fcmm-sink' '-fenable-rewrite-rules' '-fcross-module-specialise'
 '-fregs-iterative' '-fmax-inline-memcpy-insns=32' '-fregs-iterative']",norm,6.909,6.909
8,a6292489-9b6b-4102-8fc3-2de2c7b68672,"['-O0' '-funbox-small-strict-fields' '-fspec-constr-count=3'
 '-fignore-interface-pragmas' '-fdicts-cheap' '-fno-state-hack'
 '-funbox-small-strict-fields' '-funfolding-use-threshold=60'
 '-fmax-relevant-binds=6' '-fstrictness' '-funbox-strict-fields'
 '-fliberate-case-threshold=2000' '-fcpr-anal' '-foptimal-applicative-do'
 '-fspecialise' '-fcse' '-flate-dmd-anal' '-funfolding-fun-discount=60'
 '-funfolding-dict-discount=30' '-ffull-laziness'
 '-funfolding-keeness-factor=1.5' '-fdicts-cheap' '-fpedantic-bottoms'
 '-foptimal-applicative-do' '-fsimplifier-phases=2' '-fstrictness'
 '-fsimpl-tick-factor=100' '-fomit-yields'
 '-funfolding-creation-threshold=750' '-fomit-interface-pragmas'
 '-fdicts-cheap' '-funfolding-creation-threshold=750' '-fpedantic-bottoms'
 '-fdo-eta-reduction']",norm,7.082,7.082
9,7871beeb-ab8e-469f-b099-97ae30395850,"['-O0' '-fliberate-case' '-fdo-lambda-eta-expansion'
 '-fliberate-case-threshold=2000' '-fno-pre-inlining'
 '-fmax-worker-args=10' '-fstrictness-before=1' '-fregs-iterative'
 '-fspec-constr-count=3' '-fdicts-cheap' '-funfolding-dict-discount=30'
 '-fvectorisation-avoidance' '-funfolding-dict-discount=30'
 '-fdo-lambda-eta-expansion' '-fpedantic-bottoms'
 '-funbox-small-strict-fields' '-fmax-inline-alloc-size=128'
 '-foptimal-applicative-do' '-fcase-merge' '-fregs-graph'
 '-fworker-wrapper' '-fignore-interface-pragmas' '-fmax-relevant-binds=6'
 '-fdicts-strict' '-fregs-graph' '-fvectorisation-avoidance'
 '-fspec-constr' '-fregs-iterative' '-fliberate-case' '-fvectorise'
 '-fliberate-case' '-fregs-graph' '-fdicts-cheap' '-fstrictness-before=1']",norm,7.065,7.065
