,ID,Flags,Mode,Runtime,Elapsed_Time
0,-O0,['-O0'],norm,,
1,-O2,['-O2'],norm,,
2,e45d9fbf-38b1-490a-85fb-c15a43ea6cf3,"['-O0' '-fcmm-sink' '-fvectorisation-avoidance' '-fregs-graph'
 '-fliberate-case-threshold=2000' '-fmax-simplifier-iterations=4'
 '-fcase-merge' '-fno-opt-coercion' '-funfolding-dict-discount=30'
 '-ffloat-in' '-fdmd-tx-dict-sel' '-feager-blackholing' '-fno-state-hack'
 '-fvectorisation-avoidance' '-fmax-inline-memset-insns=32'
 '-fomit-interface-pragmas' '-funfolding-keeness-factor=1.5' '-fcpr-anal'
 '-fdo-lambda-eta-expansion' '-funfolding-dict-discount=30'
 '-fworker-wrapper' '-fdo-eta-reduction' '-fliberate-case-threshold=2000'
 '-fvectorise' '-fignore-interface-pragmas' '-fworker-wrapper'
 '-funfolding-dict-discount=30' '-fcse' '-fmax-worker-args=10'
 '-fworker-wrapper' '-fcse' '-fliberate-case' '-fdo-eta-reduction'
 '-floopification' '-ffull-laziness' '-fignore-interface-pragmas'
 '-fignore-interface-pragmas' '-fomit-yields' '-foptimal-applicative-do'
 '-fcse' '-fignore-asserts' '-fignore-interface-pragmas' '-fdicts-strict'
 '-fsimpl-tick-factor=100' '-funfolding-creation-threshold=750'
 '-fvectorise' '-fmax-inline-alloc-size=128' '-foptimal-applicative-do'
 '-fstrictness']",norm,,
3,64a57f7d-becf-44ab-9a84-a263bd8879c2,"['-O0' '-fignore-interface-pragmas' '-fmax-worker-args=10'
 '-feager-blackholing' '-fmax-inline-memset-insns=32' '-fno-pre-inlining'
 '-fmax-inline-memcpy-insns=32' '-fpedantic-bottoms'
 '-foptimal-applicative-do' '-fdicts-cheap' '-fsimplifier-phases=2'
 '-fcase-merge' '-funfolding-keeness-factor=1.5'
 '-fomit-interface-pragmas' '-fno-state-hack' '-funbox-strict-fields'
 '-fdo-eta-reduction' '-flate-dmd-anal' '-ffun-to-thunk'
 '-fenable-rewrite-rules' '-fmax-inline-memcpy-insns=32'
 '-fsimplifier-phases=2' '-funfolding-fun-discount=60'
 '-foptimal-applicative-do' '-fexcess-precision' '-fliberate-case'
 '-fno-opt-coercion' '-fpedantic-bottoms' '-fspec-constr' '-ffloat-in'
 '-fspec-constr-threshold=2000' '-flate-dmd-anal'
 '-fspec-constr-threshold=2000' '-fno-pre-inlining' '-fno-opt-coercion'
 '-fdo-lambda-eta-expansion' '-fspecialise' '-fcall-arity' '-fcmm-sink'
 '-fstrictness' '-funfolding-creation-threshold=750'
 '-fmax-relevant-binds=6' '-fcross-module-specialise'
 '-fliberate-case-threshold=2000' '-funfolding-use-threshold=60'
 '-fdicts-cheap' '-fno-state-hack' '-funfolding-dict-discount=30'
 '-fdo-eta-reduction']",norm,,
4,9475080a-4c65-4944-89a7-4ff756d55a73,"['-O0' '-fliberate-case-threshold=2000' '-fcall-arity'
 '-fstrictness-before=1' '-fsimplifier-phases=2' '-fcmm-sink'
 '-fcross-module-specialise' '-fno-pre-inlining' '-feager-blackholing'
 '-feager-blackholing' '-fdicts-cheap' '-fcpr-anal' '-fregs-graph'
 '-fworker-wrapper' '-fno-pre-inlining' '-fmax-inline-memset-insns=32'
 '-fmax-relevant-binds=6' '-fcmm-elim-common-blocks' '-fcase-merge'
 '-fspecialise' '-funfolding-fun-discount=60' '-fomit-interface-pragmas'
 '-ffun-to-thunk' '-fspec-constr-threshold=2000'
 '-fliberate-case-threshold=2000' '-ffull-laziness' '-fspec-constr'
 '-fdicts-strict' '-fworker-wrapper' '-fliberate-case'
 '-funfolding-fun-discount=60' '-fmax-simplifier-iterations=4'
 '-fmax-inline-memset-insns=32' '-fdicts-cheap' '-ffun-to-thunk'
 '-fspec-constr-count=3' '-fstrictness' '-fliberate-case'
 '-fspec-constr-threshold=2000' '-fmax-inline-memset-insns=32'
 '-fignore-interface-pragmas' '-fmax-inline-alloc-size=128'
 '-fdo-lambda-eta-expansion' '-fmax-relevant-binds=6'
 '-funfolding-keeness-factor=1.5' '-fregs-graph'
 '-fmax-inline-alloc-size=128' '-fcmm-elim-common-blocks'
 '-fignore-asserts']",norm,,
5,4c3ca7d2-9ed1-4f9e-bbdf-c8ff65e60fc5,"['-O0' '-funfolding-fun-discount=60' '-fmax-inline-alloc-size=128' '-fcse'
 '-fspecialise' '-funfolding-use-threshold=60' '-fdo-eta-reduction'
 '-fmax-simplifier-iterations=4' '-fno-state-hack'
 '-fcmm-elim-common-blocks' '-fpedantic-bottoms' '-fstrictness'
 '-floopification' '-fdicts-strict' '-fmax-inline-alloc-size=128'
 '-fregs-iterative' '-fignore-asserts' '-fvectorisation-avoidance'
 '-funbox-small-strict-fields' '-fomit-yields'
 '-funfolding-dict-discount=30' '-fmax-inline-memcpy-insns=32'
 '-fdmd-tx-dict-sel' '-fdo-eta-reduction' '-fvectorisation-avoidance'
 '-funbox-strict-fields' '-fregs-iterative' '-fcross-module-specialise'
 '-fignore-asserts' '-fregs-iterative' '-fignore-asserts' '-fregs-graph'
 '-funbox-small-strict-fields' '-ffun-to-thunk'
 '-fcross-module-specialise' '-foptimal-applicative-do'
 '-fexpose-all-unfoldings' '-fignore-asserts' '-fcpr-anal'
 '-fdmd-tx-dict-sel' '-ffull-laziness' '-fregs-graph'
 '-fstrictness-before=1' '-ffull-laziness' '-fignore-interface-pragmas'
 '-fmax-inline-alloc-size=128' '-fstatic-argument-transformation'
 '-fvectorise' '-fcpr-anal']",norm,,
6,53c37f34-4b7f-415e-8492-a729d121731c,"['-O0' '-fcall-arity' '-fmax-simplifier-iterations=4'
 '-funfolding-fun-discount=60' '-fspecialise' '-fstrictness'
 '-fdicts-strict' '-fmax-worker-args=10' '-ffloat-in' '-fdicts-strict'
 '-fdicts-cheap' '-fsimplifier-phases=2' '-fspec-constr'
 '-fexcess-precision' '-fstrictness' '-fstrictness' '-fno-state-hack'
 '-fstrictness-before=1' '-funfolding-creation-threshold=750'
 '-fexpose-all-unfoldings' '-fmax-worker-args=10' '-flate-dmd-anal'
 '-ffull-laziness' '-fcpr-anal' '-fomit-interface-pragmas' '-fregs-graph'
 '-fliberate-case' '-fsimplifier-phases=2' '-fdicts-cheap'
 '-funfolding-creation-threshold=750' '-fvectorisation-avoidance'
 '-fcpr-anal' '-funfolding-dict-discount=30' '-fmax-inline-alloc-size=128'
 '-funfolding-keeness-factor=1.5' '-fstatic-argument-transformation'
 '-fdmd-tx-dict-sel' '-fcmm-elim-common-blocks' '-fcmm-sink'
 '-fdicts-cheap' '-funfolding-dict-discount=30' '-fregs-iterative'
 '-fcmm-elim-common-blocks' '-fsimpl-tick-factor=100' '-fdicts-strict'
 '-ffun-to-thunk' '-fdicts-cheap' '-fsimpl-tick-factor=100'
 '-fstatic-argument-transformation']",norm,,
7,6ffcaf70-a912-4855-9ef2-cf83c67c4167,"['-O0' '-fmax-inline-memset-insns=32' '-fno-pre-inlining'
 '-funfolding-fun-discount=60' '-fsimpl-tick-factor=100'
 '-fmax-worker-args=10' '-fmax-simplifier-iterations=4'
 '-funfolding-fun-discount=60' '-fno-state-hack' '-fexcess-precision'
 '-fvectorise' '-fno-pre-inlining' '-fregs-graph' '-fregs-graph'
 '-fmax-inline-memset-insns=32' '-fdicts-cheap' '-fworker-wrapper'
 '-fsimplifier-phases=2' '-fcse' '-ffun-to-thunk'
 '-funfolding-creation-threshold=750' '-fmax-inline-alloc-size=128'
 '-fdmd-tx-dict-sel' '-floopification' '-fno-state-hack'
 '-funbox-strict-fields' '-fcase-merge' '-ffloat-in' '-flate-dmd-anal'
 '-fdo-eta-reduction' '-fdo-lambda-eta-expansion' '-fexcess-precision'
 '-fmax-simplifier-iterations=4' '-fdicts-strict'
 '-funfolding-creation-threshold=750' '-fliberate-case-threshold=2000'
 '-fstatic-argument-transformation' '-fworker-wrapper' '-floopification'
 '-fspec-constr-threshold=2000' '-fcmm-elim-common-blocks'
 '-fdo-lambda-eta-expansion' '-fpedantic-bottoms'
 '-funfolding-dict-discount=30' '-fcall-arity' '-fvectorisation-avoidance'
 '-feager-blackholing' '-fcpr-anal' '-fexcess-precision']",norm,,
8,86ce1547-5ae1-4daa-885a-685602d2974b,"['-O0' '-fcpr-anal' '-fpedantic-bottoms' '-fspec-constr-count=3'
 '-fdo-eta-reduction' '-fignore-asserts' '-fliberate-case'
 '-ffull-laziness' '-fdo-lambda-eta-expansion'
 '-fstatic-argument-transformation' '-fcross-module-specialise'
 '-fdicts-strict' '-fmax-simplifier-iterations=4'
 '-funfolding-use-threshold=60' '-fstrictness' '-fsimpl-tick-factor=100'
 '-fregs-iterative' '-ffun-to-thunk' '-funbox-small-strict-fields'
 '-fexcess-precision' '-fno-pre-inlining' '-fcross-module-specialise'
 '-fstrictness' '-fliberate-case-threshold=2000' '-fomit-yields'
 '-funfolding-use-threshold=60' '-fcall-arity' '-ffull-laziness'
 '-fworker-wrapper' '-funfolding-keeness-factor=1.5'
 '-funbox-strict-fields' '-fspec-constr' '-fregs-graph'
 '-foptimal-applicative-do' '-funfolding-creation-threshold=750'
 '-fno-opt-coercion' '-fmax-inline-memcpy-insns=32' '-fcmm-sink'
 '-fmax-simplifier-iterations=4' '-ffull-laziness' '-fdicts-strict'
 '-fmax-simplifier-iterations=4' '-fcse' '-fignore-asserts' '-fspecialise'
 '-fcmm-sink' '-fmax-relevant-binds=6' '-fenable-rewrite-rules'
 '-fspec-constr-count=3']",norm,,
9,30f6a819-faa0-4c58-9772-85739e85f5c9,"['-O0' '-fliberate-case' '-fvectorisation-avoidance' '-flate-dmd-anal'
 '-fexcess-precision' '-fspec-constr-threshold=2000' '-fliberate-case'
 '-fdo-eta-reduction' '-fdo-lambda-eta-expansion' '-fdmd-tx-dict-sel'
 '-fmax-inline-memcpy-insns=32' '-fignore-asserts' '-fstrictness-before=1'
 '-fenable-rewrite-rules' '-fpedantic-bottoms' '-fcmm-sink'
 '-fliberate-case-threshold=2000' '-fenable-rewrite-rules'
 '-ffull-laziness' '-fliberate-case-threshold=2000' '-fspecialise'
 '-fliberate-case' '-fenable-rewrite-rules' '-fstrictness'
 '-fspec-constr-threshold=2000' '-fno-pre-inlining' '-fdmd-tx-dict-sel'
 '-fspec-constr' '-fregs-iterative' '-fmax-relevant-binds=6'
 '-fignore-interface-pragmas' '-fmax-inline-memset-insns=32'
 '-funfolding-use-threshold=60' '-feager-blackholing' '-fworker-wrapper'
 '-funfolding-creation-threshold=750' '-fno-state-hack'
 '-fmax-simplifier-iterations=4' '-fdicts-strict' '-fignore-asserts'
 '-fstrictness-before=1' '-fregs-graph' '-fdo-eta-reduction'
 '-fexcess-precision' '-fspec-constr-threshold=2000'
 '-funbox-strict-fields' '-fno-pre-inlining'
 '-fliberate-case-threshold=2000' '-fcmm-sink']",norm,,
