,ID,Flags,Mode,Runtime,Elapsed_Time
0,-O0,['-O0'],norm,1.76,1.76
1,-O2,['-O2'],norm,1.734,1.734
2,5eb583b8-660c-4a86-9c98-48e26783d9f3,"['-O0' '-fdo-eta-reduction' '-foptimal-applicative-do'
 '-fmax-simplifier-iterations=4' '-fliberate-case-threshold=2000'
 '-fomit-interface-pragmas' '-fenable-rewrite-rules'
 '-funfolding-creation-threshold=750' '-fno-pre-inlining'
 '-fno-opt-coercion' '-fspec-constr-count=3' '-fignore-asserts'
 '-fstatic-argument-transformation' '-fstrictness' '-funbox-strict-fields'
 '-fsimplifier-phases=2' '-fstrictness-before=1' '-ffull-laziness'
 '-fcall-arity' '-fcmm-elim-common-blocks' '-fomit-yields'
 '-fstrictness-before=1' '-fmax-simplifier-iterations=4'
 '-fno-pre-inlining' '-funfolding-use-threshold=60'
 '-fspec-constr-threshold=2000' '-fdicts-cheap' '-flate-dmd-anal'
 '-fvectorise' '-fno-opt-coercion' '-fliberate-case-threshold=2000'
 '-fspecialise' '-fmax-inline-memset-insns=32' '-fcase-merge'
 '-funfolding-dict-discount=30' '-fsimpl-tick-factor=100'
 '-fomit-interface-pragmas' '-fworker-wrapper'
 '-fspec-constr-threshold=2000' '-fpedantic-bottoms' '-fcase-merge'
 '-fdmd-tx-dict-sel' '-flate-dmd-anal' '-fdo-eta-reduction' '-fcase-merge'
 '-fmax-inline-memset-insns=32' '-floopification']",norm,1.771,1.771
3,895b97c9-5ab3-4a92-a940-9dfda7015aad,"['-O0' '-fmax-inline-memcpy-insns=32' '-fignore-asserts'
 '-fcmm-elim-common-blocks' '-fspec-constr-threshold=2000'
 '-funfolding-use-threshold=60' '-flate-dmd-anal' '-fno-state-hack'
 '-foptimal-applicative-do' '-funfolding-dict-discount=30'
 '-funfolding-creation-threshold=750' '-fmax-inline-memset-insns=32'
 '-fmax-inline-alloc-size=128' '-fignore-asserts' '-fcase-merge'
 '-feager-blackholing' '-fstatic-argument-transformation'
 '-fno-opt-coercion' '-fliberate-case' '-fmax-inline-memcpy-insns=32'
 '-foptimal-applicative-do' '-fdo-eta-reduction' '-ffloat-in'
 '-flate-dmd-anal' '-fregs-graph' '-fcross-module-specialise'
 '-fmax-simplifier-iterations=4' '-fno-opt-coercion' '-fdmd-tx-dict-sel'
 '-fstrictness-before=1' '-floopification' '-fno-opt-coercion'
 '-flate-dmd-anal' '-fdicts-strict' '-fdo-eta-reduction' '-fcpr-anal'
 '-fcase-merge' '-floopification' '-fcpr-anal' '-fcall-arity'
 '-funbox-small-strict-fields' '-fworker-wrapper' '-funbox-strict-fields'
 '-fdo-lambda-eta-expansion' '-fspecialise' '-fexpose-all-unfoldings'
 '-fregs-iterative']",norm,1.778,1.778
4,e4c1273e-81b0-47f4-aee5-1eb221f63a1f,"['-O0' '-funfolding-creation-threshold=750' '-fcpr-anal'
 '-fmax-simplifier-iterations=4' '-fstatic-argument-transformation'
 '-fliberate-case-threshold=2000' '-feager-blackholing' '-fstrictness'
 '-funbox-strict-fields' '-fspec-constr-threshold=2000' '-ffull-laziness'
 '-fspec-constr-threshold=2000' '-fdicts-cheap'
 '-funbox-small-strict-fields' '-fspec-constr-count=3'
 '-funfolding-fun-discount=60' '-fdicts-cheap' '-fmax-worker-args=10'
 '-fdo-eta-reduction' '-funbox-strict-fields'
 '-fmax-inline-alloc-size=128' '-fno-pre-inlining'
 '-fmax-inline-alloc-size=128' '-fmax-worker-args=10'
 '-funbox-small-strict-fields' '-ffloat-in' '-fspec-constr' '-fcse'
 '-funbox-strict-fields' '-fomit-interface-pragmas' '-fno-pre-inlining'
 '-fregs-iterative' '-fomit-yields' '-fenable-rewrite-rules'
 '-fspec-constr-threshold=2000' '-fmax-inline-memcpy-insns=32'
 '-fvectorisation-avoidance' '-fcross-module-specialise'
 '-fno-pre-inlining' '-fcall-arity' '-fexpose-all-unfoldings'
 '-fomit-interface-pragmas' '-flate-dmd-anal' '-fexpose-all-unfoldings'
 '-fsimpl-tick-factor=100' '-fregs-iterative' '-foptimal-applicative-do']",norm,1.775,1.775
5,8bc5ea17-6f0f-4d41-ab67-d0ebb57ab206,"['-O0' '-fstrictness-before=1' '-funfolding-keeness-factor=1.5'
 '-fsimplifier-phases=2' '-flate-dmd-anal' '-floopification'
 '-flate-dmd-anal' '-ffloat-in' '-fcmm-elim-common-blocks' '-fcall-arity'
 '-fspec-constr-count=3' '-fcse' '-fregs-iterative'
 '-foptimal-applicative-do' '-funfolding-dict-discount=30' '-fcmm-sink'
 '-fregs-graph' '-fmax-inline-alloc-size=128' '-feager-blackholing'
 '-fsimplifier-phases=2' '-fliberate-case' '-fstrictness'
 '-funfolding-creation-threshold=750' '-fmax-inline-alloc-size=128'
 '-fcross-module-specialise' '-fvectorise' '-feager-blackholing'
 '-floopification' '-feager-blackholing' '-foptimal-applicative-do'
 '-fdicts-cheap' '-fexcess-precision' '-foptimal-applicative-do'
 '-feager-blackholing' '-foptimal-applicative-do' '-fignore-asserts'
 '-fno-opt-coercion' '-fvectorise' '-fignore-asserts'
 '-fdo-lambda-eta-expansion' '-fdicts-cheap'
 '-fmax-simplifier-iterations=4' '-fmax-simplifier-iterations=4'
 '-fspecialise' '-funbox-strict-fields' '-fomit-yields'
 '-fsimpl-tick-factor=100']",norm,1.825,1.825
6,36e6444f-c157-43ac-a2ef-083abda99f66,"['-O0' '-feager-blackholing' '-fstatic-argument-transformation'
 '-fenable-rewrite-rules' '-fignore-interface-pragmas'
 '-funfolding-creation-threshold=750' '-fcmm-sink' '-fliberate-case'
 '-fexpose-all-unfoldings' '-fstrictness-before=1' '-fregs-graph'
 '-fenable-rewrite-rules' '-funbox-strict-fields' '-ffloat-in'
 '-fexpose-all-unfoldings' '-fspecialise' '-fcmm-elim-common-blocks'
 '-fmax-inline-memset-insns=32' '-funbox-strict-fields' '-fno-state-hack'
 '-fdmd-tx-dict-sel' '-fexpose-all-unfoldings' '-feager-blackholing'
 '-fdo-lambda-eta-expansion' '-foptimal-applicative-do'
 '-fexcess-precision' '-fexcess-precision' '-fexcess-precision'
 '-fstrictness' '-ffloat-in' '-foptimal-applicative-do' '-flate-dmd-anal'
 '-fno-pre-inlining' '-fstatic-argument-transformation'
 '-fmax-simplifier-iterations=4' '-fmax-inline-memset-insns=32'
 '-funbox-strict-fields' '-fexpose-all-unfoldings' '-fno-pre-inlining'
 '-fmax-worker-args=10' '-fmax-simplifier-iterations=4'
 '-fenable-rewrite-rules' '-fregs-iterative' '-ffloat-in'
 '-fenable-rewrite-rules' '-fexpose-all-unfoldings' '-fdicts-strict']",norm,1.738,1.738
7,5c700d74-6cfa-4d9f-8241-ad6ed07395c0,"['-O0' '-fregs-iterative' '-fno-opt-coercion' '-fmax-worker-args=10'
 '-fdo-lambda-eta-expansion' '-fomit-yields' '-fexpose-all-unfoldings'
 '-fstrictness-before=1' '-fcmm-sink' '-fcall-arity'
 '-fstatic-argument-transformation' '-fliberate-case'
 '-fexpose-all-unfoldings' '-fliberate-case-threshold=2000'
 '-fcross-module-specialise' '-fstrictness' '-fdicts-cheap'
 '-fdo-lambda-eta-expansion' '-fcmm-elim-common-blocks'
 '-fcross-module-specialise' '-fsimpl-tick-factor=100'
 '-fstrictness-before=1' '-fcross-module-specialise' '-fpedantic-bottoms'
 '-fregs-graph' '-foptimal-applicative-do' '-fspec-constr-threshold=2000'
 '-fcmm-sink' '-fstrictness' '-fmax-simplifier-iterations=4'
 '-fignore-interface-pragmas' '-fmax-inline-memcpy-insns=32'
 '-fomit-yields' '-flate-dmd-anal' '-fcse' '-ffun-to-thunk'
 '-fsimpl-tick-factor=100' '-funfolding-use-threshold=60'
 '-fvectorisation-avoidance' '-fmax-inline-memcpy-insns=32' '-ffloat-in'
 '-fliberate-case' '-floopification' '-fexpose-all-unfoldings'
 '-fenable-rewrite-rules' '-fdo-eta-reduction' '-foptimal-applicative-do']",norm,1.755,1.755
8,b78b6883-97c6-4b96-ab21-23c6f9bd6529,"['-O0' '-fmax-worker-args=10' '-fspec-constr'
 '-funfolding-use-threshold=60' '-feager-blackholing'
 '-fspec-constr-threshold=2000' '-fspecialise' '-fsimplifier-phases=2'
 '-fregs-iterative' '-fvectorisation-avoidance' '-fdicts-strict'
 '-fregs-iterative' '-ffull-laziness' '-fmax-inline-memcpy-insns=32'
 '-fmax-inline-memcpy-insns=32' '-funbox-small-strict-fields'
 '-fignore-asserts' '-fdmd-tx-dict-sel' '-fspec-constr-threshold=2000'
 '-fdo-lambda-eta-expansion' '-fmax-worker-args=10' '-fworker-wrapper'
 '-flate-dmd-anal' '-fno-state-hack' '-funfolding-use-threshold=60'
 '-fliberate-case' '-fomit-interface-pragmas' '-feager-blackholing'
 '-fcase-merge' '-fliberate-case-threshold=2000' '-fomit-yields'
 '-fspec-constr-threshold=2000' '-feager-blackholing' '-fcpr-anal'
 '-fliberate-case-threshold=2000' '-fno-pre-inlining' '-fvectorise'
 '-feager-blackholing' '-fspec-constr-threshold=2000'
 '-feager-blackholing' '-fdicts-strict' '-fpedantic-bottoms'
 '-fignore-interface-pragmas' '-floopification'
 '-funfolding-use-threshold=60' '-fregs-iterative' '-fignore-asserts']",norm,1.742,1.742
9,a4dab226-b6ba-4b76-941f-f194fab9af27,"['-O0' '-fdo-eta-reduction' '-ffull-laziness' '-fdicts-strict'
 '-fdicts-cheap' '-fexpose-all-unfoldings' '-floopification'
 '-fstatic-argument-transformation' '-fvectorise' '-fdo-eta-reduction'
 '-fno-opt-coercion' '-funfolding-dict-discount=30' '-fdo-eta-reduction'
 '-fno-opt-coercion' '-fno-pre-inlining' '-fcse' '-fspec-constr'
 '-fomit-interface-pragmas' '-fworker-wrapper' '-flate-dmd-anal'
 '-fspec-constr-threshold=2000' '-fworker-wrapper' '-fmax-worker-args=10'
 '-fdicts-cheap' '-fenable-rewrite-rules' '-fregs-graph' '-fdicts-strict'
 '-fspec-constr-count=3' '-floopification' '-fmax-relevant-binds=6'
 '-fomit-interface-pragmas' '-fcse' '-fexpose-all-unfoldings'
 '-fmax-simplifier-iterations=4' '-fno-opt-coercion'
 '-funfolding-use-threshold=60' '-floopification'
 '-foptimal-applicative-do' '-floopification' '-fdicts-cheap'
 '-ffull-laziness' '-fmax-inline-memcpy-insns=32' '-fdicts-cheap'
 '-fcall-arity' '-fno-state-hack' '-fliberate-case-threshold=2000'
 '-floopification']",norm,1.718,1.718
