,ID,Flags,Mode,Runtime,Elapsed_Time
0,-O0,['-O0'],norm,2.573,2.573
1,-O2,['-O2'],norm,2.551,2.551
2,a893d949-f500-4184-8c3f-53b253ae3b93,"['-O0' '-fdicts-strict' '-floopification' '-fomit-yields' '-fcall-arity'
 '-fpedantic-bottoms']",norm,2.538,2.538
3,e1804d3b-1979-436c-815d-9c7ae0886958,"['-O0' '-fliberate-case-threshold=2000' '-fmax-simplifier-iterations=4'
 '-fsimplifier-phases=2' '-fstrictness'
 '-funfolding-creation-threshold=750']",norm,2.65,2.65
4,9fc1bc01-67d0-4313-8e6e-9cd281387896,"['-O0' '-funbox-strict-fields' '-funbox-strict-fields'
 '-fstatic-argument-transformation' '-funfolding-keeness-factor=1.5'
 '-fdo-lambda-eta-expansion']",norm,2.528,2.528
5,fee038a2-420b-4a6a-b9f4-4e78a9b88ab0,"['-O0' '-fdicts-strict' '-funfolding-keeness-factor=1.5'
 '-fmax-inline-alloc-size=128' '-fspec-constr-threshold=2000'
 '-fliberate-case']",norm,2.527,2.527
6,41c55d91-6d46-4da2-b1a6-5e418ecf5b02,"['-O0' '-floopification' '-funfolding-fun-discount=60'
 '-funfolding-keeness-factor=1.5' '-funbox-small-strict-fields'
 '-fstrictness']",norm,2.623,2.623
7,f11bde6d-a68a-4744-af2d-60b8a9ec9fe2,"['-O0' '-fspec-constr' '-fcmm-elim-common-blocks' '-floopification'
 '-funfolding-use-threshold=60' '-fdmd-tx-dict-sel']",norm,2.649,2.649
8,d4fc49f5-6ff4-41f9-bec9-240b0e593381,"['-O0' '-fvectorise' '-fstrictness-before=1'
 '-funfolding-keeness-factor=1.5' '-funfolding-dict-discount=30'
 '-fspec-constr-count=3']",norm,2.543,2.543
9,9dd56a9c-afae-45d4-a9d8-5baecaa5709e,"['-O0' '-fliberate-case-threshold=2000' '-funbox-strict-fields'
 '-funfolding-keeness-factor=1.5' '-fspecialise'
 '-fmax-simplifier-iterations=4']",norm,2.563,2.563
10,70d51ea9-a867-46cd-8ecd-45a2e7491ea0,"['-O0' '-fspec-constr-threshold=2000' '-fspecialise' '-fcall-arity'
 '-fenable-rewrite-rules' '-fspec-constr-threshold=2000']",norm,2.531,2.531
11,8e5facba-4c4e-4634-8038-2e686cacc9e4,"['-O0' '-ffun-to-thunk' '-fcmm-sink' '-fvectorise'
 '-fliberate-case-threshold=2000' '-fcmm-elim-common-blocks']",norm,2.56,2.56
12,76a2214e-8e92-4233-b641-5e8885eac203,"['-O0' '-fno-opt-coercion' '-fcmm-elim-common-blocks'
 '-funfolding-dict-discount=30' '-funfolding-fun-discount=60'
 '-fregs-graph']",norm,2.565,2.565
13,0bd2dccd-050b-4fdb-b4f4-4e759928f37a,"['-O0' '-feager-blackholing' '-fenable-rewrite-rules' '-fcall-arity'
 '-funfolding-keeness-factor=1.5' '-fregs-iterative']",norm,2.549,2.549
14,9ed28c6a-c495-4f07-b7ad-675592280395,"['-O0' '-fdicts-strict' '-fworker-wrapper' '-funfolding-fun-discount=60'
 '-fmax-worker-args=10' '-fcpr-anal']",norm,2.592,2.592
15,6bf4c72e-e4c3-47db-b316-a05ea38bb1d3,"['-O0' '-fpedantic-bottoms' '-fcase-merge' '-flate-dmd-anal'
 '-funfolding-dict-discount=30' '-fmax-inline-alloc-size=128']",norm,2.633,2.633
16,fdae7533-8c6e-4f93-9090-0eb81ef547a2,"['-O0' '-fregs-iterative' '-fexcess-precision'
 '-funfolding-keeness-factor=1.5' '-funbox-strict-fields'
 '-fworker-wrapper']",norm,2.585,2.585
17,efdb9d1e-0fac-424a-a18f-29a9e76b35e1,"['-O0' '-ffloat-in' '-fdmd-tx-dict-sel' '-ffun-to-thunk' '-fomit-yields'
 '-fno-state-hack']",norm,2.615,2.615
18,24c2d21a-9c45-4bf3-933f-a2c5459352db,"['-O0' '-fmax-inline-memcpy-insns=32' '-fpedantic-bottoms' '-fregs-graph'
 '-fignore-interface-pragmas' '-fdo-lambda-eta-expansion']",norm,2.568,2.568
19,2d11b6a4-63c2-4469-90d3-ef2d4f5b83e4,"['-O0' '-fpedantic-bottoms' '-foptimal-applicative-do' '-fcall-arity'
 '-fmax-worker-args=10' '-fspec-constr-count=3']",norm,2.573,2.573
20,506c05c1-efb2-4260-9b72-af2def052194,"['-O0' '-ffun-to-thunk' '-fcse' '-fmax-inline-memset-insns=32'
 '-fmax-worker-args=10' '-funfolding-dict-discount=30']",norm,2.611,2.611
21,4a5c66d5-e168-4eea-8f07-8e12fd4d7535,"['-O0' '-fomit-yields' '-funfolding-creation-threshold=750'
 '-fomit-yields' '-fenable-rewrite-rules' '-fcall-arity']",norm,2.58,2.58
22,583a34be-1108-4d4d-977d-c5890df1c6c4,"['-O0' '-fdicts-cheap' '-funfolding-use-threshold=60' '-fcmm-sink'
 '-fregs-graph' '-fno-opt-coercion']",norm,2.576,2.576
23,aeb22497-a3fa-4293-b728-d9e8bda648a8,"['-O0' '-fworker-wrapper' '-fcse' '-foptimal-applicative-do'
 '-fspec-constr-count=3' '-fliberate-case']",norm,2.584,2.584
24,9648bb39-0044-47c3-a80a-2ecbeb5f98b6,"['-O0' '-fignore-asserts' '-funfolding-creation-threshold=750'
 '-fenable-rewrite-rules' '-ffloat-in' '-fspec-constr-threshold=2000']",norm,2.61,2.61
25,e876e6c8-844d-4fe2-a45d-8b5b0cfc65c4,"['-O0' '-fspec-constr-count=3' '-fmax-relevant-binds=6'
 '-fcmm-elim-common-blocks' '-funbox-small-strict-fields'
 '-fsimpl-tick-factor=100']",norm,2.565,2.565
26,247551ea-1c20-45c6-aa41-210e5d7020e4,"['-O0' '-fspec-constr-count=3' '-ffun-to-thunk' '-fcase-merge'
 '-fmax-worker-args=10' '-fignore-interface-pragmas']",norm,2.558,2.558
27,67b15740-93b3-4f6f-864c-6a4de5be4059,"['-O0' '-fexcess-precision' '-fcross-module-specialise'
 '-fvectorisation-avoidance' '-feager-blackholing'
 '-fenable-rewrite-rules']",norm,2.601,2.601
28,94f28404-e39a-4454-8a8c-5544340d6f8c,"['-O0' '-fdo-eta-reduction' '-fmax-inline-alloc-size=128'
 '-fvectorisation-avoidance' '-fmax-inline-memset-insns=32'
 '-fomit-yields']",norm,2.563,2.563
29,17ec1b55-8928-4fc0-bd9f-ee8260464b00,"['-O0' '-fcall-arity' '-floopification' '-fvectorisation-avoidance'
 '-foptimal-applicative-do' '-funfolding-fun-discount=60']",norm,2.567,2.567
