,ID,Flags,Mode,Runtime,Elapsed_Time
0,-O0,['-O0'],norm,,
1,-O2,['-O2'],norm,,
2,4bba7ff9-93f2-46a6-b47a-249f3c2967ef,"['-O0' '-fcross-module-specialise' '-fcase-merge'
 '-fmax-inline-alloc-size=128' '-fstatic-argument-transformation'
 '-fdo-eta-reduction' '-foptimal-applicative-do'
 '-funfolding-keeness-factor=1.5' '-fvectorise'
 '-fmax-simplifier-iterations=4' '-fspec-constr-threshold=2000'
 '-fregs-iterative' '-floopification' '-fomit-yields'
 '-funfolding-fun-discount=60' '-fmax-inline-memset-insns=32'
 '-fmax-relevant-binds=6' '-fdicts-cheap' '-flate-dmd-anal'
 '-funfolding-use-threshold=60' '-fomit-yields' '-fcpr-anal'
 '-fexcess-precision' '-fcmm-elim-common-blocks' '-fmax-worker-args=10'
 '-fsimplifier-phases=2' '-fstatic-argument-transformation' '-fcpr-anal'
 '-fspec-constr-count=3' '-fregs-graph' '-fmax-simplifier-iterations=4'
 '-fcmm-elim-common-blocks' '-fliberate-case' '-fdicts-cheap'
 '-fmax-inline-alloc-size=128' '-fno-pre-inlining' '-fspec-constr'
 '-fomit-yields' '-floopification' '-fmax-inline-memcpy-insns=32'
 '-fexcess-precision']",norm,,
3,c424e81e-73bf-4639-a816-ffd6b5af645b,"['-O0' '-fignore-interface-pragmas' '-fsimpl-tick-factor=100'
 '-fsimplifier-phases=2' '-funfolding-use-threshold=60'
 '-fvectorisation-avoidance' '-fstatic-argument-transformation'
 '-foptimal-applicative-do' '-fexcess-precision'
 '-fmax-inline-alloc-size=128' '-fcross-module-specialise'
 '-fdo-eta-reduction' '-funbox-strict-fields' '-fspec-constr-count=3'
 '-fmax-inline-memcpy-insns=32' '-fspec-constr' '-fno-state-hack'
 '-funfolding-creation-threshold=750' '-fignore-asserts' '-fspecialise'
 '-funbox-small-strict-fields' '-funbox-strict-fields' '-floopification'
 '-fignore-interface-pragmas' '-fvectorise' '-fspec-constr-threshold=2000'
 '-fcross-module-specialise' '-fmax-worker-args=10' '-feager-blackholing'
 '-fvectorisation-avoidance' '-fdicts-cheap' '-fregs-iterative'
 '-ffloat-in' '-funfolding-creation-threshold=750'
 '-fmax-inline-memcpy-insns=32' '-fcross-module-specialise'
 '-fspec-constr-threshold=2000' '-fstrictness'
 '-funfolding-creation-threshold=750' '-fmax-simplifier-iterations=4'
 '-fmax-simplifier-iterations=4']",norm,,
4,a343282c-d1b2-4929-b273-c4205074a0c0,"['-O0' '-funfolding-fun-discount=60' '-fliberate-case'
 '-fomit-interface-pragmas' '-fexpose-all-unfoldings' '-fexcess-precision'
 '-fignore-interface-pragmas' '-fmax-inline-alloc-size=128'
 '-fmax-inline-alloc-size=128' '-fcross-module-specialise'
 '-fworker-wrapper' '-funfolding-keeness-factor=1.5' '-fcpr-anal'
 '-fdicts-strict' '-fexpose-all-unfoldings'
 '-fliberate-case-threshold=2000' '-fdicts-cheap'
 '-fexpose-all-unfoldings' '-fmax-relevant-binds=6'
 '-fspec-constr-threshold=2000' '-fmax-relevant-binds=6'
 '-fmax-worker-args=10' '-fliberate-case-threshold=2000' '-fomit-yields'
 '-funbox-strict-fields' '-fspec-constr-count=3' '-ffun-to-thunk'
 '-funbox-strict-fields' '-ffun-to-thunk' '-fexcess-precision'
 '-fliberate-case' '-fpedantic-bottoms' '-fno-opt-coercion'
 '-fno-pre-inlining' '-fcase-merge' '-fenable-rewrite-rules'
 '-fliberate-case-threshold=2000' '-fspec-constr' '-fdicts-cheap'
 '-fmax-inline-memcpy-insns=32' '-funbox-strict-fields']",norm,,
5,81e1c24c-1bff-4ba4-8490-f932597dbcde,"['-O0' '-fdmd-tx-dict-sel' '-fdicts-cheap' '-fstrictness-before=1'
 '-fomit-yields' '-fcse' '-fcpr-anal' '-fmax-worker-args=10'
 '-fcross-module-specialise' '-funfolding-keeness-factor=1.5'
 '-fenable-rewrite-rules' '-fcse' '-fno-pre-inlining' '-fcall-arity'
 '-fsimpl-tick-factor=100' '-fcross-module-specialise'
 '-fexcess-precision' '-funfolding-use-threshold=60'
 '-fdo-lambda-eta-expansion' '-fspec-constr-threshold=2000' '-fstrictness'
 '-fvectorise' '-fcmm-sink' '-feager-blackholing' '-fcmm-sink'
 '-fmax-relevant-binds=6' '-fmax-inline-memcpy-insns=32'
 '-fworker-wrapper' '-fcmm-sink' '-ffull-laziness'
 '-fexpose-all-unfoldings' '-ffull-laziness' '-fspec-constr'
 '-fspec-constr' '-funfolding-creation-threshold=750' '-fcase-merge'
 '-flate-dmd-anal' '-funfolding-dict-discount=30'
 '-fcmm-elim-common-blocks' '-fdicts-strict' '-fomit-yields']",norm,,
6,5616bf09-68c4-42e2-93f4-0b5202f04cb4,"['-O0' '-fmax-inline-memcpy-insns=32' '-fexcess-precision'
 '-fenable-rewrite-rules' '-ffloat-in' '-fmax-relevant-binds=6'
 '-fno-state-hack' '-fregs-graph' '-funfolding-use-threshold=60'
 '-ffull-laziness' '-foptimal-applicative-do'
 '-fmax-simplifier-iterations=4' '-ffun-to-thunk'
 '-funfolding-dict-discount=30' '-funfolding-keeness-factor=1.5'
 '-fspec-constr-count=3' '-fliberate-case-threshold=2000'
 '-fexpose-all-unfoldings' '-fdo-lambda-eta-expansion'
 '-fcross-module-specialise' '-fspec-constr-count=3' '-fexcess-precision'
 '-fcmm-elim-common-blocks' '-funfolding-creation-threshold=750'
 '-fcall-arity' '-fspec-constr-count=3' '-fdicts-cheap'
 '-fmax-relevant-binds=6' '-fexpose-all-unfoldings' '-fspec-constr'
 '-fdmd-tx-dict-sel' '-fliberate-case' '-fdicts-strict'
 '-fenable-rewrite-rules' '-fstatic-argument-transformation'
 '-fdo-eta-reduction' '-fstrictness' '-funfolding-use-threshold=60'
 '-fenable-rewrite-rules' '-ffull-laziness' '-fspecialise']",norm,,
7,6c5f19f7-5eb7-4a8b-8cc2-e563e89b47cd,"['-O0' '-fdo-lambda-eta-expansion' '-funfolding-use-threshold=60'
 '-fexcess-precision' '-fregs-graph' '-fspec-constr-count=3'
 '-fcall-arity' '-fpedantic-bottoms' '-fspec-constr' '-fspec-constr'
 '-fregs-graph' '-fenable-rewrite-rules' '-fenable-rewrite-rules'
 '-fno-pre-inlining' '-fdo-eta-reduction' '-funfolding-fun-discount=60'
 '-foptimal-applicative-do' '-funfolding-use-threshold=60'
 '-fregs-iterative' '-funbox-small-strict-fields' '-fstrictness'
 '-ffloat-in' '-fspec-constr' '-ffloat-in' '-fmax-simplifier-iterations=4'
 '-fmax-inline-alloc-size=128' '-fspec-constr-threshold=2000'
 '-fdicts-strict' '-fcse' '-funfolding-creation-threshold=750'
 '-funbox-small-strict-fields' '-fspec-constr-threshold=2000'
 '-fdo-lambda-eta-expansion' '-fstrictness' '-fspec-constr-threshold=2000'
 '-funfolding-use-threshold=60' '-fvectorise'
 '-fmax-inline-memcpy-insns=32' '-fliberate-case-threshold=2000' '-fcse'
 '-fcpr-anal']",norm,,
8,e68548a6-76a7-44a8-bbd2-a93a40d3d24b,"['-O0' '-fno-pre-inlining' '-fspec-constr' '-ffull-laziness'
 '-funfolding-use-threshold=60' '-fstrictness-before=1' '-fspecialise'
 '-fno-opt-coercion' '-fignore-interface-pragmas' '-fexcess-precision'
 '-fomit-interface-pragmas' '-fcmm-elim-common-blocks' '-flate-dmd-anal'
 '-fcross-module-specialise' '-fexcess-precision' '-fno-opt-coercion'
 '-ffun-to-thunk' '-fpedantic-bottoms' '-fstrictness' '-fdicts-strict'
 '-fspec-constr-threshold=2000' '-fno-pre-inlining' '-floopification'
 '-fdo-lambda-eta-expansion' '-funfolding-use-threshold=60'
 '-funfolding-keeness-factor=1.5' '-funfolding-creation-threshold=750'
 '-funfolding-fun-discount=60' '-fpedantic-bottoms'
 '-fignore-interface-pragmas' '-fregs-iterative' '-fsimplifier-phases=2'
 '-fliberate-case' '-fignore-asserts' '-foptimal-applicative-do'
 '-fworker-wrapper' '-fspec-constr' '-ffun-to-thunk'
 '-funfolding-use-threshold=60' '-ffull-laziness' '-fmax-worker-args=10']",norm,,
9,da999d62-12fc-452b-bc16-8e4d7ecc57a2,"['-O0' '-fdo-eta-reduction' '-fmax-inline-memset-insns=32'
 '-fmax-worker-args=10' '-floopification' '-flate-dmd-anal'
 '-floopification' '-funfolding-creation-threshold=750'
 '-fpedantic-bottoms' '-ffun-to-thunk' '-fmax-inline-alloc-size=128'
 '-fmax-relevant-binds=6' '-fcse' '-fignore-interface-pragmas'
 '-funfolding-creation-threshold=750' '-fmax-inline-alloc-size=128'
 '-funfolding-dict-discount=30' '-fignore-interface-pragmas'
 '-fmax-simplifier-iterations=4' '-fenable-rewrite-rules'
 '-funfolding-fun-discount=60' '-fcmm-elim-common-blocks'
 '-fignore-interface-pragmas' '-fdo-lambda-eta-expansion'
 '-funfolding-keeness-factor=1.5' '-fdmd-tx-dict-sel' '-fdo-eta-reduction'
 '-fmax-relevant-binds=6' '-fpedantic-bottoms' '-fdmd-tx-dict-sel'
 '-fregs-iterative' '-floopification' '-floopification'
 '-funbox-small-strict-fields' '-fexpose-all-unfoldings'
 '-fcmm-elim-common-blocks' '-funbox-strict-fields'
 '-fmax-inline-alloc-size=128' '-fmax-relevant-binds=6'
 '-fdmd-tx-dict-sel' '-fpedantic-bottoms']",norm,,
