,ID,Flags,Mode,Runtime,Elapsed_Time
0,-O0,['-O0'],norm,2.137,2.137
1,-O2,['-O2'],norm,2.212,2.212
2,1729a4a5-c3a3-49e9-be70-b9c6a3c7c3bb,"['-O0' '-fdicts-cheap' '-fignore-interface-pragmas' '-fignore-asserts'
 '-fregs-iterative' '-fcross-module-specialise' '-fvectorise'
 '-ffull-laziness' '-fmax-inline-memcpy-insns=32'
 '-fsimpl-tick-factor=100' '-fomit-interface-pragmas'
 '-fmax-worker-args=10' '-fexpose-all-unfoldings' '-flate-dmd-anal'
 '-fmax-worker-args=10' '-fliberate-case-threshold=2000'
 '-fsimplifier-phases=2' '-fspec-constr' '-fcase-merge' '-fcpr-anal'
 '-fvectorisation-avoidance' '-fliberate-case-threshold=2000'
 '-flate-dmd-anal' '-fno-pre-inlining' '-ffun-to-thunk'
 '-fmax-simplifier-iterations=4' '-funfolding-use-threshold=60'
 '-fvectorise' '-fexcess-precision' '-fspec-constr' '-fworker-wrapper'
 '-foptimal-applicative-do' '-fmax-relevant-binds=6' '-fignore-asserts'
 '-fcall-arity' '-funfolding-creation-threshold=750'
 '-fdo-lambda-eta-expansion' '-fsimpl-tick-factor=100'
 '-fexpose-all-unfoldings' '-funfolding-dict-discount=30'
 '-fignore-asserts' '-funbox-strict-fields' '-fspec-constr-threshold=2000'
 '-ffull-laziness' '-ffull-laziness' '-fvectorise' '-fspec-constr'
 '-funbox-small-strict-fields']",norm,2.169,2.169
3,87b0bfed-4897-4b23-a59c-3635628db0ee,"['-O0' '-fstrictness-before=1' '-fomit-interface-pragmas'
 '-funfolding-keeness-factor=1.5' '-funfolding-dict-discount=30' '-fcse'
 '-fmax-relevant-binds=6' '-ffun-to-thunk'
 '-funfolding-creation-threshold=750' '-fdo-lambda-eta-expansion'
 '-funbox-strict-fields' '-ffloat-in' '-funfolding-keeness-factor=1.5'
 '-fmax-relevant-binds=6' '-fmax-worker-args=10' '-ffull-laziness'
 '-funfolding-creation-threshold=750' '-fsimplifier-phases=2'
 '-fregs-graph' '-fstrictness' '-fregs-iterative' '-ffull-laziness'
 '-fdo-eta-reduction' '-fspec-constr-count=3'
 '-fmax-inline-alloc-size=128' '-fexpose-all-unfoldings'
 '-funbox-small-strict-fields' '-funfolding-dict-discount=30'
 '-funfolding-fun-discount=60' '-fignore-interface-pragmas'
 '-fvectorisation-avoidance' '-fmax-relevant-binds=6' '-fregs-graph'
 '-foptimal-applicative-do' '-funfolding-creation-threshold=750'
 '-fvectorisation-avoidance' '-fstrictness' '-fdo-lambda-eta-expansion'
 '-fcmm-elim-common-blocks' '-funbox-strict-fields'
 '-funfolding-fun-discount=60' '-fdicts-strict' '-fcmm-sink' '-ffloat-in'
 '-fignore-interface-pragmas' '-fcmm-elim-common-blocks'
 '-fignore-asserts' '-funbox-small-strict-fields']",norm,2.13,2.13
4,cc200c6c-7b8d-470a-a745-9118fc50912a,"['-O0' '-fspec-constr-count=3' '-fomit-interface-pragmas'
 '-fmax-inline-alloc-size=128' '-fignore-asserts' '-fmax-worker-args=10'
 '-fno-state-hack' '-ffloat-in' '-fcmm-elim-common-blocks'
 '-fpedantic-bottoms' '-fcross-module-specialise' '-fdo-eta-reduction'
 '-fmax-simplifier-iterations=4' '-funfolding-fun-discount=60'
 '-feager-blackholing' '-fmax-inline-memset-insns=32'
 '-fexpose-all-unfoldings' '-foptimal-applicative-do'
 '-feager-blackholing' '-fmax-inline-memset-insns=32'
 '-feager-blackholing' '-feager-blackholing' '-fcmm-sink'
 '-fvectorisation-avoidance' '-fmax-inline-alloc-size=128'
 '-funfolding-keeness-factor=1.5' '-fmax-relevant-binds=6' '-fdicts-cheap'
 '-funfolding-creation-threshold=750' '-fstrictness'
 '-fvectorisation-avoidance' '-fenable-rewrite-rules'
 '-funfolding-dict-discount=30' '-fvectorisation-avoidance'
 '-fmax-relevant-binds=6' '-fno-state-hack' '-funfolding-fun-discount=60'
 '-funfolding-use-threshold=60' '-fcmm-elim-common-blocks' '-fregs-graph'
 '-fspec-constr-threshold=2000' '-fregs-iterative'
 '-funfolding-dict-discount=30' '-fspecialise' '-ffull-laziness'
 '-floopification' '-fmax-inline-alloc-size=128' '-fstrictness']",norm,2.216,2.216
5,f1634f47-05be-4063-858d-6012640840c7,"['-O0' '-fmax-simplifier-iterations=4' '-flate-dmd-anal' '-ffloat-in'
 '-fspec-constr' '-fomit-interface-pragmas'
 '-funfolding-creation-threshold=750' '-fspec-constr-threshold=2000'
 '-fmax-worker-args=10' '-fsimpl-tick-factor=100' '-fdicts-strict'
 '-fliberate-case' '-fdicts-strict' '-fmax-inline-memset-insns=32'
 '-fexcess-precision' '-fstrictness' '-ffull-laziness'
 '-fexpose-all-unfoldings' '-fspec-constr' '-fvectorisation-avoidance'
 '-fignore-asserts' '-fomit-interface-pragmas'
 '-fmax-inline-alloc-size=128' '-fmax-worker-args=10' '-fstrictness'
 '-fliberate-case' '-foptimal-applicative-do' '-fcpr-anal'
 '-fpedantic-bottoms' '-fcross-module-specialise' '-fcse' '-fcmm-sink'
 '-fdicts-cheap' '-fexcess-precision' '-fsimplifier-phases=2'
 '-fregs-graph' '-funfolding-use-threshold=60' '-fignore-asserts'
 '-funfolding-creation-threshold=750' '-foptimal-applicative-do'
 '-fomit-yields' '-fliberate-case-threshold=2000' '-ffull-laziness'
 '-fstatic-argument-transformation' '-fstatic-argument-transformation'
 '-flate-dmd-anal' '-fno-pre-inlining' '-fexcess-precision']",norm,2.229,2.229
6,d94a21bc-7dcd-4607-8447-3f5f270e3998,"['-O0' '-flate-dmd-anal' '-fdo-lambda-eta-expansion' '-flate-dmd-anal'
 '-funfolding-dict-discount=30' '-ffull-laziness' '-fspecialise'
 '-fmax-inline-memset-insns=32' '-fignore-interface-pragmas'
 '-fspec-constr-count=3' '-fno-state-hack' '-fmax-inline-memcpy-insns=32'
 '-fno-state-hack' '-fpedantic-bottoms' '-fexcess-precision'
 '-fspec-constr' '-fomit-yields' '-fexpose-all-unfoldings'
 '-fno-opt-coercion' '-ffun-to-thunk' '-fmax-worker-args=10'
 '-fomit-yields' '-fspec-constr-threshold=2000' '-fdicts-cheap'
 '-fno-state-hack' '-fmax-inline-memcpy-insns=32'
 '-fspec-constr-threshold=2000' '-fspec-constr-threshold=2000'
 '-fcall-arity' '-fsimpl-tick-factor=100' '-fdicts-cheap'
 '-fsimpl-tick-factor=100' '-foptimal-applicative-do'
 '-funfolding-use-threshold=60' '-floopification'
 '-fexpose-all-unfoldings' '-funfolding-fun-discount=60'
 '-fmax-inline-memcpy-insns=32' '-fsimpl-tick-factor=100' '-fstrictness'
 '-fenable-rewrite-rules' '-fignore-interface-pragmas'
 '-fcmm-elim-common-blocks' '-funbox-small-strict-fields' '-fcmm-sink'
 '-fstrictness' '-fdo-lambda-eta-expansion' '-fexpose-all-unfoldings']",norm,2.178,2.178
7,ca1e6d89-b8f5-45a8-98e4-e2fb14a3f21f,"['-O0' '-fstatic-argument-transformation'
 '-fstatic-argument-transformation' '-fcpr-anal' '-fstrictness'
 '-fworker-wrapper' '-fdo-eta-reduction' '-fmax-inline-alloc-size=128'
 '-funfolding-fun-discount=60' '-fliberate-case-threshold=2000'
 '-funfolding-use-threshold=60' '-fcmm-elim-common-blocks'
 '-fdo-lambda-eta-expansion' '-fspec-constr' '-fpedantic-bottoms'
 '-ffull-laziness' '-fliberate-case-threshold=2000'
 '-fmax-inline-alloc-size=128' '-fspecialise' '-fdmd-tx-dict-sel'
 '-fcmm-elim-common-blocks' '-ffun-to-thunk'
 '-funfolding-creation-threshold=750' '-fsimpl-tick-factor=100'
 '-fomit-yields' '-fcmm-elim-common-blocks' '-ffloat-in'
 '-fregs-iterative' '-fomit-yields' '-fno-opt-coercion'
 '-fno-opt-coercion' '-fvectorise' '-fexcess-precision' '-flate-dmd-anal'
 '-fpedantic-bottoms' '-fdmd-tx-dict-sel' '-fpedantic-bottoms'
 '-funfolding-use-threshold=60' '-fno-pre-inlining'
 '-funbox-small-strict-fields' '-fno-pre-inlining'
 '-funfolding-creation-threshold=750' '-fvectorisation-avoidance'
 '-fcall-arity' '-fcse' '-fmax-inline-memset-insns=32' '-fcpr-anal'
 '-fcmm-elim-common-blocks']",norm,2.187,2.187
8,74d1420d-67de-419e-b66e-4e14d7884026,"['-O0' '-fspecialise' '-funbox-small-strict-fields' '-fmax-worker-args=10'
 '-fpedantic-bottoms' '-fcross-module-specialise' '-fspec-constr-count=3'
 '-fmax-worker-args=10' '-funfolding-fun-discount=60' '-fliberate-case'
 '-fdicts-cheap' '-funbox-strict-fields' '-foptimal-applicative-do'
 '-fdo-lambda-eta-expansion' '-fmax-inline-memcpy-insns=32'
 '-fstatic-argument-transformation' '-fmax-inline-alloc-size=128'
 '-fdicts-strict' '-fdicts-strict' '-fexcess-precision'
 '-fmax-simplifier-iterations=4' '-fmax-inline-memset-insns=32'
 '-fdo-eta-reduction' '-fmax-relevant-binds=6' '-fstrictness-before=1'
 '-fignore-interface-pragmas' '-fspecialise' '-fcmm-sink' '-fdicts-strict'
 '-fmax-inline-memcpy-insns=32' '-fmax-relevant-binds=6' '-fcse'
 '-fexpose-all-unfoldings' '-fcpr-anal' '-fspec-constr-count=3'
 '-fmax-inline-alloc-size=128' '-fomit-yields' '-fspecialise'
 '-fvectorisation-avoidance' '-fno-pre-inlining' '-fstrictness'
 '-fcpr-anal' '-fstrictness' '-fno-state-hack' '-fcmm-elim-common-blocks'
 '-fignore-interface-pragmas' '-feager-blackholing'
 '-fenable-rewrite-rules']",norm,2.145,2.145
9,ad1d94ae-6208-495d-bc24-4597df8159e8,"['-O0' '-fmax-inline-memcpy-insns=32' '-ffloat-in'
 '-funfolding-creation-threshold=750' '-fmax-simplifier-iterations=4'
 '-fstatic-argument-transformation' '-fstatic-argument-transformation'
 '-fcase-merge' '-foptimal-applicative-do' '-fno-opt-coercion'
 '-funbox-small-strict-fields' '-fliberate-case' '-fignore-asserts'
 '-flate-dmd-anal' '-fenable-rewrite-rules' '-fdmd-tx-dict-sel'
 '-fstrictness-before=1' '-fexpose-all-unfoldings'
 '-fvectorisation-avoidance' '-foptimal-applicative-do'
 '-funfolding-use-threshold=60' '-feager-blackholing'
 '-fspec-constr-count=3' '-fno-opt-coercion' '-fvectorisation-avoidance'
 '-funfolding-creation-threshold=750' '-fcmm-sink' '-fno-state-hack'
 '-fignore-asserts' '-ffull-laziness' '-fomit-interface-pragmas'
 '-fdo-eta-reduction' '-fomit-interface-pragmas' '-fdmd-tx-dict-sel'
 '-fmax-simplifier-iterations=4' '-fspec-constr-count=3' '-fcase-merge'
 '-funfolding-use-threshold=60' '-fignore-interface-pragmas'
 '-fsimpl-tick-factor=100' '-fdo-lambda-eta-expansion' '-fliberate-case'
 '-flate-dmd-anal' '-ffun-to-thunk' '-fomit-interface-pragmas'
 '-fdo-lambda-eta-expansion' '-fvectorisation-avoidance' '-fcpr-anal']",norm,2.152,2.152
