,ID,Flags,Mode,Runtime,Elapsed_Time
0,-O0,['-O0'],norm,2.284,2.284
1,-O2,['-O2'],norm,2.4,2.4
2,27eac793-15c4-4663-a8bc-db13aec65518,"['-O0' '-fcall-arity' '-fmax-inline-memcpy-insns=32' '-fno-state-hack'
 '-fspec-constr-count=3' '-fregs-graph' '-fworker-wrapper'
 '-fdicts-strict' '-fmax-inline-memcpy-insns=32' '-fsimplifier-phases=2'
 '-fsimplifier-phases=2' '-funfolding-fun-discount=60'
 '-fmax-inline-alloc-size=128' '-fmax-inline-alloc-size=128'
 '-fsimplifier-phases=2' '-ffun-to-thunk' '-ffloat-in' '-fcall-arity'
 '-floopification' '-fspecialise' '-fcmm-elim-common-blocks'
 '-fmax-simplifier-iterations=4']",norm,2.376,2.376
3,0ea22ace-ac3f-4223-9dc9-db15c1f2508d,"['-O0' '-fomit-interface-pragmas' '-funfolding-fun-discount=60'
 '-fomit-yields' '-ffull-laziness' '-funfolding-use-threshold=60'
 '-fdo-lambda-eta-expansion' '-fdo-eta-reduction' '-fstrictness-before=1'
 '-fspec-constr-count=3' '-funfolding-fun-discount=60'
 '-funfolding-creation-threshold=750' '-fdicts-cheap'
 '-fenable-rewrite-rules' '-fmax-inline-memcpy-insns=32'
 '-fstatic-argument-transformation' '-fomit-interface-pragmas'
 '-funfolding-use-threshold=60' '-fignore-interface-pragmas'
 '-feager-blackholing' '-fdmd-tx-dict-sel' '-fvectorise']",norm,2.37,2.37
4,d75e24ca-d3e8-4ca4-abc8-4a8030557f71,"['-O0' '-fmax-relevant-binds=6' '-fno-state-hack' '-fcall-arity'
 '-fspecialise' '-funfolding-creation-threshold=750' '-ffloat-in'
 '-fmax-inline-memcpy-insns=32' '-fdicts-cheap'
 '-funfolding-keeness-factor=1.5' '-fdicts-cheap' '-fpedantic-bottoms'
 '-funfolding-dict-discount=30' '-fspec-constr-count=3' '-ffun-to-thunk'
 '-fmax-simplifier-iterations=4' '-funfolding-use-threshold=60'
 '-fignore-asserts' '-fmax-inline-memcpy-insns=32' '-ffun-to-thunk'
 '-fcall-arity' '-fcall-arity']",norm,2.323,2.323
5,2c1533a8-0f11-4884-b66b-e79e21b00571,"['-O0' '-ffull-laziness' '-foptimal-applicative-do' '-fmax-worker-args=10'
 '-fstatic-argument-transformation' '-fmax-inline-memset-insns=32'
 '-fliberate-case' '-fcase-merge' '-fno-opt-coercion' '-fcmm-sink'
 '-flate-dmd-anal' '-fcross-module-specialise'
 '-funfolding-creation-threshold=750' '-fcpr-anal' '-fdmd-tx-dict-sel'
 '-fno-pre-inlining' '-fworker-wrapper' '-feager-blackholing' '-fcse'
 '-funfolding-use-threshold=60' '-fignore-interface-pragmas'
 '-fmax-simplifier-iterations=4']",norm,2.328,2.328
6,2dfa96d9-6405-4b25-805a-b202261a5c37,"['-O0' '-fstrictness-before=1' '-fexpose-all-unfoldings' '-flate-dmd-anal'
 '-ffloat-in' '-foptimal-applicative-do' '-ffull-laziness'
 '-flate-dmd-anal' '-fpedantic-bottoms' '-fspec-constr-threshold=2000'
 '-fcross-module-specialise' '-fomit-interface-pragmas'
 '-fdo-eta-reduction' '-funbox-small-strict-fields' '-fworker-wrapper'
 '-fdicts-cheap' '-fmax-relevant-binds=6' '-ffun-to-thunk' '-fcse'
 '-fomit-yields' '-flate-dmd-anal' '-fregs-iterative']",norm,2.273,2.273
7,b5c7a9c3-d157-4ea9-af05-77038a56b4a4,"['-O0' '-fspec-constr' '-fdmd-tx-dict-sel' '-fcmm-sink'
 '-fmax-relevant-binds=6' '-ffull-laziness' '-fcross-module-specialise'
 '-funfolding-use-threshold=60' '-fmax-simplifier-iterations=4'
 '-ffloat-in' '-fmax-inline-memcpy-insns=32' '-fno-pre-inlining'
 '-funfolding-dict-discount=30' '-fvectorise' '-fworker-wrapper'
 '-funfolding-use-threshold=60' '-fignore-interface-pragmas'
 '-fexpose-all-unfoldings' '-fignore-interface-pragmas'
 '-fspec-constr-count=3' '-fmax-relevant-binds=6'
 '-fspec-constr-threshold=2000']",norm,2.312,2.312
8,5e40b08d-0868-4f36-b38c-8bca4cb322e0,"['-O0' '-fexcess-precision' '-funfolding-creation-threshold=750'
 '-funfolding-use-threshold=60' '-fspec-constr-count=3' '-ffloat-in'
 '-fomit-interface-pragmas' '-fregs-iterative' '-fregs-iterative'
 '-fomit-interface-pragmas' '-fcmm-sink' '-funbox-strict-fields'
 '-flate-dmd-anal' '-fmax-relevant-binds=6' '-floopification'
 '-funfolding-keeness-factor=1.5' '-fstrictness'
 '-funfolding-fun-discount=60' '-fexpose-all-unfoldings'
 '-fmax-simplifier-iterations=4' '-fcse' '-fcall-arity']",norm,2.29,2.29
9,1e223e07-388b-40b6-ac2f-85bf97356bac,"['-O0' '-fmax-simplifier-iterations=4' '-fdicts-cheap'
 '-fmax-relevant-binds=6' '-fexcess-precision' '-funbox-strict-fields'
 '-fliberate-case' '-floopification' '-floopification'
 '-funfolding-creation-threshold=750' '-fcmm-elim-common-blocks'
 '-fvectorise' '-fstatic-argument-transformation'
 '-fcross-module-specialise' '-fspec-constr' '-fdo-eta-reduction'
 '-fcpr-anal' '-fcase-merge' '-fomit-yields' '-fcase-merge'
 '-fno-pre-inlining' '-fpedantic-bottoms']",norm,2.306,2.306
10,ccd8743c-8e65-4a7e-bcdb-1da7a882630e,"['-O0' '-foptimal-applicative-do' '-fliberate-case' '-ffun-to-thunk'
 '-fvectorisation-avoidance' '-funbox-small-strict-fields'
 '-fomit-interface-pragmas' '-fsimplifier-phases=2' '-fno-state-hack'
 '-fworker-wrapper' '-fignore-interface-pragmas'
 '-fmax-simplifier-iterations=4' '-fstrictness-before=1'
 '-funfolding-creation-threshold=750' '-fomit-yields' '-fcase-merge'
 '-funfolding-fun-discount=60' '-fliberate-case' '-fcall-arity'
 '-fdo-lambda-eta-expansion' '-fmax-inline-memset-insns=32'
 '-funbox-small-strict-fields']",norm,2.305,2.305
11,0c089570-57e3-4116-9d18-4590a2bfc15a,"['-O0' '-fliberate-case-threshold=2000' '-fmax-inline-memcpy-insns=32'
 '-fcross-module-specialise' '-fcse' '-fspec-constr-count=3'
 '-fregs-iterative' '-fdo-eta-reduction' '-fspec-constr-threshold=2000'
 '-fdicts-cheap' '-fvectorise' '-fmax-inline-memset-insns=32'
 '-fdo-lambda-eta-expansion' '-fspec-constr-threshold=2000'
 '-fomit-yields' '-fcmm-elim-common-blocks' '-fignore-asserts'
 '-fdo-lambda-eta-expansion' '-fdicts-cheap' '-ffun-to-thunk'
 '-fmax-inline-memcpy-insns=32' '-fregs-graph']",norm,2.296,2.296
12,34a79651-3aa5-4c04-a351-b77b60c46b1a,"['-O0' '-fdicts-strict' '-fno-opt-coercion' '-foptimal-applicative-do'
 '-fno-state-hack' '-funfolding-keeness-factor=1.5'
 '-fenable-rewrite-rules' '-fignore-interface-pragmas'
 '-fmax-worker-args=10' '-funbox-strict-fields' '-fno-pre-inlining'
 '-fvectorise' '-flate-dmd-anal' '-fstatic-argument-transformation'
 '-feager-blackholing' '-fno-pre-inlining' '-fregs-graph'
 '-fspec-constr-threshold=2000' '-fregs-graph' '-fstrictness'
 '-fno-state-hack' '-funfolding-creation-threshold=750']",norm,2.349,2.349
13,32fa98cf-e409-4f4e-a0a7-7816ba4e4f69,"['-O0' '-fspec-constr-threshold=2000' '-funbox-strict-fields'
 '-fcross-module-specialise' '-floopification' '-ffull-laziness'
 '-fcmm-sink' '-fspecialise' '-fmax-inline-memcpy-insns=32' '-fcase-merge'
 '-fdo-eta-reduction' '-fcall-arity' '-fcall-arity'
 '-fspec-constr-threshold=2000' '-fworker-wrapper'
 '-funbox-small-strict-fields' '-fliberate-case-threshold=2000'
 '-fvectorise' '-ffull-laziness' '-fdo-eta-reduction' '-ffull-laziness'
 '-funbox-strict-fields']",norm,2.282,2.282
14,fb03e057-b220-4c9e-b3a0-0a43103fc1cb,"['-O0' '-fdmd-tx-dict-sel' '-fcse' '-fcmm-elim-common-blocks'
 '-fenable-rewrite-rules' '-funfolding-use-threshold=60'
 '-fsimplifier-phases=2' '-funfolding-fun-discount=60' '-fcmm-sink'
 '-fvectorisation-avoidance' '-fignore-asserts' '-fcall-arity'
 '-fregs-iterative' '-funfolding-creation-threshold=750' '-fcase-merge'
 '-fstrictness' '-funfolding-creation-threshold=750' '-fvectorise'
 '-fspec-constr' '-fcall-arity' '-fcmm-sink' '-fdo-eta-reduction']",norm,2.321,2.321
15,68d3b580-a79b-46c2-96d9-541d8907ea7a,"['-O0' '-fmax-inline-memcpy-insns=32' '-fdicts-strict'
 '-fmax-inline-alloc-size=128' '-fworker-wrapper'
 '-funfolding-keeness-factor=1.5' '-funbox-small-strict-fields'
 '-funfolding-creation-threshold=750' '-fno-opt-coercion' '-fdicts-strict'
 '-fmax-relevant-binds=6' '-fspec-constr-threshold=2000'
 '-fmax-worker-args=10' '-fexpose-all-unfoldings' '-ffull-laziness'
 '-fliberate-case-threshold=2000' '-funfolding-dict-discount=30'
 '-fno-pre-inlining' '-fspec-constr' '-foptimal-applicative-do'
 '-fregs-iterative' '-fmax-worker-args=10']",norm,2.3,2.3
16,1b568681-e1fa-46a8-a63d-a8a97c68a337,"['-O0' '-fcase-merge' '-fliberate-case-threshold=2000' '-fcpr-anal'
 '-fvectorise' '-feager-blackholing' '-fmax-inline-memcpy-insns=32'
 '-fomit-interface-pragmas' '-funfolding-use-threshold=60'
 '-fignore-interface-pragmas' '-fmax-simplifier-iterations=4'
 '-fstatic-argument-transformation' '-fexpose-all-unfoldings'
 '-fvectorise' '-fcall-arity' '-fdo-lambda-eta-expansion'
 '-flate-dmd-anal' '-funfolding-creation-threshold=750'
 '-fvectorisation-avoidance' '-fignore-asserts' '-ffun-to-thunk' '-fcse']",norm,2.305,2.305
17,36542a81-b567-4929-a466-5ef007300951,"['-O0' '-ffull-laziness' '-fstatic-argument-transformation'
 '-fdicts-cheap' '-fliberate-case-threshold=2000' '-fcmm-sink'
 '-funfolding-creation-threshold=750' '-fignore-interface-pragmas'
 '-feager-blackholing' '-funfolding-use-threshold=60'
 '-funbox-small-strict-fields' '-fno-opt-coercion' '-ffull-laziness'
 '-fcmm-elim-common-blocks' '-fdo-lambda-eta-expansion'
 '-fspec-constr-threshold=2000' '-fworker-wrapper' '-fcall-arity'
 '-fliberate-case' '-fdo-eta-reduction' '-fliberate-case'
 '-fignore-asserts']",norm,2.331,2.331
18,2183f8b4-14e0-4886-a16e-d55f437a204b,"['-O0' '-fspec-constr' '-fspec-constr' '-fspec-constr-count=3'
 '-funfolding-fun-discount=60' '-fmax-inline-memcpy-insns=32'
 '-ffull-laziness' '-fcase-merge' '-fstatic-argument-transformation'
 '-fmax-worker-args=10' '-fvectorise' '-fmax-inline-alloc-size=128'
 '-fvectorise' '-fdicts-strict' '-fspecialise'
 '-funfolding-dict-discount=30' '-fstrictness-before=1'
 '-fmax-inline-memset-insns=32' '-fspec-constr-count=3'
 '-fignore-interface-pragmas' '-fstatic-argument-transformation'
 '-fsimplifier-phases=2']",norm,2.314,2.314
19,32eb4aa4-fe33-4720-8693-0069e429c845,"['-O0' '-fenable-rewrite-rules' '-flate-dmd-anal'
 '-fmax-inline-alloc-size=128' '-fcase-merge' '-fdo-eta-reduction'
 '-funfolding-keeness-factor=1.5' '-flate-dmd-anal' '-fspecialise'
 '-fomit-interface-pragmas' '-ffun-to-thunk'
 '-fstatic-argument-transformation' '-fignore-asserts'
 '-fignore-interface-pragmas' '-fignore-interface-pragmas'
 '-fdmd-tx-dict-sel' '-fcse' '-fexpose-all-unfoldings'
 '-fmax-inline-memset-insns=32' '-fcross-module-specialise'
 '-funbox-strict-fields' '-fcall-arity']",norm,2.356,2.356
20,a063de56-ced9-4f8d-897b-88fb69324f67,"['-O0' '-fmax-inline-memset-insns=32' '-fdmd-tx-dict-sel' '-fvectorise'
 '-fcase-merge' '-flate-dmd-anal' '-ffun-to-thunk' '-fexcess-precision'
 '-ffun-to-thunk' '-funfolding-creation-threshold=750' '-fspec-constr'
 '-fomit-yields' '-fspec-constr-count=3' '-fignore-asserts'
 '-fmax-inline-alloc-size=128' '-fstrictness' '-fstrictness' '-fvectorise'
 '-funbox-small-strict-fields' '-funfolding-keeness-factor=1.5'
 '-fspecialise' '-fstrictness']",norm,2.313,2.313
21,a36c0a1d-ea8a-40c5-bfaa-3500aaee00c0,"['-O0' '-fomit-yields' '-fregs-graph' '-fregs-graph' '-fdicts-cheap'
 '-foptimal-applicative-do' '-fno-pre-inlining'
 '-funbox-small-strict-fields' '-fexcess-precision' '-fmax-worker-args=10'
 '-fstrictness-before=1' '-flate-dmd-anal' '-fdo-eta-reduction'
 '-fignore-asserts' '-fcse' '-fmax-worker-args=10'
 '-fsimpl-tick-factor=100' '-fno-pre-inlining' '-fenable-rewrite-rules'
 '-fregs-graph' '-fmax-inline-alloc-size=128' '-fcmm-sink']",norm,2.361,2.361
