,ID,Flags,Mode,Runtime,Elapsed_Time
0,-O0,['-O0'],norm,1.761,1.761
1,-O2,['-O2'],norm,1.736,1.736
2,95c071da-245a-4976-b42f-36de949159fd,"['-O0' '-fstatic-argument-transformation'
 '-fstatic-argument-transformation' '-foptimal-applicative-do'
 '-ffun-to-thunk' '-fspec-constr' '-fpedantic-bottoms' '-ffull-laziness'
 '-fsimplifier-phases=2' '-fmax-worker-args=10'
 '-fvectorisation-avoidance' '-funfolding-keeness-factor=1.5'
 '-fspecialise' '-floopification' '-fdo-eta-reduction'
 '-funbox-small-strict-fields']",norm,1.693,1.693
3,0d046320-d241-4681-8910-b4eafb28abfd,"['-O0' '-fignore-asserts' '-fliberate-case-threshold=2000' '-fcse'
 '-fsimpl-tick-factor=100' '-fspecialise' '-foptimal-applicative-do'
 '-ffull-laziness' '-fignore-interface-pragmas' '-flate-dmd-anal'
 '-fexcess-precision' '-funbox-small-strict-fields' '-fcse'
 '-funfolding-creation-threshold=750' '-fdmd-tx-dict-sel'
 '-fvectorisation-avoidance']",norm,1.773,1.773
4,4068d684-f6c4-464b-bcf2-0d1c44059463,"['-O0' '-fworker-wrapper' '-fmax-worker-args=10' '-fstrictness'
 '-feager-blackholing' '-fsimpl-tick-factor=100' '-fignore-asserts'
 '-fmax-inline-memset-insns=32' '-fregs-iterative' '-floopification'
 '-fignore-interface-pragmas' '-fomit-interface-pragmas' '-fvectorise'
 '-fliberate-case-threshold=2000' '-fpedantic-bottoms'
 '-fpedantic-bottoms']",norm,1.736,1.736
5,d9c8b3c1-a1bf-48c5-9288-f43b940690ce,"['-O0' '-funfolding-dict-discount=30' '-fmax-simplifier-iterations=4'
 '-foptimal-applicative-do' '-fmax-worker-args=10' '-fsimplifier-phases=2'
 '-fenable-rewrite-rules' '-fdicts-strict' '-fcmm-sink'
 '-funfolding-use-threshold=60' '-funfolding-use-threshold=60'
 '-fignore-interface-pragmas' '-fcall-arity' '-fomit-interface-pragmas'
 '-fomit-interface-pragmas' '-fstrictness-before=1']",norm,1.709,1.709
6,d1fb0dbc-5ac5-4140-8d37-69e3ab96f9ff,"['-O0' '-fdicts-strict' '-ffull-laziness' '-floopification'
 '-fomit-yields' '-fcmm-sink' '-fcross-module-specialise' '-fcmm-sink'
 '-fstrictness' '-funbox-strict-fields'
 '-funfolding-creation-threshold=750' '-fregs-iterative'
 '-fmax-inline-memcpy-insns=32' '-floopification' '-fdicts-strict'
 '-fdo-lambda-eta-expansion']",norm,1.718,1.718
7,2c9a2ecf-12a0-455d-a81b-a2f17147b2ba,"['-O0' '-fmax-simplifier-iterations=4' '-fsimplifier-phases=2'
 '-fstrictness' '-fomit-yields' '-fworker-wrapper'
 '-foptimal-applicative-do' '-fstatic-argument-transformation' '-fcse'
 '-fspecialise' '-fcall-arity' '-fdo-lambda-eta-expansion'
 '-fdo-eta-reduction' '-fspecialise' '-fignore-asserts'
 '-fstrictness-before=1']",norm,1.74,1.74
8,4e82f293-0f0d-427a-8479-bd1727ea63b7,"['-O0' '-fmax-worker-args=10' '-fstatic-argument-transformation'
 '-fno-opt-coercion' '-fdo-eta-reduction' '-fomit-interface-pragmas'
 '-fregs-iterative' '-funbox-strict-fields' '-fspec-constr-count=3'
 '-fworker-wrapper' '-fspec-constr-threshold=2000'
 '-fmax-inline-memcpy-insns=32' '-fcmm-sink' '-fmax-relevant-binds=6'
 '-fspec-constr-count=3' '-fspec-constr']",norm,1.706,1.706
9,db29b564-9781-4991-b3a7-0d31db638d1c,"['-O0' '-fstrictness-before=1' '-fsimplifier-phases=2' '-fspec-constr'
 '-fcmm-elim-common-blocks' '-fexpose-all-unfoldings'
 '-fmax-inline-alloc-size=128' '-ffull-laziness' '-fstrictness-before=1'
 '-ffun-to-thunk' '-fignore-asserts' '-fstrictness'
 '-fdo-lambda-eta-expansion' '-fcase-merge' '-fvectorisation-avoidance'
 '-fdicts-cheap']",norm,1.683,1.683
