,ID,Flags,Mode,Runtime,Elapsed_Time
0,-O0,['-O0'],fast,0.433,0.433
1,-O2,['-O2'],fast,0.435,0.435
2,d172f533-62d8-408d-9aa4-2ad2006ec468,"['-O0' '-fvectorise' '-fmax-inline-alloc-size=128' '-fpedantic-bottoms'
 '-fdicts-cheap' '-fliberate-case' '-floopification' '-fdo-eta-reduction'
 '-fcpr-anal' '-fcase-merge' '-fcross-module-specialise'
 '-fcmm-elim-common-blocks' '-fcross-module-specialise' '-fdicts-cheap'
 '-fspec-constr-threshold=2000' '-fdo-eta-reduction' '-fno-opt-coercion'
 '-fmax-inline-memcpy-insns=32' '-fmax-inline-memset-insns=32'
 '-feager-blackholing' '-funfolding-dict-discount=30' '-fcase-merge'
 '-fspec-constr' '-fmax-worker-args=10' '-ffull-laziness'
 '-fliberate-case' '-fignore-interface-pragmas' '-fliberate-case'
 '-fvectorise' '-fno-opt-coercion' '-fliberate-case' '-fomit-yields'
 '-fcse' '-fmax-inline-alloc-size=128' '-fexpose-all-unfoldings'
 '-fmax-relevant-binds=6' '-funfolding-fun-discount=60'
 '-fno-pre-inlining' '-fpedantic-bottoms' '-fdicts-strict'
 '-fexpose-all-unfoldings' '-fstrictness' '-fexpose-all-unfoldings'
 '-fcpr-anal' '-fliberate-case' '-funbox-small-strict-fields'
 '-fcase-merge' '-funfolding-creation-threshold=750' '-fliberate-case']",fast,0.437,0.437
3,44b86b85-ab29-431c-97c8-5b862bc7cd62,"['-O0' '-fregs-iterative' '-fvectorise' '-fpedantic-bottoms'
 '-fspec-constr' '-fvectorise' '-fspec-constr'
 '-fmax-simplifier-iterations=4' '-fsimplifier-phases=2' '-fcpr-anal'
 '-fregs-iterative' '-funfolding-fun-discount=60' '-fcmm-sink'
 '-fliberate-case' '-fcpr-anal' '-fcmm-elim-common-blocks'
 '-fregs-iterative' '-fmax-simplifier-iterations=4'
 '-fspec-constr-threshold=2000' '-fdmd-tx-dict-sel' '-fdmd-tx-dict-sel'
 '-funfolding-fun-discount=60' '-fdicts-cheap' '-fno-pre-inlining'
 '-funfolding-use-threshold=60' '-fspecialise' '-fworker-wrapper'
 '-fignore-asserts' '-fspec-constr-count=3' '-fcse'
 '-fignore-interface-pragmas' '-fspec-constr-threshold=2000'
 '-feager-blackholing' '-fomit-interface-pragmas' '-fregs-iterative'
 '-fworker-wrapper' '-fstrictness' '-funfolding-use-threshold=60'
 '-fomit-interface-pragmas' '-fspec-constr'
 '-funfolding-keeness-factor=1.5' '-fvectorise' '-fignore-asserts'
 '-fcmm-sink' '-flate-dmd-anal' '-fcross-module-specialise'
 '-fmax-inline-memset-insns=32' '-funfolding-dict-discount=30'
 '-fspec-constr-threshold=2000']",fast,0.437,0.437
4,8dd9b1ca-8dac-4002-a4b1-40e59fa76b66,"['-O0' '-fcpr-anal' '-fexpose-all-unfoldings' '-foptimal-applicative-do'
 '-fno-opt-coercion' '-fignore-asserts' '-ffun-to-thunk'
 '-funfolding-dict-discount=30' '-fno-pre-inlining'
 '-fliberate-case-threshold=2000' '-fliberate-case-threshold=2000'
 '-ffloat-in' '-funfolding-dict-discount=30' '-fdicts-cheap'
 '-fomit-yields' '-fstatic-argument-transformation' '-fignore-asserts'
 '-funfolding-creation-threshold=750' '-foptimal-applicative-do'
 '-fdo-lambda-eta-expansion' '-fregs-graph' '-funfolding-dict-discount=30'
 '-fmax-simplifier-iterations=4' '-fstrictness-before=1'
 '-fdmd-tx-dict-sel' '-ffun-to-thunk' '-fcmm-sink'
 '-fliberate-case-threshold=2000' '-funbox-strict-fields' '-fcse' '-fcse'
 '-fliberate-case-threshold=2000' '-foptimal-applicative-do'
 '-fcmm-elim-common-blocks' '-fpedantic-bottoms' '-flate-dmd-anal'
 '-fvectorisation-avoidance' '-fstatic-argument-transformation'
 '-fdicts-strict' '-ffloat-in' '-fmax-inline-alloc-size=128'
 '-fspec-constr' '-fdicts-cheap' '-fspecialise' '-floopification'
 '-funfolding-dict-discount=30' '-fenable-rewrite-rules' '-fcse' '-fcse']",fast,0.438,0.438
5,480ac9d2-20a8-4f9f-96c4-30d65ea9e1ed,"['-O0' '-ffull-laziness' '-fliberate-case-threshold=2000' '-fcse'
 '-fliberate-case' '-fvectorise' '-fliberate-case-threshold=2000'
 '-ffloat-in' '-fstatic-argument-transformation' '-fno-pre-inlining'
 '-fpedantic-bottoms' '-fomit-yields' '-ffloat-in' '-fworker-wrapper'
 '-fstrictness' '-fvectorise' '-fmax-inline-alloc-size=128'
 '-fpedantic-bottoms' '-fstrictness-before=1' '-fcmm-sink'
 '-fdo-eta-reduction' '-fstatic-argument-transformation'
 '-funbox-strict-fields' '-fmax-inline-memset-insns=32' '-ffloat-in'
 '-fregs-iterative' '-ffloat-in' '-fno-opt-coercion' '-ffun-to-thunk'
 '-fmax-inline-memcpy-insns=32' '-fdo-lambda-eta-expansion'
 '-fcross-module-specialise' '-funfolding-creation-threshold=750'
 '-feager-blackholing' '-fvectorisation-avoidance' '-fdmd-tx-dict-sel'
 '-fvectorisation-avoidance' '-fstrictness' '-fcross-module-specialise'
 '-fmax-inline-alloc-size=128' '-funbox-strict-fields'
 '-fmax-simplifier-iterations=4' '-fspec-constr'
 '-funfolding-creation-threshold=750' '-fmax-inline-memset-insns=32'
 '-ffull-laziness' '-fomit-interface-pragmas'
 '-fmax-simplifier-iterations=4' '-fenable-rewrite-rules']",fast,0.434,0.434
6,3f0714ba-e685-459a-ac75-1cd0492053be,"['-O0' '-fliberate-case-threshold=2000' '-foptimal-applicative-do'
 '-fmax-relevant-binds=6' '-fcall-arity' '-fmax-inline-memset-insns=32'
 '-fenable-rewrite-rules' '-fdo-lambda-eta-expansion'
 '-fmax-inline-memset-insns=32' '-fregs-iterative' '-fomit-yields'
 '-fdo-lambda-eta-expansion' '-foptimal-applicative-do' '-fregs-graph'
 '-fvectorisation-avoidance' '-fomit-interface-pragmas'
 '-fspec-constr-threshold=2000' '-fmax-relevant-binds=6'
 '-fsimpl-tick-factor=100' '-feager-blackholing'
 '-fcross-module-specialise' '-funfolding-creation-threshold=750'
 '-floopification' '-fdo-lambda-eta-expansion' '-fliberate-case'
 '-fvectorisation-avoidance' '-fcmm-sink' '-fdicts-strict'
 '-fignore-interface-pragmas' '-fspecialise' '-fdicts-strict'
 '-fstrictness' '-fspec-constr' '-fcse' '-fcase-merge' '-ffull-laziness'
 '-funfolding-use-threshold=60' '-fspec-constr' '-fdicts-cheap'
 '-fignore-interface-pragmas' '-fno-opt-coercion' '-fmax-worker-args=10'
 '-funbox-small-strict-fields' '-fliberate-case'
 '-funfolding-fun-discount=60' '-fmax-inline-memcpy-insns=32'
 '-funfolding-use-threshold=60' '-fregs-iterative' '-ffun-to-thunk']",fast,0.435,0.435
7,709c17ba-70c2-405a-a25d-57ec7aa30c8a,"['-O0' '-fexcess-precision' '-fdicts-strict'
 '-fliberate-case-threshold=2000' '-fdo-lambda-eta-expansion'
 '-funbox-small-strict-fields' '-fspec-constr-count=3'
 '-fenable-rewrite-rules' '-funbox-small-strict-fields'
 '-fcross-module-specialise' '-fenable-rewrite-rules'
 '-funfolding-keeness-factor=1.5' '-fregs-iterative' '-fcall-arity'
 '-funfolding-keeness-factor=1.5' '-fliberate-case-threshold=2000'
 '-fcall-arity' '-fignore-interface-pragmas' '-fspec-constr-count=3'
 '-funbox-small-strict-fields' '-fregs-iterative'
 '-fmax-inline-memset-insns=32' '-fmax-relevant-binds=6' '-fregs-graph'
 '-funfolding-dict-discount=30' '-fcpr-anal' '-fdo-eta-reduction'
 '-fsimpl-tick-factor=100' '-fdo-lambda-eta-expansion' '-ffull-laziness'
 '-fignore-interface-pragmas' '-fregs-iterative' '-fregs-iterative'
 '-fspec-constr' '-fspecialise' '-fspec-constr' '-floopification'
 '-ffloat-in' '-fno-opt-coercion' '-fmax-inline-memcpy-insns=32'
 '-fignore-interface-pragmas' '-fspecialise' '-flate-dmd-anal'
 '-feager-blackholing' '-fcse' '-fexcess-precision' '-fcase-merge'
 '-fmax-inline-memcpy-insns=32' '-fcross-module-specialise']",fast,0.438,0.438
8,3b5f23fd-0e9c-4d84-a907-ad64bcb99491,"['-O0' '-fspecialise' '-fmax-worker-args=10' '-fspec-constr-count=3'
 '-funfolding-creation-threshold=750' '-fcross-module-specialise'
 '-fmax-worker-args=10' '-fdicts-cheap' '-funbox-small-strict-fields'
 '-fno-opt-coercion' '-funfolding-fun-discount=60' '-fpedantic-bottoms'
 '-ffull-laziness' '-fno-state-hack' '-fno-opt-coercion'
 '-funfolding-creation-threshold=750' '-fcmm-elim-common-blocks'
 '-fliberate-case-threshold=2000' '-funfolding-fun-discount=60'
 '-fmax-inline-memcpy-insns=32' '-funfolding-creation-threshold=750'
 '-fmax-relevant-binds=6' '-fregs-graph' '-funbox-small-strict-fields'
 '-fmax-relevant-binds=6' '-funfolding-use-threshold=60' '-fstrictness'
 '-fenable-rewrite-rules' '-fmax-relevant-binds=6'
 '-foptimal-applicative-do' '-fomit-interface-pragmas'
 '-funfolding-dict-discount=30' '-floopification' '-fcmm-sink'
 '-flate-dmd-anal' '-fexcess-precision' '-fcross-module-specialise'
 '-floopification' '-fignore-asserts' '-funfolding-use-threshold=60'
 '-ffloat-in' '-fdo-lambda-eta-expansion' '-fcmm-sink'
 '-funbox-small-strict-fields' '-ffloat-in' '-fvectorisation-avoidance'
 '-fcse' '-fstrictness' '-fstatic-argument-transformation']",fast,0.436,0.436
9,d8279d90-170c-49c1-b232-60e78d696ea8,"['-O0' '-fexpose-all-unfoldings' '-fomit-interface-pragmas'
 '-fignore-interface-pragmas' '-funfolding-use-threshold=60'
 '-funfolding-fun-discount=60' '-fno-state-hack'
 '-fmax-inline-alloc-size=128' '-fspec-constr-threshold=2000'
 '-fcmm-elim-common-blocks' '-fpedantic-bottoms'
 '-funfolding-use-threshold=60' '-fspecialise' '-feager-blackholing'
 '-fsimpl-tick-factor=100' '-fmax-relevant-binds=6' '-floopification'
 '-fcse' '-flate-dmd-anal' '-fignore-interface-pragmas'
 '-fmax-inline-alloc-size=128' '-fomit-interface-pragmas'
 '-fexpose-all-unfoldings' '-fcmm-sink' '-fcse' '-fcase-merge'
 '-fliberate-case-threshold=2000' '-foptimal-applicative-do'
 '-fspec-constr-count=3' '-fvectorisation-avoidance' '-ffull-laziness'
 '-fcall-arity' '-fmax-relevant-binds=6' '-fmax-inline-memcpy-insns=32'
 '-fno-pre-inlining' '-foptimal-applicative-do' '-fliberate-case'
 '-ffloat-in' '-fstrictness' '-fdo-lambda-eta-expansion' '-fdicts-cheap'
 '-fomit-interface-pragmas' '-fstrictness-before=1'
 '-funfolding-creation-threshold=750' '-ffull-laziness'
 '-fspec-constr-threshold=2000' '-fomit-interface-pragmas' '-fomit-yields'
 '-fspec-constr-count=3']",fast,0.435,0.435
