,ID,Flags,Mode,Runtime,Elapsed_Time
0,-O0,['-O0'],fast,0.315,0.315
1,-O2,['-O2'],fast,0.314,0.314
2,fa1f67a1-5911-4bb1-a25c-8b8a537fa40b,"['-O0' '-fpedantic-bottoms' '-funfolding-dict-discount=30'
 '-funfolding-dict-discount=30' '-funfolding-keeness-factor=1.5'
 '-fspec-constr-threshold=2000' '-fmax-worker-args=10' '-fcase-merge'
 '-fcmm-sink' '-foptimal-applicative-do' '-fomit-yields'
 '-fstatic-argument-transformation' '-fexpose-all-unfoldings'
 '-fdmd-tx-dict-sel' '-floopification' '-fcpr-anal'
 '-fspec-constr-threshold=2000' '-fcpr-anal' '-fdmd-tx-dict-sel'
 '-fdicts-strict' '-fexcess-precision' '-fcmm-elim-common-blocks'
 '-fdicts-cheap' '-fsimplifier-phases=2' '-ffun-to-thunk'
 '-fexpose-all-unfoldings' '-fspecialise' '-fcse' '-fvectorise'
 '-fexcess-precision' '-fspec-constr-count=3'
 '-funbox-small-strict-fields' '-fno-state-hack']",fast,0.316,0.316
3,1c8aa34d-ec0a-4320-b23d-10e7a63f3eec,"['-O0' '-fdicts-strict' '-fcmm-sink' '-fregs-graph' '-fregs-iterative'
 '-fmax-simplifier-iterations=4' '-fcmm-sink' '-fmax-worker-args=10'
 '-ffloat-in' '-fstrictness-before=1' '-fmax-inline-alloc-size=128'
 '-floopification' '-flate-dmd-anal' '-fsimpl-tick-factor=100'
 '-flate-dmd-anal' '-fno-opt-coercion' '-fsimplifier-phases=2'
 '-fregs-iterative' '-fno-opt-coercion' '-fignore-asserts' '-fcase-merge'
 '-fspecialise' '-fspec-constr' '-fexpose-all-unfoldings'
 '-funfolding-dict-discount=30' '-ffloat-in' '-floopification'
 '-ffull-laziness' '-fspec-constr-threshold=2000'
 '-foptimal-applicative-do' '-funbox-strict-fields'
 '-fomit-interface-pragmas' '-fignore-interface-pragmas']",fast,0.312,0.312
4,937c45c9-5a96-499d-9bc7-bf30f573f843,"['-O0' '-fno-pre-inlining' '-fliberate-case' '-fsimplifier-phases=2'
 '-fno-pre-inlining' '-fcall-arity' '-fignore-asserts' '-fspec-constr'
 '-fspec-constr-threshold=2000' '-fstrictness-before=1'
 '-fsimpl-tick-factor=100' '-ffloat-in' '-floopification' '-fdicts-cheap'
 '-fignore-asserts' '-feager-blackholing' '-fdicts-strict'
 '-funfolding-creation-threshold=750' '-fliberate-case-threshold=2000'
 '-fdo-lambda-eta-expansion' '-fspec-constr-count=3'
 '-fmax-simplifier-iterations=4' '-fmax-inline-alloc-size=128'
 '-fomit-yields' '-fregs-iterative' '-fmax-inline-memcpy-insns=32'
 '-fregs-iterative' '-funfolding-dict-discount=30' '-fsimplifier-phases=2'
 '-fmax-inline-memset-insns=32' '-flate-dmd-anal' '-fstrictness-before=1'
 '-funfolding-use-threshold=60']",fast,0.314,0.314
5,c6298e9a-52cf-49ab-8a14-68bfa53fb98b,"['-O0' '-fcmm-elim-common-blocks' '-fmax-relevant-binds=6'
 '-fmax-inline-memset-insns=32' '-ffull-laziness' '-funbox-strict-fields'
 '-funbox-small-strict-fields' '-ffun-to-thunk' '-fspec-constr'
 '-ffull-laziness' '-fspec-constr' '-fsimpl-tick-factor=100'
 '-fomit-yields' '-fcase-merge' '-foptimal-applicative-do'
 '-fregs-iterative' '-fignore-interface-pragmas' '-fsimplifier-phases=2'
 '-fmax-inline-memset-insns=32' '-fmax-inline-alloc-size=128'
 '-foptimal-applicative-do' '-fmax-relevant-binds=6' '-fexcess-precision'
 '-fcase-merge' '-fworker-wrapper' '-ffloat-in' '-fcse' '-fcse'
 '-fstatic-argument-transformation' '-fcross-module-specialise'
 '-fliberate-case' '-fno-pre-inlining' '-fsimplifier-phases=2']",fast,0.313,0.313
6,4d11cc6f-2c2f-4426-866d-5b4e01c829ea,"['-O0' '-ffun-to-thunk' '-fexpose-all-unfoldings' '-fdicts-strict'
 '-funfolding-dict-discount=30' '-fmax-inline-alloc-size=128'
 '-fenable-rewrite-rules' '-feager-blackholing' '-fspec-constr'
 '-fdicts-strict' '-fdicts-cheap' '-fno-opt-coercion'
 '-funfolding-creation-threshold=750' '-fstrictness'
 '-fcmm-elim-common-blocks' '-fignore-asserts' '-fno-opt-coercion'
 '-fvectorise' '-fmax-inline-memset-insns=32'
 '-fmax-inline-alloc-size=128' '-fcmm-elim-common-blocks'
 '-fpedantic-bottoms' '-fomit-yields' '-funbox-small-strict-fields'
 '-foptimal-applicative-do' '-fmax-inline-memset-insns=32'
 '-fsimplifier-phases=2' '-fmax-relevant-binds=6' '-ffloat-in'
 '-fworker-wrapper' '-fenable-rewrite-rules'
 '-fspec-constr-threshold=2000' '-funfolding-fun-discount=60']",fast,0.314,0.314
7,df86ff9a-5364-42dd-a48f-bb36096c2f8e,"['-O0' '-fdicts-strict' '-fenable-rewrite-rules'
 '-fmax-simplifier-iterations=4' '-fno-opt-coercion'
 '-foptimal-applicative-do' '-funfolding-fun-discount=60'
 '-foptimal-applicative-do' '-ffun-to-thunk' '-fregs-iterative'
 '-fmax-inline-memcpy-insns=32' '-fsimplifier-phases=2' '-fcmm-sink'
 '-fdo-eta-reduction' '-fmax-inline-memset-insns=32' '-fcse'
 '-fcall-arity' '-fmax-inline-memcpy-insns=32' '-fstrictness-before=1'
 '-fcmm-sink' '-fliberate-case-threshold=2000'
 '-fliberate-case-threshold=2000' '-fomit-interface-pragmas'
 '-fignore-asserts' '-fmax-simplifier-iterations=4'
 '-fspec-constr-count=3' '-floopification' '-ffloat-in' '-floopification'
 '-fomit-yields' '-fliberate-case' '-fcase-merge' '-fvectorise']",fast,0.312,0.312
8,e355dc39-b14b-4c1f-803f-367981ef498f,"['-O0' '-fmax-simplifier-iterations=4' '-fdicts-cheap'
 '-fignore-interface-pragmas' '-fstrictness' '-fpedantic-bottoms'
 '-fenable-rewrite-rules' '-ffloat-in' '-fcross-module-specialise'
 '-foptimal-applicative-do' '-fexpose-all-unfoldings' '-fregs-graph'
 '-fcmm-sink' '-funfolding-use-threshold=60' '-fregs-graph'
 '-floopification' '-fregs-graph' '-fmax-simplifier-iterations=4'
 '-funbox-small-strict-fields' '-flate-dmd-anal'
 '-foptimal-applicative-do' '-ffloat-in' '-flate-dmd-anal'
 '-funfolding-use-threshold=60' '-funbox-small-strict-fields'
 '-ffull-laziness' '-fliberate-case' '-fspec-constr'
 '-foptimal-applicative-do' '-fmax-inline-alloc-size=128'
 '-funfolding-creation-threshold=750' '-fmax-relevant-binds=6'
 '-funbox-small-strict-fields']",fast,0.313,0.313
9,19c9d494-44f7-43d2-8e1f-064511247371,"['-O0' '-fmax-inline-memcpy-insns=32' '-fspec-constr-count=3'
 '-fmax-simplifier-iterations=4' '-funfolding-keeness-factor=1.5'
 '-fomit-interface-pragmas' '-funfolding-fun-discount=60' '-fspec-constr'
 '-fworker-wrapper' '-fdmd-tx-dict-sel' '-fcpr-anal' '-fliberate-case'
 '-fliberate-case-threshold=2000' '-fvectorisation-avoidance'
 '-fcase-merge' '-fdo-eta-reduction' '-fvectorise' '-fsimplifier-phases=2'
 '-fregs-graph' '-fcross-module-specialise' '-fcmm-elim-common-blocks'
 '-fno-state-hack' '-funfolding-keeness-factor=1.5' '-feager-blackholing'
 '-funfolding-keeness-factor=1.5' '-funfolding-keeness-factor=1.5'
 '-fcase-merge' '-ffun-to-thunk' '-fexpose-all-unfoldings'
 '-flate-dmd-anal' '-funfolding-use-threshold=60' '-fstrictness-before=1'
 '-fdo-lambda-eta-expansion']",fast,0.313,0.313
10,f3396425-cf50-4649-9f0c-a613c154c260,"['-O0' '-funfolding-use-threshold=60' '-fworker-wrapper'
 '-fstatic-argument-transformation' '-fvectorisation-avoidance'
 '-fcmm-sink' '-feager-blackholing' '-fmax-simplifier-iterations=4'
 '-fspecialise' '-funfolding-use-threshold=60'
 '-funfolding-fun-discount=60' '-feager-blackholing'
 '-fexpose-all-unfoldings' '-fstatic-argument-transformation'
 '-fenable-rewrite-rules' '-fspec-constr-count=3'
 '-fmax-simplifier-iterations=4' '-fmax-inline-memset-insns=32'
 '-funfolding-creation-threshold=750' '-ffull-laziness'
 '-fpedantic-bottoms' '-fliberate-case' '-fregs-iterative'
 '-fmax-relevant-binds=6' '-fmax-worker-args=10' '-fpedantic-bottoms'
 '-funbox-small-strict-fields' '-fcse' '-fpedantic-bottoms'
 '-fmax-inline-memcpy-insns=32' '-fcpr-anal' '-fno-pre-inlining'
 '-ffloat-in']",fast,0.316,0.316
11,d71c8f0e-256b-413e-aae0-de768937b895,"['-O0' '-fomit-interface-pragmas' '-fcross-module-specialise'
 '-fstrictness' '-fmax-inline-memset-insns=32' '-floopification'
 '-ffloat-in' '-fsimplifier-phases=2' '-ffull-laziness'
 '-fno-pre-inlining' '-fmax-worker-args=10' '-funfolding-use-threshold=60'
 '-fexcess-precision' '-fdo-eta-reduction' '-fcpr-anal' '-ffun-to-thunk'
 '-floopification' '-ffloat-in' '-funfolding-use-threshold=60'
 '-foptimal-applicative-do' '-ffull-laziness' '-fdo-eta-reduction'
 '-fcase-merge' '-ffloat-in' '-fdicts-strict' '-fdicts-strict'
 '-flate-dmd-anal' '-fpedantic-bottoms' '-fdicts-strict'
 '-fmax-inline-memset-insns=32' '-fexpose-all-unfoldings' '-fcall-arity'
 '-fmax-relevant-binds=6']",fast,0.314,0.314
12,67a95e4a-e186-4fdd-b605-86ef28f2712a,"['-O0' '-fdicts-cheap' '-fcmm-sink' '-fdicts-strict' '-fregs-iterative'
 '-fignore-interface-pragmas' '-fmax-inline-alloc-size=128' '-fcse'
 '-fcse' '-funfolding-use-threshold=60' '-fspec-constr-count=3'
 '-ffloat-in' '-fstatic-argument-transformation' '-fexpose-all-unfoldings'
 '-fcpr-anal' '-fdicts-cheap' '-ffun-to-thunk' '-fcmm-elim-common-blocks'
 '-fregs-iterative' '-fspecialise' '-fdmd-tx-dict-sel' '-fregs-graph'
 '-funfolding-use-threshold=60' '-foptimal-applicative-do'
 '-fdo-eta-reduction' '-fomit-yields' '-fmax-inline-memset-insns=32'
 '-funbox-strict-fields' '-fmax-worker-args=10' '-fenable-rewrite-rules'
 '-fspecialise' '-fvectorisation-avoidance' '-fspecialise']",fast,0.318,0.318
13,d502ea46-d915-4573-8486-a6792c9ea06d,"['-O0' '-fcross-module-specialise' '-fmax-simplifier-iterations=4'
 '-fdicts-cheap' '-fno-pre-inlining' '-fspecialise'
 '-fspec-constr-threshold=2000' '-fcall-arity' '-fcmm-sink'
 '-fcmm-elim-common-blocks' '-fcpr-anal' '-fcase-merge' '-ffloat-in'
 '-fomit-yields' '-funfolding-dict-discount=30'
 '-fmax-inline-memcpy-insns=32' '-funfolding-keeness-factor=1.5'
 '-fmax-relevant-binds=6' '-foptimal-applicative-do'
 '-fstrictness-before=1' '-fno-opt-coercion' '-fmax-relevant-binds=6'
 '-fcpr-anal' '-fmax-inline-memset-insns=32' '-fworker-wrapper'
 '-fpedantic-bottoms' '-fvectorisation-avoidance'
 '-funfolding-creation-threshold=750' '-funfolding-keeness-factor=1.5'
 '-ffloat-in' '-fmax-inline-memcpy-insns=32'
 '-fmax-inline-memcpy-insns=32' '-fliberate-case']",fast,0.313,0.313
14,b8e1de05-f5fa-4755-b821-f6176a852f45,"['-O0' '-fregs-iterative' '-fcmm-elim-common-blocks'
 '-fstatic-argument-transformation' '-fcse' '-fignore-interface-pragmas'
 '-fcall-arity' '-funfolding-keeness-factor=1.5'
 '-funfolding-use-threshold=60' '-funfolding-use-threshold=60'
 '-funbox-strict-fields' '-ffloat-in' '-funbox-small-strict-fields'
 '-fcase-merge' '-fregs-graph' '-fregs-graph' '-fspec-constr'
 '-funbox-small-strict-fields' '-fworker-wrapper'
 '-fcmm-elim-common-blocks' '-funfolding-keeness-factor=1.5'
 '-fcall-arity' '-flate-dmd-anal' '-fregs-iterative'
 '-fsimpl-tick-factor=100' '-ffloat-in' '-fcse' '-fregs-graph'
 '-funfolding-use-threshold=60' '-fvectorisation-avoidance'
 '-funbox-strict-fields' '-ffun-to-thunk' '-fno-opt-coercion']",fast,0.313,0.313
15,72ad5df9-f411-4856-b487-4d878e1e0bad,"['-O0' '-funfolding-fun-discount=60' '-fcmm-sink' '-ffun-to-thunk'
 '-fmax-inline-memset-insns=32' '-fregs-iterative'
 '-fsimpl-tick-factor=100' '-fomit-yields' '-fexcess-precision'
 '-ffloat-in' '-fcse' '-fliberate-case' '-funfolding-use-threshold=60'
 '-fregs-graph' '-feager-blackholing' '-fcse' '-floopification'
 '-funfolding-fun-discount=60' '-funfolding-dict-discount=30'
 '-fmax-inline-alloc-size=128' '-fliberate-case-threshold=2000'
 '-fno-pre-inlining' '-fno-opt-coercion' '-feager-blackholing'
 '-fmax-worker-args=10' '-fexcess-precision'
 '-funfolding-use-threshold=60' '-funfolding-creation-threshold=750'
 '-fignore-asserts' '-funfolding-keeness-factor=1.5'
 '-fspec-constr-threshold=2000' '-fspec-constr-count=3'
 '-funfolding-dict-discount=30']",fast,0.313,0.313
16,f273fa10-99ce-4f52-a48b-8ad50e0cd4c8,"['-O0' '-fmax-worker-args=10' '-fliberate-case-threshold=2000'
 '-fdicts-cheap' '-fmax-inline-memset-insns=32' '-fdicts-strict'
 '-floopification' '-fcpr-anal' '-fregs-graph' '-fomit-yields'
 '-fstatic-argument-transformation' '-fregs-graph'
 '-funbox-small-strict-fields' '-fregs-graph'
 '-funbox-small-strict-fields' '-fspec-constr-threshold=2000'
 '-fno-opt-coercion' '-fdicts-cheap' '-fvectorise' '-fworker-wrapper'
 '-fno-pre-inlining' '-fregs-graph' '-fdicts-strict' '-fdmd-tx-dict-sel'
 '-funfolding-fun-discount=60' '-fspec-constr-count=3' '-ffloat-in'
 '-fvectorisation-avoidance' '-fsimplifier-phases=2' '-fcase-merge'
 '-fmax-relevant-binds=6' '-fregs-iterative' '-fmax-inline-alloc-size=128']",fast,0.312,0.312
17,c233f404-0d6e-4fff-9c2d-4ce1270a209c,"['-O0' '-fmax-inline-alloc-size=128' '-floopification'
 '-fstatic-argument-transformation' '-fliberate-case-threshold=2000'
 '-fignore-asserts' '-floopification' '-fmax-inline-memcpy-insns=32'
 '-fvectorisation-avoidance' '-fspec-constr' '-fmax-worker-args=10'
 '-ffloat-in' '-fcross-module-specialise' '-ffull-laziness'
 '-fno-pre-inlining' '-fdicts-cheap' '-fvectorisation-avoidance'
 '-fcmm-elim-common-blocks' '-fregs-iterative'
 '-fmax-inline-memset-insns=32' '-fmax-inline-memcpy-insns=32'
 '-foptimal-applicative-do' '-fcse' '-fstrictness' '-fsimplifier-phases=2'
 '-fmax-inline-memset-insns=32' '-fpedantic-bottoms' '-fspec-constr'
 '-funfolding-keeness-factor=1.5' '-funfolding-keeness-factor=1.5'
 '-fliberate-case-threshold=2000' '-fignore-interface-pragmas'
 '-fliberate-case']",fast,0.315,0.315
