,ID,Flags,Mode,Runtime,Elapsed_Time
0,-O0,['-O0'],fast,0.314,0.314
1,-O2,['-O2'],fast,0.315,0.315
2,da8ed127-4f4d-4d19-877f-3eca95ff54b9,"['-O0' '-fvectorisation-avoidance' '-fspec-constr-threshold=2000'
 '-fmax-inline-memset-insns=32' '-ffull-laziness' '-fignore-asserts'
 '-fcross-module-specialise' '-fvectorise' '-funbox-small-strict-fields'
 '-fdicts-strict' '-fcmm-sink' '-fignore-interface-pragmas'
 '-fenable-rewrite-rules' '-ffloat-in' '-flate-dmd-anal'
 '-fexpose-all-unfoldings' '-fno-opt-coercion' '-fomit-interface-pragmas'
 '-fcpr-anal' '-fcall-arity' '-fspecialise'
 '-fliberate-case-threshold=2000' '-fexcess-precision' '-fignore-asserts'
 '-fignore-interface-pragmas' '-fliberate-case-threshold=2000'
 '-fenable-rewrite-rules' '-fdmd-tx-dict-sel' '-fexpose-all-unfoldings'
 '-ffloat-in']",fast,0.313,0.313
3,0507525e-abb7-4f80-86b8-2d71d51fddaf,"['-O0' '-fregs-graph' '-fspecialise' '-fstrictness' '-ffun-to-thunk'
 '-fcmm-sink' '-fspec-constr-count=3' '-fdicts-strict'
 '-fomit-interface-pragmas' '-fexpose-all-unfoldings' '-fworker-wrapper'
 '-fexcess-precision' '-fdo-eta-reduction' '-fsimplifier-phases=2'
 '-fmax-simplifier-iterations=4' '-fmax-inline-memcpy-insns=32'
 '-fignore-asserts' '-fcall-arity' '-ffull-laziness' '-fdicts-strict'
 '-fmax-worker-args=10' '-fliberate-case-threshold=2000'
 '-fcmm-elim-common-blocks' '-fstrictness-before=1' '-fmax-worker-args=10'
 '-fmax-inline-memcpy-insns=32' '-fspec-constr-count=3'
 '-fstrictness-before=1' '-fignore-interface-pragmas'
 '-fliberate-case-threshold=2000']",fast,0.314,0.314
4,ef52f06e-75be-4b53-9f8d-4bfa93f28642,"['-O0' '-fcse' '-fliberate-case' '-funfolding-keeness-factor=1.5'
 '-fmax-inline-alloc-size=128' '-fenable-rewrite-rules'
 '-funbox-small-strict-fields' '-fexpose-all-unfoldings'
 '-fno-pre-inlining' '-fcse' '-fmax-worker-args=10'
 '-fmax-simplifier-iterations=4' '-fenable-rewrite-rules'
 '-fexpose-all-unfoldings' '-fstrictness-before=1' '-fcase-merge'
 '-fomit-interface-pragmas' '-fno-state-hack' '-fomit-interface-pragmas'
 '-fmax-inline-memset-insns=32' '-fcse' '-fomit-yields' '-fvectorise'
 '-fcmm-elim-common-blocks' '-fcross-module-specialise'
 '-funfolding-creation-threshold=750' '-ffull-laziness'
 '-fignore-interface-pragmas' '-fenable-rewrite-rules'
 '-funfolding-keeness-factor=1.5']",fast,0.315,0.315
5,4b8b09e9-a2e4-4e69-9d9e-9b4eae0b3edf,"['-O0' '-fstatic-argument-transformation' '-fcross-module-specialise'
 '-fdicts-cheap' '-fvectorisation-avoidance' '-fpedantic-bottoms'
 '-fdicts-strict' '-fmax-inline-alloc-size=128' '-floopification'
 '-funfolding-fun-discount=60' '-fexpose-all-unfoldings' '-fdicts-cheap'
 '-fliberate-case-threshold=2000' '-fmax-relevant-binds=6'
 '-fmax-simplifier-iterations=4' '-ffun-to-thunk' '-fdo-eta-reduction'
 '-funfolding-fun-discount=60' '-funfolding-dict-discount=30'
 '-fvectorise' '-funbox-small-strict-fields'
 '-fspec-constr-threshold=2000' '-fcross-module-specialise'
 '-fstrictness-before=1' '-fsimpl-tick-factor=100' '-fstrictness-before=1'
 '-fdmd-tx-dict-sel' '-funbox-strict-fields' '-fregs-iterative'
 '-fno-pre-inlining']",fast,0.315,0.315
6,cf9f9920-4546-47a0-a989-c1addb7d7e69,"['-O0' '-fdicts-strict' '-fliberate-case' '-funfolding-keeness-factor=1.5'
 '-fdmd-tx-dict-sel' '-fmax-relevant-binds=6' '-ffloat-in'
 '-fmax-worker-args=10' '-fsimpl-tick-factor=100'
 '-fmax-inline-memset-insns=32' '-fexcess-precision' '-fstrictness'
 '-funfolding-fun-discount=60' '-fliberate-case-threshold=2000'
 '-fstrictness-before=1' '-fvectorise' '-feager-blackholing'
 '-funfolding-keeness-factor=1.5' '-fmax-simplifier-iterations=4'
 '-fsimpl-tick-factor=100' '-fcmm-elim-common-blocks' '-fcse'
 '-foptimal-applicative-do' '-ffull-laziness'
 '-funfolding-fun-discount=60' '-ffloat-in' '-fspec-constr'
 '-floopification' '-fstrictness' '-fexpose-all-unfoldings']",fast,0.316,0.316
7,a315e4af-f156-454a-b663-79f4ecc1d271,"['-O0' '-fregs-graph' '-fregs-iterative'
 '-funfolding-creation-threshold=750' '-funfolding-dict-discount=30'
 '-fstatic-argument-transformation' '-fmax-simplifier-iterations=4'
 '-fmax-relevant-binds=6' '-fcross-module-specialise' '-fpedantic-bottoms'
 '-floopification' '-fenable-rewrite-rules' '-fcmm-elim-common-blocks'
 '-fmax-relevant-binds=6' '-fcross-module-specialise' '-fno-state-hack'
 '-fcse' '-ffull-laziness' '-fsimpl-tick-factor=100'
 '-funfolding-dict-discount=30' '-funfolding-dict-discount=30'
 '-fcase-merge' '-ffloat-in' '-fdicts-cheap'
 '-funfolding-keeness-factor=1.5' '-fregs-graph' '-fspec-constr-count=3'
 '-fdicts-strict' '-funfolding-creation-threshold=750'
 '-funfolding-creation-threshold=750']",fast,0.315,0.315
8,ca62fcc1-fd86-4c19-b33a-15736c5af0f4,"['-O0' '-fdo-eta-reduction' '-fdmd-tx-dict-sel'
 '-fspec-constr-threshold=2000' '-fvectorisation-avoidance'
 '-fno-state-hack' '-ffloat-in' '-fcpr-anal' '-fcmm-sink'
 '-fexcess-precision' '-fspecialise' '-fcpr-anal'
 '-foptimal-applicative-do' '-ffloat-in' '-fmax-inline-alloc-size=128'
 '-fregs-iterative' '-foptimal-applicative-do'
 '-fmax-inline-alloc-size=128' '-fexpose-all-unfoldings' '-fdicts-cheap'
 '-fenable-rewrite-rules' '-fspec-constr-count=3' '-fcase-merge'
 '-fmax-simplifier-iterations=4' '-fcall-arity' '-fdicts-cheap'
 '-fspec-constr-count=3' '-fspec-constr' '-fcross-module-specialise'
 '-fregs-graph']",fast,0.315,0.315
9,7209f036-43b2-48b1-b6d1-37c9b8264be8,"['-O0' '-fcpr-anal' '-fenable-rewrite-rules' '-ffull-laziness'
 '-fomit-yields' '-fmax-inline-memcpy-insns=32' '-fregs-graph'
 '-fspec-constr-count=3' '-flate-dmd-anal' '-fmax-inline-alloc-size=128'
 '-fmax-inline-alloc-size=128' '-fcall-arity' '-fcross-module-specialise'
 '-fstrictness-before=1' '-floopification' '-fcross-module-specialise'
 '-fcase-merge' '-fpedantic-bottoms' '-fcpr-anal'
 '-fsimpl-tick-factor=100' '-fmax-worker-args=10' '-fstrictness-before=1'
 '-fno-state-hack' '-funfolding-keeness-factor=1.5'
 '-fspec-constr-count=3' '-fregs-graph' '-fcross-module-specialise'
 '-fmax-inline-alloc-size=128' '-fspecialise'
 '-funfolding-dict-discount=30']",fast,0.315,0.315
