,ID,Flags,Mode,Runtime,Elapsed_Time
0,-O0,['-O0'],fast,3.65,3.65
1,-O2,['-O2'],fast,3.619,3.619
2,234fa444-2c2d-42de-ab38-b979a93bdf4e,"['-O0' '-funfolding-keeness-factor=1.5' '-fdicts-cheap'
 '-fmax-simplifier-iterations=4' '-fignore-interface-pragmas'
 '-fenable-rewrite-rules' '-feager-blackholing' '-fcase-merge'
 '-fomit-interface-pragmas' '-funbox-small-strict-fields' '-fstrictness'
 '-fcse' '-fenable-rewrite-rules' '-fregs-graph' '-flate-dmd-anal'
 '-foptimal-applicative-do' '-fvectorisation-avoidance' '-flate-dmd-anal'
 '-fmax-simplifier-iterations=4' '-fstrictness' '-fenable-rewrite-rules'
 '-ffull-laziness' '-fvectorisation-avoidance' '-fspecialise'
 '-fsimplifier-phases=2' '-fliberate-case' '-fregs-iterative'
 '-fexpose-all-unfoldings' '-fmax-inline-memcpy-insns=32'
 '-fmax-relevant-binds=6' '-ffun-to-thunk' '-ffun-to-thunk'
 '-fmax-worker-args=10' '-funfolding-creation-threshold=750'
 '-fstatic-argument-transformation' '-foptimal-applicative-do'
 '-fmax-simplifier-iterations=4' '-fspec-constr' '-fdicts-cheap'
 '-fsimplifier-phases=2' '-foptimal-applicative-do' '-fcmm-sink'
 '-fdo-lambda-eta-expansion' '-fcall-arity' '-fdo-lambda-eta-expansion']",fast,3.654,3.654
3,35ecdc52-c8e4-4d73-a9ad-578da9022d99,"['-O0' '-fmax-simplifier-iterations=4' '-fignore-asserts'
 '-fno-state-hack' '-fno-pre-inlining'
 '-funfolding-creation-threshold=750' '-fvectorisation-avoidance'
 '-fstrictness-before=1' '-fcmm-sink' '-fworker-wrapper' '-ffloat-in'
 '-fpedantic-bottoms' '-fdicts-cheap' '-flate-dmd-anal'
 '-fomit-interface-pragmas' '-fexcess-precision' '-fspecialise'
 '-fspecialise' '-fcross-module-specialise' '-fcall-arity'
 '-funbox-small-strict-fields' '-fignore-asserts' '-fliberate-case'
 '-fspec-constr' '-funfolding-dict-discount=30' '-fvectorise'
 '-fliberate-case' '-fstrictness' '-fstrictness-before=1' '-ffun-to-thunk'
 '-funfolding-creation-threshold=750' '-fomit-interface-pragmas'
 '-fdo-eta-reduction' '-fsimplifier-phases=2' '-fregs-iterative'
 '-fexpose-all-unfoldings' '-fcse' '-fpedantic-bottoms'
 '-fstrictness-before=1' '-fmax-relevant-binds=6'
 '-fmax-simplifier-iterations=4' '-feager-blackholing'
 '-fsimpl-tick-factor=100' '-fcross-module-specialise' '-fdicts-cheap']",fast,3.632,3.632
4,4a51d6d5-53a3-4df8-9852-29c332991f6a,"['-O0' '-fno-state-hack' '-fmax-inline-memset-insns=32'
 '-feager-blackholing' '-fmax-worker-args=10'
 '-funfolding-dict-discount=30' '-fmax-worker-args=10' '-fspec-constr'
 '-fcmm-sink' '-fmax-inline-memcpy-insns=32' '-fexcess-precision'
 '-fno-opt-coercion' '-fomit-yields' '-fno-state-hack' '-fregs-iterative'
 '-ffloat-in' '-fstrictness' '-fcmm-elim-common-blocks'
 '-funfolding-creation-threshold=750' '-foptimal-applicative-do'
 '-fvectorisation-avoidance' '-fvectorise' '-fdo-lambda-eta-expansion'
 '-fdo-lambda-eta-expansion' '-fliberate-case' '-fdo-eta-reduction'
 '-funfolding-fun-discount=60' '-fsimpl-tick-factor=100'
 '-fignore-asserts' '-fvectorisation-avoidance' '-fno-pre-inlining'
 '-fdicts-strict' '-fregs-iterative' '-fomit-yields' '-fstrictness'
 '-fspecialise' '-fcase-merge' '-foptimal-applicative-do'
 '-feager-blackholing' '-fomit-interface-pragmas' '-fspec-constr-count=3'
 '-fomit-interface-pragmas' '-fdmd-tx-dict-sel'
 '-funfolding-fun-discount=60' '-fmax-inline-alloc-size=128']",fast,3.628,3.628
5,64407f42-5507-48a7-ac75-867886a109ba,"['-O0' '-fvectorise' '-fcase-merge' '-fliberate-case-threshold=2000'
 '-fomit-interface-pragmas' '-ffun-to-thunk' '-fspec-constr' '-fvectorise'
 '-fstrictness' '-fmax-inline-memset-insns=32'
 '-fmax-inline-alloc-size=128' '-fstrictness-before=1'
 '-fdo-eta-reduction' '-floopification' '-fliberate-case-threshold=2000'
 '-fdicts-strict' '-fpedantic-bottoms' '-foptimal-applicative-do'
 '-funfolding-dict-discount=30' '-fspec-constr-count=3'
 '-fspec-constr-threshold=2000' '-fno-pre-inlining' '-fignore-asserts'
 '-fsimplifier-phases=2' '-feager-blackholing' '-fcmm-elim-common-blocks'
 '-fno-opt-coercion' '-fignore-interface-pragmas' '-fregs-iterative'
 '-fcmm-sink' '-funfolding-dict-discount=30'
 '-fspec-constr-threshold=2000' '-fsimplifier-phases=2' '-fcse'
 '-fcall-arity' '-fspec-constr-count=3' '-fspecialise'
 '-funbox-strict-fields' '-fexpose-all-unfoldings' '-fdicts-strict'
 '-fcall-arity' '-fmax-simplifier-iterations=4' '-fvectorise'
 '-funfolding-creation-threshold=750' '-fmax-simplifier-iterations=4']",fast,3.706,3.706
6,92c8dff7-f52b-4ed5-a39f-93327fc48476,"['-O0' '-floopification' '-fstatic-argument-transformation'
 '-fliberate-case-threshold=2000' '-funbox-small-strict-fields'
 '-fcpr-anal' '-fexpose-all-unfoldings' '-floopification' '-fomit-yields'
 '-fstrictness' '-fomit-interface-pragmas' '-fmax-relevant-binds=6'
 '-fstrictness' '-funfolding-keeness-factor=1.5' '-fno-state-hack'
 '-fno-pre-inlining' '-ffun-to-thunk' '-fdicts-cheap' '-fcall-arity'
 '-fsimpl-tick-factor=100' '-fdo-lambda-eta-expansion' '-fregs-iterative'
 '-funfolding-use-threshold=60' '-foptimal-applicative-do'
 '-fstrictness-before=1' '-fenable-rewrite-rules'
 '-funfolding-creation-threshold=750' '-fcpr-anal' '-fworker-wrapper'
 '-fsimpl-tick-factor=100' '-fomit-yields' '-ffun-to-thunk'
 '-funbox-small-strict-fields' '-foptimal-applicative-do' '-fvectorise'
 '-fmax-relevant-binds=6' '-fcase-merge' '-fmax-inline-memset-insns=32'
 '-fdicts-cheap' '-fspec-constr-count=3' '-fmax-inline-memset-insns=32'
 '-fignore-interface-pragmas' '-fliberate-case'
 '-fliberate-case-threshold=2000' '-fmax-inline-alloc-size=128']",fast,3.639,3.639
7,2e34569f-d7fb-4e8a-94e4-15a11ffdbbef,"['-O0' '-ffull-laziness' '-ffun-to-thunk' '-feager-blackholing'
 '-funbox-small-strict-fields' '-funfolding-dict-discount=30'
 '-feager-blackholing' '-fsimpl-tick-factor=100' '-fdo-eta-reduction'
 '-fcmm-sink' '-fvectorise' '-fregs-graph' '-fspec-constr-count=3'
 '-fmax-inline-memcpy-insns=32' '-funfolding-keeness-factor=1.5'
 '-funfolding-keeness-factor=1.5' '-fcse' '-fregs-iterative' '-fcmm-sink'
 '-feager-blackholing' '-fno-state-hack' '-funbox-strict-fields'
 '-funfolding-fun-discount=60' '-ffull-laziness' '-fstrictness'
 '-fspec-constr-count=3' '-fspec-constr-threshold=2000'
 '-fmax-inline-memset-insns=32' '-fcross-module-specialise'
 '-funfolding-dict-discount=30' '-funbox-strict-fields' '-floopification'
 '-fmax-worker-args=10' '-ffull-laziness' '-fno-state-hack' '-fstrictness'
 '-fmax-inline-memset-insns=32' '-fstrictness' '-fdmd-tx-dict-sel'
 '-fcall-arity' '-fmax-inline-memset-insns=32'
 '-funfolding-keeness-factor=1.5' '-fno-pre-inlining' '-fregs-graph'
 '-fspec-constr-count=3']",fast,3.59,3.59
8,f529029b-84a7-4b99-8aeb-f9f3f008c90b,"['-O0' '-fcmm-sink' '-fcall-arity' '-fcpr-anal' '-fno-opt-coercion'
 '-fstatic-argument-transformation' '-fregs-iterative'
 '-fcmm-elim-common-blocks' '-fmax-worker-args=10' '-fmax-worker-args=10'
 '-foptimal-applicative-do' '-fworker-wrapper' '-fno-state-hack'
 '-fcall-arity' '-fregs-iterative' '-fliberate-case-threshold=2000'
 '-floopification' '-ffun-to-thunk' '-fliberate-case-threshold=2000'
 '-fcmm-elim-common-blocks' '-fvectorisation-avoidance'
 '-fmax-inline-memcpy-insns=32' '-floopification' '-fexcess-precision'
 '-fdo-lambda-eta-expansion' '-funfolding-fun-discount=60'
 '-fomit-interface-pragmas' '-fmax-simplifier-iterations=4' '-fregs-graph'
 '-fomit-interface-pragmas' '-fsimpl-tick-factor=100'
 '-fenable-rewrite-rules' '-ffun-to-thunk' '-funbox-small-strict-fields'
 '-fspec-constr-threshold=2000' '-fvectorisation-avoidance' '-fvectorise'
 '-fcpr-anal' '-fcse' '-fdo-eta-reduction' '-fexpose-all-unfoldings'
 '-funfolding-creation-threshold=750' '-ffun-to-thunk'
 '-fmax-inline-memcpy-insns=32' '-fspec-constr']",fast,3.62,3.62
9,ef3ccc4e-0b87-4259-8cf5-256a722d4141,"['-O0' '-funfolding-dict-discount=30' '-fvectorisation-avoidance'
 '-fvectorise' '-fcpr-anal' '-fno-opt-coercion'
 '-funfolding-creation-threshold=750' '-fsimplifier-phases=2'
 '-fdmd-tx-dict-sel' '-fstrictness' '-flate-dmd-anal' '-fspecialise'
 '-funfolding-creation-threshold=750' '-funfolding-creation-threshold=750'
 '-fomit-interface-pragmas' '-flate-dmd-anal' '-fignore-asserts'
 '-fcross-module-specialise' '-fliberate-case-threshold=2000'
 '-fno-pre-inlining' '-fworker-wrapper' '-funfolding-fun-discount=60'
 '-funbox-small-strict-fields' '-ffun-to-thunk'
 '-fmax-simplifier-iterations=4' '-feager-blackholing' '-ffun-to-thunk'
 '-fmax-inline-memcpy-insns=32' '-funbox-strict-fields'
 '-funfolding-creation-threshold=750' '-fstatic-argument-transformation'
 '-fdo-eta-reduction' '-fmax-relevant-binds=6'
 '-funfolding-creation-threshold=750' '-fcross-module-specialise'
 '-fmax-inline-alloc-size=128' '-fstrictness-before=1'
 '-fenable-rewrite-rules' '-fstatic-argument-transformation'
 '-fpedantic-bottoms' '-floopification' '-fcall-arity'
 '-funbox-strict-fields' '-fliberate-case-threshold=2000'
 '-fexpose-all-unfoldings']",fast,3.618,3.618
