,ID,Flags,Mode,Runtime,Elapsed_Time
0,-O0,['-O0'],fast,,
1,-O2,['-O2'],fast,,
2,be654cb8-bd8c-4f07-8e7f-f8157a7b100a,"['-O0' '-fstatic-argument-transformation' '-fmax-inline-memset-insns=32'
 '-fliberate-case-threshold=2000' '-fregs-iterative' '-flate-dmd-anal'
 '-ffloat-in' '-feager-blackholing' '-fcall-arity'
 '-fenable-rewrite-rules' '-feager-blackholing']",fast,,
3,4a3d4622-2350-4780-8120-3e2cfae55ab4,"['-O0' '-fno-state-hack' '-fomit-interface-pragmas' '-fregs-graph' '-fcse'
 '-fmax-simplifier-iterations=4' '-fstrictness'
 '-fcross-module-specialise' '-funfolding-creation-threshold=750'
 '-fsimpl-tick-factor=100' '-fspec-constr']",fast,,
4,b7da6235-445a-4095-9bed-4372345ef823,"['-O0' '-fdo-lambda-eta-expansion' '-fcross-module-specialise'
 '-fmax-simplifier-iterations=4' '-fvectorise' '-fcall-arity'
 '-funbox-strict-fields' '-fignore-asserts' '-fdmd-tx-dict-sel'
 '-fstrictness' '-floopification']",fast,,
5,e80c084f-ad4f-4de1-a797-dff92733e61d,"['-O0' '-fliberate-case' '-ffun-to-thunk' '-fspec-constr'
 '-fmax-simplifier-iterations=4' '-fcall-arity'
 '-funfolding-use-threshold=60' '-fstatic-argument-transformation'
 '-fomit-interface-pragmas' '-fstrictness-before=1' '-fpedantic-bottoms']",fast,,
6,92e2d510-6b43-42ec-9c95-30321238d4b2,"['-O0' '-fcse' '-fmax-inline-memset-insns=32' '-fcross-module-specialise'
 '-fmax-simplifier-iterations=4' '-fspec-constr-threshold=2000'
 '-fspec-constr' '-fregs-iterative' '-fmax-worker-args=10'
 '-funfolding-keeness-factor=1.5' '-fdo-lambda-eta-expansion']",fast,,
7,54fd200b-2c8b-4a09-81ef-5fc57a39a28f,"['-O0' '-fenable-rewrite-rules' '-feager-blackholing'
 '-fspec-constr-threshold=2000' '-funbox-strict-fields'
 '-foptimal-applicative-do' '-fmax-relevant-binds=6'
 '-funfolding-keeness-factor=1.5' '-funbox-small-strict-fields'
 '-fdmd-tx-dict-sel' '-fdicts-cheap']",fast,,
8,f1279426-90e6-416f-bc2e-0b5abc8a9d82,"['-O0' '-funbox-strict-fields' '-funbox-small-strict-fields'
 '-fsimpl-tick-factor=100' '-funfolding-dict-discount=30'
 '-feager-blackholing' '-fmax-simplifier-iterations=4'
 '-foptimal-applicative-do' '-fomit-yields' '-fcross-module-specialise'
 '-fvectorise']",fast,,
9,7e2bc612-8717-4b9c-be58-bb63b4b58dde,"['-O0' '-fmax-inline-memcpy-insns=32' '-fcmm-elim-common-blocks'
 '-fstrictness' '-fno-state-hack' '-fenable-rewrite-rules'
 '-fdicts-strict' '-fcross-module-specialise' '-fcase-merge'
 '-fspec-constr-count=3' '-funfolding-creation-threshold=750']",fast,,
10,eca558db-b9e2-4916-9f2b-4e18f8c41fa3,"['-O0' '-fspec-constr-threshold=2000' '-fvectorise' '-fcpr-anal'
 '-fdicts-strict' '-ffloat-in' '-fcmm-sink' '-foptimal-applicative-do'
 '-fcall-arity' '-fregs-iterative' '-funfolding-use-threshold=60']",fast,,
11,5f0d36ac-8f37-4f86-85e2-adbdfc79aa95,"['-O0' '-fignore-interface-pragmas' '-fmax-relevant-binds=6'
 '-fcmm-elim-common-blocks' '-fdo-lambda-eta-expansion'
 '-fstrictness-before=1' '-fmax-relevant-binds=6'
 '-fmax-inline-memset-insns=32' '-fdicts-strict' '-fsimpl-tick-factor=100'
 '-fcmm-sink']",fast,,
12,794bf1f2-277e-47f9-bf84-86d7e1e95069,"['-O0' '-fcall-arity' '-fmax-inline-memset-insns=32'
 '-funfolding-use-threshold=60' '-fdo-eta-reduction' '-fdicts-strict'
 '-floopification' '-fcse' '-fdicts-strict' '-fomit-interface-pragmas'
 '-fsimpl-tick-factor=100']",fast,,
13,0b18bf57-4f15-4aa4-a034-1d971b3e26b2,"['-O0' '-fmax-relevant-binds=6' '-fmax-inline-memcpy-insns=32'
 '-fstatic-argument-transformation' '-fcross-module-specialise'
 '-fvectorise' '-feager-blackholing' '-funbox-strict-fields'
 '-fstrictness' '-fdmd-tx-dict-sel' '-fomit-interface-pragmas']",fast,,
14,549a588c-6c2a-4f99-8bf5-c4b833836718,"['-O0' '-fvectorisation-avoidance' '-funfolding-dict-discount=30'
 '-fmax-inline-memset-insns=32' '-fspec-constr' '-fsimplifier-phases=2'
 '-fmax-relevant-binds=6' '-fspec-constr' '-fcpr-anal'
 '-fdo-eta-reduction' '-fno-pre-inlining']",fast,,
15,b07abe00-6807-462e-8dd4-ac43d0735609,"['-O0' '-foptimal-applicative-do' '-fcase-merge'
 '-fvectorisation-avoidance' '-fvectorise' '-funfolding-dict-discount=30'
 '-fspec-constr-count=3' '-fvectorise' '-fworker-wrapper'
 '-funfolding-creation-threshold=750' '-ffun-to-thunk']",fast,,
16,8f885d16-249c-4908-bcb4-af4721f33fcb,"['-O0' '-fcase-merge' '-feager-blackholing' '-fomit-interface-pragmas'
 '-fdo-lambda-eta-expansion' '-fdicts-strict' '-fmax-worker-args=10'
 '-fenable-rewrite-rules' '-fcmm-elim-common-blocks'
 '-funbox-small-strict-fields' '-funbox-strict-fields']",fast,,
17,4ec09c01-acec-45e6-8042-2b975a3f676c,"['-O0' '-fdicts-strict' '-fvectorise' '-fdo-eta-reduction'
 '-fmax-inline-memset-insns=32' '-fexpose-all-unfoldings'
 '-fmax-simplifier-iterations=4' '-fignore-asserts' '-fregs-graph'
 '-fspec-constr' '-fvectorise']",fast,,
18,9f98c22b-bdaf-490e-8e2c-3cb9725ebce0,"['-O0' '-fno-opt-coercion' '-funfolding-creation-threshold=750'
 '-foptimal-applicative-do' '-fcmm-elim-common-blocks'
 '-funfolding-creation-threshold=750' '-fregs-iterative'
 '-fno-pre-inlining' '-fmax-relevant-binds=6'
 '-fmax-simplifier-iterations=4' '-fvectorisation-avoidance']",fast,,
19,cc4729a0-0a4d-4621-a9ad-4e87838f0fdf,"['-O0' '-fomit-interface-pragmas' '-fpedantic-bottoms'
 '-funbox-strict-fields' '-funfolding-fun-discount=60'
 '-funfolding-dict-discount=30' '-fdmd-tx-dict-sel' '-fdo-eta-reduction'
 '-fmax-inline-memcpy-insns=32' '-fcmm-sink' '-fomit-yields']",fast,,
20,45872267-5dd7-4053-9cfa-7c6de01f11cd,"['-O0' '-funfolding-use-threshold=60' '-fstrictness-before=1'
 '-fworker-wrapper' '-fomit-yields' '-fdmd-tx-dict-sel'
 '-fmax-simplifier-iterations=4' '-fignore-interface-pragmas'
 '-fvectorise' '-fmax-inline-memset-insns=32' '-flate-dmd-anal']",fast,,
21,2e83b036-81cf-43ca-81d5-3aa64b464d1a,"['-O0' '-fcmm-sink' '-fno-state-hack' '-funfolding-creation-threshold=750'
 '-fignore-asserts' '-fliberate-case-threshold=2000'
 '-fliberate-case-threshold=2000' '-fcmm-sink' '-fstrictness'
 '-fsimpl-tick-factor=100' '-fregs-graph']",fast,,
22,62011232-07c4-4758-ba6b-6f05f2de7ee5,"['-O0' '-flate-dmd-anal' '-fdmd-tx-dict-sel' '-fmax-worker-args=10'
 '-funfolding-dict-discount=30' '-fexpose-all-unfoldings' '-fcase-merge'
 '-fregs-iterative' '-ffun-to-thunk' '-fworker-wrapper'
 '-funfolding-dict-discount=30']",fast,,
23,62d6e171-3483-4266-8946-6918cb48b617,"['-O0' '-funfolding-keeness-factor=1.5' '-fcpr-anal'
 '-fcross-module-specialise' '-fno-state-hack' '-fmax-worker-args=10'
 '-fregs-iterative' '-fsimplifier-phases=2' '-fmax-inline-memset-insns=32'
 '-fsimpl-tick-factor=100' '-fmax-worker-args=10']",fast,,
24,3fe542a5-e092-488b-b26e-4663870b840a,"['-O0' '-fignore-interface-pragmas' '-fsimplifier-phases=2'
 '-fspec-constr' '-fregs-graph' '-fmax-worker-args=10'
 '-fexpose-all-unfoldings' '-fmax-inline-memset-insns=32'
 '-fexcess-precision' '-fworker-wrapper' '-fstrictness']",fast,,
