,ID,Mode,Flags,Runtime,Iteration,Best
0,-O0,fast,-O0,0.44,0,False
1,-O2,fast,-O2,0.445,0,False
2,75f7eee1-1a42-45cc-b125-a0758b8d4b9c,fast,"['-O0', '-funfolding-fun-discount=60', '-fworker-wrapper', '-fdicts-cheap', '-foptimal-applicative-do', '-fspec-constr', '-fspec-constr-count=3', '-fenable-rewrite-rules', '-fregs-graph', '-ffun-to-thunk', '-fvectorisation-avoidance', '-fspec-constr-threshold=2000', '-fmax-simplifier-iterations=4', '-fvectorise', '-fstrictness', '-fomit-yields', '-fno-pre-inlining', '-fmax-inline-alloc-size=128', '-fmax-inline-memcpy-insns=32', '-fsimpl-tick-factor=100', '-fexpose-all-unfoldings', '-fcase-merge', '-fdo-eta-reduction', '-fstatic-argument-transformation', '-ffull-laziness', '-fignore-interface-pragmas', '-fstrictness-before=1', '-fsimplifier-phases=2', '-feager-blackholing', '-funbox-strict-fields', '-fcall-arity', '-fdicts-strict', '-fcmm-elim-common-blocks', '-fignore-asserts', '-fexcess-precision', '-fdmd-tx-dict-sel', '-fpedantic-bottoms', '-fcross-module-specialise', '-fno-state-hack', '-funbox-small-strict-fields', '-fdo-lambda-eta-expansion', '-floopification', '-fcmm-sink', '-fregs-iterative', '-funfolding-keeness-factor=1.5', '-fmax-relevant-binds=6', '-funfolding-creation-threshold=750', '-fno-opt-coercion', '-fliberate-case', '-fspecialise', '-flate-dmd-anal', '-fmax-inline-memset-insns=32', '-fcpr-anal']",0.445,0,False
3,98f0d3ad-1c50-4e83-82ed-3fa88bc7926b,fast,"['-O0', '-fmax-simplifier-iterations=4', '-floopification', '-fcpr-anal', '-fmax-inline-alloc-size=128', '-fspec-constr-count=3', '-funfolding-keeness-factor=1.5', '-funfolding-use-threshold=60', '-fspecialise']",0.442,0,False
4,9e3c2a05-c44b-4c6c-a20c-842f0b0bcca1,fast,"['-O0', '-funfolding-creation-threshold=750', '-fstatic-argument-transformation', '-foptimal-applicative-do', '-fomit-interface-pragmas', '-fmax-worker-args=10', '-funbox-strict-fields', '-fexcess-precision', '-fmax-inline-memset-insns=32', '-fstrictness', '-fstrictness-before=1', '-feager-blackholing', '-floopification', '-funfolding-fun-discount=60', '-fmax-simplifier-iterations=4', '-fno-opt-coercion', '-flate-dmd-anal', '-funbox-small-strict-fields', '-fvectorise', '-fenable-rewrite-rules', '-fsimpl-tick-factor=100', '-fcall-arity', '-fvectorisation-avoidance', '-fspecialise', '-fsimplifier-phases=2', '-fliberate-case-threshold=2000', '-fomit-yields', '-fcmm-elim-common-blocks', '-fspec-constr-threshold=2000', '-fcross-module-specialise', '-funfolding-use-threshold=60', '-funfolding-keeness-factor=1.5', '-fignore-interface-pragmas', '-funfolding-dict-discount=30', '-fmax-inline-alloc-size=128', '-fspec-constr-count=3', '-fmax-relevant-binds=6', '-fdicts-strict', '-fignore-asserts', '-fcmm-sink', '-ffun-to-thunk', '-fno-pre-inlining', '-ffloat-in', '-fworker-wrapper', '-fregs-iterative', '-fno-state-hack']",0.443,0,False
5,8520b1f7-6b2f-4962-8c59-dced3b915ac8,fast,"['-O0', '-fcall-arity', '-fexcess-precision', '-fcpr-anal', '-fliberate-case-threshold=2000', '-fexpose-all-unfoldings', '-fomit-interface-pragmas', '-foptimal-applicative-do', '-fcmm-elim-common-blocks', '-ffull-laziness']",0.441,0,False
6,36f136dd-a978-4dfa-828b-ed251e39dce1,fast,"['-O0', '-fmax-worker-args=10', '-fcmm-elim-common-blocks', '-funfolding-fun-discount=60', '-fomit-yields', '-fvectorise', '-funbox-small-strict-fields', '-fspec-constr-threshold=2000', '-fspec-constr-count=3', '-fignore-asserts', '-fdicts-cheap', '-fregs-iterative', '-fno-pre-inlining', '-fcpr-anal']",0.441,0,False
7,c02851d4-584b-48e8-adbe-b7b44771a7a6,fast,"['-O0', '-fdicts-cheap', '-fdo-eta-reduction', '-fspec-constr', '-fexpose-all-unfoldings', '-fregs-graph', '-fcmm-sink', '-fno-opt-coercion', '-fomit-yields', '-fomit-interface-pragmas', '-fno-pre-inlining', '-fdicts-strict', '-fexcess-precision', '-fliberate-case-threshold=2000', '-ffun-to-thunk', '-fliberate-case', '-fcse', '-fdmd-tx-dict-sel', '-fignore-interface-pragmas', '-feager-blackholing', '-fdo-lambda-eta-expansion', '-fsimplifier-phases=2', '-fno-state-hack', '-fcross-module-specialise', '-fspec-constr-count=3', '-fmax-inline-alloc-size=128', '-funbox-small-strict-fields', '-fcpr-anal', '-fpedantic-bottoms', '-ffull-laziness', '-fmax-inline-memset-insns=32', '-fmax-inline-memcpy-insns=32', '-fregs-iterative', '-fmax-relevant-binds=6', '-foptimal-applicative-do', '-fsimpl-tick-factor=100', '-fvectorise', '-fstrictness', '-fcmm-elim-common-blocks', '-fworker-wrapper', '-funfolding-fun-discount=60', '-funfolding-dict-discount=30', '-fmax-worker-args=10', '-funbox-strict-fields']",0.437,0,True
8,352f8ee5-ca44-4949-a1a9-6cfc48fd599a,fast,"['-O0', '-fdicts-strict', '-foptimal-applicative-do', '-fstrictness', '-fomit-interface-pragmas', '-fvectorisation-avoidance', '-funfolding-keeness-factor=1.5', '-funfolding-dict-discount=30', '-fexpose-all-unfoldings', '-fliberate-case-threshold=2000', '-funfolding-creation-threshold=750', '-fcse', '-fmax-inline-memset-insns=32', '-ffun-to-thunk', '-fcall-arity']",0.442,0,False
9,683506e1-c9a0-45da-ac94-6ccfc111e30c,fast,"['-O0', '-ffun-to-thunk', '-fmax-inline-memcpy-insns=32']",0.441,0,False
