,ID,Flags,Mode,Runtime,Elapsed_Time
0,-O0,['-O0'],fast,0.441,0.441
1,-O2,['-O2'],fast,0.441,0.441
2,39b97f1b-38fd-4eaf-b3d5-6f15be4b87ba,"['-O0' '-fregs-graph' '-fignore-interface-pragmas' '-fpedantic-bottoms'
 '-fregs-graph' '-fcross-module-specialise' '-fcse'
 '-funbox-small-strict-fields' '-fdmd-tx-dict-sel' '-fdicts-cheap'
 '-fcmm-elim-common-blocks' '-ffloat-in' '-fworker-wrapper'
 '-fno-state-hack' '-fignore-interface-pragmas' '-fpedantic-bottoms'
 '-fpedantic-bottoms' '-fcase-merge' '-fdo-lambda-eta-expansion'
 '-fworker-wrapper' '-fno-state-hack' '-fmax-inline-memcpy-insns=32'
 '-fregs-iterative' '-fmax-inline-memcpy-insns=32'
 '-fsimpl-tick-factor=100' '-fstatic-argument-transformation'
 '-fpedantic-bottoms' '-fdicts-strict' '-flate-dmd-anal' '-fcase-merge'
 '-fno-state-hack' '-fstatic-argument-transformation' '-fstrictness'
 '-fpedantic-bottoms' '-fregs-iterative' '-fcse' '-funbox-strict-fields'
 '-fdicts-cheap' '-fcpr-anal' '-fcross-module-specialise' '-fspec-constr'
 '-fignore-interface-pragmas']",fast,0.443,0.443
3,179a604f-fee9-435f-aab8-91776cbd7c53,"['-O0' '-fcase-merge' '-ffun-to-thunk' '-fliberate-case' '-fstrictness'
 '-fpedantic-bottoms' '-fmax-inline-memset-insns=32'
 '-fmax-inline-memcpy-insns=32' '-fmax-inline-memcpy-insns=32'
 '-fcmm-sink' '-fmax-inline-memcpy-insns=32' '-fexpose-all-unfoldings'
 '-fno-opt-coercion' '-fdmd-tx-dict-sel' '-fpedantic-bottoms'
 '-fdo-lambda-eta-expansion' '-fpedantic-bottoms' '-fno-state-hack'
 '-ffull-laziness' '-fdicts-strict' '-fsimpl-tick-factor=100'
 '-fspec-constr-count=3' '-funbox-strict-fields'
 '-funfolding-dict-discount=30' '-fspec-constr-count=3' '-flate-dmd-anal'
 '-funfolding-use-threshold=60' '-fdicts-strict' '-fvectorise'
 '-fdo-eta-reduction' '-fpedantic-bottoms' '-fspec-constr-count=3'
 '-fspecialise' '-funbox-strict-fields' '-fmax-inline-memset-insns=32'
 '-funfolding-fun-discount=60' '-fno-opt-coercion' '-feager-blackholing'
 '-fsimplifier-phases=2' '-fno-opt-coercion' '-fmax-relevant-binds=6'
 '-fworker-wrapper']",fast,0.443,0.443
4,b632c1a2-cf02-419b-bd25-d00ff581f05c,"['-O0' '-flate-dmd-anal' '-funfolding-dict-discount=30'
 '-fignore-interface-pragmas' '-fexpose-all-unfoldings'
 '-fmax-inline-memcpy-insns=32' '-foptimal-applicative-do'
 '-fcmm-elim-common-blocks' '-fstrictness-before=1'
 '-fspec-constr-threshold=2000' '-foptimal-applicative-do'
 '-funfolding-creation-threshold=750' '-fomit-interface-pragmas'
 '-fliberate-case-threshold=2000' '-funfolding-creation-threshold=750'
 '-fsimpl-tick-factor=100' '-funbox-small-strict-fields'
 '-fstrictness-before=1' '-foptimal-applicative-do'
 '-fomit-interface-pragmas' '-fsimpl-tick-factor=100'
 '-funfolding-use-threshold=60' '-fvectorisation-avoidance'
 '-fdo-eta-reduction' '-fworker-wrapper' '-fdo-eta-reduction'
 '-fsimpl-tick-factor=100' '-funbox-small-strict-fields'
 '-fdmd-tx-dict-sel' '-funfolding-use-threshold=60' '-fliberate-case'
 '-fmax-simplifier-iterations=4' '-fmax-worker-args=10' '-fstrictness'
 '-fregs-iterative' '-foptimal-applicative-do' '-ffull-laziness'
 '-fmax-inline-memcpy-insns=32' '-fspec-constr' '-ffull-laziness'
 '-funfolding-use-threshold=60' '-fno-opt-coercion']",fast,0.446,0.446
5,3fc6d9c3-0e89-4674-bc37-48e021ee556d,"['-O0' '-flate-dmd-anal' '-fsimpl-tick-factor=100' '-fstrictness'
 '-fmax-inline-memcpy-insns=32' '-fmax-worker-args=10' '-fcase-merge'
 '-fworker-wrapper' '-flate-dmd-anal' '-fliberate-case'
 '-fmax-relevant-binds=6' '-fcpr-anal' '-ffun-to-thunk'
 '-fmax-inline-memset-insns=32' '-fspec-constr-count=3' '-fcpr-anal'
 '-fomit-interface-pragmas' '-fsimpl-tick-factor=100' '-fregs-graph'
 '-fcmm-elim-common-blocks' '-fmax-inline-alloc-size=128'
 '-funfolding-creation-threshold=750' '-fspec-constr-threshold=2000'
 '-fmax-inline-memcpy-insns=32' '-fliberate-case'
 '-fspec-constr-threshold=2000' '-fmax-inline-memcpy-insns=32'
 '-fignore-interface-pragmas' '-fmax-simplifier-iterations=4'
 '-fspecialise' '-fmax-simplifier-iterations=4' '-fexcess-precision'
 '-fvectorise' '-fsimplifier-phases=2' '-fmax-inline-memcpy-insns=32'
 '-fstatic-argument-transformation' '-fspec-constr-threshold=2000'
 '-fspec-constr-count=3' '-fmax-relevant-binds=6' '-fdicts-strict'
 '-funbox-strict-fields' '-fspec-constr']",fast,0.441,0.441
6,ef27bbb3-0c35-4f0b-890e-ca74dab27d34,"['-O0' '-fmax-inline-memset-insns=32' '-fmax-relevant-binds=6'
 '-fcall-arity' '-foptimal-applicative-do' '-fregs-graph'
 '-fstrictness-before=1' '-funfolding-keeness-factor=1.5' '-ffun-to-thunk'
 '-fspec-constr-threshold=2000' '-fsimplifier-phases=2' '-fignore-asserts'
 '-fmax-inline-memcpy-insns=32' '-fdmd-tx-dict-sel'
 '-fcmm-elim-common-blocks' '-fexcess-precision'
 '-funbox-small-strict-fields' '-fexcess-precision' '-feager-blackholing'
 '-fcmm-sink' '-fpedantic-bottoms' '-funbox-small-strict-fields'
 '-fspec-constr' '-floopification' '-fno-state-hack'
 '-fspec-constr-count=3' '-funfolding-fun-discount=60'
 '-fmax-worker-args=10' '-fvectorisation-avoidance' '-ffloat-in'
 '-fmax-relevant-binds=6' '-fno-pre-inlining' '-foptimal-applicative-do'
 '-funbox-small-strict-fields' '-fcase-merge' '-fregs-graph'
 '-fcall-arity' '-ffull-laziness' '-fdo-eta-reduction'
 '-fenable-rewrite-rules' '-fcall-arity' '-fworker-wrapper']",fast,0.445,0.445
7,ee63f0b0-7ce4-4aaa-8dca-a44ba17183d0,"['-O0' '-feager-blackholing' '-feager-blackholing'
 '-fcross-module-specialise' '-funbox-strict-fields'
 '-funfolding-use-threshold=60' '-fcmm-elim-common-blocks' '-fomit-yields'
 '-flate-dmd-anal' '-fno-pre-inlining' '-fspec-constr-count=3'
 '-fspecialise' '-fenable-rewrite-rules' '-fdicts-cheap'
 '-fworker-wrapper' '-fmax-inline-alloc-size=128'
 '-fvectorisation-avoidance' '-fsimplifier-phases=2' '-fspec-constr'
 '-fcross-module-specialise' '-funbox-small-strict-fields'
 '-fregs-iterative' '-fstrictness-before=1' '-fmax-worker-args=10'
 '-fregs-graph' '-ffloat-in' '-funfolding-fun-discount=60' '-fcase-merge'
 '-funfolding-creation-threshold=750' '-fcall-arity'
 '-fenable-rewrite-rules' '-fspec-constr-threshold=2000'
 '-funbox-small-strict-fields' '-floopification' '-fworker-wrapper'
 '-fdo-eta-reduction' '-fdicts-cheap' '-fmax-inline-memcpy-insns=32'
 '-fvectorisation-avoidance' '-foptimal-applicative-do'
 '-funbox-strict-fields' '-fmax-worker-args=10']",fast,0.445,0.445
8,6f97b8c2-6586-474b-afbf-3088857a82fa,"['-O0' '-fenable-rewrite-rules' '-fexcess-precision' '-flate-dmd-anal'
 '-fcmm-elim-common-blocks' '-funfolding-keeness-factor=1.5' '-ffloat-in'
 '-foptimal-applicative-do' '-fspec-constr' '-fcmm-sink'
 '-funfolding-use-threshold=60' '-fspecialise' '-fstrictness'
 '-fvectorise' '-fmax-relevant-binds=6' '-fcpr-anal'
 '-fstrictness-before=1' '-fdicts-strict' '-fcse' '-floopification'
 '-funfolding-creation-threshold=750' '-fenable-rewrite-rules'
 '-fvectorise' '-fignore-interface-pragmas' '-fdo-lambda-eta-expansion'
 '-foptimal-applicative-do' '-fregs-iterative'
 '-funbox-small-strict-fields' '-funbox-small-strict-fields'
 '-fno-opt-coercion' '-fmax-inline-alloc-size=128' '-fcse'
 '-fpedantic-bottoms' '-fdmd-tx-dict-sel' '-fmax-worker-args=10'
 '-fregs-graph' '-fdicts-strict' '-fvectorise'
 '-fignore-interface-pragmas' '-fcall-arity' '-flate-dmd-anal'
 '-fcase-merge']",fast,0.443,0.443
9,a97b31f3-0353-4e06-b037-84c29a484031,"['-O0' '-fomit-yields' '-fenable-rewrite-rules' '-fspec-constr-count=3'
 '-fspecialise' '-fmax-simplifier-iterations=4' '-fcall-arity'
 '-fstrictness' '-fvectorise' '-fno-pre-inlining' '-fdo-eta-reduction'
 '-fsimpl-tick-factor=100' '-fspec-constr-count=3'
 '-fignore-interface-pragmas' '-fstrictness-before=1'
 '-fcross-module-specialise' '-fno-state-hack'
 '-fignore-interface-pragmas' '-fstrictness'
 '-funfolding-keeness-factor=1.5' '-fstrictness-before=1'
 '-funfolding-creation-threshold=750' '-fliberate-case'
 '-fno-opt-coercion' '-foptimal-applicative-do' '-fno-state-hack'
 '-fexcess-precision' '-funfolding-keeness-factor=1.5' '-ffull-laziness'
 '-foptimal-applicative-do' '-funfolding-creation-threshold=750'
 '-fexpose-all-unfoldings' '-fcpr-anal' '-funfolding-dict-discount=30'
 '-fliberate-case-threshold=2000' '-fdicts-strict' '-fexcess-precision'
 '-fspecialise' '-fmax-simplifier-iterations=4' '-fpedantic-bottoms'
 '-fcse' '-fexpose-all-unfoldings']",fast,0.443,0.443
