,ID,Flags,Mode,Runtime,Elapsed_Time
0,-O0,['-O0'],fast,0.437,0.437
1,-O2,['-O2'],fast,0.437,0.437
2,c5c81795-ffe7-4558-8ce4-cf1f29d8fa35,"['-O0' '-fmax-inline-memset-insns=32' '-fregs-iterative'
 '-fcmm-elim-common-blocks' '-fspec-constr'
 '-fmax-simplifier-iterations=4' '-fdmd-tx-dict-sel' '-fno-opt-coercion'
 '-fvectorise' '-fstatic-argument-transformation' '-ffull-laziness'
 '-ffull-laziness' '-fstrictness-before=1' '-fsimplifier-phases=2'
 '-ffull-laziness' '-fdicts-cheap' '-fstatic-argument-transformation'
 '-fcmm-elim-common-blocks' '-fcse' '-fignore-interface-pragmas'
 '-fmax-inline-alloc-size=128' '-fliberate-case-threshold=2000'
 '-fspec-constr-threshold=2000' '-fcall-arity' '-fstrictness-before=1'
 '-foptimal-applicative-do' '-floopification' '-feager-blackholing'
 '-floopification' '-ffun-to-thunk' '-ffull-laziness' '-fstrictness'
 '-fdicts-strict' '-fdo-lambda-eta-expansion' '-fmax-relevant-binds=6'
 '-fmax-inline-memcpy-insns=32' '-funfolding-dict-discount=30'
 '-fdmd-tx-dict-sel' '-fpedantic-bottoms' '-fregs-iterative' '-fcse'
 '-fcall-arity' '-fpedantic-bottoms']",fast,0.437,0.437
3,c0f9cd32-e1ef-47bd-a50d-af26226eb290,"['-O0' '-ffun-to-thunk' '-fno-state-hack' '-fmax-simplifier-iterations=4'
 '-fcase-merge' '-fmax-inline-memset-insns=32'
 '-fignore-interface-pragmas' '-fspec-constr-count=3' '-fstrictness'
 '-fworker-wrapper' '-funbox-strict-fields' '-fmax-inline-memset-insns=32'
 '-funfolding-fun-discount=60' '-fstrictness-before=1'
 '-fvectorisation-avoidance' '-fenable-rewrite-rules'
 '-feager-blackholing' '-fignore-interface-pragmas'
 '-fcmm-elim-common-blocks' '-fsimplifier-phases=2'
 '-funfolding-fun-discount=60' '-fdo-lambda-eta-expansion' '-fregs-graph'
 '-fexpose-all-unfoldings' '-ffun-to-thunk' '-fmax-relevant-binds=6'
 '-fspec-constr-count=3' '-fno-state-hack' '-funfolding-fun-discount=60'
 '-funfolding-creation-threshold=750' '-fdo-lambda-eta-expansion'
 '-fcall-arity' '-fstrictness-before=1' '-fmax-inline-memcpy-insns=32'
 '-ffloat-in' '-fcpr-anal' '-funfolding-dict-discount=30'
 '-fsimplifier-phases=2' '-fvectorisation-avoidance' '-fstrictness'
 '-funfolding-dict-discount=30' '-fcmm-elim-common-blocks'
 '-fmax-worker-args=10']",fast,0.436,0.436
4,66ea7a46-630e-4da8-8a61-48f004d347e4,"['-O0' '-funfolding-creation-threshold=750'
 '-fliberate-case-threshold=2000' '-fdmd-tx-dict-sel' '-fcse'
 '-fspec-constr' '-fspec-constr-threshold=2000' '-fdicts-cheap'
 '-fstrictness' '-funfolding-creation-threshold=750' '-fno-pre-inlining'
 '-fcmm-sink' '-fsimpl-tick-factor=100' '-fomit-interface-pragmas'
 '-funfolding-fun-discount=60' '-fstrictness' '-fenable-rewrite-rules'
 '-fcpr-anal' '-fdo-lambda-eta-expansion' '-fcmm-elim-common-blocks'
 '-funfolding-creation-threshold=750' '-fliberate-case-threshold=2000'
 '-fspec-constr-threshold=2000' '-floopification'
 '-fcross-module-specialise' '-fomit-interface-pragmas'
 '-fomit-interface-pragmas' '-fexcess-precision'
 '-fmax-inline-alloc-size=128' '-fomit-interface-pragmas'
 '-ffull-laziness' '-fno-opt-coercion' '-fworker-wrapper' '-fdicts-strict'
 '-fvectorisation-avoidance' '-fpedantic-bottoms'
 '-fdo-lambda-eta-expansion' '-fdicts-strict' '-fcmm-elim-common-blocks'
 '-fsimpl-tick-factor=100' '-funfolding-dict-discount=30' '-ffloat-in'
 '-fenable-rewrite-rules']",fast,0.437,0.437
5,dacd69b2-225c-4496-b74e-f7bb9b6bfe0d,"['-O0' '-fvectorisation-avoidance' '-ffull-laziness' '-fpedantic-bottoms'
 '-floopification' '-fcmm-sink' '-fvectorisation-avoidance'
 '-fdicts-strict' '-fspec-constr-count=3' '-fregs-iterative'
 '-fno-pre-inlining' '-fcase-merge' '-fregs-graph' '-fdicts-strict'
 '-fcmm-elim-common-blocks' '-fdicts-cheap' '-fvectorise'
 '-fignore-interface-pragmas' '-fspec-constr' '-fno-pre-inlining'
 '-fstatic-argument-transformation' '-funfolding-creation-threshold=750'
 '-funbox-small-strict-fields' '-feager-blackholing' '-fworker-wrapper'
 '-fsimpl-tick-factor=100' '-fsimpl-tick-factor=100' '-fdmd-tx-dict-sel'
 '-funbox-small-strict-fields' '-fexcess-precision' '-ffull-laziness'
 '-fexcess-precision' '-fcse' '-fspec-constr-count=3' '-floopification'
 '-fno-pre-inlining' '-fliberate-case' '-fregs-graph'
 '-fenable-rewrite-rules' '-fmax-inline-memset-insns=32'
 '-funbox-small-strict-fields' '-fcmm-sink' '-fcall-arity']",fast,0.436,0.436
6,a17b6ddf-0a76-4145-b2f8-911cd976ab70,"['-O0' '-fmax-inline-memcpy-insns=32' '-fcpr-anal' '-fliberate-case'
 '-fpedantic-bottoms' '-fsimplifier-phases=2' '-fdmd-tx-dict-sel'
 '-fvectorisation-avoidance' '-fliberate-case-threshold=2000'
 '-fdmd-tx-dict-sel' '-funbox-strict-fields'
 '-funfolding-dict-discount=30' '-funfolding-use-threshold=60'
 '-fdicts-cheap' '-fignore-interface-pragmas' '-floopification'
 '-funfolding-use-threshold=60' '-funfolding-dict-discount=30'
 '-fworker-wrapper' '-fexpose-all-unfoldings' '-fcall-arity'
 '-fmax-inline-memcpy-insns=32' '-fvectorisation-avoidance'
 '-fstrictness-before=1' '-fspecialise' '-fcmm-sink' '-fdicts-cheap'
 '-fno-opt-coercion' '-fdicts-strict' '-fno-state-hack' '-flate-dmd-anal'
 '-fmax-inline-memset-insns=32' '-funfolding-fun-discount=60'
 '-fexpose-all-unfoldings' '-funfolding-keeness-factor=1.5'
 '-fregs-iterative' '-funfolding-fun-discount=60'
 '-fcmm-elim-common-blocks' '-fomit-interface-pragmas'
 '-fstatic-argument-transformation' '-foptimal-applicative-do'
 '-funfolding-use-threshold=60' '-funfolding-dict-discount=30']",fast,0.438,0.438
7,ad506495-afbf-4995-9bb9-33cff84a22a4,"['-O0' '-fstatic-argument-transformation' '-fcse' '-fdicts-strict'
 '-floopification' '-fcmm-elim-common-blocks' '-fignore-asserts'
 '-fregs-graph' '-funfolding-keeness-factor=1.5' '-fworker-wrapper'
 '-fcse' '-fdicts-cheap' '-foptimal-applicative-do' '-fdo-eta-reduction'
 '-fspec-constr-threshold=2000' '-fpedantic-bottoms' '-fcmm-sink'
 '-fspecialise' '-fworker-wrapper' '-fomit-interface-pragmas'
 '-fcross-module-specialise' '-fdo-eta-reduction' '-fcall-arity'
 '-funfolding-creation-threshold=750' '-floopification'
 '-fmax-worker-args=10' '-fvectorisation-avoidance'
 '-fstatic-argument-transformation' '-fdmd-tx-dict-sel' '-fno-state-hack'
 '-fspecialise' '-fcross-module-specialise' '-fstrictness'
 '-foptimal-applicative-do' '-funfolding-dict-discount=30'
 '-fregs-iterative' '-fstrictness' '-fmax-inline-memcpy-insns=32'
 '-fomit-yields' '-fmax-inline-memset-insns=32' '-flate-dmd-anal'
 '-fmax-inline-memset-insns=32' '-fmax-worker-args=10']",fast,0.438,0.438
8,4a527bcd-b389-4af0-a3d9-6eeb3e53e21c,"['-O0' '-fcmm-sink' '-fmax-inline-memset-insns=32' '-ffun-to-thunk'
 '-fpedantic-bottoms' '-fcase-merge' '-fno-state-hack'
 '-fmax-inline-memset-insns=32' '-feager-blackholing' '-fcmm-sink'
 '-fdo-lambda-eta-expansion' '-fliberate-case-threshold=2000'
 '-floopification' '-fcmm-sink' '-foptimal-applicative-do'
 '-ffull-laziness' '-fcross-module-specialise' '-fcall-arity'
 '-fworker-wrapper' '-fno-state-hack' '-fregs-graph' '-ffull-laziness'
 '-fdicts-cheap' '-fvectorisation-avoidance'
 '-fmax-inline-memset-insns=32' '-funfolding-keeness-factor=1.5'
 '-fmax-simplifier-iterations=4' '-fspec-constr-count=3'
 '-fsimpl-tick-factor=100' '-fomit-yields' '-fignore-asserts'
 '-fmax-inline-alloc-size=128' '-fcase-merge' '-fcse'
 '-fmax-inline-memcpy-insns=32' '-fexpose-all-unfoldings'
 '-fworker-wrapper' '-fregs-iterative' '-fpedantic-bottoms'
 '-fignore-asserts' '-fdo-lambda-eta-expansion'
 '-funfolding-creation-threshold=750' '-fcross-module-specialise']",fast,0.437,0.437
9,6c5e93ea-97d2-48ca-84b1-614cd0af3869,"['-O0' '-fomit-yields' '-fexcess-precision' '-fregs-graph' '-ffloat-in'
 '-fspec-constr' '-fdicts-cheap' '-fcross-module-specialise'
 '-funbox-strict-fields' '-funfolding-creation-threshold=750' '-fcmm-sink'
 '-fstatic-argument-transformation' '-fspec-constr' '-fno-pre-inlining'
 '-fstrictness-before=1' '-fomit-yields' '-fcross-module-specialise'
 '-fcpr-anal' '-fsimpl-tick-factor=100' '-fmax-relevant-binds=6'
 '-funfolding-fun-discount=60' '-flate-dmd-anal' '-fignore-asserts'
 '-fcse' '-fdicts-cheap' '-fexcess-precision'
 '-fmax-inline-memset-insns=32' '-flate-dmd-anal'
 '-funfolding-fun-discount=60' '-fpedantic-bottoms' '-fignore-asserts'
 '-fworker-wrapper' '-fmax-worker-args=10'
 '-fstatic-argument-transformation' '-fcse' '-fcall-arity'
 '-fmax-inline-memcpy-insns=32' '-fcmm-elim-common-blocks'
 '-fomit-interface-pragmas' '-funbox-strict-fields' '-fspecialise'
 '-fregs-iterative' '-fignore-asserts']",fast,0.438,0.438
