,ID,Mode,Flags,Runtime,Iteration,Best
0,-O0,fast,-O0,0.317,0,False
1,-O2,fast,-O2,0.317,0,False
2,290e6f41-d8f1-4c49-a11e-e36de5deb29d,fast,"['-O0', '-fliberate-case', '-fstatic-argument-transformation', '-funfolding-creation-threshold=750', '-fregs-graph', '-fno-opt-coercion', '-fvectorise', '-fspec-constr', '-fmax-worker-args=10', '-fcse', '-fdo-eta-reduction', '-fmax-inline-memcpy-insns=32', '-ffloat-in', '-fstrictness-before=1', '-ffun-to-thunk', '-fcmm-elim-common-blocks', '-fcall-arity', '-fdicts-cheap', '-funfolding-fun-discount=60', '-fomit-interface-pragmas', '-fmax-inline-memset-insns=32', '-funbox-strict-fields', '-fspec-constr-count=3', '-fdo-lambda-eta-expansion', '-fexpose-all-unfoldings', '-fdmd-tx-dict-sel']",0.316,0,False
3,48d39333-2f14-43d3-82ad-83635e7c785e,fast,"['-O0', '-fignore-interface-pragmas', '-funfolding-keeness-factor=1.5', '-fdmd-tx-dict-sel', '-fvectorise', '-fdicts-cheap', '-fmax-inline-alloc-size=128', '-fomit-yields', '-fsimpl-tick-factor=100', '-fcmm-elim-common-blocks', '-funfolding-dict-discount=30', '-funbox-small-strict-fields', '-funfolding-use-threshold=60', '-fliberate-case-threshold=2000', '-fspec-constr-count=3', '-fvectorisation-avoidance', '-fspec-constr', '-fstrictness', '-fexcess-precision', '-fdicts-strict', '-fliberate-case', '-fsimplifier-phases=2', '-fmax-inline-memset-insns=32', '-fcse', '-fspec-constr-threshold=2000', '-fomit-interface-pragmas', '-fmax-worker-args=10', '-ffull-laziness', '-foptimal-applicative-do', '-fno-state-hack', '-fdo-eta-reduction', '-fno-pre-inlining', '-feager-blackholing', '-funfolding-creation-threshold=750', '-fenable-rewrite-rules', '-fspecialise', '-fpedantic-bottoms', '-fmax-simplifier-iterations=4', '-fexpose-all-unfoldings', '-floopification']",0.315,0,False
4,74fee06a-efd3-48f8-b494-84e469eece2c,fast,"['-O0', '-funbox-strict-fields', '-funfolding-dict-discount=30', '-fignore-interface-pragmas', '-fdicts-strict', '-fenable-rewrite-rules', '-fspec-constr', '-fregs-graph', '-ffloat-in', '-fignore-asserts', '-fsimpl-tick-factor=100', '-fliberate-case-threshold=2000', '-fexpose-all-unfoldings', '-fregs-iterative', '-fcmm-sink', '-fstrictness-before=1', '-foptimal-applicative-do', '-ffull-laziness', '-fomit-interface-pragmas', '-flate-dmd-anal', '-funbox-small-strict-fields', '-fmax-relevant-binds=6', '-fspec-constr-count=3']",0.316,0,False
5,c3dfe100-f5e2-4981-8a51-7b42f1e8dc1b,fast,"['-O0', '-fmax-inline-alloc-size=128', '-fpedantic-bottoms', '-fmax-inline-memcpy-insns=32', '-flate-dmd-anal', '-fomit-interface-pragmas', '-fregs-iterative', '-fsimplifier-phases=2', '-fdmd-tx-dict-sel', '-fliberate-case-threshold=2000', '-fmax-worker-args=10', '-fmax-simplifier-iterations=4', '-fspec-constr', '-ffloat-in', '-fno-opt-coercion', '-foptimal-applicative-do', '-fstatic-argument-transformation', '-fexpose-all-unfoldings', '-fdicts-strict', '-fdo-eta-reduction', '-fignore-asserts', '-funfolding-fun-discount=60', '-fregs-graph', '-funfolding-dict-discount=30', '-fno-state-hack', '-fspecialise', '-fcase-merge', '-fcmm-sink', '-fstrictness-before=1', '-fworker-wrapper', '-fstrictness', '-fcmm-elim-common-blocks']",0.317,0,False
6,b784e98f-f645-4f06-88b0-636c0bb48ff1,fast,"['-O0', '-fsimpl-tick-factor=100', '-fspecialise', '-fexpose-all-unfoldings', '-ffun-to-thunk', '-fmax-inline-memset-insns=32', '-flate-dmd-anal', '-fcse', '-funfolding-dict-discount=30', '-fspec-constr-threshold=2000', '-fexcess-precision', '-fsimplifier-phases=2', '-feager-blackholing', '-fcross-module-specialise', '-fcpr-anal', '-fno-state-hack', '-fenable-rewrite-rules', '-fdo-eta-reduction', '-fcmm-sink', '-fno-opt-coercion', '-fignore-asserts', '-fdmd-tx-dict-sel', '-fstrictness', '-fstrictness-before=1', '-funfolding-creation-threshold=750', '-ffloat-in', '-fno-pre-inlining', '-fmax-worker-args=10', '-fspec-constr', '-fspec-constr-count=3', '-fmax-simplifier-iterations=4', '-fomit-yields', '-fvectorisation-avoidance', '-fregs-graph', '-fmax-inline-alloc-size=128', '-fstatic-argument-transformation', '-ffull-laziness', '-fcmm-elim-common-blocks', '-funfolding-use-threshold=60', '-funfolding-keeness-factor=1.5', '-fworker-wrapper', '-fdo-lambda-eta-expansion', '-foptimal-applicative-do', '-funbox-strict-fields', '-fignore-interface-pragmas', '-fomit-interface-pragmas', '-fmax-relevant-binds=6', '-floopification', '-fpedantic-bottoms', '-fmax-inline-memcpy-insns=32', '-fcase-merge', '-fdicts-strict', '-fdicts-cheap', '-fregs-iterative', '-fcall-arity', '-fliberate-case', '-fvectorise', '-fliberate-case-threshold=2000']",0.314,0,True
7,04bc4e42-a1af-4087-9e9f-17844613f5c2,fast,"['-O0', '-funbox-small-strict-fields']",0.318,0,False
8,8c6d88d5-4bd6-4f7c-bc86-3877d4a19231,fast,"['-O0', '-fmax-relevant-binds=6', '-fno-pre-inlining', '-flate-dmd-anal', '-fno-opt-coercion', '-feager-blackholing', '-fexcess-precision', '-floopification', '-foptimal-applicative-do', '-funbox-small-strict-fields', '-fregs-iterative']",0.316,0,False
9,aa9d4bcb-d2e0-4841-9974-d4071a68b535,fast,"['-O0', '-fpedantic-bottoms', '-funbox-small-strict-fields', '-fregs-graph', '-fmax-inline-memset-insns=32', '-fliberate-case', '-floopification', '-funfolding-dict-discount=30', '-fno-state-hack', '-fmax-inline-alloc-size=128', '-foptimal-applicative-do', '-fmax-relevant-binds=6', '-fcpr-anal', '-fmax-inline-memcpy-insns=32', '-fsimplifier-phases=2', '-fmax-simplifier-iterations=4', '-funfolding-keeness-factor=1.5', '-fworker-wrapper', '-fenable-rewrite-rules', '-funfolding-creation-threshold=750', '-fdo-eta-reduction', '-fsimpl-tick-factor=100', '-fignore-asserts', '-flate-dmd-anal', '-ffull-laziness', '-funfolding-fun-discount=60', '-fvectorisation-avoidance', '-fliberate-case-threshold=2000', '-fregs-iterative', '-fno-opt-coercion', '-fomit-interface-pragmas', '-funfolding-use-threshold=60', '-fspec-constr-count=3', '-fvectorise', '-fexcess-precision', '-fmax-worker-args=10', '-fstatic-argument-transformation', '-ffloat-in', '-fstrictness-before=1', '-fcmm-sink', '-fcmm-elim-common-blocks', '-fdicts-strict', '-fignore-interface-pragmas']",0.314,0,False
