,ID,Flags,Mode,Runtime,Elapsed_Time
0,-O0,['-O0'],fast,0.317,0.317
1,-O2,['-O2'],fast,0.316,0.316
2,b908fed6-d69d-43ae-b97b-8a77649b75fa,"['-O0' '-fomit-yields' '-flate-dmd-anal' '-fdicts-strict' '-fstrictness'
 '-fomit-interface-pragmas' '-fmax-inline-alloc-size=128'
 '-funbox-strict-fields' '-ffloat-in' '-fcross-module-specialise'
 '-floopification' '-fcpr-anal' '-funfolding-dict-discount=30'
 '-ffun-to-thunk' '-fignore-asserts' '-fmax-relevant-binds=6'
 '-fcmm-elim-common-blocks' '-fcase-merge' '-fspecialise'
 '-fno-state-hack' '-fcase-merge' '-fspec-constr-count=3'
 '-funfolding-creation-threshold=750' '-fstatic-argument-transformation'
 '-flate-dmd-anal' '-fenable-rewrite-rules' '-fmax-inline-alloc-size=128'
 '-ffloat-in' '-fstrictness' '-fliberate-case-threshold=2000'
 '-flate-dmd-anal' '-fno-opt-coercion' '-fliberate-case-threshold=2000'
 '-fliberate-case-threshold=2000' '-fcmm-sink' '-fspecialise' '-ffloat-in'
 '-fcross-module-specialise' '-fcall-arity' '-fregs-iterative'
 '-fsimpl-tick-factor=100' '-fcase-merge' '-fspec-constr-count=3'
 '-fno-opt-coercion' '-fdicts-strict' '-fregs-graph' '-floopification']",fast,0.315,0.315
3,639f8339-a66a-4bce-af18-e475c885884c,"['-O0' '-fcpr-anal' '-funbox-small-strict-fields'
 '-fignore-interface-pragmas' '-fvectorise' '-fmax-inline-memset-insns=32'
 '-fspec-constr-count=3' '-fenable-rewrite-rules'
 '-fliberate-case-threshold=2000' '-fspecialise' '-fexpose-all-unfoldings'
 '-fsimplifier-phases=2' '-foptimal-applicative-do'
 '-fmax-inline-memset-insns=32' '-fspec-constr-count=3'
 '-fcmm-elim-common-blocks' '-fcmm-sink' '-foptimal-applicative-do'
 '-fmax-simplifier-iterations=4' '-fomit-yields'
 '-fmax-inline-memcpy-insns=32' '-fspecialise' '-fcse' '-fno-opt-coercion'
 '-fvectorisation-avoidance' '-fno-state-hack' '-fno-pre-inlining'
 '-fmax-inline-memset-insns=32' '-fmax-relevant-binds=6'
 '-fdmd-tx-dict-sel' '-fexcess-precision' '-fmax-inline-memcpy-insns=32'
 '-fmax-inline-memcpy-insns=32' '-fworker-wrapper' '-ffloat-in'
 '-fignore-asserts' '-fno-pre-inlining' '-flate-dmd-anal'
 '-fcmm-elim-common-blocks' '-fdmd-tx-dict-sel' '-ffloat-in'
 '-fspecialise' '-fspec-constr-count=3' '-fcall-arity'
 '-fmax-inline-memset-insns=32' '-fno-opt-coercion'
 '-fmax-inline-alloc-size=128']",fast,0.315,0.315
4,dc6d714e-4074-4c6a-92e4-0c28cd14c1f4,"['-O0' '-fcmm-elim-common-blocks' '-fspec-constr-count=3'
 '-fcross-module-specialise' '-funbox-small-strict-fields'
 '-fignore-interface-pragmas' '-fmax-inline-memset-insns=32'
 '-fignore-interface-pragmas' '-funbox-small-strict-fields'
 '-funfolding-fun-discount=60' '-fdo-eta-reduction'
 '-fexpose-all-unfoldings' '-feager-blackholing'
 '-fspec-constr-threshold=2000' '-fliberate-case' '-fno-state-hack'
 '-funfolding-use-threshold=60' '-fmax-simplifier-iterations=4'
 '-fstrictness' '-foptimal-applicative-do' '-flate-dmd-anal'
 '-fsimplifier-phases=2' '-fdicts-strict' '-fcpr-anal' '-fno-pre-inlining'
 '-funfolding-fun-discount=60' '-fmax-inline-alloc-size=128'
 '-fmax-inline-memcpy-insns=32' '-fdo-eta-reduction'
 '-fliberate-case-threshold=2000' '-fenable-rewrite-rules' '-fcase-merge'
 '-ffull-laziness' '-fexcess-precision' '-fcmm-sink'
 '-fsimpl-tick-factor=100' '-fmax-inline-memset-insns=32' '-fcall-arity'
 '-fdicts-cheap' '-fdmd-tx-dict-sel' '-fmax-relevant-binds=6'
 '-fcross-module-specialise' '-fomit-yields' '-fcmm-sink' '-fstrictness'
 '-fsimplifier-phases=2' '-fno-pre-inlining']",fast,0.317,0.317
5,8c599579-9e1d-4081-ac87-9da69eebce93,"['-O0' '-fvectorisation-avoidance' '-fsimpl-tick-factor=100'
 '-ffun-to-thunk' '-fsimplifier-phases=2' '-fregs-iterative'
 '-fno-pre-inlining' '-fcase-merge' '-fliberate-case-threshold=2000'
 '-fregs-graph' '-fvectorisation-avoidance' '-feager-blackholing'
 '-fcross-module-specialise' '-fdicts-strict'
 '-fmax-simplifier-iterations=4' '-fworker-wrapper' '-fcse' '-fcpr-anal'
 '-fspec-constr' '-fno-state-hack' '-fspec-constr-count=3' '-fcmm-sink'
 '-fworker-wrapper' '-fno-pre-inlining' '-fcase-merge'
 '-fcross-module-specialise' '-fignore-interface-pragmas'
 '-fmax-worker-args=10' '-funfolding-keeness-factor=1.5'
 '-fmax-simplifier-iterations=4' '-foptimal-applicative-do'
 '-funbox-small-strict-fields' '-funfolding-use-threshold=60'
 '-fignore-asserts' '-fexpose-all-unfoldings' '-fignore-interface-pragmas'
 '-fmax-inline-memcpy-insns=32' '-fspec-constr-threshold=2000'
 '-floopification' '-fspec-constr-threshold=2000' '-fno-opt-coercion'
 '-fstrictness' '-fdicts-cheap' '-fdo-lambda-eta-expansion' '-fcpr-anal'
 '-fvectorise' '-fregs-graph']",fast,0.315,0.315
6,67235df3-73ac-433f-9f19-920db084896b,"['-O0' '-fcall-arity' '-fstatic-argument-transformation'
 '-funfolding-fun-discount=60' '-fstrictness' '-fspecialise'
 '-funbox-strict-fields' '-fpedantic-bottoms' '-fno-opt-coercion'
 '-funfolding-dict-discount=30' '-funfolding-creation-threshold=750'
 '-funfolding-fun-discount=60' '-fmax-inline-alloc-size=128'
 '-ffun-to-thunk' '-fsimpl-tick-factor=100' '-ffun-to-thunk'
 '-floopification' '-funfolding-use-threshold=60' '-flate-dmd-anal'
 '-fvectorise' '-fmax-worker-args=10' '-fstrictness'
 '-fstatic-argument-transformation' '-fliberate-case' '-fvectorise'
 '-fvectorisation-avoidance' '-fvectorisation-avoidance'
 '-fworker-wrapper' '-feager-blackholing' '-flate-dmd-anal'
 '-fno-state-hack' '-fdicts-cheap' '-fregs-iterative' '-fspec-constr'
 '-feager-blackholing' '-fstatic-argument-transformation'
 '-fvectorisation-avoidance' '-fomit-interface-pragmas' '-flate-dmd-anal'
 '-fvectorisation-avoidance' '-ffull-laziness' '-funbox-strict-fields'
 '-fmax-inline-alloc-size=128' '-fliberate-case' '-fspec-constr'
 '-fomit-yields' '-fstrictness-before=1']",fast,0.316,0.316
7,4f9ceb50-29e7-401e-950a-628579fbbbcd,"['-O0' '-fmax-inline-memset-insns=32' '-fvectorise'
 '-fmax-relevant-binds=6' '-ffull-laziness' '-ffloat-in'
 '-fno-pre-inlining' '-fpedantic-bottoms' '-fomit-interface-pragmas'
 '-fstrictness' '-fspec-constr' '-fdicts-cheap' '-fomit-interface-pragmas'
 '-fmax-simplifier-iterations=4' '-fdicts-cheap'
 '-fstatic-argument-transformation' '-fmax-inline-memset-insns=32'
 '-fomit-interface-pragmas' '-ffloat-in' '-floopification'
 '-fsimplifier-phases=2' '-ffun-to-thunk' '-fdo-eta-reduction'
 '-fomit-yields' '-fignore-interface-pragmas'
 '-fmax-simplifier-iterations=4' '-fno-state-hack' '-ffull-laziness'
 '-fno-opt-coercion' '-fvectorise' '-fstatic-argument-transformation'
 '-funbox-strict-fields' '-fspec-constr-count=3'
 '-fspec-constr-threshold=2000' '-fdmd-tx-dict-sel'
 '-fenable-rewrite-rules' '-fmax-inline-memcpy-insns=32' '-fspecialise'
 '-ffun-to-thunk' '-fcall-arity' '-floopification' '-fdo-eta-reduction'
 '-fvectorise' '-fno-state-hack' '-fpedantic-bottoms' '-flate-dmd-anal'
 '-fspec-constr-count=3']",fast,0.318,0.318
8,af2212e1-e766-4c5f-a92b-5d01ed3ef8b1,"['-O0' '-fspec-constr-count=3' '-fdicts-cheap'
 '-fstatic-argument-transformation' '-funfolding-keeness-factor=1.5'
 '-funfolding-use-threshold=60' '-fmax-relevant-binds=6'
 '-funfolding-fun-discount=60' '-fcase-merge' '-fworker-wrapper'
 '-fpedantic-bottoms' '-feager-blackholing' '-ffloat-in' '-fcmm-sink'
 '-fdmd-tx-dict-sel' '-fdicts-strict' '-fdo-lambda-eta-expansion'
 '-fspec-constr-count=3' '-fspec-constr' '-fworker-wrapper'
 '-fsimplifier-phases=2' '-funfolding-keeness-factor=1.5'
 '-fmax-worker-args=10' '-funfolding-fun-discount=60' '-fregs-graph'
 '-fmax-inline-memcpy-insns=32' '-fregs-graph' '-fcse'
 '-fomit-interface-pragmas' '-funbox-strict-fields'
 '-funfolding-use-threshold=60' '-floopification'
 '-fmax-inline-memset-insns=32' '-fmax-inline-memset-insns=32'
 '-fspecialise' '-fpedantic-bottoms' '-fsimpl-tick-factor=100'
 '-fcpr-anal' '-fvectorisation-avoidance' '-fcross-module-specialise'
 '-funfolding-keeness-factor=1.5' '-fworker-wrapper' '-fdicts-strict'
 '-fcpr-anal' '-fstrictness-before=1' '-funfolding-creation-threshold=750'
 '-fspecialise']",fast,0.322,0.322
9,9e194060-ec4d-420e-ab49-6ae1703a9408,"['-O0' '-foptimal-applicative-do' '-fcall-arity' '-fspec-constr-count=3'
 '-fstatic-argument-transformation' '-flate-dmd-anal' '-fignore-asserts'
 '-fomit-yields' '-fexpose-all-unfoldings' '-funfolding-dict-discount=30'
 '-funfolding-use-threshold=60' '-fmax-simplifier-iterations=4'
 '-fworker-wrapper' '-fstrictness-before=1' '-fcse' '-feager-blackholing'
 '-fregs-graph' '-funbox-strict-fields' '-fomit-yields'
 '-funfolding-use-threshold=60' '-fcase-merge' '-fdmd-tx-dict-sel'
 '-fstrictness' '-fstrictness' '-fexpose-all-unfoldings' '-fdicts-strict'
 '-fspec-constr-threshold=2000' '-fcmm-sink' '-fstrictness-before=1'
 '-fenable-rewrite-rules' '-fdmd-tx-dict-sel' '-fworker-wrapper'
 '-fspec-constr-threshold=2000' '-fno-opt-coercion'
 '-fspec-constr-count=3' '-fstrictness' '-fdo-eta-reduction'
 '-ffun-to-thunk' '-fdo-eta-reduction' '-fliberate-case'
 '-fmax-simplifier-iterations=4' '-fdo-lambda-eta-expansion'
 '-fregs-graph' '-fspec-constr-threshold=2000' '-foptimal-applicative-do'
 '-funbox-small-strict-fields' '-ffloat-in']",fast,0.318,0.318
