,ID,Flags,Mode,Runtime,Elapsed_Time
0,-O0,['-O0'],fast,0.314,0.314
1,-O2,['-O2'],fast,0.314,0.314
2,5f125c27-bb41-4dcd-b1b0-cc5a43314fcd,"['-O0' '-fregs-iterative' '-funbox-strict-fields' '-funbox-strict-fields'
 '-funfolding-fun-discount=60' '-flate-dmd-anal'
 '-funfolding-creation-threshold=750' '-fmax-inline-memset-insns=32'
 '-funbox-strict-fields' '-fdo-eta-reduction' '-fcmm-elim-common-blocks'
 '-fomit-interface-pragmas' '-fstrictness' '-fsimpl-tick-factor=100'
 '-fliberate-case' '-funbox-strict-fields' '-fsimpl-tick-factor=100'
 '-fcse' '-fignore-asserts' '-fcmm-elim-common-blocks'
 '-funbox-strict-fields' '-fdmd-tx-dict-sel' '-fexpose-all-unfoldings'
 '-foptimal-applicative-do' '-fworker-wrapper' '-fenable-rewrite-rules'
 '-funfolding-dict-discount=30' '-fpedantic-bottoms'
 '-foptimal-applicative-do' '-ffull-laziness' '-fstrictness'
 '-fignore-interface-pragmas' '-fdicts-strict'
 '-fmax-simplifier-iterations=4' '-funbox-strict-fields'
 '-fexpose-all-unfoldings' '-fcase-merge' '-ffun-to-thunk'
 '-fexcess-precision' '-fno-state-hack' '-flate-dmd-anal'
 '-fvectorisation-avoidance' '-flate-dmd-anal' '-fcross-module-specialise'
 '-fcpr-anal' '-fmax-worker-args=10' '-fno-pre-inlining']",fast,0.316,0.316
3,69fe4168-5893-4119-b8db-f14452ede28f,"['-O0' '-fmax-simplifier-iterations=4' '-ffull-laziness'
 '-fsimplifier-phases=2' '-fomit-interface-pragmas' '-ffull-laziness'
 '-fcpr-anal' '-funbox-strict-fields' '-fsimpl-tick-factor=100'
 '-fstatic-argument-transformation' '-fdo-lambda-eta-expansion'
 '-fvectorisation-avoidance' '-fspec-constr-count=3' '-fliberate-case'
 '-fmax-simplifier-iterations=4' '-funfolding-keeness-factor=1.5'
 '-funbox-small-strict-fields' '-fworker-wrapper' '-fcpr-anal'
 '-funbox-strict-fields' '-fdmd-tx-dict-sel' '-fspec-constr-count=3'
 '-fmax-simplifier-iterations=4' '-fdo-eta-reduction'
 '-funfolding-creation-threshold=750' '-fexcess-precision'
 '-fomit-interface-pragmas' '-fno-pre-inlining' '-fcmm-sink'
 '-fexcess-precision' '-funbox-strict-fields' '-ffun-to-thunk'
 '-fcall-arity' '-fcse' '-fignore-asserts' '-feager-blackholing'
 '-fregs-iterative' '-funbox-small-strict-fields' '-fdo-eta-reduction'
 '-funfolding-use-threshold=60' '-fliberate-case-threshold=2000'
 '-flate-dmd-anal' '-feager-blackholing' '-fcse' '-fworker-wrapper'
 '-fdicts-strict' '-fregs-iterative']",fast,0.314,0.314
4,84e9cca0-58e9-4cc7-85af-2569ca0ee423,"['-O0' '-fstrictness-before=1' '-fomit-interface-pragmas' '-fregs-graph'
 '-fdmd-tx-dict-sel' '-fworker-wrapper' '-fomit-interface-pragmas'
 '-fdo-lambda-eta-expansion' '-fregs-iterative'
 '-fvectorisation-avoidance' '-fmax-simplifier-iterations=4'
 '-fignore-interface-pragmas' '-fdo-lambda-eta-expansion'
 '-fdmd-tx-dict-sel' '-fregs-iterative' '-fmax-relevant-binds=6'
 '-fexpose-all-unfoldings' '-fexpose-all-unfoldings'
 '-funfolding-use-threshold=60' '-floopification' '-fno-opt-coercion'
 '-ffloat-in' '-fregs-graph' '-fliberate-case-threshold=2000'
 '-fspec-constr-count=3' '-fignore-asserts' '-fdicts-cheap'
 '-fcmm-elim-common-blocks' '-fstatic-argument-transformation'
 '-feager-blackholing' '-fignore-interface-pragmas' '-fno-pre-inlining'
 '-fcmm-sink' '-fcse' '-fstrictness-before=1' '-fsimplifier-phases=2'
 '-fvectorise' '-fspec-constr-count=3' '-fdo-eta-reduction'
 '-fspec-constr-threshold=2000' '-fmax-inline-memset-insns=32'
 '-funfolding-keeness-factor=1.5' '-fenable-rewrite-rules'
 '-fmax-relevant-binds=6' '-fspec-constr-count=3'
 '-fignore-interface-pragmas' '-fomit-interface-pragmas']",fast,0.313,0.313
5,ad5c2a7b-6a63-4400-8b7e-8cedd3da2426,"['-O0' '-ffun-to-thunk' '-flate-dmd-anal' '-ffun-to-thunk'
 '-fdo-lambda-eta-expansion' '-ffull-laziness'
 '-funfolding-fun-discount=60' '-funbox-small-strict-fields'
 '-fomit-interface-pragmas' '-fcross-module-specialise'
 '-fmax-simplifier-iterations=4' '-ffun-to-thunk'
 '-funfolding-use-threshold=60' '-fspecialise' '-fexcess-precision'
 '-fstrictness-before=1' '-fcmm-sink' '-funbox-small-strict-fields'
 '-fignore-interface-pragmas' '-ffloat-in' '-fcse' '-fmax-worker-args=10'
 '-fcmm-sink' '-fstrictness' '-fdmd-tx-dict-sel' '-fomit-yields'
 '-ffull-laziness' '-fomit-yields' '-fomit-yields'
 '-fignore-interface-pragmas' '-fdicts-strict' '-fomit-interface-pragmas'
 '-ffun-to-thunk' '-fdicts-strict' '-fmax-worker-args=10'
 '-fmax-simplifier-iterations=4' '-fvectorise' '-floopification'
 '-fignore-interface-pragmas' '-ffloat-in' '-fno-state-hack'
 '-fdicts-strict' '-funbox-strict-fields' '-foptimal-applicative-do'
 '-fvectorisation-avoidance' '-fcase-merge' '-fpedantic-bottoms']",fast,0.314,0.314
6,321b387b-294c-4c36-9a12-472668a98948,"['-O0' '-fomit-interface-pragmas' '-fomit-interface-pragmas'
 '-funfolding-use-threshold=60' '-fenable-rewrite-rules'
 '-fenable-rewrite-rules' '-fstrictness' '-fliberate-case'
 '-fdo-eta-reduction' '-fmax-simplifier-iterations=4' '-fspec-constr'
 '-fcmm-elim-common-blocks' '-fno-opt-coercion' '-funbox-strict-fields'
 '-flate-dmd-anal' '-fspec-constr-threshold=2000'
 '-funfolding-dict-discount=30' '-ffun-to-thunk' '-fliberate-case'
 '-ffun-to-thunk' '-foptimal-applicative-do' '-funbox-small-strict-fields'
 '-fcpr-anal' '-fvectorisation-avoidance' '-funbox-strict-fields'
 '-funbox-strict-fields' '-funfolding-fun-discount=60' '-fspecialise'
 '-fcpr-anal' '-fcmm-sink' '-fdo-lambda-eta-expansion'
 '-feager-blackholing' '-fexpose-all-unfoldings' '-fomit-yields'
 '-fcross-module-specialise' '-funfolding-dict-discount=30'
 '-funfolding-fun-discount=60' '-fmax-worker-args=10'
 '-fenable-rewrite-rules' '-fexpose-all-unfoldings'
 '-funfolding-fun-discount=60' '-fmax-relevant-binds=6'
 '-fomit-interface-pragmas' '-flate-dmd-anal'
 '-fstatic-argument-transformation' '-feager-blackholing'
 '-fsimpl-tick-factor=100']",fast,0.317,0.317
7,c160477a-1584-4b7b-9a29-b5108a5edb43,"['-O0' '-fexpose-all-unfoldings' '-fspec-constr-threshold=2000'
 '-fspecialise' '-fvectorisation-avoidance' '-fvectorisation-avoidance'
 '-fvectorise' '-funbox-small-strict-fields' '-fmax-relevant-binds=6'
 '-fsimpl-tick-factor=100' '-feager-blackholing' '-fmax-relevant-binds=6'
 '-fvectorisation-avoidance' '-fno-pre-inlining' '-fsimplifier-phases=2'
 '-fcall-arity' '-fmax-simplifier-iterations=4'
 '-fvectorisation-avoidance' '-fdmd-tx-dict-sel' '-fdicts-strict'
 '-funfolding-dict-discount=30' '-fdicts-cheap' '-fcase-merge'
 '-fspec-constr' '-fspec-constr-count=3' '-floopification'
 '-fdicts-strict' '-flate-dmd-anal' '-fdo-lambda-eta-expansion'
 '-fmax-worker-args=10' '-funbox-strict-fields'
 '-fmax-simplifier-iterations=4' '-fmax-inline-memset-insns=32'
 '-ffun-to-thunk' '-fvectorisation-avoidance' '-fomit-interface-pragmas'
 '-fno-pre-inlining' '-feager-blackholing' '-fcall-arity' '-fstrictness'
 '-fexpose-all-unfoldings' '-funfolding-creation-threshold=750'
 '-ffloat-in' '-fignore-interface-pragmas' '-fdo-eta-reduction'
 '-fomit-yields' '-fdo-eta-reduction']",fast,0.315,0.315
8,3ddfc155-685c-49d6-9ec5-dcfde9c56c1c,"['-O0' '-fvectorisation-avoidance' '-fcase-merge'
 '-funfolding-dict-discount=30' '-funfolding-creation-threshold=750'
 '-fno-opt-coercion' '-fstrictness' '-fmax-worker-args=10' '-fvectorise'
 '-fdicts-strict' '-fcross-module-specialise' '-fignore-asserts'
 '-funfolding-creation-threshold=750' '-fcmm-elim-common-blocks'
 '-funbox-strict-fields' '-fcpr-anal' '-fdo-eta-reduction'
 '-fsimpl-tick-factor=100' '-fdicts-strict' '-flate-dmd-anal' '-fcpr-anal'
 '-fliberate-case-threshold=2000' '-fmax-inline-memset-insns=32'
 '-fno-opt-coercion' '-feager-blackholing' '-ffloat-in'
 '-funfolding-fun-discount=60' '-fmax-relevant-binds=6'
 '-fliberate-case-threshold=2000' '-fvectorisation-avoidance'
 '-funfolding-keeness-factor=1.5' '-funfolding-use-threshold=60'
 '-funfolding-use-threshold=60' '-fomit-interface-pragmas'
 '-fenable-rewrite-rules' '-fcpr-anal' '-fpedantic-bottoms'
 '-fdo-eta-reduction' '-ffull-laziness' '-fexpose-all-unfoldings'
 '-fno-state-hack' '-fspec-constr' '-fno-opt-coercion'
 '-fenable-rewrite-rules' '-feager-blackholing' '-fcmm-sink'
 '-fspec-constr']",fast,0.314,0.314
9,21848545-ae02-4415-9b1c-a1de09000c58,"['-O0' '-fsimpl-tick-factor=100' '-fmax-inline-memset-insns=32'
 '-fsimplifier-phases=2' '-fomit-yields' '-fworker-wrapper'
 '-fomit-interface-pragmas' '-fdo-eta-reduction'
 '-funfolding-creation-threshold=750' '-fliberate-case-threshold=2000'
 '-fcase-merge' '-fomit-interface-pragmas' '-ffloat-in'
 '-fsimpl-tick-factor=100' '-fmax-simplifier-iterations=4'
 '-fignore-asserts' '-fdmd-tx-dict-sel' '-fexpose-all-unfoldings'
 '-fignore-asserts' '-fdo-lambda-eta-expansion'
 '-funfolding-fun-discount=60' '-fexcess-precision' '-floopification'
 '-fexcess-precision' '-fignore-interface-pragmas'
 '-fignore-interface-pragmas' '-fliberate-case'
 '-fstatic-argument-transformation' '-fsimpl-tick-factor=100'
 '-funfolding-keeness-factor=1.5' '-fspec-constr' '-feager-blackholing'
 '-fenable-rewrite-rules' '-fdicts-cheap' '-fstrictness-before=1'
 '-fmax-worker-args=10' '-fno-pre-inlining' '-fstrictness-before=1'
 '-fliberate-case-threshold=2000' '-fpedantic-bottoms'
 '-funfolding-keeness-factor=1.5' '-fregs-iterative'
 '-fspec-constr-threshold=2000' '-fvectorisation-avoidance' '-ffloat-in'
 '-fmax-inline-memset-insns=32' '-funbox-strict-fields']",fast,0.314,0.314
