,ID,Mode,Flags,Runtime,Iteration,Best
0,-O0,fast,-O0,3.509,0,False
1,-O2,fast,-O2,3.509,0,False
2,35bc98cb-aac3-4bd1-b942-48c49ace5893,fast,"['-O0', '-fignore-interface-pragmas', '-fmax-inline-alloc-size=128', '-fcmm-sink', '-fcse', '-fmax-inline-memcpy-insns=32', '-fmax-simplifier-iterations=4', '-fdicts-strict', '-fliberate-case', '-flate-dmd-anal', '-fno-pre-inlining', '-fdo-lambda-eta-expansion', '-fregs-graph', '-feager-blackholing', '-funfolding-fun-discount=60', '-fstrictness', '-fliberate-case-threshold=2000', '-ffun-to-thunk', '-fstatic-argument-transformation', '-fworker-wrapper', '-fvectorise', '-funfolding-keeness-factor=1.5', '-fignore-asserts', '-fpedantic-bottoms', '-fdmd-tx-dict-sel', '-funfolding-creation-threshold=750', '-funbox-strict-fields', '-fcpr-anal', '-fspec-constr-threshold=2000', '-fcmm-elim-common-blocks', '-fexpose-all-unfoldings', '-ffloat-in', '-floopification', '-fcase-merge', '-fmax-worker-args=10', '-fomit-yields', '-fno-state-hack', '-funfolding-dict-discount=30', '-fmax-inline-memset-insns=32', '-fstrictness-before=1', '-fmax-relevant-binds=6', '-fenable-rewrite-rules', '-foptimal-applicative-do']",3.499,0,False
3,4ab83fb0-e750-43d7-af7a-5bd3c3e2577e,fast,"['-O0', '-fliberate-case', '-funbox-small-strict-fields', '-fcase-merge', '-fcse', '-fexpose-all-unfoldings', '-fregs-graph', '-flate-dmd-anal', '-fliberate-case-threshold=2000', '-fsimplifier-phases=2', '-fmax-relevant-binds=6', '-fstrictness-before=1', '-fcall-arity', '-feager-blackholing']",3.504,0,False
4,b1b5acee-e38b-4688-994c-b18b46dcc274,fast,"['-O0', '-fcmm-sink', '-funfolding-use-threshold=60', '-fliberate-case-threshold=2000', '-ffloat-in', '-fcse', '-fomit-interface-pragmas', '-fmax-inline-alloc-size=128', '-fexcess-precision', '-fno-opt-coercion', '-fignore-interface-pragmas', '-fstatic-argument-transformation', '-fcall-arity', '-foptimal-applicative-do']",3.502,0,False
5,026c6b7d-63fd-4bc2-ba1e-d53f4fd3854b,fast,"['-O0', '-fdicts-strict', '-funbox-strict-fields', '-funfolding-dict-discount=30', '-fcmm-elim-common-blocks', '-fpedantic-bottoms', '-fno-state-hack', '-fliberate-case', '-fignore-interface-pragmas', '-fsimpl-tick-factor=100', '-ffloat-in', '-fspec-constr', '-fcpr-anal', '-fspec-constr-count=3', '-fmax-inline-memcpy-insns=32', '-fmax-inline-alloc-size=128', '-feager-blackholing', '-funfolding-creation-threshold=750', '-fmax-inline-memset-insns=32', '-funfolding-keeness-factor=1.5', '-fvectorisation-avoidance', '-fdo-eta-reduction', '-fstrictness-before=1', '-funfolding-use-threshold=60', '-fno-opt-coercion']",3.498,0,False
6,7f4cd326-3fa6-4b4d-bd7e-c8a4062e13cb,fast,"['-O0', '-foptimal-applicative-do', '-fspec-constr', '-fliberate-case', '-fspecialise', '-fworker-wrapper', '-fvectorisation-avoidance', '-funbox-small-strict-fields', '-fdmd-tx-dict-sel', '-fdicts-strict', '-floopification', '-funfolding-dict-discount=30', '-fsimplifier-phases=2', '-fliberate-case-threshold=2000', '-fignore-asserts', '-fmax-worker-args=10', '-funfolding-fun-discount=60', '-fmax-simplifier-iterations=4', '-fmax-inline-memset-insns=32', '-feager-blackholing', '-fspec-constr-count=3', '-fcall-arity', '-ffull-laziness', '-fomit-interface-pragmas', '-funfolding-creation-threshold=750', '-fstatic-argument-transformation', '-fcmm-elim-common-blocks', '-flate-dmd-anal', '-fvectorise', '-fexpose-all-unfoldings', '-fomit-yields', '-fsimpl-tick-factor=100', '-ffloat-in', '-fstrictness-before=1', '-fcpr-anal', '-fspec-constr-threshold=2000', '-fstrictness', '-funfolding-keeness-factor=1.5', '-fexcess-precision', '-fdo-lambda-eta-expansion', '-fregs-graph', '-fcse', '-fno-pre-inlining', '-fpedantic-bottoms', '-fcross-module-specialise', '-fcase-merge', '-fno-state-hack', '-fmax-inline-alloc-size=128', '-fcmm-sink', '-fdo-eta-reduction']",3.497,0,False
7,9b541a5e-1364-4f9f-9c60-838e8cd8ad86,fast,"['-O0', '-fspec-constr-threshold=2000', '-ffull-laziness', '-fstatic-argument-transformation', '-floopification', '-funbox-strict-fields', '-funfolding-creation-threshold=750', '-fliberate-case', '-funfolding-fun-discount=60', '-fstrictness-before=1', '-fexpose-all-unfoldings', '-fexcess-precision', '-fcmm-sink', '-funfolding-keeness-factor=1.5', '-fenable-rewrite-rules', '-fno-pre-inlining', '-fmax-inline-alloc-size=128', '-fcase-merge', '-fdo-lambda-eta-expansion', '-ffun-to-thunk', '-fsimplifier-phases=2', '-fdo-eta-reduction', '-fstrictness', '-fno-opt-coercion', '-fcse', '-funbox-small-strict-fields', '-fvectorise', '-fcross-module-specialise', '-fspec-constr', '-fspecialise', '-fignore-asserts', '-fcmm-elim-common-blocks', '-fworker-wrapper', '-fpedantic-bottoms', '-funfolding-dict-discount=30', '-fmax-simplifier-iterations=4', '-fregs-graph', '-fsimpl-tick-factor=100', '-fmax-inline-memset-insns=32', '-fmax-relevant-binds=6', '-funfolding-use-threshold=60', '-fcpr-anal', '-fdicts-strict', '-fmax-inline-memcpy-insns=32', '-fomit-yields', '-fdicts-cheap', '-flate-dmd-anal', '-fdmd-tx-dict-sel', '-fno-state-hack', '-fmax-worker-args=10', '-fregs-iterative', '-ffloat-in']",3.497,0,False
8,fc72d360-0b4f-4f9a-b218-64cfc6f62ac8,fast,"['-O0', '-fliberate-case-threshold=2000', '-fcmm-elim-common-blocks', '-fsimplifier-phases=2', '-ffun-to-thunk', '-fexpose-all-unfoldings', '-fspec-constr-threshold=2000', '-feager-blackholing', '-funbox-strict-fields', '-funfolding-dict-discount=30', '-fstatic-argument-transformation', '-fomit-interface-pragmas', '-fno-opt-coercion']",3.501,0,False
9,e576b774-c4f5-4bfd-b9eb-65f97b06af15,fast,"['-O0', '-fmax-worker-args=10', '-fcmm-elim-common-blocks', '-fstrictness-before=1', '-fvectorise', '-fmax-inline-memset-insns=32', '-fmax-relevant-binds=6', '-fomit-yields', '-ffull-laziness', '-fmax-simplifier-iterations=4', '-flate-dmd-anal', '-funfolding-dict-discount=30', '-fpedantic-bottoms', '-fregs-iterative', '-fexpose-all-unfoldings', '-fliberate-case-threshold=2000', '-fsimpl-tick-factor=100', '-funfolding-keeness-factor=1.5', '-fcross-module-specialise', '-funbox-strict-fields', '-fomit-interface-pragmas', '-fcase-merge', '-fspec-constr-count=3', '-ffloat-in', '-fsimplifier-phases=2', '-fworker-wrapper', '-fcmm-sink', '-fvectorisation-avoidance', '-fstatic-argument-transformation', '-fmax-inline-alloc-size=128', '-fno-state-hack', '-funfolding-creation-threshold=750', '-ffun-to-thunk', '-fmax-inline-memcpy-insns=32', '-funfolding-fun-discount=60', '-fspec-constr-threshold=2000', '-fdicts-cheap', '-fcpr-anal', '-fignore-interface-pragmas', '-feager-blackholing', '-fignore-asserts', '-fregs-graph', '-fdo-eta-reduction', '-fstrictness', '-fexcess-precision', '-fdmd-tx-dict-sel', '-fliberate-case', '-funbox-small-strict-fields', '-fdo-lambda-eta-expansion']",3.494,0,False
10,930431ab-5d1a-43f3-b678-0b4804f6d850,fast,"['-O0', '-funbox-strict-fields', '-fdicts-strict', '-fignore-asserts', '-funfolding-creation-threshold=750', '-fmax-inline-memset-insns=32', '-funfolding-use-threshold=60', '-fstatic-argument-transformation', '-fmax-worker-args=10', '-fregs-iterative', '-fdo-eta-reduction', '-feager-blackholing', '-funfolding-dict-discount=30', '-funfolding-keeness-factor=1.5', '-fspecialise', '-fspec-constr-count=3', '-fignore-interface-pragmas']",3.492,0,False
11,8246d78a-984a-4825-87d6-3e49909d7bde,fast,"['-O0', '-fdmd-tx-dict-sel', '-fdo-lambda-eta-expansion', '-fmax-inline-memcpy-insns=32', '-fcmm-elim-common-blocks']",3.498,0,False
12,649cbbef-ddb1-4093-bf07-3f4ee4f26cbe,fast,"['-O0', '-fcross-module-specialise', '-funfolding-use-threshold=60', '-fspec-constr-count=3', '-feager-blackholing', '-funfolding-keeness-factor=1.5', '-fdicts-strict', '-funfolding-dict-discount=30', '-fregs-iterative', '-funbox-strict-fields', '-O0', '-fdmd-tx-dict-sel', '-fmax-worker-args=10', '-funfolding-creation-threshold=750', '-fignore-interface-pragmas', '-fspecialise', '-fexpose-all-unfoldings', '-fliberate-case-threshold=2000', '-fignore-asserts', '-floopification', '-fmax-inline-memset-insns=32', '-fno-state-hack', '-fstatic-argument-transformation', '-fcpr-anal', '-fdo-eta-reduction']",3.505,0,False
13,ecc682d5-0ec6-478a-ba3b-a6298246b14e,fast,"['-O0', '-ffloat-in', '-fcross-module-specialise', '-funfolding-use-threshold=60', '-fspec-constr-count=3', '-fworker-wrapper', '-feager-blackholing', '-funfolding-keeness-factor=1.5', '-fomit-yields', '-fdicts-strict', '-funfolding-dict-discount=30', '-fcase-merge', '-fregs-iterative', '-funbox-strict-fields', '-O0', '-fmax-worker-args=10', '-funfolding-creation-threshold=750', '-fignore-interface-pragmas', '-fspecialise', '-fignore-asserts', '-fspec-constr', '-fmax-inline-memset-insns=32', '-fspec-constr-threshold=2000', '-fstatic-argument-transformation', '-fmax-inline-alloc-size=128', '-fdo-eta-reduction', '-fmax-relevant-binds=6']",3.504,1,False
14,ec127ae3-1843-4853-8f04-767fa9251fb2,fast,"['-O0', '-ffun-to-thunk', '-funfolding-use-threshold=60', '-fspec-constr-count=3', '-feager-blackholing', '-funfolding-keeness-factor=1.5', '-fstrictness', '-fdicts-strict', '-funfolding-dict-discount=30', '-fcse', '-fregs-iterative', '-funbox-strict-fields', '-O0', '-fmax-worker-args=10', '-funfolding-creation-threshold=750', '-fignore-interface-pragmas', '-fspecialise', '-foptimal-applicative-do', '-fignore-asserts', '-fspec-constr', '-fmax-inline-memset-insns=32', '-fstatic-argument-transformation', '-fmax-simplifier-iterations=4', '-fdo-eta-reduction', '-fmax-relevant-binds=6']",3.499,2,False
15,f44c329e-5bd5-40c5-89a0-6fc0aeafca85,fast,"['-O0', '-ffloat-in', '-fcross-module-specialise', '-funfolding-use-threshold=60', '-fspec-constr-count=3', '-feager-blackholing', '-funfolding-keeness-factor=1.5', '-fdicts-strict', '-fno-pre-inlining', '-fstrictness-before=1', '-funfolding-dict-discount=30', '-fcase-merge', '-fsimplifier-phases=2', '-fregs-iterative', '-funbox-strict-fields', '-O0', '-fdmd-tx-dict-sel', '-fmax-worker-args=10', '-funfolding-creation-threshold=750', '-fignore-interface-pragmas', '-fspecialise', '-fexpose-all-unfoldings', '-fliberate-case-threshold=2000', '-fignore-asserts', '-ffull-laziness', '-floopification', '-fmax-inline-memset-insns=32', '-fno-state-hack', '-fstatic-argument-transformation', '-fcpr-anal', '-fdo-eta-reduction']",3.495,3,False
16,d8a85c83-b143-4f2d-b68d-578997e9c9a7,fast,"['-O0', '-ffloat-in', '-fcross-module-specialise', '-funfolding-use-threshold=60', '-fspec-constr-count=3', '-feager-blackholing', '-funfolding-keeness-factor=1.5', '-flate-dmd-anal', '-fdicts-strict', '-fno-pre-inlining', '-fstrictness-before=1', '-funfolding-dict-discount=30', '-fcase-merge', '-fsimplifier-phases=2', '-fregs-iterative', '-funbox-strict-fields', '-O0', '-fdmd-tx-dict-sel', '-fmax-worker-args=10', '-fcmm-sink', '-funfolding-creation-threshold=750', '-fignore-interface-pragmas', '-fspecialise', '-fexpose-all-unfoldings', '-fliberate-case-threshold=2000', '-foptimal-applicative-do', '-fignore-asserts', '-ffull-laziness', '-floopification', '-fmax-inline-memset-insns=32', '-fno-state-hack', '-fstatic-argument-transformation', '-funbox-small-strict-fields', '-fcpr-anal', '-fmax-inline-alloc-size=128', '-fdo-eta-reduction']",3.498,4,False
17,ca2e07c2-5748-4c8f-9e2c-4edc7b26411c,fast,"['-O0', '-funfolding-use-threshold=60', '-fspec-constr-count=3', '-fworker-wrapper', '-feager-blackholing', '-funfolding-keeness-factor=1.5', '-fdicts-strict', '-fno-pre-inlining', '-funfolding-dict-discount=30', '-fcase-merge', '-fregs-iterative', '-fsimpl-tick-factor=100', '-funbox-strict-fields', '-O0', '-fregs-graph', '-fmax-worker-args=10', '-fcmm-sink', '-funfolding-creation-threshold=750', '-fignore-interface-pragmas', '-fspecialise', '-fignore-asserts', '-fmax-inline-memset-insns=32', '-fspec-constr-threshold=2000', '-fstatic-argument-transformation', '-fcmm-elim-common-blocks', '-fmax-simplifier-iterations=4', '-fdo-eta-reduction']",3.504,5,False
18,c1e1120c-58bb-45b9-a9cf-38a6579e370f,fast,"['-O0', '-ffloat-in', '-fcross-module-specialise', '-funfolding-use-threshold=60', '-fspec-constr-count=3', '-fworker-wrapper', '-feager-blackholing', '-funfolding-keeness-factor=1.5', '-fstrictness', '-fomit-yields', '-fdicts-strict', '-fno-opt-coercion', '-fno-pre-inlining', '-fstrictness-before=1', '-funfolding-dict-discount=30', '-fcase-merge', '-fsimplifier-phases=2', '-fregs-iterative', '-fsimpl-tick-factor=100', '-funbox-strict-fields', '-O0', '-fdmd-tx-dict-sel', '-fmax-worker-args=10', '-funfolding-creation-threshold=750', '-fignore-interface-pragmas', '-fspecialise', '-fexpose-all-unfoldings', '-fliberate-case-threshold=2000', '-fignore-asserts', '-ffull-laziness', '-floopification', '-fmax-inline-memset-insns=32', '-fno-state-hack', '-fstatic-argument-transformation', '-fcpr-anal', '-fmax-inline-alloc-size=128', '-fdo-eta-reduction']",3.503,6,False
19,56e7c907-4687-4187-b183-38a6ea198b24,fast,"['-O0', '-funfolding-keeness-factor=1.5', '-fcse', '-fliberate-case', '-fregs-iterative', '-fomit-yields', '-fdo-lambda-eta-expansion', '-O0', '-fmax-inline-memcpy-insns=32', '-fdmd-tx-dict-sel', '-fspec-constr-threshold=2000', '-fomit-interface-pragmas', '-fno-state-hack', '-funfolding-use-threshold=60', '-fcpr-anal', '-fcmm-elim-common-blocks']",3.505,7,False
20,7b58ea70-c1e2-4afb-b980-2e680b1e7e69,fast,"['-O0', '-ffun-to-thunk', '-funfolding-use-threshold=60', '-fworker-wrapper', '-fspec-constr-count=3', '-fvectorisation-avoidance', '-feager-blackholing', '-funfolding-keeness-factor=1.5', '-fomit-yields', '-flate-dmd-anal', '-fdicts-strict', '-fno-pre-inlining', '-funfolding-dict-discount=30', '-fcase-merge', '-fliberate-case', '-fregs-iterative', '-fsimpl-tick-factor=100', '-funbox-strict-fields', '-O0', '-fregs-graph', '-fdmd-tx-dict-sel', '-fmax-worker-args=10', '-fcmm-sink', '-funfolding-creation-threshold=750', '-fignore-interface-pragmas', '-fspecialise', '-fexpose-all-unfoldings', '-fignore-asserts', '-fmax-inline-memset-insns=32', '-fspec-constr-threshold=2000', '-funbox-small-strict-fields', '-fstatic-argument-transformation', '-fcmm-elim-common-blocks', '-fmax-simplifier-iterations=4', '-fdo-eta-reduction']",3.496,8,False
21,7fb4a083-70b5-4154-86a7-db323fbb7fbf,fast,"['-O0', '-ffloat-in', '-fmax-inline-memcpy-insns=32', '-funfolding-fun-discount=60', '-fdo-lambda-eta-expansion', '-ffun-to-thunk', '-fcross-module-specialise', '-fomit-interface-pragmas', '-fspec-constr-count=3', '-fworker-wrapper', '-fvectorisation-avoidance', '-feager-blackholing', '-fexcess-precision', '-funfolding-keeness-factor=1.5', '-fomit-yields', '-fstrictness', '-flate-dmd-anal', '-fstrictness-before=1', '-fpedantic-bottoms', '-funfolding-dict-discount=30', '-fvectorise', '-fcase-merge', '-fcse', '-fsimplifier-phases=2', '-fregs-iterative', '-fsimpl-tick-factor=100', '-fliberate-case', '-funbox-strict-fields', '-O0', '-fregs-graph', '-fdmd-tx-dict-sel', '-fmax-worker-args=10', '-fcmm-sink', '-funfolding-creation-threshold=750', '-fignore-interface-pragmas', '-fliberate-case-threshold=2000', '-fexpose-all-unfoldings', '-foptimal-applicative-do', '-ffull-laziness', '-fignore-asserts', '-fmax-inline-memset-insns=32', '-fspec-constr-threshold=2000', '-fdicts-cheap', '-fno-state-hack', '-fstatic-argument-transformation', '-funbox-small-strict-fields', '-fmax-inline-alloc-size=128', '-fcpr-anal', '-fcmm-elim-common-blocks', '-fmax-simplifier-iterations=4', '-fdo-eta-reduction', '-fmax-relevant-binds=6']",3.497,9,False
