,ID,Mode,Flags,Runtime,Iteration,Best
0,-O0,fast,-O0,3.494,0,False
1,-O2,fast,-O2,3.493,0,False
2,1f716c7a-7481-4c40-8909-68f5754f362b,fast,"['-O0', '-fstatic-argument-transformation', '-funfolding-use-threshold=60', '-fmax-inline-memcpy-insns=32', '-fstrictness', '-fdmd-tx-dict-sel', '-fenable-rewrite-rules', '-fspec-constr-threshold=2000', '-fno-opt-coercion', '-fcpr-anal', '-fcross-module-specialise', '-fcmm-elim-common-blocks', '-fexcess-precision', '-fstrictness-before=1', '-fvectorisation-avoidance', '-fmax-worker-args=10', '-fregs-iterative', '-fmax-simplifier-iterations=4', '-fdo-lambda-eta-expansion', '-fspec-constr-count=3', '-fregs-graph', '-fomit-yields', '-fsimpl-tick-factor=100', '-funfolding-dict-discount=30', '-fcmm-sink', '-fno-pre-inlining', '-funbox-small-strict-fields']",3.497,0,False
3,d043506b-4965-4f5b-8aad-9c0826d32269,fast,"['-O0', '-fno-opt-coercion', '-fspecialise', '-funbox-small-strict-fields', '-fignore-interface-pragmas', '-ffloat-in', '-fpedantic-bottoms', '-fregs-graph', '-fliberate-case-threshold=2000', '-fcmm-sink', '-funfolding-use-threshold=60', '-fomit-interface-pragmas', '-foptimal-applicative-do', '-fcall-arity', '-fregs-iterative', '-fsimpl-tick-factor=100', '-funfolding-creation-threshold=750', '-fdmd-tx-dict-sel', '-fspec-constr-threshold=2000', '-fmax-relevant-binds=6', '-feager-blackholing', '-ffun-to-thunk', '-fignore-asserts', '-fworker-wrapper', '-fmax-inline-memcpy-insns=32', '-funfolding-dict-discount=30', '-fcase-merge', '-flate-dmd-anal', '-fcpr-anal', '-fcmm-elim-common-blocks', '-fdo-eta-reduction', '-fexpose-all-unfoldings', '-fdicts-strict', '-fdo-lambda-eta-expansion', '-fvectorise', '-ffull-laziness', '-fliberate-case', '-fmax-simplifier-iterations=4', '-funfolding-keeness-factor=1.5', '-fcse', '-fspec-constr-count=3', '-fno-pre-inlining', '-fstatic-argument-transformation', '-fstrictness-before=1', '-fdicts-cheap', '-fmax-inline-memset-insns=32', '-fenable-rewrite-rules', '-fno-state-hack', '-fstrictness']",3.492,0,False
4,a4064f82-b9ff-4c07-bbb5-8f0efbcc4076,fast,"['-O0', '-fdicts-strict', '-fvectorisation-avoidance', '-fregs-graph', '-fstrictness-before=1', '-fno-pre-inlining', '-foptimal-applicative-do', '-ffloat-in', '-fdmd-tx-dict-sel', '-funfolding-creation-threshold=750', '-fdo-lambda-eta-expansion', '-fomit-interface-pragmas', '-feager-blackholing']",3.495,0,False
5,0f0a9e65-f991-4e46-94cb-3dff7625045b,fast,"['-O0', '-fspec-constr-threshold=2000', '-fcpr-anal', '-fspecialise', '-fregs-graph', '-ffun-to-thunk', '-fmax-worker-args=10', '-fdo-lambda-eta-expansion', '-fcmm-sink', '-fenable-rewrite-rules', '-fdmd-tx-dict-sel', '-funbox-strict-fields', '-fliberate-case', '-fno-pre-inlining', '-fexcess-precision', '-fstatic-argument-transformation', '-fexpose-all-unfoldings', '-fomit-yields', '-fliberate-case-threshold=2000', '-fcmm-elim-common-blocks', '-floopification', '-fcase-merge', '-fmax-inline-memcpy-insns=32', '-fstrictness-before=1', '-ffull-laziness', '-fspec-constr-count=3', '-fno-state-hack', '-funfolding-creation-threshold=750', '-fmax-inline-memset-insns=32', '-funfolding-keeness-factor=1.5', '-fmax-simplifier-iterations=4', '-fsimpl-tick-factor=100', '-fcall-arity', '-funbox-small-strict-fields', '-fvectorise', '-fcse', '-fcross-module-specialise']",3.497,0,False
6,9b4d3e81-8dc6-43fb-bd2e-bc50f36edc64,fast,"['-O0', '-funfolding-dict-discount=30', '-fmax-inline-memcpy-insns=32', '-fsimpl-tick-factor=100', '-fcall-arity', '-fspecialise', '-fdmd-tx-dict-sel', '-fcse', '-fregs-iterative', '-funfolding-keeness-factor=1.5', '-fno-opt-coercion', '-floopification', '-fmax-inline-alloc-size=128', '-fvectorisation-avoidance', '-fdicts-cheap', '-fspec-constr-threshold=2000', '-fmax-simplifier-iterations=4', '-fomit-yields', '-ffun-to-thunk', '-fmax-worker-args=10', '-fvectorise', '-fmax-inline-memset-insns=32', '-fenable-rewrite-rules', '-fstrictness-before=1', '-fexpose-all-unfoldings', '-fcpr-anal', '-fexcess-precision', '-foptimal-applicative-do', '-fregs-graph', '-feager-blackholing', '-ffull-laziness', '-fliberate-case-threshold=2000', '-fcase-merge', '-fstatic-argument-transformation', '-fworker-wrapper', '-fsimplifier-phases=2', '-fno-state-hack', '-funbox-small-strict-fields', '-fcmm-elim-common-blocks', '-fspec-constr-count=3', '-fdo-lambda-eta-expansion', '-fdo-eta-reduction', '-funfolding-creation-threshold=750', '-funfolding-use-threshold=60', '-fstrictness', '-funfolding-fun-discount=60', '-ffloat-in', '-fcross-module-specialise']",3.504,0,False
7,719d4f1b-3118-4704-8b97-728747b64dfa,fast,"['-O0', '-fpedantic-bottoms', '-fcpr-anal', '-funbox-small-strict-fields', '-fmax-inline-alloc-size=128', '-fdicts-strict', '-fspec-constr-count=3', '-fenable-rewrite-rules', '-fliberate-case-threshold=2000', '-funfolding-use-threshold=60', '-funfolding-dict-discount=30', '-fomit-yields', '-fvectorisation-avoidance', '-ffloat-in', '-fspecialise', '-fmax-worker-args=10', '-fcmm-elim-common-blocks', '-fmax-inline-memset-insns=32', '-fvectorise', '-fdo-lambda-eta-expansion', '-fliberate-case', '-funbox-strict-fields', '-fdicts-cheap', '-fsimpl-tick-factor=100', '-ffull-laziness', '-fmax-inline-memcpy-insns=32', '-funfolding-fun-discount=60', '-fstrictness', '-fexpose-all-unfoldings', '-fomit-interface-pragmas']",3.498,0,False
8,fb9eae0b-9c3d-41dd-8125-1a6f29237588,fast,['-O0'],3.499,0,False
9,2aa79199-9623-438e-80a9-8a8431a5a96f,fast,"['-O0', '-fmax-inline-alloc-size=128', '-fliberate-case-threshold=2000', '-fmax-worker-args=10', '-fmax-simplifier-iterations=4', '-fcpr-anal', '-fmax-relevant-binds=6', '-fenable-rewrite-rules', '-feager-blackholing', '-fcase-merge', '-fignore-interface-pragmas', '-fspec-constr', '-fcmm-elim-common-blocks', '-fdicts-strict', '-fdicts-cheap', '-fsimpl-tick-factor=100', '-fstrictness', '-fno-opt-coercion', '-funfolding-dict-discount=30', '-fomit-interface-pragmas', '-fstatic-argument-transformation', '-fexpose-all-unfoldings', '-fvectorisation-avoidance', '-fpedantic-bottoms']",3.506,0,False
10,d34e3ed9-7862-438b-b015-cb07864fae59,fast,"['-O0', '-fcross-module-specialise', '-fcall-arity', '-fliberate-case', '-fcase-merge', '-feager-blackholing', '-fspec-constr-count=3', '-fdicts-cheap', '-fignore-interface-pragmas', '-fdmd-tx-dict-sel', '-fspecialise', '-fpedantic-bottoms', '-fenable-rewrite-rules', '-funbox-strict-fields', '-fstrictness-before=1', '-fstatic-argument-transformation']",3.501,0,False
11,57728e5d-c439-4ab0-ba72-1838af2a127c,fast,"['-O0', '-fcmm-elim-common-blocks', '-fexcess-precision', '-fpedantic-bottoms', '-fmax-relevant-binds=6', '-fregs-graph', '-fcall-arity', '-funfolding-fun-discount=60', '-fmax-inline-alloc-size=128', '-fstatic-argument-transformation', '-fno-state-hack', '-fcase-merge', '-fdo-eta-reduction', '-fno-pre-inlining', '-fspec-constr', '-fdicts-cheap', '-fvectorise', '-fstrictness-before=1', '-feager-blackholing', '-funfolding-use-threshold=60', '-fvectorisation-avoidance', '-ffull-laziness', '-fliberate-case-threshold=2000']",3.505,0,False
12,420eae87-4af9-4005-8212-852f632c5f49,fast,"['-O0', '-floopification', '-fworker-wrapper', '-fcross-module-specialise', '-funfolding-dict-discount=30', '-fdicts-strict', '-fmax-inline-alloc-size=128', '-foptimal-applicative-do']",3.496,0,False
13,5d9afa02-6ccc-4017-a93e-32e98890a917,fast,"['-O0', '-fmax-worker-args=10', '-fstrictness-before=1', '-fexpose-all-unfoldings', '-fspec-constr', '-feager-blackholing', '-flate-dmd-anal', '-fmax-inline-memset-insns=32', '-fworker-wrapper', '-funfolding-use-threshold=60', '-fstatic-argument-transformation', '-fliberate-case-threshold=2000', '-ffull-laziness', '-funbox-strict-fields', '-fpedantic-bottoms', '-fvectorisation-avoidance', '-fdicts-cheap', '-fcpr-anal', '-fcall-arity', '-fstrictness', '-fsimpl-tick-factor=100', '-funfolding-keeness-factor=1.5', '-fliberate-case', '-fno-state-hack']",3.5,0,False
14,cfe750d7-2505-4754-81ae-a037dd5b4118,fast,"['-O0', '-fignore-asserts', '-fregs-graph', '-fdicts-cheap', '-fspecialise', '-foptimal-applicative-do', '-fmax-worker-args=10', '-ffull-laziness', '-fno-opt-coercion', '-fomit-yields', '-fmax-inline-memcpy-insns=32', '-fdo-eta-reduction', '-flate-dmd-anal', '-fmax-inline-alloc-size=128', '-funfolding-dict-discount=30', '-fvectorise', '-ffun-to-thunk', '-fpedantic-bottoms', '-fno-pre-inlining', '-funfolding-use-threshold=60', '-fdo-lambda-eta-expansion', '-fspec-constr-count=3']",3.501,0,False
15,219bcf7b-81fe-4f22-ab6a-a772e138a4ee,fast,"['-O0', '-fdo-eta-reduction', '-fcmm-elim-common-blocks', '-ffloat-in', '-fmax-worker-args=10', '-funfolding-dict-discount=30', '-fworker-wrapper', '-fmax-inline-memcpy-insns=32', '-fspecialise', '-fexcess-precision']",3.5,0,False
16,39a84115-8a67-4ffc-8b66-8457754cce97,fast,"['-O0', '-fmax-inline-memcpy-insns=32', '-fenable-rewrite-rules', '-fworker-wrapper', '-fcpr-anal', '-fspecialise', '-fspec-constr', '-fmax-worker-args=10', '-fomit-yields', '-fmax-relevant-binds=6', '-funfolding-keeness-factor=1.5', '-fdo-eta-reduction', '-fvectorise', '-foptimal-applicative-do', '-fregs-graph', '-fcross-module-specialise', '-funfolding-fun-discount=60', '-fno-pre-inlining', '-fstatic-argument-transformation', '-fcmm-elim-common-blocks', '-flate-dmd-anal', '-feager-blackholing', '-fvectorisation-avoidance', '-fspec-constr-threshold=2000', '-fcall-arity', '-fspec-constr-count=3', '-fregs-iterative', '-funfolding-creation-threshold=750', '-fdicts-strict', '-fexcess-precision', '-fcase-merge', '-ffloat-in', '-ffun-to-thunk', '-ffull-laziness', '-fstrictness', '-fmax-inline-alloc-size=128', '-fno-state-hack', '-fomit-interface-pragmas', '-fdicts-cheap', '-fliberate-case', '-fignore-interface-pragmas', '-funfolding-use-threshold=60', '-funbox-small-strict-fields', '-fpedantic-bottoms', '-fsimplifier-phases=2', '-fmax-inline-memset-insns=32', '-floopification']",3.495,0,False
17,ae4bde75-a82e-47f4-9a19-14937feed15d,fast,"['-O0', '-fstrictness-before=1', '-fcse', '-fmax-inline-memcpy-insns=32', '-flate-dmd-anal', '-fsimpl-tick-factor=100', '-fspec-constr-count=3', '-funfolding-creation-threshold=750', '-fmax-inline-alloc-size=128', '-fspec-constr-threshold=2000', '-fstrictness', '-fspecialise', '-fno-opt-coercion', '-fregs-iterative', '-ffull-laziness', '-fignore-asserts', '-ffloat-in', '-fvectorise', '-fcmm-elim-common-blocks', '-fregs-graph', '-fdicts-cheap', '-fliberate-case', '-ffun-to-thunk', '-fignore-interface-pragmas', '-fmax-inline-memset-insns=32', '-fliberate-case-threshold=2000', '-fdo-lambda-eta-expansion']",3.496,0,False
18,ff3c6fc9-5747-4adf-8f4c-f24f76071cd4,fast,"['-O0', '-fworker-wrapper', '-fdicts-cheap', '-fenable-rewrite-rules', '-fcse', '-fmax-worker-args=10', '-fomit-interface-pragmas', '-fdo-eta-reduction', '-feager-blackholing', '-floopification', '-fno-state-hack', '-fmax-inline-memcpy-insns=32', '-fcmm-sink', '-fspec-constr-count=3', '-fvectorise', '-fexcess-precision', '-fomit-yields', '-ffun-to-thunk', '-funbox-strict-fields', '-ffloat-in', '-fignore-interface-pragmas', '-fsimpl-tick-factor=100', '-fregs-graph', '-fdmd-tx-dict-sel', '-fspec-constr-threshold=2000', '-fcall-arity', '-fliberate-case-threshold=2000', '-fignore-asserts', '-fcase-merge', '-fcmm-elim-common-blocks', '-fspec-constr', '-funfolding-dict-discount=30', '-fstatic-argument-transformation', '-fmax-simplifier-iterations=4', '-fdicts-strict', '-fsimplifier-phases=2', '-fliberate-case', '-funfolding-fun-discount=60', '-funbox-small-strict-fields', '-fpedantic-bottoms', '-foptimal-applicative-do', '-fno-pre-inlining', '-funfolding-creation-threshold=750', '-fregs-iterative', '-fno-opt-coercion', '-fstrictness-before=1', '-ffull-laziness', '-fspecialise', '-fexpose-all-unfoldings', '-funfolding-use-threshold=60', '-flate-dmd-anal']",3.513,0,False
19,ab85c947-9069-4058-bb8e-7de1dd18dcfd,fast,"['-O0', '-fstatic-argument-transformation', '-fregs-iterative', '-fignore-asserts', '-fenable-rewrite-rules', '-fstrictness', '-fsimplifier-phases=2', '-funbox-small-strict-fields', '-fcmm-sink', '-feager-blackholing', '-fvectorisation-avoidance', '-fexpose-all-unfoldings', '-fstrictness-before=1', '-fpedantic-bottoms', '-fspec-constr-threshold=2000', '-fdicts-cheap', '-fliberate-case', '-fmax-inline-memcpy-insns=32', '-fomit-yields', '-fregs-graph', '-fdicts-strict', '-funbox-strict-fields', '-funfolding-use-threshold=60', '-fcpr-anal', '-fdo-lambda-eta-expansion', '-funfolding-keeness-factor=1.5', '-fspecialise', '-fno-state-hack', '-fdo-eta-reduction', '-fcase-merge', '-ffull-laziness']",3.499,0,False
20,54ca0168-5adc-4ec3-8ccd-890a9aec43af,fast,"['-O0', '-fexpose-all-unfoldings', '-feager-blackholing', '-floopification', '-fcross-module-specialise', '-fno-state-hack', '-fliberate-case', '-fspec-constr-threshold=2000', '-fmax-relevant-binds=6', '-ffull-laziness', '-fdicts-strict', '-foptimal-applicative-do', '-fcall-arity', '-fspec-constr', '-fdo-eta-reduction', '-fno-opt-coercion', '-fmax-simplifier-iterations=4', '-fsimplifier-phases=2', '-fstrictness', '-fspec-constr-count=3', '-ffun-to-thunk', '-flate-dmd-anal', '-fmax-worker-args=10', '-fno-pre-inlining', '-fdmd-tx-dict-sel', '-fmax-inline-alloc-size=128', '-fomit-yields', '-funbox-strict-fields', '-fdo-lambda-eta-expansion', '-fvectorise', '-funfolding-dict-discount=30', '-fcmm-sink', '-fcmm-elim-common-blocks', '-funbox-small-strict-fields', '-fmax-inline-memcpy-insns=32', '-funfolding-fun-discount=60', '-fspecialise', '-fliberate-case-threshold=2000', '-fignore-asserts', '-fignore-interface-pragmas', '-fexcess-precision', '-fstrictness-before=1', '-funfolding-creation-threshold=750', '-funfolding-keeness-factor=1.5', '-ffloat-in', '-fregs-iterative', '-fmax-inline-memset-insns=32', '-fenable-rewrite-rules', '-fcpr-anal', '-fcase-merge', '-fcse', '-fregs-graph', '-funfolding-use-threshold=60']",3.497,0,False
21,65338163-8dfe-42c3-9298-fd44d9bdb354,fast,"['-O0', '-funfolding-keeness-factor=1.5', '-funfolding-fun-discount=60', '-fspec-constr-threshold=2000', '-fstatic-argument-transformation', '-fcmm-sink', '-floopification', '-fmax-worker-args=10', '-fignore-interface-pragmas', '-fcross-module-specialise', '-fregs-graph', '-ffull-laziness', '-fstrictness', '-ffloat-in', '-fmax-relevant-binds=6', '-funbox-strict-fields', '-fspec-constr', '-fsimpl-tick-factor=100', '-fmax-inline-memset-insns=32', '-fcpr-anal', '-fno-state-hack', '-fworker-wrapper', '-funfolding-creation-threshold=750', '-feager-blackholing', '-fignore-asserts', '-ffun-to-thunk', '-fomit-interface-pragmas', '-fliberate-case', '-fcse', '-fvectorise', '-fpedantic-bottoms', '-fenable-rewrite-rules', '-fstrictness-before=1', '-fcmm-elim-common-blocks', '-funfolding-dict-discount=30']",3.493,0,False
