,ID,Flags,Mode,Runtime,Elapsed_Time
0,-O0,['-O0'],norm,2.447,2.447
1,-O2,['-O2'],norm,2.598,2.598
2,91a1d71e-c58b-4e1d-ae04-a424f6b9fc0b,"['-O0' '-fregs-iterative' '-fmax-inline-memcpy-insns=32' '-fdicts-cheap'
 '-fmax-inline-memset-insns=32' '-fmax-inline-memcpy-insns=32' '-fcse'
 '-fdmd-tx-dict-sel' '-fno-opt-coercion' '-fmax-worker-args=10'
 '-fstrictness-before=1' '-fdicts-cheap' '-fdicts-cheap'
 '-fstrictness-before=1' '-fdicts-strict' '-fvectorise'
 '-funbox-small-strict-fields' '-fpedantic-bottoms'
 '-funfolding-dict-discount=30' '-fcall-arity' '-fdicts-strict'
 '-fdo-lambda-eta-expansion' '-fcross-module-specialise'
 '-fsimpl-tick-factor=100' '-ffloat-in' '-fstrictness'
 '-fexcess-precision' '-fdo-eta-reduction' '-fsimpl-tick-factor=100'
 '-funfolding-keeness-factor=1.5' '-fsimplifier-phases=2'
 '-funfolding-dict-discount=30' '-funfolding-creation-threshold=750'
 '-ffun-to-thunk' '-fno-pre-inlining' '-funbox-small-strict-fields'
 '-fspec-constr-threshold=2000' '-fmax-inline-memset-insns=32'
 '-fmax-inline-memcpy-insns=32' '-fdicts-strict' '-fexpose-all-unfoldings'
 '-fdo-eta-reduction' '-fsimpl-tick-factor=100']",norm,2.469,2.469
3,794d7917-c04f-4103-877f-4cc2b08e5b01,"['-O0' '-funfolding-use-threshold=60' '-feager-blackholing'
 '-fcmm-elim-common-blocks' '-fdmd-tx-dict-sel'
 '-funfolding-keeness-factor=1.5' '-fstrictness-before=1'
 '-funfolding-creation-threshold=750' '-fomit-yields'
 '-fstatic-argument-transformation' '-ffloat-in'
 '-fmax-inline-memset-insns=32' '-fcross-module-specialise'
 '-fregs-iterative' '-fspec-constr-threshold=2000' '-ffloat-in'
 '-fomit-yields' '-fdicts-cheap' '-fstrictness' '-fregs-iterative'
 '-fno-pre-inlining' '-funfolding-use-threshold=60'
 '-fmax-relevant-binds=6' '-fstatic-argument-transformation'
 '-fdicts-cheap' '-funbox-strict-fields' '-fmax-relevant-binds=6'
 '-fliberate-case-threshold=2000' '-fno-opt-coercion' '-flate-dmd-anal'
 '-fdicts-cheap' '-funbox-small-strict-fields' '-fdicts-strict'
 '-fspecialise' '-fomit-interface-pragmas' '-fstrictness-before=1'
 '-fdicts-cheap' '-fsimplifier-phases=2' '-fdicts-cheap'
 '-funfolding-dict-discount=30' '-fsimplifier-phases=2'
 '-fmax-worker-args=10' '-fcmm-sink']",norm,2.527,2.527
4,b4ec911d-aba0-451e-8630-1319eeb5e81e,"['-O0' '-fliberate-case-threshold=2000' '-fstrictness-before=1'
 '-fcmm-sink' '-fliberate-case' '-funfolding-keeness-factor=1.5'
 '-fdo-eta-reduction' '-funfolding-dict-discount=30'
 '-fenable-rewrite-rules' '-fdo-lambda-eta-expansion'
 '-fmax-worker-args=10' '-fdicts-cheap' '-fregs-graph'
 '-fspec-constr-threshold=2000' '-funbox-strict-fields'
 '-fomit-interface-pragmas' '-fsimplifier-phases=2' '-fmax-worker-args=10'
 '-fdmd-tx-dict-sel' '-funfolding-fun-discount=60' '-fomit-yields'
 '-funfolding-dict-discount=30' '-fmax-relevant-binds=6'
 '-funfolding-keeness-factor=1.5' '-fignore-asserts'
 '-funfolding-use-threshold=60' '-fmax-worker-args=10'
 '-foptimal-applicative-do' '-fspec-constr' '-fexpose-all-unfoldings'
 '-funfolding-creation-threshold=750' '-fcall-arity' '-fno-opt-coercion'
 '-fomit-yields' '-fspec-constr' '-fliberate-case-threshold=2000'
 '-fcase-merge' '-fsimpl-tick-factor=100' '-fdicts-strict'
 '-fdo-lambda-eta-expansion' '-fmax-worker-args=10'
 '-fmax-inline-memcpy-insns=32' '-fdo-eta-reduction']",norm,2.429,2.429
5,b32b35ac-b936-4464-8c17-ee7feeafe022,"['-O0' '-fomit-yields' '-fno-opt-coercion' '-fmax-relevant-binds=6'
 '-fliberate-case' '-fignore-interface-pragmas' '-fno-pre-inlining'
 '-funfolding-fun-discount=60' '-fpedantic-bottoms' '-fstrictness'
 '-fvectorisation-avoidance' '-fpedantic-bottoms'
 '-funfolding-creation-threshold=750' '-feager-blackholing'
 '-fmax-simplifier-iterations=4' '-feager-blackholing' '-fdicts-cheap'
 '-fno-state-hack' '-fcse' '-fcpr-anal' '-fcse'
 '-fmax-inline-memcpy-insns=32' '-fmax-simplifier-iterations=4'
 '-fspecialise' '-fignore-asserts' '-fcse' '-funbox-small-strict-fields'
 '-fmax-inline-alloc-size=128' '-fmax-relevant-binds=6' '-fspecialise'
 '-fcall-arity' '-floopification' '-fdmd-tx-dict-sel'
 '-fspec-constr-threshold=2000' '-funbox-small-strict-fields'
 '-fomit-interface-pragmas' '-fspec-constr-count=3'
 '-fliberate-case-threshold=2000' '-fexpose-all-unfoldings'
 '-funfolding-creation-threshold=750' '-fcpr-anal'
 '-fvectorisation-avoidance' '-fvectorisation-avoidance']",norm,2.442,2.442
6,852574a7-2ca4-44cc-b09d-ad915b090ba4,"['-O0' '-flate-dmd-anal' '-fvectorise' '-fcmm-sink'
 '-funfolding-keeness-factor=1.5' '-funfolding-fun-discount=60'
 '-funfolding-use-threshold=60' '-fsimpl-tick-factor=100' '-fcall-arity'
 '-fno-opt-coercion' '-fstrictness' '-fspec-constr' '-fno-state-hack'
 '-fcall-arity' '-fno-state-hack' '-fomit-yields' '-fliberate-case'
 '-fstatic-argument-transformation' '-fvectorisation-avoidance'
 '-fliberate-case' '-fspecialise' '-fstrictness' '-fpedantic-bottoms'
 '-fcall-arity' '-fno-pre-inlining' '-flate-dmd-anal' '-fno-state-hack'
 '-fno-pre-inlining' '-fmax-inline-memcpy-insns=32'
 '-fdo-lambda-eta-expansion' '-fmax-simplifier-iterations=4'
 '-flate-dmd-anal' '-fignore-interface-pragmas' '-flate-dmd-anal'
 '-funbox-strict-fields' '-fomit-interface-pragmas' '-fdicts-strict'
 '-fno-opt-coercion' '-fdicts-cheap' '-fno-state-hack'
 '-fpedantic-bottoms' '-fcross-module-specialise'
 '-funfolding-use-threshold=60']",norm,2.427,2.427
7,3e8481c3-22a0-4720-8bd9-912a913be9e7,"['-O0' '-fvectorisation-avoidance' '-fspecialise'
 '-foptimal-applicative-do' '-fpedantic-bottoms' '-fcall-arity'
 '-funfolding-creation-threshold=750' '-funbox-small-strict-fields'
 '-ffun-to-thunk' '-fsimpl-tick-factor=100'
 '-funfolding-keeness-factor=1.5' '-fspec-constr-count=3' '-ffloat-in'
 '-fdmd-tx-dict-sel' '-fmax-inline-memset-insns=32'
 '-funbox-strict-fields' '-fmax-relevant-binds=6'
 '-funfolding-fun-discount=60' '-fmax-simplifier-iterations=4'
 '-fomit-interface-pragmas' '-fliberate-case-threshold=2000' '-fcse'
 '-fcmm-sink' '-fspec-constr-threshold=2000' '-flate-dmd-anal'
 '-fcmm-sink' '-floopification' '-fdicts-cheap' '-feager-blackholing'
 '-fstrictness-before=1' '-fmax-inline-memcpy-insns=32'
 '-fomit-interface-pragmas' '-fspec-constr-threshold=2000' '-fspec-constr'
 '-fdicts-cheap' '-fworker-wrapper' '-fmax-inline-memset-insns=32'
 '-fmax-relevant-binds=6' '-fignore-interface-pragmas' '-fliberate-case'
 '-fcmm-sink' '-fregs-iterative' '-funbox-small-strict-fields']",norm,2.447,2.447
8,bdc94bea-5a2a-4f3c-a666-df15262d1642,"['-O0' '-fworker-wrapper' '-fworker-wrapper' '-fregs-graph' '-ffloat-in'
 '-fspecialise' '-fno-state-hack' '-fno-pre-inlining' '-fspec-constr'
 '-fexpose-all-unfoldings' '-fmax-inline-memset-insns=32'
 '-fpedantic-bottoms' '-fomit-yields' '-fstrictness' '-fworker-wrapper'
 '-fspec-constr' '-fexpose-all-unfoldings' '-fno-state-hack' '-fcpr-anal'
 '-funfolding-fun-discount=60' '-funbox-strict-fields' '-fcse'
 '-ffull-laziness' '-fexpose-all-unfoldings'
 '-fstatic-argument-transformation' '-fdicts-strict' '-fdicts-strict'
 '-fcmm-sink' '-fdmd-tx-dict-sel' '-flate-dmd-anal'
 '-fmax-relevant-binds=6' '-fliberate-case-threshold=2000'
 '-fliberate-case-threshold=2000' '-floopification'
 '-fstrictness-before=1' '-fpedantic-bottoms' '-fignore-asserts'
 '-fsimplifier-phases=2' '-fmax-inline-alloc-size=128'
 '-fexcess-precision' '-fregs-iterative' '-flate-dmd-anal'
 '-fcross-module-specialise']",norm,2.459,2.459
9,4f024e4e-f77a-480c-acb5-16f9c04c27a9,"['-O0' '-fvectorise' '-funbox-strict-fields' '-fmax-relevant-binds=6'
 '-feager-blackholing' '-fspecialise' '-fspec-constr-count=3'
 '-fspecialise' '-fvectorisation-avoidance' '-fcase-merge'
 '-ffull-laziness' '-fdmd-tx-dict-sel' '-fcall-arity' '-fno-opt-coercion'
 '-fcmm-elim-common-blocks' '-fstrictness'
 '-funfolding-creation-threshold=750' '-fregs-graph'
 '-funfolding-dict-discount=30' '-fmax-inline-alloc-size=128' '-fcse'
 '-fmax-inline-alloc-size=128' '-funfolding-use-threshold=60'
 '-funfolding-use-threshold=60' '-fdo-lambda-eta-expansion'
 '-fsimplifier-phases=2' '-funfolding-use-threshold=60' '-fliberate-case'
 '-fexpose-all-unfoldings' '-fmax-inline-memcpy-insns=32'
 '-fmax-inline-memcpy-insns=32' '-ffloat-in' '-fcall-arity'
 '-fignore-interface-pragmas' '-floopification'
 '-fliberate-case-threshold=2000' '-funfolding-creation-threshold=750'
 '-fspecialise' '-funbox-small-strict-fields' '-fstrictness'
 '-funfolding-use-threshold=60' '-fdo-lambda-eta-expansion' '-fstrictness']",norm,2.548,2.548
