,ID,Flags,Mode,Runtime,Elapsed_Time
0,-O0,['-O0'],fast,3.611,3.611
1,-O2,['-O2'],fast,3.599,3.599
2,9d0c6ef0-3594-4ff1-80a3-f6bfbf49c0e4,"['-O0' '-fomit-yields' '-fmax-inline-alloc-size=128' '-fvectorise'
 '-fcmm-elim-common-blocks' '-fdo-lambda-eta-expansion' '-ffun-to-thunk'
 '-fstatic-argument-transformation' '-fdicts-cheap' '-fvectorise'
 '-fcross-module-specialise' '-fdicts-cheap' '-fregs-iterative'
 '-funbox-small-strict-fields' '-fliberate-case' '-fno-state-hack'
 '-fsimpl-tick-factor=100' '-fstrictness' '-fdo-eta-reduction'
 '-fcmm-sink' '-fregs-graph' '-fstrictness' '-funfolding-use-threshold=60'
 '-fspecialise' '-funfolding-creation-threshold=750'
 '-fstatic-argument-transformation' '-fcmm-elim-common-blocks'
 '-fsimplifier-phases=2' '-fenable-rewrite-rules' '-fregs-graph'
 '-fno-opt-coercion' '-floopification'
 '-funfolding-creation-threshold=750' '-ffun-to-thunk'
 '-funbox-small-strict-fields' '-fcmm-elim-common-blocks'
 '-fignore-asserts' '-fcpr-anal' '-fstrictness'
 '-fmax-inline-memcpy-insns=32' '-fcall-arity' '-fdo-eta-reduction']",fast,3.608,3.608
3,6d0ed1c6-f265-4b94-aa29-e150c98c8be7,"['-O0' '-floopification' '-fliberate-case-threshold=2000'
 '-fdmd-tx-dict-sel' '-feager-blackholing'
 '-fliberate-case-threshold=2000' '-flate-dmd-anal' '-fno-state-hack'
 '-fomit-yields' '-ffun-to-thunk' '-fcmm-sink' '-fexpose-all-unfoldings'
 '-fpedantic-bottoms' '-fsimpl-tick-factor=100' '-fregs-graph'
 '-fenable-rewrite-rules' '-fenable-rewrite-rules' '-fspec-constr'
 '-fsimplifier-phases=2' '-ffun-to-thunk' '-fdo-eta-reduction'
 '-foptimal-applicative-do' '-fregs-iterative' '-fexpose-all-unfoldings'
 '-fomit-interface-pragmas' '-fcmm-elim-common-blocks'
 '-funfolding-fun-discount=60' '-fmax-inline-memcpy-insns=32'
 '-fmax-simplifier-iterations=4' '-fstatic-argument-transformation'
 '-fcase-merge' '-fcse' '-fmax-worker-args=10' '-fno-pre-inlining'
 '-foptimal-applicative-do' '-fignore-interface-pragmas' '-ffloat-in'
 '-fomit-interface-pragmas' '-fexcess-precision'
 '-funfolding-fun-discount=60' '-fregs-iterative'
 '-funfolding-dict-discount=30']",fast,3.59,3.59
4,aa690b03-5525-4a0a-be35-06b3ffcd6f92,"['-O0' '-fcpr-anal' '-fspec-constr-threshold=2000'
 '-fsimpl-tick-factor=100' '-fdicts-cheap'
 '-fstatic-argument-transformation' '-fcmm-elim-common-blocks'
 '-fspec-constr-threshold=2000' '-fmax-inline-alloc-size=128'
 '-fno-opt-coercion' '-fstrictness' '-fcmm-elim-common-blocks'
 '-fdo-eta-reduction' '-fno-state-hack'
 '-funfolding-creation-threshold=750' '-funbox-strict-fields'
 '-fliberate-case' '-fstatic-argument-transformation' '-fcase-merge'
 '-funbox-strict-fields' '-fno-opt-coercion'
 '-funfolding-dict-discount=30' '-fliberate-case' '-flate-dmd-anal'
 '-fcmm-sink' '-funfolding-dict-discount=30' '-ffull-laziness'
 '-ffun-to-thunk' '-fvectorise' '-fcall-arity'
 '-fmax-inline-memset-insns=32' '-foptimal-applicative-do' '-fregs-graph'
 '-fno-pre-inlining' '-fmax-inline-memset-insns=32'
 '-fstatic-argument-transformation' '-fcse' '-fsimplifier-phases=2'
 '-fno-pre-inlining' '-fregs-iterative' '-fvectorise'
 '-fspec-constr-threshold=2000']",fast,3.579,3.579
5,24f28ed7-5dba-48b7-8971-3d21b450f6dd,"['-O0' '-fsimplifier-phases=2' '-funfolding-creation-threshold=750'
 '-funfolding-use-threshold=60' '-fregs-iterative' '-floopification'
 '-fmax-relevant-binds=6' '-fcall-arity' '-fspec-constr' '-fcse'
 '-fdo-lambda-eta-expansion' '-fomit-interface-pragmas'
 '-fvectorisation-avoidance' '-funfolding-fun-discount=60'
 '-fmax-simplifier-iterations=4' '-fmax-simplifier-iterations=4'
 '-fomit-interface-pragmas' '-fomit-yields' '-fignore-interface-pragmas'
 '-fignore-interface-pragmas' '-fspecialise' '-fno-opt-coercion'
 '-funbox-small-strict-fields' '-ffun-to-thunk' '-fno-state-hack'
 '-fliberate-case-threshold=2000' '-fdicts-cheap'
 '-funfolding-dict-discount=30' '-fexpose-all-unfoldings'
 '-fno-opt-coercion' '-fcall-arity' '-ffun-to-thunk'
 '-fmax-inline-alloc-size=128' '-fexcess-precision' '-fvectorise'
 '-fcase-merge' '-fspec-constr-threshold=2000' '-fvectorisation-avoidance'
 '-fmax-simplifier-iterations=4' '-fvectorisation-avoidance'
 '-fstrictness' '-fvectorise']",fast,3.665,3.665
6,56ed3257-e9c3-49b0-9e08-f9103a7ab46a,"['-O0' '-fcross-module-specialise' '-funfolding-creation-threshold=750'
 '-fvectorisation-avoidance' '-funfolding-use-threshold=60'
 '-fno-pre-inlining' '-fdmd-tx-dict-sel' '-ffull-laziness'
 '-fvectorisation-avoidance' '-funfolding-creation-threshold=750'
 '-funfolding-creation-threshold=750' '-fliberate-case'
 '-foptimal-applicative-do' '-fsimpl-tick-factor=100' '-ffloat-in'
 '-fworker-wrapper' '-fcmm-sink' '-fcse' '-fspecialise'
 '-funfolding-keeness-factor=1.5' '-fcmm-elim-common-blocks'
 '-foptimal-applicative-do' '-fomit-yields' '-fsimplifier-phases=2'
 '-fexpose-all-unfoldings' '-funfolding-dict-discount=30' '-ffloat-in'
 '-funbox-small-strict-fields' '-fdicts-cheap'
 '-fspec-constr-threshold=2000' '-fpedantic-bottoms'
 '-fsimplifier-phases=2' '-funfolding-use-threshold=60' '-fomit-yields'
 '-funfolding-dict-discount=30' '-fdicts-cheap'
 '-fliberate-case-threshold=2000' '-feager-blackholing' '-fcse'
 '-fdo-eta-reduction' '-fno-state-hack' '-ffloat-in']",fast,3.63,3.63
7,61494820-1f53-4748-9622-36bb341c6d4a,"['-O0' '-fdo-eta-reduction' '-fmax-inline-memcpy-insns=32' '-fvectorise'
 '-fstrictness' '-fdo-eta-reduction' '-floopification'
 '-feager-blackholing' '-fenable-rewrite-rules'
 '-funfolding-creation-threshold=750' '-fignore-interface-pragmas'
 '-fsimplifier-phases=2' '-fvectorise' '-fspec-constr-count=3'
 '-fno-state-hack' '-foptimal-applicative-do' '-fspec-constr-count=3'
 '-fmax-simplifier-iterations=4' '-fworker-wrapper'
 '-fmax-inline-memcpy-insns=32' '-fcase-merge' '-fsimpl-tick-factor=100'
 '-fsimplifier-phases=2' '-funfolding-creation-threshold=750'
 '-funbox-strict-fields' '-fcpr-anal' '-fstrictness-before=1'
 '-fomit-interface-pragmas' '-fstrictness' '-fno-pre-inlining'
 '-fenable-rewrite-rules' '-fenable-rewrite-rules'
 '-fmax-inline-memcpy-insns=32' '-fdo-eta-reduction'
 '-fvectorisation-avoidance' '-fsimplifier-phases=2'
 '-funbox-small-strict-fields' '-fcross-module-specialise'
 '-foptimal-applicative-do' '-fmax-inline-memcpy-insns=32'
 '-fworker-wrapper' '-fomit-yields']",fast,3.614,3.614
8,b1e1e960-4b64-487d-8368-9c5953ae79c2,"['-O0' '-fspecialise' '-fsimpl-tick-factor=100' '-fexcess-precision'
 '-funbox-small-strict-fields' '-fspec-constr-count=3'
 '-funfolding-use-threshold=60' '-fmax-inline-alloc-size=128'
 '-fdicts-strict' '-fregs-graph' '-ffull-laziness' '-ffun-to-thunk'
 '-flate-dmd-anal' '-fno-pre-inlining' '-fmax-inline-memset-insns=32'
 '-fmax-inline-memset-insns=32' '-fpedantic-bottoms'
 '-fspec-constr-count=3' '-fno-state-hack' '-fspec-constr-count=3'
 '-fworker-wrapper' '-fsimpl-tick-factor=100' '-fdicts-cheap'
 '-fsimplifier-phases=2' '-fno-opt-coercion' '-fenable-rewrite-rules'
 '-fno-opt-coercion' '-fcmm-sink' '-feager-blackholing'
 '-fmax-relevant-binds=6' '-fsimplifier-phases=2'
 '-fsimpl-tick-factor=100' '-fdicts-cheap' '-fexcess-precision'
 '-fomit-yields' '-fmax-simplifier-iterations=4'
 '-funfolding-fun-discount=60' '-fspec-constr-threshold=2000'
 '-ffull-laziness' '-foptimal-applicative-do' '-fvectorisation-avoidance'
 '-funfolding-keeness-factor=1.5']",fast,3.623,3.623
9,bb122bd5-f6fd-4bd7-9097-71a7271f555c,"['-O0' '-fmax-inline-alloc-size=128' '-fmax-simplifier-iterations=4'
 '-fcpr-anal' '-fcross-module-specialise' '-fcse' '-fdo-eta-reduction'
 '-fsimpl-tick-factor=100' '-fstatic-argument-transformation'
 '-flate-dmd-anal' '-fdo-lambda-eta-expansion' '-fcpr-anal'
 '-fspec-constr-count=3' '-fmax-relevant-binds=6' '-fcse'
 '-floopification' '-fmax-inline-memset-insns=32' '-ffull-laziness'
 '-fcmm-sink' '-fcmm-sink' '-fdicts-cheap' '-fliberate-case'
 '-fignore-asserts' '-ffloat-in' '-fliberate-case-threshold=2000'
 '-fdmd-tx-dict-sel' '-flate-dmd-anal' '-fregs-graph'
 '-fexpose-all-unfoldings' '-fmax-relevant-binds=6'
 '-fsimpl-tick-factor=100' '-ffloat-in' '-ffun-to-thunk'
 '-fmax-relevant-binds=6' '-fspec-constr-threshold=2000'
 '-fmax-worker-args=10' '-floopification' '-fexcess-precision'
 '-fno-opt-coercion' '-fomit-yields' '-fvectorise' '-fno-pre-inlining']",fast,3.632,3.632
