,ID,Flags,Mode,Runtime,Elapsed_Time
0,-O0,['-O0'],fast,3.652,3.652
1,-O2,['-O2'],fast,3.618,3.618
2,f7b3f3dd-84ba-411d-8cbd-21e646c2b29b,"['-O0' '-fregs-graph' '-feager-blackholing'
 '-funfolding-creation-threshold=750' '-fignore-interface-pragmas'
 '-fdo-eta-reduction' '-fcross-module-specialise'
 '-fmax-inline-alloc-size=128' '-fworker-wrapper'
 '-funfolding-dict-discount=30' '-fdmd-tx-dict-sel'
 '-funfolding-keeness-factor=1.5' '-fno-state-hack' '-ffull-laziness'
 '-fignore-asserts' '-funfolding-creation-threshold=750'
 '-fspec-constr-count=3' '-fspecialise' '-fno-opt-coercion'
 '-fregs-iterative' '-fliberate-case' '-fpedantic-bottoms'
 '-fno-state-hack' '-fdicts-cheap' '-fmax-inline-memset-insns=32'
 '-fdicts-strict' '-funfolding-fun-discount=60' '-fdicts-strict'
 '-fliberate-case-threshold=2000' '-floopification' '-fexcess-precision'
 '-fregs-iterative']",fast,3.587,3.587
3,52f0aa38-b084-4ca7-8668-cfaff543c140,"['-O0' '-fexcess-precision' '-funbox-small-strict-fields'
 '-fliberate-case' '-foptimal-applicative-do'
 '-funfolding-keeness-factor=1.5' '-fspec-constr' '-fvectorise'
 '-fexpose-all-unfoldings' '-fno-state-hack' '-fvectorisation-avoidance'
 '-fmax-inline-alloc-size=128' '-fmax-inline-memcpy-insns=32' '-fcpr-anal'
 '-fcross-module-specialise' '-fdo-eta-reduction'
 '-funbox-small-strict-fields' '-fcpr-anal' '-fvectorisation-avoidance'
 '-fpedantic-bottoms' '-fsimplifier-phases=2'
 '-fmax-inline-alloc-size=128' '-fmax-inline-memcpy-insns=32'
 '-fvectorise' '-funbox-small-strict-fields' '-fmax-inline-alloc-size=128'
 '-fcase-merge' '-fcmm-sink' '-fcpr-anal' '-fno-pre-inlining'
 '-fvectorisation-avoidance' '-fomit-interface-pragmas']",fast,3.63,3.63
4,95a20404-0563-4f34-afed-a456afaa71c0,"['-O0' '-fstrictness-before=1' '-fignore-asserts'
 '-funfolding-keeness-factor=1.5' '-fliberate-case' '-fdo-eta-reduction'
 '-fspecialise' '-funbox-small-strict-fields' '-fvectorisation-avoidance'
 '-fstatic-argument-transformation' '-fmax-relevant-binds=6'
 '-fcross-module-specialise' '-fspec-constr-threshold=2000'
 '-fstrictness-before=1' '-fenable-rewrite-rules'
 '-funfolding-creation-threshold=750' '-funbox-small-strict-fields'
 '-fmax-worker-args=10' '-funbox-small-strict-fields'
 '-funfolding-fun-discount=60' '-fenable-rewrite-rules'
 '-fdmd-tx-dict-sel' '-fcpr-anal' '-fliberate-case' '-fexcess-precision'
 '-fexcess-precision' '-fignore-interface-pragmas' '-fvectorise'
 '-fno-opt-coercion' '-fstrictness-before=1' '-fno-state-hack'
 '-fstrictness-before=1']",fast,3.61,3.61
5,475b401c-ab57-454a-b9f7-33f89ed4b898,"['-O0' '-fcse' '-fspec-constr' '-funbox-strict-fields' '-fomit-yields'
 '-fomit-yields' '-feager-blackholing' '-fregs-iterative'
 '-fdo-eta-reduction' '-ffun-to-thunk' '-fregs-iterative'
 '-fcross-module-specialise' '-fdicts-strict' '-fdo-lambda-eta-expansion'
 '-fcase-merge' '-fcall-arity' '-fspec-constr' '-feager-blackholing'
 '-fcmm-elim-common-blocks' '-fno-opt-coercion'
 '-fmax-inline-memcpy-insns=32' '-fvectorise'
 '-fliberate-case-threshold=2000' '-fdo-eta-reduction' '-fregs-iterative'
 '-funfolding-use-threshold=60' '-funbox-strict-fields' '-fdicts-cheap'
 '-fsimpl-tick-factor=100' '-fmax-relevant-binds=6'
 '-fvectorisation-avoidance' '-fmax-worker-args=10']",fast,3.583,3.583
6,62bf8667-6882-4c9e-beec-272060e61af9,"['-O0' '-fignore-interface-pragmas' '-fcmm-elim-common-blocks'
 '-fmax-simplifier-iterations=4' '-ffloat-in' '-fcmm-sink'
 '-feager-blackholing' '-fomit-yields'
 '-funfolding-creation-threshold=750' '-funbox-strict-fields'
 '-fomit-interface-pragmas' '-ffloat-in' '-fexpose-all-unfoldings'
 '-fomit-interface-pragmas' '-fno-opt-coercion' '-fcall-arity'
 '-fsimplifier-phases=2' '-fexpose-all-unfoldings' '-fpedantic-bottoms'
 '-fcmm-elim-common-blocks' '-fcse' '-fstrictness'
 '-fvectorisation-avoidance' '-fstrictness-before=1'
 '-funbox-small-strict-fields' '-fno-opt-coercion' '-fignore-asserts'
 '-fno-opt-coercion' '-ffun-to-thunk' '-fmax-inline-memset-insns=32'
 '-fdmd-tx-dict-sel' '-fexpose-all-unfoldings']",fast,3.677,3.677
7,56ea31ec-1a7e-436b-9dbb-076d2c1a518d,"['-O0' '-fsimplifier-phases=2' '-fdo-eta-reduction' '-fspecialise'
 '-fcpr-anal' '-fcse' '-fliberate-case-threshold=2000'
 '-funbox-small-strict-fields' '-fomit-interface-pragmas'
 '-fmax-inline-memcpy-insns=32' '-foptimal-applicative-do'
 '-fstatic-argument-transformation' '-floopification' '-fspec-constr'
 '-ffloat-in' '-fdicts-cheap' '-fcmm-elim-common-blocks' '-ffun-to-thunk'
 '-fcse' '-fcall-arity' '-fdicts-strict' '-fstrictness-before=1'
 '-funbox-small-strict-fields' '-foptimal-applicative-do' '-fspec-constr'
 '-funfolding-keeness-factor=1.5' '-funfolding-keeness-factor=1.5'
 '-fspecialise' '-fstatic-argument-transformation'
 '-fenable-rewrite-rules' '-fspecialise' '-fregs-iterative']",fast,3.605,3.605
8,5dc65e71-0786-49ff-a6e7-6bd487838c74,"['-O0' '-fmax-relevant-binds=6' '-fregs-graph' '-fcse'
 '-foptimal-applicative-do' '-foptimal-applicative-do'
 '-funfolding-keeness-factor=1.5' '-fdmd-tx-dict-sel'
 '-fcmm-elim-common-blocks' '-floopification'
 '-funbox-small-strict-fields' '-funbox-small-strict-fields'
 '-fdo-lambda-eta-expansion' '-funfolding-use-threshold=60'
 '-fspec-constr-threshold=2000' '-ffull-laziness' '-fstrictness'
 '-fno-pre-inlining' '-fignore-asserts' '-fregs-graph'
 '-fmax-worker-args=10' '-funfolding-creation-threshold=750'
 '-funfolding-creation-threshold=750' '-fcross-module-specialise'
 '-foptimal-applicative-do' '-funbox-small-strict-fields' '-ffloat-in'
 '-fexpose-all-unfoldings' '-fomit-yields' '-fdo-lambda-eta-expansion'
 '-fspecialise' '-funbox-small-strict-fields']",fast,3.649,3.649
9,93949e89-faae-488d-8b19-2769c0c87115,"['-O0' '-fomit-yields' '-fspec-constr-threshold=2000'
 '-fignore-interface-pragmas' '-fmax-simplifier-iterations=4'
 '-fvectorise' '-fno-opt-coercion' '-fomit-interface-pragmas'
 '-funbox-strict-fields' '-fno-state-hack' '-fmax-relevant-binds=6'
 '-fstatic-argument-transformation' '-fspec-constr-count=3'
 '-fcross-module-specialise' '-fomit-yields'
 '-fliberate-case-threshold=2000' '-fliberate-case' '-fmax-worker-args=10'
 '-fcase-merge' '-fsimplifier-phases=2' '-fcpr-anal' '-fcall-arity'
 '-funbox-small-strict-fields' '-fcpr-anal' '-fspec-constr'
 '-funbox-strict-fields' '-fignore-interface-pragmas'
 '-fmax-inline-memset-insns=32' '-fexcess-precision'
 '-fmax-inline-alloc-size=128' '-fexcess-precision' '-fcmm-sink']",fast,3.642,3.642
