,ID,Mode,Flags,Runtime,Iteration,Best
0,-O0,fast,-O0,0.213,0,False
1,-O2,fast,-O2,0.213,0,False
2,e59192ca-fb65-4db7-a5c1-72c7ab810751,fast,"['-O0', '-fregs-graph', '-fdicts-strict', '-fmax-inline-alloc-size=128', '-fmax-simplifier-iterations=4', '-funfolding-keeness-factor=1.5', '-fregs-iterative', '-fstrictness-before=1', '-fstatic-argument-transformation', '-fmax-inline-memset-insns=32', '-fenable-rewrite-rules', '-funfolding-use-threshold=60', '-fcase-merge', '-fsimpl-tick-factor=100', '-fstrictness', '-fignore-interface-pragmas', '-ffull-laziness', '-fspecialise', '-fcmm-sink', '-fexpose-all-unfoldings', '-fexcess-precision', '-fvectorisation-avoidance', '-fno-state-hack', '-funfolding-dict-discount=30', '-fno-pre-inlining', '-funfolding-creation-threshold=750', '-fomit-interface-pragmas', '-fdo-lambda-eta-expansion', '-ffun-to-thunk', '-fliberate-case-threshold=2000', '-foptimal-applicative-do', '-fmax-inline-memcpy-insns=32', '-fdo-eta-reduction', '-fsimplifier-phases=2', '-fdicts-cheap', '-fmax-worker-args=10', '-fworker-wrapper', '-fcmm-elim-common-blocks', '-fdmd-tx-dict-sel', '-ffloat-in', '-fpedantic-bottoms', '-fspec-constr-count=3', '-fno-opt-coercion', '-fspec-constr-threshold=2000', '-floopification', '-fmax-relevant-binds=6', '-fomit-yields', '-fliberate-case', '-fspec-constr', '-fcse', '-feager-blackholing']",0.209,0,True
3,b92f77d2-c9b1-44bb-bdf4-48256a788533,fast,"['-O0', '-fno-state-hack', '-fliberate-case', '-fmax-inline-memset-insns=32', '-fdicts-strict', '-fcmm-sink', '-fspec-constr-count=3', '-fno-pre-inlining', '-feager-blackholing', '-funfolding-dict-discount=30', '-fmax-worker-args=10', '-fspecialise', '-fspec-constr', '-flate-dmd-anal']",0.21,0,False
4,e8e14833-ba64-4a94-aec9-c8df84380610,fast,"['-O0', '-funfolding-fun-discount=60', '-fspec-constr', '-fcmm-elim-common-blocks', '-fstrictness-before=1', '-fdo-eta-reduction', '-funbox-small-strict-fields', '-fmax-worker-args=10']",0.213,0,False
5,285f0525-1880-42f2-b2f8-137cfa376a7a,fast,"['-O0', '-funbox-strict-fields', '-fignore-asserts', '-fexcess-precision']",0.21,0,False
6,3f1c158e-1724-4374-908b-78526d357691,fast,"['-O0', '-floopification', '-funbox-small-strict-fields', '-fregs-graph', '-fsimplifier-phases=2', '-fcall-arity', '-fmax-inline-memcpy-insns=32', '-funfolding-use-threshold=60', '-funfolding-creation-threshold=750', '-fspec-constr-threshold=2000', '-fliberate-case', '-fignore-interface-pragmas', '-fliberate-case-threshold=2000', '-fcase-merge', '-ffloat-in', '-fcpr-anal', '-fmax-inline-memset-insns=32', '-funfolding-fun-discount=60', '-fdmd-tx-dict-sel', '-fno-pre-inlining', '-funfolding-keeness-factor=1.5', '-fvectorisation-avoidance', '-foptimal-applicative-do', '-fexcess-precision', '-fcse', '-fmax-simplifier-iterations=4', '-fmax-inline-alloc-size=128', '-ffun-to-thunk', '-fworker-wrapper', '-feager-blackholing', '-fno-opt-coercion', '-fsimpl-tick-factor=100', '-fdo-lambda-eta-expansion', '-fvectorise', '-fcross-module-specialise']",0.213,0,False
7,92d8b9fc-391a-4c7f-94f0-df90229f24e0,fast,"['-O0', '-fregs-graph', '-funfolding-keeness-factor=1.5', '-fspecialise', '-funbox-strict-fields', '-feager-blackholing', '-fmax-simplifier-iterations=4', '-fmax-inline-alloc-size=128', '-fdmd-tx-dict-sel', '-fomit-interface-pragmas', '-funfolding-creation-threshold=750', '-fspec-constr', '-fomit-yields', '-fvectorisation-avoidance', '-fdo-eta-reduction', '-fstrictness', '-fworker-wrapper', '-funbox-small-strict-fields', '-fignore-interface-pragmas', '-ffull-laziness', '-fcross-module-specialise', '-fcall-arity', '-fdicts-cheap', '-fregs-iterative', '-fcse', '-floopification', '-fpedantic-bottoms', '-fmax-relevant-binds=6', '-fstatic-argument-transformation', '-fstrictness-before=1', '-fno-pre-inlining']",0.211,0,False
8,da5c6f84-5d5f-4d1d-8977-8325333ab947,fast,"['-O0', '-fcse', '-fworker-wrapper', '-fignore-interface-pragmas', '-fregs-iterative', '-floopification', '-fstatic-argument-transformation', '-fcall-arity', '-fmax-inline-alloc-size=128', '-funfolding-creation-threshold=750', '-fdo-eta-reduction', '-fregs-graph', '-fcross-module-specialise', '-fmax-relevant-binds=6', '-fstrictness-before=1', '-fdmd-tx-dict-sel', '-O0', '-fomit-yields', '-fliberate-case-threshold=2000', '-fno-pre-inlining', '-fmax-worker-args=10', '-fomit-interface-pragmas', '-fstrictness', '-ffull-laziness', '-fpedantic-bottoms', '-feager-blackholing', '-fvectorisation-avoidance', '-funbox-strict-fields', '-fspecialise', '-funfolding-keeness-factor=1.5', '-fmax-simplifier-iterations=4', '-funbox-small-strict-fields', '-fdicts-cheap', '-fspec-constr']",0.211,0,False
9,658a7b51-3a9b-4bca-9456-c8d3ea1ac362,fast,"['-O0', '-O0', '-fspec-constr-threshold=2000', '-fignore-asserts', '-funbox-strict-fields', '-fomit-interface-pragmas', '-fcmm-elim-common-blocks', '-fexcess-precision']",0.211,1,False
10,20101344-3992-4746-8178-580c2f2fdd49,fast,"['-O0', '-O0', '-fignore-asserts', '-fliberate-case-threshold=2000', '-funbox-strict-fields', '-fcpr-anal', '-ffull-laziness', '-fmax-inline-memset-insns=32', '-fexcess-precision', '-fenable-rewrite-rules']",0.21,2,False
11,1f4e1521-3f67-49e5-9f48-ccb66a44356d,fast,"['-O0', '-foptimal-applicative-do', '-O0', '-fignore-asserts', '-fliberate-case-threshold=2000', '-funbox-strict-fields', '-fcpr-anal', '-ffull-laziness', '-fcmm-elim-common-blocks', '-fmax-inline-memset-insns=32', '-fexcess-precision', '-fenable-rewrite-rules']",0.211,3,False
12,0134199e-2466-45b3-af52-1cf1676b7a0d,fast,"['-O0', '-fdo-lambda-eta-expansion', '-fcse', '-fworker-wrapper', '-fregs-iterative', '-fignore-interface-pragmas', '-fstatic-argument-transformation', '-floopification', '-fmax-inline-alloc-size=128', '-fsimpl-tick-factor=100', '-ffun-to-thunk', '-funfolding-creation-threshold=750', '-fmax-inline-memcpy-insns=32', '-ffloat-in', '-fdo-eta-reduction', '-fregs-graph', '-fstrictness-before=1', '-fcmm-sink', '-funfolding-dict-discount=30', '-fmax-relevant-binds=6', '-fcross-module-specialise', '-fspec-constr-count=3', '-fdmd-tx-dict-sel', '-fenable-rewrite-rules', '-foptimal-applicative-do', '-O0', '-fspec-constr-threshold=2000', '-fomit-yields', '-funfolding-use-threshold=60', '-fspec-constr', '-fliberate-case-threshold=2000', '-fdicts-strict', '-fno-pre-inlining', '-fomit-interface-pragmas', '-fmax-worker-args=10', '-fno-opt-coercion', '-fexpose-all-unfoldings', '-fstrictness', '-ffull-laziness', '-fcmm-elim-common-blocks', '-fmax-inline-memset-insns=32', '-fpedantic-bottoms', '-fcase-merge', '-feager-blackholing', '-fvectorisation-avoidance', '-fignore-asserts', '-fliberate-case', '-funfolding-keeness-factor=1.5', '-fspecialise', '-fmax-simplifier-iterations=4', '-fno-state-hack', '-fexcess-precision', '-fdicts-cheap', '-fsimplifier-phases=2']",0.21,4,False
13,06368f26-1502-40ff-99b5-107c0ef208dc,fast,"['-O0', '-O0', '-fcse', '-fspec-constr', '-fliberate-case', '-fdicts-strict', '-fno-pre-inlining', '-fno-state-hack', '-fmax-worker-args=10', '-fspecialise', '-flate-dmd-anal', '-fdo-eta-reduction', '-fcmm-sink', '-fcross-module-specialise', '-funfolding-dict-discount=30', '-fmax-inline-memset-insns=32', '-fspec-constr-count=3', '-feager-blackholing']",0.211,5,False
14,cf225180-2cce-4fb2-8464-a1b652432d3e,fast,"['-O0', '-fdo-lambda-eta-expansion', '-fcse', '-fworker-wrapper', '-fregs-iterative', '-fignore-interface-pragmas', '-fstatic-argument-transformation', '-floopification', '-fcall-arity', '-fmax-inline-alloc-size=128', '-fsimpl-tick-factor=100', '-ffun-to-thunk', '-funfolding-creation-threshold=750', '-fmax-inline-memcpy-insns=32', '-ffloat-in', '-fdo-eta-reduction', '-fregs-graph', '-fstrictness-before=1', '-fcmm-sink', '-funfolding-dict-discount=30', '-fmax-relevant-binds=6', '-fspec-constr-count=3', '-fdmd-tx-dict-sel', '-fenable-rewrite-rules', '-foptimal-applicative-do', '-O0', '-fspec-constr-threshold=2000', '-fomit-yields', '-funfolding-use-threshold=60', '-fspec-constr', '-fliberate-case-threshold=2000', '-fdicts-strict', '-fno-pre-inlining', '-fomit-interface-pragmas', '-fmax-worker-args=10', '-fno-opt-coercion', '-fexpose-all-unfoldings', '-fstrictness', '-ffull-laziness', '-fcmm-elim-common-blocks', '-fmax-inline-memset-insns=32', '-fpedantic-bottoms', '-fcase-merge', '-feager-blackholing', '-fvectorisation-avoidance', '-fliberate-case', '-funfolding-keeness-factor=1.5', '-fspecialise', '-fmax-simplifier-iterations=4', '-fno-state-hack', '-fexcess-precision', '-fdicts-cheap', '-fsimplifier-phases=2']",0.211,6,False
