,ID,Mode,Flags,Runtime,Iteration,Best
0,-O0,fast,-O0,0.21,0,False
1,-O2,fast,-O2,0.21,0,False
2,d28a4e00-2cde-4336-bf6d-756ec0943939,fast,"['-O0', '-fvectorisation-avoidance', '-fexpose-all-unfoldings', '-fno-opt-coercion', '-funfolding-creation-threshold=750', '-funfolding-dict-discount=30', '-fno-state-hack', '-fomit-yields', '-fdicts-cheap', '-fignore-interface-pragmas', '-fregs-iterative', '-fmax-relevant-binds=6', '-fworker-wrapper', '-fdo-lambda-eta-expansion', '-fcpr-anal', '-fdmd-tx-dict-sel', '-fcall-arity', '-fliberate-case-threshold=2000', '-fstrictness', '-foptimal-applicative-do', '-ffloat-in', '-fspecialise', '-funfolding-fun-discount=60', '-fno-pre-inlining', '-fcase-merge', '-flate-dmd-anal', '-fexcess-precision', '-fcmm-sink', '-fenable-rewrite-rules', '-fcse', '-fmax-inline-alloc-size=128', '-feager-blackholing', '-fdicts-strict', '-fregs-graph', '-floopification', '-fsimpl-tick-factor=100', '-fspec-constr-threshold=2000', '-fdo-eta-reduction', '-fstrictness-before=1', '-fstatic-argument-transformation', '-fmax-inline-memcpy-insns=32', '-funfolding-use-threshold=60', '-fomit-interface-pragmas']",0.21,0,False
3,37703fe4-7ea1-487c-a36e-66dff01f1cb3,fast,"['-O0', '-fomit-yields', '-fcross-module-specialise', '-fno-pre-inlining', '-fliberate-case', '-fdo-eta-reduction', '-funbox-small-strict-fields', '-fpedantic-bottoms', '-fexpose-all-unfoldings', '-fexcess-precision', '-fomit-interface-pragmas', '-ffull-laziness', '-ffun-to-thunk', '-fspec-constr', '-floopification', '-fenable-rewrite-rules', '-flate-dmd-anal', '-fstrictness-before=1', '-fdicts-cheap', '-fworker-wrapper', '-fvectorise', '-fignore-asserts', '-fmax-inline-memset-insns=32', '-fstrictness', '-fliberate-case-threshold=2000', '-fcpr-anal', '-fspec-constr-threshold=2000', '-fmax-inline-alloc-size=128', '-fcmm-elim-common-blocks', '-fno-state-hack', '-fdo-lambda-eta-expansion', '-fsimpl-tick-factor=100', '-fcse', '-fstatic-argument-transformation', '-foptimal-applicative-do', '-feager-blackholing', '-fsimplifier-phases=2']",0.211,0,False
4,627ec7ab-5bf5-4820-ac56-0e66aab829e0,fast,"['-O0', '-fstrictness-before=1', '-fcase-merge', '-fmax-simplifier-iterations=4', '-fliberate-case-threshold=2000', '-fdicts-strict', '-fdo-eta-reduction', '-ffun-to-thunk', '-fcmm-sink', '-funbox-strict-fields', '-fno-opt-coercion', '-fenable-rewrite-rules', '-feager-blackholing', '-fregs-iterative', '-fregs-graph', '-fstatic-argument-transformation', '-funfolding-keeness-factor=1.5', '-fomit-interface-pragmas', '-funbox-small-strict-fields', '-fvectorise', '-fsimplifier-phases=2', '-fvectorisation-avoidance', '-fspec-constr-threshold=2000']",0.211,0,False
5,15436fff-7f63-49ad-abb5-a4229605afc5,fast,"['-O0', '-fdmd-tx-dict-sel', '-fvectorisation-avoidance', '-funfolding-fun-discount=60', '-fexcess-precision', '-feager-blackholing', '-fspec-constr-threshold=2000', '-fdo-lambda-eta-expansion', '-fcross-module-specialise', '-fno-opt-coercion', '-fdicts-cheap', '-fpedantic-bottoms', '-ffun-to-thunk', '-fno-state-hack', '-fregs-graph', '-fregs-iterative', '-fignore-interface-pragmas', '-fcmm-sink', '-ffloat-in', '-fmax-relevant-binds=6', '-fexpose-all-unfoldings', '-fstrictness-before=1', '-funfolding-keeness-factor=1.5', '-fmax-inline-memset-insns=32', '-fliberate-case', '-fspec-constr-count=3', '-funfolding-use-threshold=60', '-fworker-wrapper', '-flate-dmd-anal', '-fspec-constr', '-floopification', '-fcall-arity', '-fspecialise', '-fcase-merge', '-funbox-small-strict-fields', '-fcse', '-funfolding-dict-discount=30', '-funbox-strict-fields', '-fno-pre-inlining', '-fignore-asserts', '-fliberate-case-threshold=2000', '-foptimal-applicative-do', '-fvectorise', '-fdo-eta-reduction', '-fomit-interface-pragmas', '-fmax-worker-args=10']",0.21,0,False
6,76e52c6f-9085-4f40-9403-4fd5dd9201a5,fast,"['-O0', '-fignore-asserts', '-fcse', '-fno-pre-inlining', '-fcpr-anal', '-feager-blackholing', '-funbox-strict-fields', '-funfolding-use-threshold=60', '-fdo-lambda-eta-expansion', '-fregs-iterative', '-fmax-relevant-binds=6', '-fvectorise', '-fstrictness-before=1', '-fdmd-tx-dict-sel', '-fregs-graph', '-fspec-constr', '-fomit-yields', '-fpedantic-bottoms', '-fexcess-precision', '-fcall-arity', '-ffun-to-thunk', '-fmax-inline-alloc-size=128', '-fignore-interface-pragmas', '-fdicts-strict', '-fspec-constr-threshold=2000', '-fspec-constr-count=3', '-fenable-rewrite-rules', '-fcross-module-specialise']",0.211,0,False
7,6a1bb14c-2cbb-43e3-9eb6-79c1e0f0dd07,fast,"['-O0', '-fvectorisation-avoidance', '-ffloat-in', '-fmax-inline-alloc-size=128', '-fcase-merge', '-fcse', '-fregs-iterative', '-fomit-interface-pragmas', '-fliberate-case-threshold=2000', '-fcmm-sink', '-fno-pre-inlining', '-funbox-strict-fields', '-fmax-simplifier-iterations=4', '-flate-dmd-anal', '-fspec-constr-count=3', '-funfolding-use-threshold=60']",0.212,0,False
8,4fd0c427-3fce-4cee-8086-f8ad70f43b57,fast,"['-O0', '-fmax-simplifier-iterations=4', '-fsimpl-tick-factor=100', '-funfolding-fun-discount=60', '-fmax-inline-memcpy-insns=32', '-funfolding-creation-threshold=750', '-ffull-laziness', '-fspec-constr-threshold=2000', '-fpedantic-bottoms', '-fexcess-precision', '-fvectorisation-avoidance', '-fdicts-strict', '-fspecialise', '-fregs-iterative', '-fno-opt-coercion', '-fsimplifier-phases=2', '-fdicts-cheap', '-fcpr-anal', '-fliberate-case', '-fenable-rewrite-rules', '-fcall-arity', '-fcase-merge', '-fdo-eta-reduction', '-fignore-interface-pragmas', '-fcse', '-funfolding-keeness-factor=1.5', '-fspec-constr-count=3', '-ffun-to-thunk', '-fmax-worker-args=10', '-fworker-wrapper', '-fexpose-all-unfoldings', '-fregs-graph', '-ffloat-in', '-funbox-small-strict-fields', '-fdo-lambda-eta-expansion', '-fmax-inline-memset-insns=32', '-fomit-yields', '-fno-pre-inlining', '-fcross-module-specialise', '-fstrictness', '-fmax-relevant-binds=6', '-feager-blackholing', '-fliberate-case-threshold=2000', '-flate-dmd-anal', '-fno-state-hack', '-fomit-interface-pragmas', '-fspec-constr', '-fdmd-tx-dict-sel', '-floopification', '-fcmm-elim-common-blocks', '-foptimal-applicative-do', '-fmax-inline-alloc-size=128']",0.211,0,False
9,73da7e7b-2f27-4840-bc62-13ca9636af9a,fast,"['-O0', '-fsimpl-tick-factor=100', '-fenable-rewrite-rules', '-fcmm-sink', '-funfolding-creation-threshold=750', '-fdicts-strict', '-fspec-constr-count=3', '-fignore-interface-pragmas', '-fstrictness-before=1', '-fvectorise', '-fliberate-case', '-funfolding-keeness-factor=1.5', '-fsimplifier-phases=2', '-fliberate-case-threshold=2000', '-ffull-laziness', '-fexcess-precision', '-fspec-constr-threshold=2000', '-fomit-interface-pragmas', '-fdicts-cheap', '-fexpose-all-unfoldings', '-fno-state-hack', '-fdo-eta-reduction', '-fcross-module-specialise', '-fmax-worker-args=10', '-fignore-asserts', '-funbox-small-strict-fields', '-fstatic-argument-transformation', '-flate-dmd-anal', '-ffun-to-thunk', '-fmax-inline-alloc-size=128', '-fmax-inline-memcpy-insns=32', '-fdo-lambda-eta-expansion', '-funfolding-use-threshold=60', '-fspecialise', '-fcmm-elim-common-blocks', '-fomit-yields', '-fcse']",0.21,0,False
