,ID,Mode,Flags,Runtime,Iteration,Best
0,-O0,fast,-O0,0.211,0,False
1,-O2,fast,-O2,0.211,0,False
2,7407188d-89b0-4130-ae8e-9ac897da0f83,fast,"['-O0', '-fcpr-anal', '-fcmm-sink', '-fno-pre-inlining', '-fmax-simplifier-iterations=4', '-fmax-worker-args=10', '-fmax-relevant-binds=6', '-fdmd-tx-dict-sel', '-funfolding-use-threshold=60', '-fcmm-elim-common-blocks', '-funbox-strict-fields', '-fworker-wrapper', '-fdicts-cheap', '-fmax-inline-memset-insns=32', '-fomit-yields', '-floopification', '-ffull-laziness', '-fspec-constr-count=3', '-fstrictness', '-fmax-inline-alloc-size=128', '-fspecialise', '-funfolding-dict-discount=30', '-fsimpl-tick-factor=100', '-fomit-interface-pragmas', '-fstatic-argument-transformation', '-ffloat-in', '-fenable-rewrite-rules', '-fcse', '-fcross-module-specialise', '-fdo-lambda-eta-expansion', '-fdicts-strict', '-fexcess-precision', '-fpedantic-bottoms', '-flate-dmd-anal']",0.212,0,False
3,1fdf20a2-10db-485b-87df-b24dff52a36a,fast,"['-O0', '-ffull-laziness', '-fliberate-case', '-funfolding-keeness-factor=1.5', '-fcmm-sink', '-funbox-small-strict-fields', '-fsimpl-tick-factor=100', '-fworker-wrapper', '-fmax-worker-args=10']",0.211,0,False
4,8b68aae8-e5e5-4146-9cf2-6a42f1e9e032,fast,"['-O0', '-fmax-inline-alloc-size=128', '-fvectorise', '-fdicts-strict', '-floopification', '-foptimal-applicative-do', '-fenable-rewrite-rules', '-fspec-constr', '-fspecialise', '-fstatic-argument-transformation', '-funfolding-creation-threshold=750', '-fvectorisation-avoidance', '-fliberate-case-threshold=2000', '-fno-pre-inlining', '-fignore-asserts', '-fexpose-all-unfoldings', '-fsimplifier-phases=2', '-fspec-constr-count=3', '-fexcess-precision', '-ffloat-in', '-ffull-laziness', '-fpedantic-bottoms', '-funbox-strict-fields', '-fstrictness']",0.211,0,False
5,606efe8d-a76e-4cd5-aadb-447bdbf316f4,fast,"['-O0', '-funfolding-use-threshold=60', '-ffloat-in', '-fcall-arity', '-fmax-relevant-binds=6', '-fno-opt-coercion', '-fno-state-hack', '-funfolding-dict-discount=30', '-fdo-eta-reduction', '-fcpr-anal', '-fvectorise', '-fmax-simplifier-iterations=4', '-fliberate-case-threshold=2000', '-fmax-inline-memset-insns=32', '-funfolding-keeness-factor=1.5', '-fdo-lambda-eta-expansion', '-ffull-laziness', '-foptimal-applicative-do', '-fdmd-tx-dict-sel', '-fspecialise', '-fomit-yields', '-fliberate-case', '-fspec-constr', '-fvectorisation-avoidance']",0.211,0,False
6,be60c7f3-3a3e-4808-aff4-afb07107d3be,fast,"['-O0', '-fstrictness-before=1', '-fcmm-sink', '-floopification', '-fcall-arity', '-fignore-asserts', '-flate-dmd-anal', '-fliberate-case-threshold=2000', '-fno-pre-inlining', '-fspec-constr', '-fspec-constr-threshold=2000', '-fcase-merge', '-fspecialise', '-fstrictness', '-fenable-rewrite-rules', '-fvectorise', '-funfolding-keeness-factor=1.5', '-fcmm-elim-common-blocks', '-fexcess-precision', '-funfolding-fun-discount=60', '-fno-state-hack', '-foptimal-applicative-do']",0.211,0,False
7,04aa24e3-3deb-4669-be69-45f84294450c,fast,"['-O0', '-fvectorise', '-ffun-to-thunk', '-fignore-interface-pragmas', '-fpedantic-bottoms', '-fno-pre-inlining', '-fsimplifier-phases=2', '-fstrictness-before=1', '-funfolding-creation-threshold=750', '-fmax-inline-memset-insns=32', '-fliberate-case-threshold=2000', '-funbox-small-strict-fields', '-fcall-arity', '-flate-dmd-anal', '-fvectorisation-avoidance', '-fregs-iterative', '-fspec-constr-threshold=2000', '-fdo-lambda-eta-expansion', '-fdo-eta-reduction', '-fignore-asserts', '-ffull-laziness', '-funfolding-keeness-factor=1.5', '-fmax-simplifier-iterations=4', '-fmax-inline-memcpy-insns=32', '-fregs-graph', '-feager-blackholing', '-funfolding-fun-discount=60']",0.211,0,False
8,359d4ee9-bd1f-424a-ad34-1b74806aa684,fast,"['-O0', '-funfolding-dict-discount=30', '-fspec-constr-count=3', '-fno-pre-inlining', '-fliberate-case', '-O0', '-funbox-small-strict-fields', '-fcmm-sink', '-fexcess-precision', '-ffull-laziness', '-fworker-wrapper', '-funfolding-keeness-factor=1.5', '-fomit-interface-pragmas', '-fmax-worker-args=10', '-fcpr-anal', '-fsimpl-tick-factor=100']",0.211,0,False
9,40a1fb67-10fe-44ac-b77b-c26e4c71d5ac,fast,"['-O0', '-fvectorisation-avoidance', '-O0', '-foptimal-applicative-do', '-fspec-constr', '-ffull-laziness', '-funfolding-use-threshold=60', '-fmax-inline-memset-insns=32', '-fliberate-case-threshold=2000', '-fcase-merge', '-fliberate-case', '-fmax-relevant-binds=6', '-fomit-yields', '-fdmd-tx-dict-sel', '-ffloat-in', '-fdo-eta-reduction', '-fworker-wrapper', '-funfolding-dict-discount=30', '-fcpr-anal', '-fno-state-hack', '-fmax-simplifier-iterations=4', '-fno-opt-coercion', '-fdo-lambda-eta-expansion', '-fvectorise', '-fcall-arity', '-funfolding-keeness-factor=1.5', '-fspecialise']",0.211,1,False
10,379bdb10-4029-4fbd-a70e-d09739f99fe8,fast,"['-O0', '-fvectorisation-avoidance', '-O0', '-ffun-to-thunk', '-foptimal-applicative-do', '-fspec-constr', '-fexcess-precision', '-fenable-rewrite-rules', '-ffull-laziness', '-fstrictness', '-fliberate-case-threshold=2000', '-fstatic-argument-transformation', '-fmax-inline-alloc-size=128', '-fpedantic-bottoms', '-funfolding-creation-threshold=750', '-ffloat-in', '-fno-pre-inlining', '-fignore-asserts', '-fcmm-sink', '-floopification', '-fdicts-strict', '-fsimpl-tick-factor=100', '-fexpose-all-unfoldings', '-fspec-constr-count=3', '-fsimplifier-phases=2', '-fmax-inline-memcpy-insns=32', '-fvectorise', '-funbox-strict-fields', '-fspecialise']",0.212,2,False
11,7d8d6ead-98af-4931-a677-b119b0b31f9b,fast,"['-O0', '-fmax-inline-alloc-size=128', '-funfolding-dict-discount=30', '-fignore-asserts', '-fliberate-case', '-O0', '-funbox-small-strict-fields', '-fcmm-sink', '-ffull-laziness', '-fworker-wrapper', '-funfolding-keeness-factor=1.5', '-fomit-interface-pragmas', '-fdmd-tx-dict-sel', '-fmax-worker-args=10', '-fsimpl-tick-factor=100']",0.211,3,False
12,891d32c6-756c-4ba1-9dc1-467d6c05f1c9,fast,"['-O0', '-O0', '-fspec-constr', '-fexcess-precision', '-foptimal-applicative-do', '-fstrictness', '-fenable-rewrite-rules', '-ffull-laziness', '-funfolding-use-threshold=60', '-fliberate-case-threshold=2000', '-fstrictness-before=1', '-fcase-merge', '-fspec-constr-threshold=2000', '-funfolding-creation-threshold=750', '-fomit-yields', '-fno-pre-inlining', '-fignore-asserts', '-funfolding-fun-discount=60', '-fcmm-sink', '-flate-dmd-anal', '-floopification', '-fcmm-elim-common-blocks', '-fno-state-hack', '-fvectorise', '-fcall-arity', '-funfolding-keeness-factor=1.5', '-fspecialise']",0.213,4,False
13,9aea99f4-f7b5-4b27-af43-017fb4f8a569,fast,"['-O0', '-fvectorisation-avoidance', '-O0', '-ffun-to-thunk', '-fexcess-precision', '-ffull-laziness', '-fmax-inline-memset-insns=32', '-fliberate-case-threshold=2000', '-fstrictness-before=1', '-fmax-inline-alloc-size=128', '-fpedantic-bottoms', '-fspec-constr-threshold=2000', '-funbox-small-strict-fields', '-funfolding-creation-threshold=750', '-feager-blackholing', '-fno-pre-inlining', '-fdo-eta-reduction', '-fignore-asserts', '-funfolding-fun-discount=60', '-flate-dmd-anal', '-fregs-iterative', '-fignore-interface-pragmas', '-fregs-graph', '-fmax-simplifier-iterations=4', '-fsimplifier-phases=2', '-fdo-lambda-eta-expansion', '-fmax-inline-memcpy-insns=32', '-fvectorise', '-fcall-arity', '-funfolding-keeness-factor=1.5']",0.212,5,False
