,ID,Flags,Mode,Runtime,Elapsed_Time
0,-O0,['-O0'],fast,0.215,0.215
1,-O2,['-O2'],fast,0.211,0.211
2,a00b67be-3d09-46dc-a6a5-f8d4afe0349e,"['-O0' '-fexpose-all-unfoldings' '-fliberate-case'
 '-funfolding-fun-discount=60' '-fspec-constr-count=3'
 '-fomit-interface-pragmas' '-fmax-relevant-binds=6' '-fdo-eta-reduction'
 '-fliberate-case' '-fliberate-case-threshold=2000' '-flate-dmd-anal'
 '-fmax-inline-memset-insns=32' '-fomit-interface-pragmas'
 '-fdmd-tx-dict-sel' '-fmax-simplifier-iterations=4'
 '-funfolding-fun-discount=60' '-fdmd-tx-dict-sel'
 '-fstatic-argument-transformation' '-fspec-constr-count=3' '-ffloat-in'
 '-fomit-yields' '-fcse' '-funbox-strict-fields' '-floopification'
 '-fenable-rewrite-rules' '-funfolding-fun-discount=60'
 '-fcross-module-specialise' '-fno-state-hack' '-floopification'
 '-fno-state-hack' '-fcase-merge' '-fliberate-case']",fast,0.212,0.212
3,1dde2c7d-2e34-4106-8b79-67735b24666e,"['-O0' '-fliberate-case-threshold=2000' '-fcase-merge'
 '-foptimal-applicative-do' '-fsimpl-tick-factor=100' '-ffull-laziness'
 '-fcase-merge' '-fcmm-sink' '-fno-pre-inlining'
 '-fcmm-elim-common-blocks' '-fmax-inline-memcpy-insns=32'
 '-ffull-laziness' '-fsimplifier-phases=2' '-funfolding-use-threshold=60'
 '-fexcess-precision' '-ffun-to-thunk' '-flate-dmd-anal'
 '-fno-pre-inlining' '-fmax-worker-args=10' '-fno-pre-inlining'
 '-fno-state-hack' '-fexpose-all-unfoldings' '-fno-state-hack'
 '-fstrictness' '-fmax-simplifier-iterations=4' '-floopification'
 '-fstrictness' '-fspec-constr-threshold=2000' '-ffun-to-thunk'
 '-fcross-module-specialise' '-fignore-interface-pragmas'
 '-flate-dmd-anal']",fast,0.212,0.212
4,c3e10de8-0466-47f5-8326-52456a9358fa,"['-O0' '-fregs-graph' '-ffun-to-thunk' '-funbox-strict-fields'
 '-fspecialise' '-fno-pre-inlining' '-ffloat-in'
 '-foptimal-applicative-do' '-fomit-interface-pragmas' '-fspec-constr'
 '-fliberate-case-threshold=2000' '-fspec-constr-count=3'
 '-funfolding-dict-discount=30' '-feager-blackholing'
 '-funbox-strict-fields' '-funfolding-fun-discount=60'
 '-fomit-interface-pragmas' '-funfolding-fun-discount=60'
 '-fignore-asserts' '-fno-state-hack' '-fomit-yields' '-flate-dmd-anal'
 '-fignore-asserts' '-fdo-lambda-eta-expansion'
 '-fspec-constr-threshold=2000' '-fregs-iterative'
 '-fspec-constr-threshold=2000' '-fcmm-sink' '-fmax-relevant-binds=6'
 '-fvectorise' '-fdicts-cheap' '-fmax-inline-memcpy-insns=32']",fast,0.211,0.211
5,d4b0be0f-be57-4560-8b42-17c6e6afe2dc,"['-O0' '-fsimplifier-phases=2' '-fmax-inline-memcpy-insns=32'
 '-floopification' '-fcall-arity' '-fspec-constr-threshold=2000'
 '-fworker-wrapper' '-fstrictness' '-fcpr-anal' '-fexcess-precision'
 '-funfolding-creation-threshold=750' '-fcpr-anal'
 '-fmax-simplifier-iterations=4' '-fliberate-case' '-fworker-wrapper'
 '-fenable-rewrite-rules' '-fcross-module-specialise'
 '-fmax-relevant-binds=6' '-fdo-lambda-eta-expansion'
 '-fexpose-all-unfoldings' '-fspec-constr' '-ffloat-in'
 '-fdo-eta-reduction' '-fstatic-argument-transformation'
 '-fenable-rewrite-rules' '-fmax-inline-memcpy-insns=32'
 '-fworker-wrapper' '-funfolding-fun-discount=60'
 '-funfolding-fun-discount=60' '-fspecialise' '-fvectorise'
 '-fsimplifier-phases=2']",fast,0.211,0.211
6,1fb0f4c8-3b87-4650-a3ce-adebf81f4aea,"['-O0' '-floopification' '-fomit-interface-pragmas'
 '-fspec-constr-count=3' '-fspec-constr-threshold=2000' '-fstrictness'
 '-ffull-laziness' '-fignore-asserts' '-fdicts-strict' '-fvectorise'
 '-fliberate-case' '-funfolding-keeness-factor=1.5' '-fno-pre-inlining'
 '-funfolding-dict-discount=30' '-fignore-asserts' '-fstrictness-before=1'
 '-fdicts-cheap' '-fspec-constr-count=3' '-fspec-constr-threshold=2000'
 '-funbox-strict-fields' '-fno-pre-inlining' '-fworker-wrapper'
 '-ffull-laziness' '-fcmm-sink' '-fmax-worker-args=10' '-fno-state-hack'
 '-fno-opt-coercion' '-fdmd-tx-dict-sel' '-fsimplifier-phases=2'
 '-fdicts-strict' '-funfolding-keeness-factor=1.5'
 '-fmax-simplifier-iterations=4']",fast,0.213,0.213
7,c4333b64-8b52-4a5c-93bd-1973301b0dc9,"['-O0' '-ffun-to-thunk' '-fdo-eta-reduction' '-floopification'
 '-fdicts-strict' '-fcmm-elim-common-blocks' '-fregs-iterative'
 '-fexpose-all-unfoldings' '-fdmd-tx-dict-sel' '-fignore-asserts'
 '-ffloat-in' '-fignore-interface-pragmas' '-fcross-module-specialise'
 '-fstrictness' '-fcall-arity' '-fcross-module-specialise'
 '-fpedantic-bottoms' '-fmax-inline-memcpy-insns=32' '-fomit-yields'
 '-fliberate-case' '-fworker-wrapper' '-fstrictness'
 '-funbox-small-strict-fields' '-fenable-rewrite-rules' '-fomit-yields'
 '-fexcess-precision' '-fmax-worker-args=10' '-fdicts-cheap'
 '-funfolding-dict-discount=30' '-fdo-eta-reduction' '-fexcess-precision'
 '-fomit-yields']",fast,0.212,0.212
8,fe6f7d96-1a65-4345-bd6c-42a47bbaf46e,"['-O0' '-funfolding-use-threshold=60' '-fstatic-argument-transformation'
 '-fvectorise' '-fexpose-all-unfoldings' '-fregs-iterative' '-fstrictness'
 '-fmax-simplifier-iterations=4' '-funfolding-creation-threshold=750'
 '-fcpr-anal' '-fdicts-cheap' '-fcmm-elim-common-blocks' '-fomit-yields'
 '-ffun-to-thunk' '-funbox-small-strict-fields' '-fomit-yields'
 '-fliberate-case-threshold=2000' '-fregs-graph' '-fsimplifier-phases=2'
 '-fspec-constr-count=3' '-fcpr-anal' '-funfolding-use-threshold=60'
 '-ffun-to-thunk' '-fcpr-anal' '-fspecialise' '-fregs-iterative'
 '-fstrictness-before=1' '-funfolding-creation-threshold=750'
 '-fno-state-hack' '-fregs-graph' '-funfolding-fun-discount=60'
 '-ffun-to-thunk']",fast,0.214,0.214
9,225df57c-03a7-42aa-a965-15cbd2f49ed3,"['-O0' '-funbox-strict-fields' '-fstrictness-before=1' '-fcse'
 '-foptimal-applicative-do' '-fcase-merge' '-ffloat-in'
 '-fmax-inline-memcpy-insns=32' '-fignore-asserts'
 '-funfolding-use-threshold=60' '-ffloat-in' '-funbox-small-strict-fields'
 '-fmax-simplifier-iterations=4' '-fspecialise' '-ffun-to-thunk'
 '-fregs-iterative' '-fspec-constr-count=3' '-fexpose-all-unfoldings'
 '-fdmd-tx-dict-sel' '-fcall-arity' '-fregs-iterative'
 '-fliberate-case-threshold=2000' '-fmax-inline-alloc-size=128'
 '-fmax-inline-alloc-size=128' '-fdicts-strict' '-fsimpl-tick-factor=100'
 '-fdmd-tx-dict-sel' '-funfolding-keeness-factor=1.5'
 '-fvectorisation-avoidance' '-funfolding-dict-discount=30'
 '-funfolding-creation-threshold=750' '-fdo-eta-reduction']",fast,0.215,0.215
10,1fb662b9-a08b-479b-9ec8-d8088fbde157,"['-O0' '-fliberate-case-threshold=2000' '-feager-blackholing'
 '-funfolding-keeness-factor=1.5' '-funfolding-creation-threshold=750'
 '-fstrictness-before=1' '-fignore-asserts' '-fpedantic-bottoms'
 '-fspec-constr' '-flate-dmd-anal' '-fregs-graph' '-fregs-graph' '-fcse'
 '-fmax-inline-memset-insns=32' '-fno-pre-inlining' '-fdmd-tx-dict-sel'
 '-fno-opt-coercion' '-fspec-constr' '-ffun-to-thunk' '-fcse'
 '-fmax-relevant-binds=6' '-fdo-lambda-eta-expansion' '-fspecialise'
 '-fworker-wrapper' '-fcase-merge' '-fno-opt-coercion'
 '-funfolding-dict-discount=30' '-fdmd-tx-dict-sel'
 '-fstatic-argument-transformation' '-fmax-inline-memcpy-insns=32'
 '-fcpr-anal' '-fsimpl-tick-factor=100']",fast,0.213,0.213
11,7c7920b0-c5d2-4b17-a912-7f5e2d6dba47,"['-O0' '-fvectorisation-avoidance' '-fno-pre-inlining'
 '-funfolding-use-threshold=60' '-fignore-asserts'
 '-foptimal-applicative-do' '-funbox-strict-fields'
 '-fexpose-all-unfoldings' '-fcall-arity' '-fliberate-case' '-fcmm-sink'
 '-funfolding-creation-threshold=750' '-fno-opt-coercion'
 '-fregs-iterative' '-foptimal-applicative-do' '-fcall-arity'
 '-funfolding-dict-discount=30' '-fmax-inline-memcpy-insns=32'
 '-fstatic-argument-transformation' '-funfolding-dict-discount=30'
 '-fmax-inline-memset-insns=32' '-fdicts-strict' '-fignore-asserts'
 '-fdmd-tx-dict-sel' '-fspec-constr' '-fvectorisation-avoidance'
 '-fignore-interface-pragmas' '-fenable-rewrite-rules' '-fcpr-anal'
 '-fexcess-precision' '-fmax-inline-memset-insns=32'
 '-fignore-interface-pragmas']",fast,0.211,0.211
