,ID,Flags,Mode,Runtime,Elapsed_Time
0,-O0,['-O0'],fast,0.212,0.212
1,-O2,['-O2'],fast,0.212,0.212
2,6be9bd3c-4bd7-4c93-9fd0-df59413fd650,"['-O0' '-fno-opt-coercion' '-fliberate-case-threshold=2000'
 '-fenable-rewrite-rules' '-feager-blackholing' '-foptimal-applicative-do'
 '-fsimplifier-phases=2' '-fexcess-precision' '-fcall-arity'
 '-fdo-lambda-eta-expansion' '-fstrictness' '-fspec-constr'
 '-funfolding-keeness-factor=1.5' '-fexcess-precision']",fast,0.212,0.212
3,95d608f7-6c40-456e-8c74-cbe42faee92c,"['-O0' '-fenable-rewrite-rules' '-funfolding-keeness-factor=1.5'
 '-fdo-lambda-eta-expansion' '-fmax-inline-memcpy-insns=32'
 '-fdicts-strict' '-ffloat-in' '-funfolding-dict-discount=30'
 '-fdo-lambda-eta-expansion' '-flate-dmd-anal' '-fsimpl-tick-factor=100'
 '-fpedantic-bottoms' '-fmax-inline-memset-insns=32' '-fcall-arity']",fast,0.212,0.212
4,848c593d-f88f-433e-a640-f511bbc35976,"['-O0' '-fsimplifier-phases=2' '-fspec-constr-threshold=2000'
 '-flate-dmd-anal' '-fvectorisation-avoidance' '-fsimplifier-phases=2'
 '-fstatic-argument-transformation' '-fno-pre-inlining'
 '-fcross-module-specialise' '-fno-state-hack' '-fignore-asserts'
 '-funfolding-creation-threshold=750' '-fdicts-strict'
 '-fdo-lambda-eta-expansion']",fast,0.212,0.212
5,25ed8a28-feb3-4620-86b2-b407d8782a11,"['-O0' '-funbox-small-strict-fields' '-fomit-interface-pragmas'
 '-fcall-arity' '-fdmd-tx-dict-sel' '-fvectorisation-avoidance'
 '-fcross-module-specialise' '-fsimplifier-phases=2' '-fignore-asserts'
 '-fcse' '-fomit-interface-pragmas' '-funfolding-creation-threshold=750'
 '-funfolding-creation-threshold=750' '-fomit-interface-pragmas']",fast,0.212,0.212
6,4765dc1e-7a52-408f-bb82-fef52d3fe7d7,"['-O0' '-fvectorise' '-fsimplifier-phases=2' '-funfolding-fun-discount=60'
 '-foptimal-applicative-do' '-fspecialise'
 '-funfolding-creation-threshold=750' '-fsimplifier-phases=2'
 '-funfolding-creation-threshold=750' '-fsimplifier-phases=2'
 '-feager-blackholing' '-fmax-inline-memcpy-insns=32' '-fvectorise'
 '-fexcess-precision']",fast,0.212,0.212
7,d815c8ee-1c06-4475-bbb6-a76cc06a96c3,"['-O0' '-flate-dmd-anal' '-fcpr-anal' '-fignore-asserts'
 '-funfolding-fun-discount=60' '-fcall-arity' '-ffull-laziness'
 '-fstrictness' '-fcall-arity' '-fspec-constr-count=3' '-ffull-laziness'
 '-fcpr-anal' '-fmax-inline-memset-insns=32' '-fspec-constr-count=3']",fast,0.215,0.215
8,32046aca-dfaa-4e85-ba85-18fe743cef02,"['-O0' '-fliberate-case' '-fdo-lambda-eta-expansion'
 '-fmax-inline-memset-insns=32' '-fignore-asserts'
 '-funfolding-use-threshold=60' '-fvectorisation-avoidance'
 '-foptimal-applicative-do' '-funfolding-creation-threshold=750'
 '-fworker-wrapper' '-funbox-strict-fields' '-funfolding-fun-discount=60'
 '-fcmm-sink' '-fignore-interface-pragmas']",fast,0.213,0.213
9,5a6c2bd7-9742-47e5-a9a8-4d5acf20a01c,"['-O0' '-fsimplifier-phases=2' '-fno-state-hack' '-fdmd-tx-dict-sel'
 '-fvectorisation-avoidance' '-fcmm-elim-common-blocks'
 '-fdmd-tx-dict-sel' '-funfolding-use-threshold=60' '-fregs-iterative'
 '-fspec-constr' '-fspec-constr-threshold=2000' '-fworker-wrapper'
 '-fvectorise' '-foptimal-applicative-do']",fast,0.215,0.215
