,ID,Mode,Flags,Runtime,Iteration,Best
0,0721f26a-f693-4ba4-a5f4-86b2989f4fa3,fast,"['-O0', '-funbox-small-strict-fields', '-fvectorisation-avoidance', '-fenable-rewrite-rules', '-feager-blackholing', '-fvectorise', '-fmax-inline-memset-insns=32', '-fliberate-case', '-fregs-iterative', '-fmax-inline-memcpy-insns=32', '-fcse', '-fcase-merge', '-ffloat-in', '-fsimplifier-phases=2', '-funfolding-creation-threshold=750', '-fexpose-all-unfoldings', '-funfolding-use-threshold=60', '-fdicts-cheap', '-fregs-graph', '-funfolding-fun-discount=60', '-funfolding-dict-discount=30', '-fspec-constr-count=3', '-fmax-relevant-binds=6', '-fdo-lambda-eta-expansion', '-fsimpl-tick-factor=100', '-fworker-wrapper', '-fstrictness', '-foptimal-applicative-do', '-fdmd-tx-dict-sel', '-fmax-simplifier-iterations=4', '-funfolding-keeness-factor=1.5', '-fspec-constr-threshold=2000', '-ffull-laziness', '-fcmm-elim-common-blocks', '-fmax-inline-alloc-size=128', '-fdo-eta-reduction', '-fstrictness-before=1', '-fomit-yields', '-fignore-asserts', '-fmax-worker-args=10', '-fno-pre-inlining', '-fcall-arity']",0.322,0,False
1,1b2c0aec-0d72-44b1-8d20-9a5e536b71db,fast,"['-O0', '-fomit-interface-pragmas', '-fmax-inline-alloc-size=128', '-fdicts-strict', '-fdmd-tx-dict-sel', '-fcse', '-fmax-inline-memset-insns=32', '-fenable-rewrite-rules', '-fexcess-precision', '-fspecialise', '-funbox-small-strict-fields', '-fno-opt-coercion']",0.314,0,True
2,32b26042-03a9-4715-b5a7-5651add0e167,fast,"['-O0', '-ffull-laziness', '-fmax-inline-memcpy-insns=32', '-fmax-worker-args=10', '-fdicts-strict', '-fno-pre-inlining', '-fliberate-case']",0.316,0,False
3,73c10c59-a012-438a-8638-5d10f0824a2e,fast,"['-O0', '-fcse', '-feager-blackholing', '-fomit-interface-pragmas', '-funfolding-fun-discount=60', '-funfolding-use-threshold=60']",0.316,1,False
4,880d112b-19d8-401a-846e-e00d75c1f485,fast,"['-O0', '-ffloat-in', '-fexcess-precision', '-fcross-module-specialise', '-fregs-iterative', '-fexpose-all-unfoldings']",0.317,3,False
5,a3ea28c5-5551-4eb5-a932-a4075e89cbfc,fast,"['-O0', '-fno-opt-coercion', '-fcmm-sink', '-fdmd-tx-dict-sel', '-feager-blackholing', '-foptimal-applicative-do']",0.314,4,False
6,b0436dab-b91c-42e0-9e88-1d52ae72e950,fast,"['-O0', '-fomit-yields', '-fsimpl-tick-factor=100', '-fno-opt-coercion', '-fworker-wrapper', '-fstrictness-before=1']",0.314,0,False
7,e8b0c336-077c-485d-8fe9-0696c9320ed1,fast,"['-O0', '-fvectorisation-avoidance', '-fworker-wrapper', '-ffun-to-thunk', '-fstrictness', '-fstatic-argument-transformation', '-fcpr-anal', '-fdo-eta-reduction', '-fenable-rewrite-rules', '-funbox-small-strict-fields', '-fcase-merge', '-fmax-simplifier-iterations=4', '-funfolding-dict-discount=30', '-fsimpl-tick-factor=100', '-floopification', '-fstrictness-before=1', '-fsimplifier-phases=2', '-fliberate-case-threshold=2000', '-fliberate-case', '-ffull-laziness', '-funfolding-use-threshold=60', '-foptimal-applicative-do', '-fno-opt-coercion', '-fmax-inline-memcpy-insns=32', '-fdicts-strict']",0.315,0,False
8,e91c186a-1739-4fd3-adbf-8098e9389362,fast,"['-O0', '-fno-opt-coercion', '-fsimplifier-phases=2', '-fspec-constr-count=3', '-fstrictness-before=1', '-fcpr-anal']",0.314,2,False
9,-O0,fast,-O0,0.317,0,False
10,-O2,fast,-O2,0.314,0,False
