,ID,Flags,Mode,Runtime,Elapsed_Time
0,-O0,['-O0'],fast,,
1,-O2,['-O2'],fast,,
2,923ca52e-c457-4c62-802c-01269b659db1,"['-O0' '-fdo-eta-reduction' '-fno-pre-inlining'
 '-funfolding-keeness-factor=1.5' '-fliberate-case' '-fcase-merge'
 '-fcase-merge' '-flate-dmd-anal' '-fworker-wrapper'
 '-fspec-constr-threshold=2000' '-fno-state-hack' '-fignore-asserts'
 '-fdmd-tx-dict-sel' '-fmax-relevant-binds=6' '-funbox-strict-fields'
 '-fmax-inline-alloc-size=128' '-funfolding-creation-threshold=750'
 '-fregs-iterative' '-fmax-inline-memcpy-insns=32'
 '-fcmm-elim-common-blocks' '-fliberate-case-threshold=2000'
 '-fcall-arity' '-foptimal-applicative-do'
 '-fstatic-argument-transformation' '-funfolding-use-threshold=60'
 '-fliberate-case' '-fspec-constr' '-fcmm-elim-common-blocks'
 '-fno-state-hack' '-fspec-constr' '-fno-state-hack' '-fcse'
 '-fno-state-hack' '-fdo-eta-reduction' '-fcall-arity'
 '-fmax-relevant-binds=6' '-ffloat-in' '-fcpr-anal' '-fdo-eta-reduction'
 '-fsimplifier-phases=2' '-fliberate-case-threshold=2000'
 '-fspec-constr-count=3' '-fsimpl-tick-factor=100' '-fstrictness-before=1'
 '-fspec-constr-threshold=2000' '-fcpr-anal'
 '-funfolding-creation-threshold=750' '-fvectorise'
 '-fexpose-all-unfoldings' '-fcmm-sink' '-fcall-arity'
 '-fomit-interface-pragmas' '-fcmm-sink' '-fsimplifier-phases=2'
 '-fcpr-anal' '-fstatic-argument-transformation' '-fregs-graph']",fast,,
3,0b025570-de36-4106-aacb-7c637019570f,"['-O0' '-funfolding-fun-discount=60' '-fomit-interface-pragmas'
 '-funfolding-creation-threshold=750' '-fdicts-cheap' '-fcmm-sink'
 '-floopification' '-fignore-interface-pragmas' '-fcall-arity'
 '-ffloat-in' '-fspec-constr-count=3' '-foptimal-applicative-do'
 '-fstrictness-before=1' '-fno-pre-inlining' '-fpedantic-bottoms'
 '-fregs-iterative' '-fignore-asserts' '-fspec-constr-count=3'
 '-fignore-asserts' '-fvectorise' '-funfolding-use-threshold=60'
 '-fspecialise' '-funbox-small-strict-fields' '-fignore-asserts'
 '-fdicts-cheap' '-fmax-simplifier-iterations=4'
 '-foptimal-applicative-do' '-flate-dmd-anal' '-feager-blackholing'
 '-funbox-strict-fields' '-fvectorise' '-fenable-rewrite-rules'
 '-fmax-relevant-binds=6' '-fdo-eta-reduction' '-fcmm-elim-common-blocks'
 '-fspecialise' '-fworker-wrapper' '-fdicts-cheap' '-ffun-to-thunk'
 '-funbox-strict-fields' '-fcase-merge'
 '-funfolding-creation-threshold=750' '-fregs-graph' '-fcmm-sink'
 '-fcmm-elim-common-blocks' '-floopification' '-fvectorisation-avoidance'
 '-fdmd-tx-dict-sel' '-fvectorise' '-fno-opt-coercion' '-fno-pre-inlining'
 '-fspecialise' '-fstrictness-before=1'
 '-funfolding-creation-threshold=750' '-ffun-to-thunk'
 '-funfolding-use-threshold=60' '-fworker-wrapper']",fast,,
4,a490da79-3a74-4ca0-abba-6c61f45ab9b4,"['-O0' '-fomit-interface-pragmas' '-fcross-module-specialise'
 '-funfolding-use-threshold=60' '-fdmd-tx-dict-sel'
 '-fmax-inline-alloc-size=128' '-fdo-eta-reduction' '-fliberate-case'
 '-fworker-wrapper' '-fcall-arity' '-fstrictness-before=1'
 '-ffull-laziness' '-fstrictness-before=1' '-fsimpl-tick-factor=100'
 '-fno-state-hack' '-funbox-strict-fields' '-fno-opt-coercion'
 '-fomit-interface-pragmas' '-ffun-to-thunk' '-fspecialise'
 '-funbox-strict-fields' '-fregs-graph' '-fmax-relevant-binds=6'
 '-fmax-inline-memcpy-insns=32' '-funfolding-keeness-factor=1.5'
 '-ffloat-in' '-fignore-asserts' '-fcmm-sink'
 '-funfolding-dict-discount=30' '-fspec-constr-threshold=2000'
 '-fno-state-hack' '-fmax-worker-args=10' '-funfolding-use-threshold=60'
 '-fstrictness-before=1' '-ffull-laziness' '-fmax-inline-memcpy-insns=32'
 '-fliberate-case' '-fcmm-sink' '-fcpr-anal'
 '-fliberate-case-threshold=2000' '-fdicts-strict' '-fcse'
 '-fstatic-argument-transformation' '-funfolding-creation-threshold=750'
 '-fworker-wrapper' '-fomit-yields' '-ffun-to-thunk'
 '-funfolding-keeness-factor=1.5' '-foptimal-applicative-do'
 '-fpedantic-bottoms' '-fvectorise' '-fenable-rewrite-rules'
 '-fno-state-hack' '-fignore-asserts' '-fmax-inline-memcpy-insns=32'
 '-fsimpl-tick-factor=100' '-feager-blackholing']",fast,,
5,f87404c3-f6e3-4372-bd68-7df53a4d8f5c,"['-O0' '-fcpr-anal' '-funbox-strict-fields' '-fcse' '-fstrictness'
 '-fcmm-elim-common-blocks' '-fspec-constr-threshold=2000'
 '-fvectorisation-avoidance' '-funfolding-fun-discount=60' '-fspec-constr'
 '-fcross-module-specialise' '-foptimal-applicative-do' '-fspecialise'
 '-flate-dmd-anal' '-flate-dmd-anal' '-fworker-wrapper'
 '-fstatic-argument-transformation' '-fno-pre-inlining' '-fcase-merge'
 '-funfolding-keeness-factor=1.5' '-fomit-interface-pragmas'
 '-fomit-yields' '-fdo-lambda-eta-expansion' '-fno-state-hack'
 '-ffull-laziness' '-fregs-graph' '-fstrictness-before=1'
 '-flate-dmd-anal' '-fcall-arity' '-fvectorisation-avoidance'
 '-fdo-eta-reduction' '-fdo-eta-reduction' '-fcmm-sink'
 '-fcross-module-specialise' '-fdicts-strict' '-fignore-asserts'
 '-ffull-laziness' '-foptimal-applicative-do' '-fvectorise'
 '-fmax-worker-args=10' '-feager-blackholing' '-fvectorisation-avoidance'
 '-fdo-lambda-eta-expansion' '-fenable-rewrite-rules' '-fworker-wrapper'
 '-feager-blackholing' '-fcmm-elim-common-blocks' '-ffloat-in'
 '-fdo-eta-reduction' '-fomit-interface-pragmas' '-fliberate-case'
 '-fcpr-anal' '-ffun-to-thunk' '-fexcess-precision'
 '-funfolding-use-threshold=60' '-ffun-to-thunk'
 '-fcmm-elim-common-blocks']",fast,,
6,f20a2303-50e3-42f3-8bd6-8d45ff94f49a,"['-O0' '-funfolding-use-threshold=60' '-fcross-module-specialise'
 '-fsimplifier-phases=2' '-fdo-lambda-eta-expansion' '-fspec-constr'
 '-fliberate-case' '-feager-blackholing' '-fcall-arity'
 '-fignore-interface-pragmas' '-fdicts-strict'
 '-fmax-inline-memcpy-insns=32' '-fcse' '-fspec-constr-count=3' '-fcse'
 '-fmax-worker-args=10' '-fstrictness-before=1' '-fsimpl-tick-factor=100'
 '-fstrictness-before=1' '-fcmm-elim-common-blocks'
 '-fstatic-argument-transformation' '-fspec-constr' '-feager-blackholing'
 '-floopification' '-funfolding-fun-discount=60' '-fenable-rewrite-rules'
 '-fstrictness' '-flate-dmd-anal' '-fstrictness' '-fcase-merge'
 '-fno-state-hack' '-fregs-iterative' '-foptimal-applicative-do'
 '-ffloat-in' '-fignore-interface-pragmas' '-fcmm-sink'
 '-fignore-interface-pragmas' '-fignore-interface-pragmas'
 '-fregs-iterative' '-fno-opt-coercion' '-fno-state-hack' '-ffloat-in'
 '-fcase-merge' '-fno-opt-coercion' '-funbox-small-strict-fields'
 '-feager-blackholing' '-flate-dmd-anal' '-fspec-constr-count=3'
 '-fcross-module-specialise' '-fcmm-sink' '-fcase-merge' '-fdicts-strict'
 '-fstrictness-before=1' '-foptimal-applicative-do'
 '-fexpose-all-unfoldings' '-fcall-arity' '-fspec-constr-count=3']",fast,,
7,048b15e3-8e27-486a-afb9-7a5e27f38b8f,"['-O0' '-fignore-asserts' '-fpedantic-bottoms' '-fregs-graph'
 '-fstatic-argument-transformation' '-ffloat-in' '-feager-blackholing'
 '-fstrictness' '-fenable-rewrite-rules' '-fsimplifier-phases=2'
 '-fno-pre-inlining' '-fno-pre-inlining'
 '-funfolding-creation-threshold=750' '-funfolding-fun-discount=60'
 '-floopification' '-fomit-interface-pragmas' '-fliberate-case'
 '-ffun-to-thunk' '-floopification' '-fcmm-elim-common-blocks'
 '-fdo-lambda-eta-expansion' '-funbox-strict-fields' '-fspecialise'
 '-funfolding-creation-threshold=750' '-fliberate-case-threshold=2000'
 '-fomit-interface-pragmas' '-fregs-graph' '-fstrictness' '-fcse'
 '-fliberate-case-threshold=2000' '-funbox-small-strict-fields'
 '-fno-opt-coercion' '-funfolding-keeness-factor=1.5'
 '-fspec-constr-count=3' '-fpedantic-bottoms' '-fspec-constr'
 '-fignore-asserts' '-fcse' '-fsimpl-tick-factor=100'
 '-fcross-module-specialise' '-fregs-iterative' '-fexpose-all-unfoldings'
 '-fspecialise' '-fmax-worker-args=10' '-fexpose-all-unfoldings'
 '-funfolding-use-threshold=60' '-fregs-iterative'
 '-fstatic-argument-transformation' '-fliberate-case'
 '-foptimal-applicative-do' '-fdo-eta-reduction' '-fliberate-case' '-fcse'
 '-fspec-constr-count=3' '-fdo-lambda-eta-expansion' '-fvectorise'
 '-fdicts-cheap']",fast,,
8,0d930d35-51c1-4f1d-a2f1-9388ef63d695,"['-O0' '-foptimal-applicative-do' '-fmax-worker-args=10' '-fregs-graph'
 '-fcross-module-specialise' '-fcase-merge' '-fomit-yields'
 '-fworker-wrapper' '-fdicts-strict' '-fcase-merge' '-fregs-graph'
 '-fregs-graph' '-funfolding-keeness-factor=1.5' '-fregs-graph'
 '-foptimal-applicative-do' '-fregs-graph' '-fomit-interface-pragmas'
 '-fcmm-sink' '-ffun-to-thunk' '-ffun-to-thunk'
 '-funfolding-creation-threshold=750' '-fdmd-tx-dict-sel'
 '-funbox-strict-fields' '-fdmd-tx-dict-sel' '-feager-blackholing'
 '-fdo-eta-reduction' '-fcmm-sink' '-ffun-to-thunk' '-fregs-iterative'
 '-funbox-strict-fields' '-funfolding-use-threshold=60'
 '-funfolding-use-threshold=60' '-fignore-asserts'
 '-fmax-inline-memset-insns=32' '-fworker-wrapper' '-fliberate-case'
 '-fspec-constr-count=3' '-fmax-simplifier-iterations=4'
 '-fworker-wrapper' '-feager-blackholing' '-fregs-iterative'
 '-fspecialise' '-fno-pre-inlining' '-fenable-rewrite-rules'
 '-fno-state-hack' '-fstatic-argument-transformation'
 '-fstatic-argument-transformation' '-funbox-strict-fields'
 '-fcross-module-specialise' '-fdmd-tx-dict-sel' '-fliberate-case'
 '-fno-state-hack' '-funfolding-creation-threshold=750'
 '-fpedantic-bottoms' '-fliberate-case' '-funfolding-fun-discount=60'
 '-fcall-arity']",fast,,
9,1f3d09d9-e97e-445a-913a-0635e62d0158,"['-O0' '-ffull-laziness' '-funfolding-dict-discount=30'
 '-fexpose-all-unfoldings' '-fcross-module-specialise'
 '-fpedantic-bottoms' '-fmax-relevant-binds=6' '-fsimpl-tick-factor=100'
 '-fcmm-elim-common-blocks' '-funfolding-fun-discount=60' '-ffloat-in'
 '-fpedantic-bottoms' '-funbox-small-strict-fields' '-fcmm-sink'
 '-funfolding-dict-discount=30' '-fspec-constr' '-fspec-constr'
 '-funfolding-dict-discount=30' '-foptimal-applicative-do' '-fcmm-sink'
 '-fregs-iterative' '-fspec-constr-threshold=2000'
 '-foptimal-applicative-do' '-fpedantic-bottoms' '-fomit-yields'
 '-flate-dmd-anal' '-funfolding-dict-discount=30' '-fno-state-hack'
 '-foptimal-applicative-do' '-funfolding-dict-discount=30'
 '-feager-blackholing' '-fignore-asserts' '-fspec-constr-count=3'
 '-fno-pre-inlining' '-fcpr-anal' '-fspecialise'
 '-fcross-module-specialise' '-fregs-graph' '-fenable-rewrite-rules'
 '-fno-pre-inlining' '-fcpr-anal' '-fpedantic-bottoms'
 '-fmax-relevant-binds=6' '-fomit-yields' '-ffun-to-thunk'
 '-fcross-module-specialise' '-fdicts-cheap' '-fmax-inline-alloc-size=128'
 '-fmax-relevant-binds=6' '-fmax-relevant-binds=6' '-funbox-strict-fields'
 '-feager-blackholing' '-fvectorisation-avoidance'
 '-funfolding-creation-threshold=750' '-ffun-to-thunk' '-fcmm-sink'
 '-funbox-strict-fields']",fast,,
