,ID,Flags,Mode,Runtime,Elapsed_Time
0,-O0,['-O0'],fast,,
1,-O2,['-O2'],fast,,
2,12afa7e0-9a0f-4a37-b08e-636addd4cf8d,"['-O0' '-fstrictness-before=1' '-fno-opt-coercion' '-fspec-constr-count=3'
 '-fcse' '-fsimpl-tick-factor=100' '-fdo-lambda-eta-expansion'
 '-fomit-interface-pragmas' '-fpedantic-bottoms' '-ffloat-in'
 '-funbox-strict-fields' '-fno-opt-coercion' '-fcmm-sink'
 '-flate-dmd-anal' '-fstrictness-before=1' '-fomit-yields'
 '-fpedantic-bottoms' '-fomit-interface-pragmas'
 '-funfolding-creation-threshold=750' '-fcmm-sink' '-floopification'
 '-fmax-inline-memset-insns=32' '-fspec-constr' '-fno-pre-inlining'
 '-fregs-iterative' '-funfolding-keeness-factor=1.5'
 '-fdo-lambda-eta-expansion' '-fenable-rewrite-rules' '-fno-opt-coercion'
 '-fsimplifier-phases=2' '-fdo-eta-reduction']",fast,,
3,5cc34c0c-acd2-4ac4-9eff-dff2f094d364,"['-O0' '-fspec-constr-count=3' '-fstrictness' '-fpedantic-bottoms'
 '-fregs-iterative' '-funbox-small-strict-fields' '-fno-state-hack'
 '-fmax-worker-args=10' '-fregs-iterative' '-feager-blackholing'
 '-fliberate-case-threshold=2000' '-fenable-rewrite-rules'
 '-fspec-constr-threshold=2000' '-fspec-constr' '-fomit-yields'
 '-fdo-eta-reduction' '-fcall-arity' '-funfolding-use-threshold=60'
 '-fspec-constr-count=3' '-fmax-simplifier-iterations=4' '-fliberate-case'
 '-funfolding-fun-discount=60' '-fignore-asserts' '-fspec-constr'
 '-fexpose-all-unfoldings' '-fsimplifier-phases=2' '-fspecialise'
 '-fdo-lambda-eta-expansion' '-fsimplifier-phases=2'
 '-funfolding-fun-discount=60' '-fspec-constr']",fast,,
4,7805a503-7f10-4633-a96c-1842cf34c22e,"['-O0' '-fmax-relevant-binds=6' '-fmax-worker-args=10'
 '-fexpose-all-unfoldings' '-fcall-arity' '-fdicts-cheap'
 '-fmax-inline-memcpy-insns=32' '-funfolding-dict-discount=30'
 '-fworker-wrapper' '-fignore-asserts' '-fdicts-cheap'
 '-fmax-inline-memcpy-insns=32' '-floopification'
 '-funfolding-fun-discount=60' '-funfolding-use-threshold=60'
 '-foptimal-applicative-do' '-fexpose-all-unfoldings'
 '-fspec-constr-count=3' '-fmax-worker-args=10' '-fregs-graph'
 '-fcmm-elim-common-blocks' '-fliberate-case-threshold=2000'
 '-fstrictness-before=1' '-fregs-iterative' '-fno-state-hack'
 '-fomit-yields' '-fworker-wrapper' '-fregs-graph' '-ffun-to-thunk'
 '-fmax-relevant-binds=6' '-fcase-merge']",fast,,
5,9e418fad-5271-4913-8358-dd4efb26ebcc,"['-O0' '-funbox-strict-fields' '-fcse' '-ffull-laziness'
 '-fcmm-elim-common-blocks' '-fomit-interface-pragmas' '-fvectorise'
 '-fpedantic-bottoms' '-fvectorise' '-ffull-laziness' '-flate-dmd-anal'
 '-fmax-relevant-binds=6' '-floopification'
 '-funfolding-creation-threshold=750' '-fno-opt-coercion'
 '-funfolding-use-threshold=60' '-fcmm-elim-common-blocks'
 '-fsimplifier-phases=2' '-funbox-strict-fields'
 '-fdo-lambda-eta-expansion' '-fregs-graph' '-floopification'
 '-fspecialise' '-fworker-wrapper' '-fpedantic-bottoms'
 '-fvectorisation-avoidance' '-fstrictness' '-fcse'
 '-fsimpl-tick-factor=100' '-fdo-lambda-eta-expansion' '-fcmm-sink']",fast,,
6,a5b89f8b-68f1-4d61-9843-7f30f80fce71,"['-O0' '-fmax-worker-args=10' '-ffull-laziness'
 '-fmax-inline-memcpy-insns=32' '-ffull-laziness'
 '-funfolding-fun-discount=60' '-fomit-interface-pragmas'
 '-fvectorisation-avoidance' '-ffun-to-thunk' '-ffloat-in'
 '-funfolding-use-threshold=60' '-fomit-interface-pragmas'
 '-fliberate-case' '-fenable-rewrite-rules' '-fno-pre-inlining'
 '-fmax-relevant-binds=6' '-fworker-wrapper' '-feager-blackholing'
 '-fcmm-sink' '-ffull-laziness' '-fregs-graph'
 '-fstatic-argument-transformation' '-fspec-constr-count=3'
 '-fmax-inline-memcpy-insns=32' '-fcse' '-flate-dmd-anal'
 '-fmax-simplifier-iterations=4' '-fno-opt-coercion' '-fspecialise'
 '-fcall-arity' '-fmax-simplifier-iterations=4']",fast,,
7,4aa652cd-6fb1-4728-bc79-844039d8ab6c,"['-O0' '-fliberate-case-threshold=2000' '-fomit-interface-pragmas'
 '-fdmd-tx-dict-sel' '-fno-pre-inlining' '-fpedantic-bottoms'
 '-fmax-relevant-binds=6' '-fdo-eta-reduction' '-fexpose-all-unfoldings'
 '-foptimal-applicative-do' '-fsimpl-tick-factor=100'
 '-fstrictness-before=1' '-fsimplifier-phases=2'
 '-funfolding-keeness-factor=1.5' '-fcmm-elim-common-blocks'
 '-fdicts-strict' '-funfolding-use-threshold=60' '-fno-pre-inlining'
 '-fcmm-elim-common-blocks' '-funfolding-fun-discount=60' '-fcase-merge'
 '-ffull-laziness' '-foptimal-applicative-do' '-fno-pre-inlining'
 '-fvectorisation-avoidance' '-fmax-inline-memcpy-insns=32'
 '-foptimal-applicative-do' '-fno-opt-coercion' '-fexcess-precision'
 '-fcmm-sink' '-fmax-inline-alloc-size=128']",fast,,
8,2ef0c6f3-aa49-4e7d-bb02-6f9201664fa1,"['-O0' '-fworker-wrapper' '-fvectorise' '-fspec-constr-threshold=2000'
 '-fdicts-cheap' '-funfolding-fun-discount=60' '-fcase-merge'
 '-fdo-lambda-eta-expansion' '-funfolding-keeness-factor=1.5'
 '-fdmd-tx-dict-sel' '-fregs-iterative' '-fspec-constr-count=3'
 '-fstrictness-before=1' '-fexcess-precision' '-fstrictness'
 '-fdo-eta-reduction' '-floopification' '-fsimpl-tick-factor=100'
 '-fomit-yields' '-foptimal-applicative-do' '-fignore-asserts'
 '-foptimal-applicative-do' '-fno-opt-coercion' '-fstrictness-before=1'
 '-feager-blackholing' '-fno-pre-inlining' '-fno-pre-inlining'
 '-fsimpl-tick-factor=100' '-fenable-rewrite-rules'
 '-fmax-inline-memcpy-insns=32' '-fomit-interface-pragmas']",fast,,
9,bd1386b2-aca9-4757-ae60-a5021bc27ce1,"['-O0' '-fdicts-cheap' '-fworker-wrapper' '-fstrictness-before=1'
 '-fsimplifier-phases=2' '-fdmd-tx-dict-sel' '-fmax-inline-alloc-size=128'
 '-fpedantic-bottoms' '-funfolding-keeness-factor=1.5' '-fworker-wrapper'
 '-fsimpl-tick-factor=100' '-fstrictness-before=1' '-fcmm-sink'
 '-fcmm-sink' '-fmax-inline-memcpy-insns=32' '-fno-pre-inlining'
 '-feager-blackholing' '-fmax-inline-memset-insns=32'
 '-fspec-constr-threshold=2000' '-fcall-arity' '-feager-blackholing'
 '-fsimplifier-phases=2' '-fexcess-precision'
 '-funfolding-fun-discount=60' '-fomit-yields' '-fdicts-strict'
 '-funfolding-dict-discount=30' '-fcross-module-specialise'
 '-ffull-laziness' '-funfolding-dict-discount=30' '-fsimplifier-phases=2']",fast,,
10,c58670a0-7792-404c-a7cc-19bcb41d26d7,"['-O0' '-funbox-small-strict-fields' '-funbox-small-strict-fields'
 '-fstrictness' '-funbox-strict-fields' '-fcross-module-specialise'
 '-fcmm-sink' '-fmax-relevant-binds=6' '-fcpr-anal' '-fmax-worker-args=10'
 '-fstatic-argument-transformation' '-fexpose-all-unfoldings'
 '-fomit-yields' '-fcpr-anal' '-feager-blackholing'
 '-funfolding-dict-discount=30' '-fcpr-anal' '-fregs-iterative'
 '-fmax-relevant-binds=6' '-fvectorise' '-ffull-laziness'
 '-flate-dmd-anal' '-fdo-lambda-eta-expansion'
 '-fmax-simplifier-iterations=4' '-funfolding-use-threshold=60' '-fcse'
 '-fmax-inline-memset-insns=32' '-fsimpl-tick-factor=100'
 '-fexcess-precision' '-fmax-inline-memcpy-insns=32'
 '-funfolding-use-threshold=60']",fast,,
