,ID,Mode,Flags,Fitness
6,245be947-797b-4cce-90c0-75672515f082,fast,"['-O0', '-fcase-merge', '-fcmm-elim-common-blocks', '-fdicts-cheap', '-fdicts-strict', '-fdmd-tx-dict-sel', '-fdo-eta-reduction', '-fdo-lambda-eta-expansion', '-fenable-rewrite-rules', '-fexcess-precision', '-ffloat-in', '-fignore-asserts', '-fignore-interface-pragmas', '-flate-dmd-anal', '-fliberate-case-threshold=2000', '-floopification', '-fmax-inline-memset-insns=32', '-fmax-relevant-binds=6', '-fmax-simplifier-iterations=4', '-fmax-worker-args=10', '-fno-opt-coercion', '-fno-pre-inlining', '-fomit-yields', '-foptimal-applicative-do', '-fpedantic-bottoms', '-fregs-graph', '-fspecialise', '-funbox-strict-fields', '-funfolding-dict-discount=30', '-funfolding-keeness-factor=1.5', '-funfolding-use-threshold=60', '-fvectorisation-avoidance']",3.618
12,5dceb889-6ae2-492e-90fd-0485e5f58d77,fast,"['-O0', '-fcall-arity', '-fcase-merge', '-fcmm-sink', '-fcpr-anal', '-fcse', '-fdicts-cheap', '-fdmd-tx-dict-sel', '-feager-blackholing', '-fenable-rewrite-rules', '-fexcess-precision', '-fexpose-all-unfoldings', '-flate-dmd-anal', '-fliberate-case', '-fliberate-case-threshold=2000', '-floopification', '-fmax-inline-memcpy-insns=32', '-fmax-relevant-binds=6', '-fmax-simplifier-iterations=4', '-fmax-worker-args=10', '-fno-opt-coercion', '-fno-state-hack', '-fomit-interface-pragmas', '-fomit-yields', '-foptimal-applicative-do', '-fregs-iterative', '-fsimplifier-phases=2', '-fsimpl-tick-factor=100', '-fspecialise', '-fcross-module-specialise', '-fstrictness', '-fstrictness-before=1', '-funfolding-use-threshold=60', '-fvectorise', '-fworker-wrapper']",3.635
16,8169220b-c172-4d9a-83e4-ae99b2adf5ab,fast,"['-O0', '-fcmm-elim-common-blocks', '-fcpr-anal', '-fcse', '-fdicts-strict', '-fdo-eta-reduction', '-feager-blackholing', '-fenable-rewrite-rules', '-ffloat-in', '-ffull-laziness', '-fmax-inline-memcpy-insns=32', '-fno-opt-coercion', '-fno-pre-inlining', '-fomit-interface-pragmas', '-fpedantic-bottoms', '-fregs-graph', '-fregs-iterative', '-fsimplifier-phases=2', '-fsimpl-tick-factor=100', '-fspecialise', '-fcross-module-specialise', '-fstrictness', '-fstrictness-before=1', '-funfolding-creation-threshold=750', '-funfolding-dict-discount=30', '-funfolding-keeness-factor=1.5', '-fvectorisation-avoidance']",3.634
19,89dee115-a19d-4b79-b2ad-c913ac6431e9,fast,"['-O0', '-fcmm-elim-common-blocks', '-fdicts-cheap', '-fdicts-strict', '-fdmd-tx-dict-sel', '-fdo-eta-reduction', '-feager-blackholing', '-fexcess-precision', '-ffloat-in', '-fignore-interface-pragmas', '-fliberate-case', '-fmax-inline-alloc-size=128', '-fno-opt-coercion', '-fno-state-hack', '-fomit-yields', '-fregs-graph', '-fsimplifier-phases=2', '-fcross-module-specialise', '-fstatic-argument-transformation', '-fstrictness', '-fstrictness-before=1', '-funfolding-creation-threshold=750', '-funfolding-dict-discount=30', '-funfolding-fun-discount=60']",3.612
20,8b1edb0a-7620-484f-8ebc-9a88c391d6b4,fast,"['-O0', '-fcall-arity', '-fcase-merge', '-fcmm-sink', '-fcpr-anal', '-fdicts-cheap', '-fdicts-strict', '-feager-blackholing', '-fexpose-all-unfoldings', '-ffloat-in', '-ffull-laziness', '-ffun-to-thunk', '-fignore-asserts', '-fliberate-case', '-fliberate-case-threshold=2000', '-fmax-inline-alloc-size=128', '-fmax-inline-memcpy-insns=32', '-fmax-relevant-binds=6', '-fmax-worker-args=10', '-fno-state-hack', '-fomit-interface-pragmas', '-fomit-yields', '-fregs-graph', '-fsimplifier-phases=2', '-fsimpl-tick-factor=100', '-fspec-constr-count=3', '-fspec-constr-threshold=2000', '-funfolding-creation-threshold=750', '-funfolding-dict-discount=30', '-fvectorise', '-fworker-wrapper']",3.641
23,97fcebea-8bf1-4fbc-84b2-b160af7d9e66,fast,"['-O0', '-fcall-arity', '-fcmm-sink', '-fcpr-anal', '-fcse', '-fdicts-strict', '-fdmd-tx-dict-sel', '-fdo-lambda-eta-expansion', '-feager-blackholing', '-fenable-rewrite-rules', '-fexcess-precision', '-fexpose-all-unfoldings', '-ffloat-in', '-ffull-laziness', '-ffun-to-thunk', '-fignore-asserts', '-fignore-interface-pragmas', '-flate-dmd-anal', '-fliberate-case', '-fliberate-case-threshold=2000', '-fmax-inline-memset-insns=32', '-fmax-relevant-binds=6', '-fmax-worker-args=10', '-fno-state-hack', '-fpedantic-bottoms', '-fregs-iterative', '-fspec-constr-count=3', '-fspec-constr-threshold=2000', '-fcross-module-specialise', '-fstrictness', '-fworker-wrapper']",3.659
25,9cb5d099-e490-453d-8ee9-366d4d9ce3a1,fast,"['-O0', '-fcall-arity', '-fcase-merge', '-fcpr-anal', '-fdicts-cheap', '-fdicts-strict', '-fdmd-tx-dict-sel', '-ffloat-in', '-ffull-laziness', '-fliberate-case-threshold=2000', '-fmax-inline-alloc-size=128', '-fmax-inline-memset-insns=32', '-fmax-relevant-binds=6', '-fmax-simplifier-iterations=4', '-fmax-worker-args=10', '-fno-opt-coercion', '-fno-pre-inlining', '-fomit-yields', '-fsimpl-tick-factor=100', '-fspec-constr', '-fspec-constr-count=3', '-fspecialise', '-fstatic-argument-transformation', '-fstrictness', '-funbox-small-strict-fields', '-funfolding-creation-threshold=750', '-funfolding-fun-discount=60', '-funfolding-use-threshold=60', '-fvectorisation-avoidance']",3.616
30,d3779e78-8121-4acf-98a9-ac81c873300a,fast,"['-O0', '-fcall-arity', '-fcmm-sink', '-fcpr-anal', '-fdicts-strict', '-fdmd-tx-dict-sel', '-fdo-lambda-eta-expansion', '-feager-blackholing', '-fexcess-precision', '-fexpose-all-unfoldings', '-ffull-laziness', '-fignore-asserts', '-fignore-interface-pragmas', '-fliberate-case-threshold=2000', '-fmax-inline-alloc-size=128', '-fmax-inline-memcpy-insns=32', '-fmax-inline-memset-insns=32', '-fmax-simplifier-iterations=4', '-fmax-worker-args=10', '-fno-pre-inlining', '-foptimal-applicative-do', '-fregs-graph', '-fregs-iterative', '-fspec-constr-count=3', '-fcross-module-specialise', '-fstrictness', '-funbox-small-strict-fields', '-funbox-strict-fields', '-funfolding-creation-threshold=750', '-funfolding-dict-discount=30', '-funfolding-use-threshold=60', '-fworker-wrapper']",3.648
32,e00e0c30-834e-4279-84a2-fe31c4eeab91,fast,"['-O0', '-fcall-arity', '-fcmm-elim-common-blocks', '-fcmm-sink', '-fcpr-anal', '-fdicts-cheap', '-fdicts-strict', '-fdo-lambda-eta-expansion', '-feager-blackholing', '-fenable-rewrite-rules', '-fexcess-precision', '-fexpose-all-unfoldings', '-ffloat-in', '-fignore-interface-pragmas', '-fliberate-case', '-floopification', '-fmax-inline-alloc-size=128', '-fmax-inline-memcpy-insns=32', '-fmax-worker-args=10', '-fno-opt-coercion', '-fno-pre-inlining', '-fomit-interface-pragmas', '-fomit-yields', '-foptimal-applicative-do', '-fregs-graph', '-fsimpl-tick-factor=100', '-fspec-constr', '-fspec-constr-threshold=2000', '-fspecialise', '-fcross-module-specialise', '-fstrictness', '-fstrictness-before=1', '-funbox-small-strict-fields', '-funfolding-fun-discount=60', '-fvectorisation-avoidance', '-fvectorise', '-fworker-wrapper']",3.617
40,-O0,fast,-O0,3.616
