,ID,Flags,Mode,Runtime,Elapsed_Time
0,00189cf8-5513-4385-8f56-b6bb2720c2d5,"['-O0' '-ffun-to-thunk' '-fenable-rewrite-rules'
 '-fmax-inline-memcpy-insns=32' '-ffull-laziness' '-fcase-merge'
 '-funfolding-use-threshold=60' '-fmax-relevant-binds=6'
 '-fworker-wrapper' '-foptimal-applicative-do' '-fstrictness'
 '-fno-opt-coercion' '-fexcess-precision' '-fspec-constr'
 '-funfolding-fun-discount=60' '-feager-blackholing'
 '-fsimplifier-phases=2' '-fcmm-elim-common-blocks'
 '-funfolding-dict-discount=30' '-funfolding-dict-discount=30'
 '-ffull-laziness' '-fspec-constr-count=3' '-fspec-constr-threshold=2000'
 '-fcpr-anal' '-fno-pre-inlining' '-foptimal-applicative-do'
 '-feager-blackholing' '-ffloat-in' '-fexcess-precision'
 '-fno-opt-coercion' '-fno-state-hack' '-fcmm-sink' '-floopification'
 '-funfolding-keeness-factor=1.5' '-fregs-graph' '-fexcess-precision'
 '-fworker-wrapper' '-fdo-lambda-eta-expansion' '-fmax-relevant-binds=6'
 '-fomit-interface-pragmas' '-fexcess-precision' '-fcall-arity'
 '-fcase-merge']",fast,3.61,
1,0022de88-43d5-4346-92a6-4e1e5f5cc0dc,"['-O0' '-fspecialise' '-fstrictness' '-fspecialise' '-ffun-to-thunk'
 '-fdo-eta-reduction' '-fexpose-all-unfoldings' '-flate-dmd-anal'
 '-fno-state-hack' '-fspec-constr-count=3' '-fregs-graph' '-fdicts-cheap'
 '-fenable-rewrite-rules' '-fdicts-strict' '-fstrictness' '-fcall-arity'
 '-fcmm-elim-common-blocks' '-funfolding-keeness-factor=1.5'
 '-fworker-wrapper' '-fpedantic-bottoms' '-feager-blackholing'
 '-funfolding-dict-discount=30' '-fregs-graph' '-feager-blackholing'
 '-fliberate-case-threshold=2000' '-foptimal-applicative-do'
 '-fignore-asserts' '-ffun-to-thunk' '-fmax-inline-memcpy-insns=32'
 '-fworker-wrapper' '-fcmm-elim-common-blocks'
 '-fignore-interface-pragmas' '-fignore-interface-pragmas'
 '-fexpose-all-unfoldings' '-fignore-interface-pragmas'
 '-fspec-constr-threshold=2000' '-funbox-strict-fields'
 '-fstrictness-before=1' '-flate-dmd-anal' '-floopification'
 '-foptimal-applicative-do' '-flate-dmd-anal' '-fdo-eta-reduction']",fast,3.636,
2,0040674e-e19d-4307-a672-896c183dcc49,"['-O0' '-ffloat-in' '-ffull-laziness' '-fdicts-cheap'
 '-fmax-simplifier-iterations=4' '-fdo-lambda-eta-expansion'
 '-fstrictness' '-fdicts-cheap' '-funfolding-creation-threshold=750'
 '-fomit-interface-pragmas' '-fcpr-anal' '-fignore-asserts'
 '-fworker-wrapper' '-foptimal-applicative-do' '-fignore-asserts'
 '-fmax-inline-alloc-size=128' '-fdicts-strict' '-ffloat-in'
 '-fno-pre-inlining' '-foptimal-applicative-do' '-feager-blackholing'
 '-fdmd-tx-dict-sel' '-fenable-rewrite-rules' '-fspec-constr'
 '-fno-pre-inlining' '-fcall-arity' '-fmax-simplifier-iterations=4'
 '-fspec-constr-threshold=2000' '-funfolding-use-threshold=60'
 '-fdicts-cheap' '-fpedantic-bottoms' '-fvectorisation-avoidance'
 '-funfolding-dict-discount=30' '-funfolding-fun-discount=60'
 '-fregs-graph' '-foptimal-applicative-do' '-ffull-laziness'
 '-fspec-constr' '-fdo-lambda-eta-expansion' '-fenable-rewrite-rules'
 '-fdo-eta-reduction' '-fdo-eta-reduction' '-ffun-to-thunk']",fast,3.616,
3,0046d2ca-cc5a-4c0e-857c-b2994596a56e,"['-O0' '-fignore-asserts' '-fspec-constr-threshold=2000'
 '-fsimplifier-phases=2' '-fexcess-precision' '-fdicts-strict'
 '-funfolding-use-threshold=60' '-fvectorisation-avoidance'
 '-funfolding-creation-threshold=750' '-fno-pre-inlining'
 '-fstrictness-before=1' '-funfolding-use-threshold=60'
 '-funfolding-dict-discount=30' '-ffloat-in' '-fignore-asserts'
 '-fspec-constr' '-funfolding-use-threshold=60'
 '-funfolding-keeness-factor=1.5' '-fsimpl-tick-factor=100'
 '-fignore-asserts' '-funfolding-keeness-factor=1.5'
 '-fmax-inline-alloc-size=128' '-flate-dmd-anal' '-fmax-relevant-binds=6'
 '-fignore-interface-pragmas' '-fignore-interface-pragmas' '-ffloat-in'
 '-fspecialise' '-fmax-simplifier-iterations=4' '-fdmd-tx-dict-sel'
 '-fdicts-cheap' '-fcall-arity' '-fdicts-strict' '-fignore-asserts'
 '-fregs-graph' '-fcse' '-fworker-wrapper' '-fmax-simplifier-iterations=4'
 '-fstatic-argument-transformation' '-fliberate-case'
 '-fignore-interface-pragmas' '-fspec-constr-threshold=2000'
 '-flate-dmd-anal']",fast,3.617,
4,006a412d-5da8-46f8-a21d-5bdda7c8031c,"['-O0' '-fmax-relevant-binds=6' '-fliberate-case'
 '-fstatic-argument-transformation' '-ffloat-in' '-fspec-constr'
 '-fcase-merge' '-fregs-iterative' '-fno-state-hack' '-fcase-merge'
 '-fexpose-all-unfoldings' '-fpedantic-bottoms' '-fcmm-sink'
 '-funbox-strict-fields' '-fmax-inline-alloc-size=128'
 '-fdo-lambda-eta-expansion' '-foptimal-applicative-do'
 '-funfolding-keeness-factor=1.5' '-fmax-inline-alloc-size=128'
 '-fignore-asserts' '-fmax-worker-args=10' '-fcpr-anal'
 '-fspec-constr-count=3' '-fdicts-strict' '-fno-pre-inlining'
 '-fspec-constr-threshold=2000' '-fexpose-all-unfoldings' '-fregs-graph'
 '-funbox-strict-fields' '-fignore-interface-pragmas' '-fcall-arity'
 '-fdo-eta-reduction' '-fworker-wrapper' '-fmax-relevant-binds=6'
 '-funfolding-keeness-factor=1.5' '-fstrictness-before=1' '-ffun-to-thunk'
 '-fcse' '-flate-dmd-anal' '-fworker-wrapper' '-fdicts-cheap'
 '-fvectorisation-avoidance' '-fdicts-cheap']",fast,3.617,
5,00854444-cc9b-42d5-b251-ae60c4a46ae2,"['-O0' '-fvectorisation-avoidance' '-fregs-graph' '-floopification'
 '-fspec-constr-threshold=2000' '-funfolding-fun-discount=60' '-ffloat-in'
 '-floopification' '-fcall-arity' '-floopification' '-fregs-graph'
 '-fdmd-tx-dict-sel' '-fdicts-cheap' '-fno-pre-inlining'
 '-fsimpl-tick-factor=100' '-funfolding-dict-discount=30'
 '-fexpose-all-unfoldings' '-fdmd-tx-dict-sel'
 '-fspec-constr-threshold=2000' '-funbox-strict-fields'
 '-funfolding-keeness-factor=1.5' '-fspecialise' '-fno-state-hack'
 '-fsimplifier-phases=2' '-fno-state-hack' '-fspec-constr-count=3'
 '-fcase-merge' '-fsimpl-tick-factor=100' '-fstrictness' '-fcmm-sink'
 '-fdicts-cheap' '-fspec-constr' '-fpedantic-bottoms'
 '-fcross-module-specialise' '-fspec-constr-threshold=2000'
 '-fsimplifier-phases=2' '-fsimpl-tick-factor=100' '-fregs-iterative'
 '-fdmd-tx-dict-sel' '-fomit-interface-pragmas'
 '-fdo-lambda-eta-expansion' '-fregs-graph'
 '-fstatic-argument-transformation']",fast,3.59,
6,00b15e0c-a5d6-4db8-9491-faefc093e273,"['-O0' '-fdicts-cheap' '-fregs-graph' '-ffull-laziness' '-fvectorise'
 '-fsimpl-tick-factor=100' '-fsimpl-tick-factor=100'
 '-fmax-inline-memset-insns=32' '-funbox-strict-fields' '-fcase-merge'
 '-fcmm-elim-common-blocks' '-fmax-inline-memcpy-insns=32' '-fspecialise'
 '-fpedantic-bottoms' '-fmax-worker-args=10' '-fcross-module-specialise'
 '-fcmm-elim-common-blocks' '-fmax-inline-alloc-size=128'
 '-funfolding-use-threshold=60' '-floopification' '-ffloat-in'
 '-fmax-worker-args=10' '-fworker-wrapper' '-fomit-interface-pragmas'
 '-fmax-relevant-binds=6' '-fignore-interface-pragmas'
 '-fexcess-precision' '-fmax-worker-args=10' '-foptimal-applicative-do'
 '-fignore-asserts' '-fmax-inline-memcpy-insns=32' '-fregs-graph'
 '-fstrictness-before=1' '-fsimplifier-phases=2' '-fno-state-hack'
 '-fexpose-all-unfoldings' '-fcmm-sink' '-floopification'
 '-fdmd-tx-dict-sel' '-fmax-relevant-binds=6' '-fworker-wrapper'
 '-fspec-constr' '-fmax-worker-args=10']",fast,3.646,
7,00b89f81-652a-4d7e-9369-69258a41370f,"['-O0' '-fenable-rewrite-rules' '-fpedantic-bottoms'
 '-fignore-interface-pragmas' '-funbox-strict-fields' '-fno-opt-coercion'
 '-fcmm-elim-common-blocks' '-funfolding-fun-discount=60'
 '-funbox-strict-fields' '-fcross-module-specialise'
 '-fcross-module-specialise' '-fno-opt-coercion' '-fdicts-cheap'
 '-fpedantic-bottoms' '-fstrictness' '-fcall-arity'
 '-fspec-constr-count=3' '-funfolding-creation-threshold=750'
 '-ffull-laziness' '-fstrictness-before=1' '-fcmm-sink' '-fignore-asserts'
 '-fspec-constr' '-fmax-inline-memset-insns=32'
 '-fstatic-argument-transformation' '-fno-opt-coercion'
 '-fignore-interface-pragmas' '-fmax-inline-alloc-size=128'
 '-flate-dmd-anal' '-fcmm-elim-common-blocks' '-fsimpl-tick-factor=100'
 '-fvectorise' '-funfolding-keeness-factor=1.5'
 '-fmax-inline-memset-insns=32' '-fregs-graph' '-fomit-interface-pragmas'
 '-fno-opt-coercion' '-fno-opt-coercion' '-floopification'
 '-fno-pre-inlining' '-fomit-yields' '-funfolding-dict-discount=30'
 '-floopification']",fast,3.648,
8,00d2ef52-4681-4a78-98a0-e87d38f2a700,"['-O0' '-fworker-wrapper' '-flate-dmd-anal' '-funfolding-fun-discount=60'
 '-funfolding-creation-threshold=750' '-fcross-module-specialise'
 '-fno-pre-inlining' '-fregs-graph' '-fdicts-cheap'
 '-funfolding-fun-discount=60' '-fomit-interface-pragmas'
 '-fmax-simplifier-iterations=4' '-fspec-constr'
 '-fspec-constr-threshold=2000' '-fdicts-cheap'
 '-fcross-module-specialise' '-fomit-yields' '-fignore-asserts'
 '-fignore-asserts' '-fcse' '-fexpose-all-unfoldings'
 '-foptimal-applicative-do' '-fliberate-case-threshold=2000'
 '-fomit-yields' '-fno-state-hack' '-fmax-inline-memset-insns=32'
 '-fomit-yields' '-funfolding-fun-discount=60' '-fcmm-sink'
 '-fdmd-tx-dict-sel' '-fvectorise' '-fliberate-case' '-fregs-iterative'
 '-fmax-inline-memcpy-insns=32' '-fdmd-tx-dict-sel' '-fliberate-case'
 '-ffloat-in' '-fdmd-tx-dict-sel' '-fexpose-all-unfoldings'
 '-fmax-worker-args=10' '-fspec-constr-threshold=2000' '-fdicts-cheap'
 '-fsimplifier-phases=2']",fast,3.625,
9,013373e5-a60b-4e90-8a60-2e8fa4bf92b1,"['-O0' '-fcmm-sink' '-fdo-eta-reduction' '-fcpr-anal' '-fspecialise'
 '-fignore-asserts' '-fexpose-all-unfoldings' '-foptimal-applicative-do'
 '-ffun-to-thunk' '-fmax-inline-memcpy-insns=32' '-fexcess-precision'
 '-fdo-eta-reduction' '-fcall-arity' '-fstrictness'
 '-funfolding-keeness-factor=1.5' '-fenable-rewrite-rules'
 '-fsimplifier-phases=2' '-funfolding-dict-discount=30'
 '-fignore-interface-pragmas' '-ffun-to-thunk' '-fsimplifier-phases=2'
 '-fpedantic-bottoms' '-fsimplifier-phases=2'
 '-funbox-small-strict-fields' '-fdicts-cheap' '-fmax-worker-args=10'
 '-fmax-simplifier-iterations=4' '-funfolding-keeness-factor=1.5'
 '-floopification' '-fmax-inline-alloc-size=128'
 '-funfolding-creation-threshold=750' '-fmax-inline-memcpy-insns=32'
 '-fliberate-case-threshold=2000' '-fcpr-anal' '-fliberate-case'
 '-fliberate-case' '-flate-dmd-anal' '-fcase-merge'
 '-funfolding-use-threshold=60' '-fignore-interface-pragmas'
 '-funbox-small-strict-fields' '-fcross-module-specialise'
 '-fno-state-hack']",fast,3.6,
10,0147d086-b5eb-4e59-a652-ba38a4bc3a36,"['-O0' '-fworker-wrapper' '-fdmd-tx-dict-sel' '-fmax-worker-args=10'
 '-fcross-module-specialise' '-ffun-to-thunk' '-fdicts-strict'
 '-fmax-inline-alloc-size=128' '-fvectorisation-avoidance'
 '-fmax-inline-memcpy-insns=32' '-fexcess-precision'
 '-foptimal-applicative-do' '-fspec-constr-count=3'
 '-funfolding-dict-discount=30' '-fignore-asserts' '-ffull-laziness'
 '-fmax-inline-memcpy-insns=32' '-fspec-constr' '-fvectorise'
 '-fomit-yields' '-funfolding-fun-discount=60' '-fstrictness-before=1'
 '-fmax-inline-memset-insns=32' '-fvectorisation-avoidance'
 '-foptimal-applicative-do' '-fmax-inline-memset-insns=32'
 '-foptimal-applicative-do' '-fliberate-case'
 '-funfolding-creation-threshold=750' '-funfolding-creation-threshold=750'
 '-funfolding-keeness-factor=1.5' '-fcase-merge'
 '-fcmm-elim-common-blocks' '-fspec-constr-threshold=2000'
 '-fpedantic-bottoms' '-fvectorisation-avoidance' '-fworker-wrapper'
 '-floopification' '-fignore-asserts' '-fcase-merge' '-fpedantic-bottoms'
 '-fenable-rewrite-rules' '-fdicts-strict']",fast,3.626,
11,015af878-473c-4a1e-a18f-48f55be47cec,"['-O0' '-fno-pre-inlining' '-fstrictness' '-fspecialise' '-fdicts-strict'
 '-fmax-relevant-binds=6' '-fpedantic-bottoms' '-fdicts-cheap'
 '-fliberate-case' '-funfolding-use-threshold=60'
 '-fstatic-argument-transformation' '-fvectorise' '-ffun-to-thunk'
 '-fcase-merge' '-fspec-constr-threshold=2000' '-ffloat-in'
 '-fworker-wrapper' '-fcmm-elim-common-blocks'
 '-funbox-small-strict-fields' '-funfolding-dict-discount=30'
 '-fdmd-tx-dict-sel' '-fstrictness-before=1' '-ffun-to-thunk'
 '-fdo-lambda-eta-expansion' '-funbox-small-strict-fields'
 '-fcross-module-specialise' '-fmax-relevant-binds=6' '-fomit-yields'
 '-funfolding-creation-threshold=750' '-fdicts-cheap'
 '-funfolding-use-threshold=60' '-fcmm-elim-common-blocks'
 '-fno-pre-inlining' '-fliberate-case' '-fspecialise'
 '-funfolding-keeness-factor=1.5' '-funbox-strict-fields'
 '-fcmm-elim-common-blocks' '-funfolding-dict-discount=30'
 '-fcmm-elim-common-blocks' '-fmax-relevant-binds=6' '-fomit-yields'
 '-funbox-small-strict-fields']",fast,3.604,
12,016653f8-56a3-4316-b386-d2e9aeec7ad6,"['-O0' '-funbox-strict-fields' '-foptimal-applicative-do'
 '-fmax-simplifier-iterations=4' '-fexcess-precision' '-fvectorise'
 '-fliberate-case' '-fvectorise' '-floopification' '-fcall-arity'
 '-fdo-lambda-eta-expansion' '-funfolding-creation-threshold=750'
 '-fliberate-case' '-fmax-simplifier-iterations=4'
 '-funfolding-keeness-factor=1.5' '-fomit-yields'
 '-fcross-module-specialise' '-fsimplifier-phases=2'
 '-fmax-inline-alloc-size=128' '-fliberate-case-threshold=2000'
 '-fsimplifier-phases=2' '-fdo-eta-reduction' '-ffull-laziness'
 '-fno-state-hack' '-fmax-inline-memset-insns=32' '-fdicts-cheap'
 '-fpedantic-bottoms' '-fspec-constr' '-funbox-strict-fields'
 '-funfolding-fun-discount=60' '-fspec-constr-count=3'
 '-fomit-interface-pragmas' '-fcmm-elim-common-blocks' '-fliberate-case'
 '-fcase-merge' '-fcmm-sink' '-fsimplifier-phases=2'
 '-funbox-small-strict-fields' '-feager-blackholing'
 '-fcmm-elim-common-blocks' '-fmax-inline-memcpy-insns=32'
 '-fmax-simplifier-iterations=4' '-funfolding-dict-discount=30']",fast,3.609,
13,0168f3e0-f505-4146-b0fb-b04e10d2985b,"['-O0' '-ffun-to-thunk' '-fexpose-all-unfoldings' '-feager-blackholing'
 '-fworker-wrapper' '-feager-blackholing' '-fworker-wrapper'
 '-fspec-constr-count=3' '-fliberate-case' '-foptimal-applicative-do'
 '-fdmd-tx-dict-sel' '-ffloat-in' '-fno-state-hack'
 '-fspec-constr-threshold=2000' '-fomit-yields' '-fmax-relevant-binds=6'
 '-fregs-iterative' '-fignore-interface-pragmas' '-fcmm-sink'
 '-fenable-rewrite-rules' '-fno-pre-inlining'
 '-funfolding-fun-discount=60' '-fspec-constr-threshold=2000'
 '-funfolding-dict-discount=30' '-fsimpl-tick-factor=100'
 '-fpedantic-bottoms' '-fspecialise' '-fstrictness'
 '-fomit-interface-pragmas' '-fstrictness-before=1'
 '-fmax-inline-alloc-size=128' '-fpedantic-bottoms'
 '-fcmm-elim-common-blocks' '-fstrictness' '-fdo-eta-reduction'
 '-fmax-simplifier-iterations=4' '-fregs-graph' '-fdicts-cheap'
 '-fsimpl-tick-factor=100' '-fexcess-precision'
 '-fmax-inline-memset-insns=32' '-flate-dmd-anal'
 '-fmax-inline-memcpy-insns=32']",fast,3.602,
