,ID,Flags,Mode,Runtime,Elapsed_Time
0,-O0,['-O0'],fast,0.437,0.437
1,-O2,['-O2'],fast,0.436,0.436
2,944300b9-92f2-46e3-bd0c-437cdfa7b939,"['-O0' '-fsimpl-tick-factor=100' '-feager-blackholing'
 '-fomit-interface-pragmas' '-fregs-graph' '-fspecialise'
 '-funfolding-fun-discount=60' '-funfolding-fun-discount=60'
 '-fliberate-case' '-fdo-lambda-eta-expansion' '-fcmm-elim-common-blocks'
 '-fspec-constr-threshold=2000' '-fliberate-case-threshold=2000'
 '-fno-pre-inlining' '-fignore-asserts' '-fsimplifier-phases=2'
 '-feager-blackholing' '-fsimplifier-phases=2'
 '-fignore-interface-pragmas' '-foptimal-applicative-do'
 '-fcross-module-specialise' '-ffull-laziness'
 '-fmax-inline-memset-insns=32' '-fsimpl-tick-factor=100'
 '-fmax-inline-memset-insns=32' '-fmax-worker-args=10'
 '-fstatic-argument-transformation' '-foptimal-applicative-do'
 '-fregs-iterative' '-funfolding-dict-discount=30'
 '-fmax-inline-memcpy-insns=32' '-ffloat-in' '-fvectorise'
 '-funbox-small-strict-fields' '-funfolding-fun-discount=60'
 '-fmax-inline-memcpy-insns=32' '-fspecialise' '-feager-blackholing'
 '-fstrictness' '-fmax-relevant-binds=6' '-fcpr-anal'
 '-funfolding-dict-discount=30' '-fmax-inline-alloc-size=128'
 '-fliberate-case-threshold=2000' '-floopification' '-fspecialise'
 '-fcall-arity' '-fsimplifier-phases=2' '-flate-dmd-anal'
 '-fno-opt-coercion' '-fdicts-strict' '-fmax-inline-memset-insns=32']",fast,0.435,0.435
3,e318e730-a8cf-4471-a001-506f25550e28,"['-O0' '-fmax-simplifier-iterations=4' '-fno-state-hack'
 '-fenable-rewrite-rules' '-fregs-graph' '-fignore-asserts'
 '-fstrictness-before=1' '-fno-pre-inlining'
 '-fmax-simplifier-iterations=4' '-funfolding-dict-discount=30'
 '-fvectorisation-avoidance' '-fmax-simplifier-iterations=4'
 '-fregs-graph' '-fcross-module-specialise' '-fdicts-cheap'
 '-floopification' '-fcmm-sink' '-fregs-iterative' '-fspecialise'
 '-feager-blackholing' '-fstrictness-before=1' '-fregs-iterative'
 '-fregs-graph' '-flate-dmd-anal' '-fsimpl-tick-factor=100'
 '-ffun-to-thunk' '-ffun-to-thunk' '-fcmm-sink' '-fenable-rewrite-rules'
 '-funbox-small-strict-fields' '-fexcess-precision'
 '-foptimal-applicative-do' '-fignore-interface-pragmas'
 '-fsimplifier-phases=2' '-floopification' '-fexpose-all-unfoldings'
 '-fmax-inline-memset-insns=32' '-fdicts-cheap' '-fspec-constr'
 '-funfolding-keeness-factor=1.5' '-fdo-eta-reduction' '-fvectorise'
 '-funbox-strict-fields' '-fvectorisation-avoidance' '-fstrictness'
 '-fenable-rewrite-rules' '-feager-blackholing' '-fenable-rewrite-rules'
 '-fregs-iterative' '-ffun-to-thunk' '-fmax-simplifier-iterations=4'
 '-fcmm-sink']",fast,0.439,0.439
4,11f9b4d5-d02f-4b95-966d-1e01df6f65b1,"['-O0' '-fno-opt-coercion' '-fdo-eta-reduction' '-floopification'
 '-fstatic-argument-transformation' '-fomit-yields' '-fcse'
 '-floopification' '-fspec-constr-threshold=2000'
 '-fmax-inline-memset-insns=32' '-fregs-iterative' '-floopification'
 '-fexcess-precision' '-fignore-asserts' '-fsimpl-tick-factor=100' '-fcse'
 '-fliberate-case' '-fdo-eta-reduction' '-ffun-to-thunk'
 '-fexpose-all-unfoldings' '-fsimpl-tick-factor=100' '-fno-opt-coercion'
 '-fmax-relevant-binds=6' '-fomit-interface-pragmas'
 '-fspec-constr-threshold=2000' '-fmax-worker-args=10'
 '-fliberate-case-threshold=2000' '-fspec-constr-threshold=2000'
 '-fregs-iterative' '-fspec-constr' '-funfolding-dict-discount=30'
 '-fignore-asserts' '-funfolding-creation-threshold=750'
 '-fstatic-argument-transformation' '-ffloat-in' '-feager-blackholing'
 '-foptimal-applicative-do' '-flate-dmd-anal'
 '-funfolding-keeness-factor=1.5' '-fspec-constr' '-fspec-constr'
 '-fcmm-elim-common-blocks' '-fcse' '-fno-state-hack' '-fspec-constr'
 '-fpedantic-bottoms' '-fspecialise' '-fcross-module-specialise'
 '-flate-dmd-anal' '-funbox-strict-fields' '-fliberate-case' '-fcse']",fast,0.439,0.439
5,632f0108-93ff-4bb5-a52d-e48046048806,"['-O0' '-fexcess-precision' '-fmax-inline-alloc-size=128' '-fstrictness'
 '-funbox-strict-fields' '-fvectorisation-avoidance' '-ffull-laziness'
 '-fdicts-strict' '-ffloat-in' '-fsimplifier-phases=2'
 '-foptimal-applicative-do' '-fno-state-hack' '-fvectorisation-avoidance'
 '-fcross-module-specialise' '-funfolding-fun-discount=60'
 '-fmax-inline-memcpy-insns=32' '-fregs-iterative' '-fspec-constr-count=3'
 '-fno-pre-inlining' '-ffun-to-thunk' '-fcse' '-fenable-rewrite-rules'
 '-fcase-merge' '-fspec-constr-count=3' '-fsimplifier-phases=2'
 '-floopification' '-fignore-asserts' '-fregs-iterative'
 '-fmax-simplifier-iterations=4' '-fstatic-argument-transformation'
 '-funfolding-fun-discount=60' '-fno-state-hack'
 '-funfolding-keeness-factor=1.5' '-fcross-module-specialise'
 '-ffun-to-thunk' '-fspecialise' '-funfolding-fun-discount=60'
 '-fspecialise' '-fvectorisation-avoidance' '-fno-opt-coercion'
 '-fcmm-sink' '-flate-dmd-anal' '-fmax-relevant-binds=6'
 '-fliberate-case-threshold=2000' '-ffun-to-thunk' '-ffun-to-thunk'
 '-fcase-merge' '-fsimpl-tick-factor=100' '-fdicts-strict'
 '-flate-dmd-anal' '-fno-opt-coercion' '-fregs-iterative']",fast,0.441,0.441
6,7bf7669a-9c03-48b9-bedb-e4be71f258f8,"['-O0' '-fregs-graph' '-fno-pre-inlining' '-fenable-rewrite-rules'
 '-fspec-constr-count=3' '-fno-opt-coercion' '-fcmm-sink'
 '-fno-opt-coercion' '-funfolding-creation-threshold=750'
 '-fstatic-argument-transformation' '-fstrictness'
 '-fvectorisation-avoidance' '-fcmm-elim-common-blocks' '-fvectorise'
 '-fmax-worker-args=10' '-fmax-worker-args=10' '-fspecialise'
 '-fdo-eta-reduction' '-fliberate-case-threshold=2000' '-fworker-wrapper'
 '-fdo-lambda-eta-expansion' '-ffloat-in' '-fliberate-case-threshold=2000'
 '-fno-state-hack' '-fdicts-cheap' '-ffull-laziness'
 '-funfolding-creation-threshold=750' '-fmax-inline-memcpy-insns=32'
 '-fmax-simplifier-iterations=4' '-funfolding-keeness-factor=1.5'
 '-fdmd-tx-dict-sel' '-fdo-lambda-eta-expansion'
 '-fmax-simplifier-iterations=4' '-fstrictness-before=1'
 '-fenable-rewrite-rules' '-fomit-interface-pragmas'
 '-fmax-inline-memset-insns=32' '-fregs-graph' '-ffun-to-thunk'
 '-floopification' '-floopification' '-fsimplifier-phases=2'
 '-fomit-interface-pragmas' '-funbox-small-strict-fields'
 '-fliberate-case' '-fmax-simplifier-iterations=4'
 '-fmax-simplifier-iterations=4' '-funbox-small-strict-fields'
 '-fmax-simplifier-iterations=4' '-funfolding-fun-discount=60'
 '-fstrictness' '-fomit-interface-pragmas']",fast,0.439,0.439
7,1dc574ab-9919-4269-a810-e3a6efb4c228,"['-O0' '-fsimpl-tick-factor=100' '-fmax-simplifier-iterations=4'
 '-fcase-merge' '-fmax-inline-memset-insns=32'
 '-funfolding-dict-discount=30' '-funfolding-use-threshold=60'
 '-fdicts-strict' '-fno-opt-coercion' '-fstrictness-before=1'
 '-fmax-inline-memcpy-insns=32' '-fcmm-elim-common-blocks'
 '-floopification' '-fcse' '-fstrictness' '-fcmm-elim-common-blocks'
 '-fmax-inline-alloc-size=128' '-fstrictness'
 '-funfolding-fun-discount=60' '-fexcess-precision' '-flate-dmd-anal'
 '-fomit-yields' '-fcmm-sink' '-fenable-rewrite-rules'
 '-fdo-eta-reduction' '-fmax-inline-alloc-size=128'
 '-fmax-simplifier-iterations=4' '-ffun-to-thunk' '-fcase-merge'
 '-fcall-arity' '-fomit-interface-pragmas' '-flate-dmd-anal'
 '-fignore-interface-pragmas' '-fworker-wrapper'
 '-funfolding-fun-discount=60' '-fliberate-case' '-fmax-worker-args=10'
 '-fenable-rewrite-rules' '-foptimal-applicative-do' '-fcmm-sink'
 '-ffloat-in' '-funfolding-creation-threshold=750' '-fno-opt-coercion'
 '-fexpose-all-unfoldings' '-funbox-small-strict-fields'
 '-fno-opt-coercion' '-fspec-constr-count=3' '-fdo-lambda-eta-expansion'
 '-fspec-constr-count=3' '-funfolding-keeness-factor=1.5'
 '-funfolding-keeness-factor=1.5' '-fsimpl-tick-factor=100']",fast,0.441,0.441
8,52f258da-462b-4f1e-9b59-09cc6e6d55c8,"['-O0' '-fdo-lambda-eta-expansion' '-flate-dmd-anal' '-fspec-constr'
 '-fdo-lambda-eta-expansion' '-funfolding-fun-discount=60' '-fomit-yields'
 '-fspecialise' '-feager-blackholing' '-ffull-laziness'
 '-funfolding-keeness-factor=1.5' '-fcall-arity' '-fspec-constr-count=3'
 '-ffun-to-thunk' '-fdo-lambda-eta-expansion' '-fomit-yields'
 '-fsimplifier-phases=2' '-fstrictness-before=1' '-fstrictness'
 '-funfolding-creation-threshold=750' '-fliberate-case-threshold=2000'
 '-fspec-constr-count=3' '-fdicts-cheap' '-fignore-interface-pragmas'
 '-fstrictness' '-floopification' '-fpedantic-bottoms'
 '-fdo-eta-reduction' '-fvectorise' '-fliberate-case-threshold=2000'
 '-funbox-small-strict-fields' '-fspecialise' '-fcmm-sink'
 '-fomit-interface-pragmas' '-fliberate-case-threshold=2000'
 '-fignore-interface-pragmas' '-fcse' '-ffull-laziness' '-fcall-arity'
 '-fcross-module-specialise' '-fdo-eta-reduction' '-floopification'
 '-foptimal-applicative-do' '-fregs-iterative' '-fno-pre-inlining'
 '-fcmm-elim-common-blocks' '-fdmd-tx-dict-sel' '-fsimplifier-phases=2'
 '-flate-dmd-anal' '-fexpose-all-unfoldings' '-fliberate-case'
 '-fregs-graph']",fast,0.438,0.438
9,7ca6cf2e-74df-41d3-a028-34cf7f369a24,"['-O0' '-fstrictness' '-fpedantic-bottoms' '-fmax-inline-alloc-size=128'
 '-fmax-inline-memcpy-insns=32' '-fmax-inline-alloc-size=128'
 '-fignore-asserts' '-fspec-constr' '-fvectorise' '-fspecialise'
 '-ffull-laziness' '-fmax-inline-memcpy-insns=32' '-fexcess-precision'
 '-flate-dmd-anal' '-fexcess-precision' '-funfolding-fun-discount=60'
 '-ffun-to-thunk' '-fmax-inline-alloc-size=128' '-fregs-graph'
 '-fcase-merge' '-fdo-eta-reduction' '-fcase-merge' '-fdmd-tx-dict-sel'
 '-fexpose-all-unfoldings' '-fstrictness' '-fno-opt-coercion'
 '-fno-opt-coercion' '-fignore-asserts' '-fstrictness'
 '-fmax-simplifier-iterations=4' '-fcmm-elim-common-blocks'
 '-fstrictness-before=1' '-funbox-small-strict-fields'
 '-fspec-constr-threshold=2000' '-fcross-module-specialise'
 '-fomit-interface-pragmas' '-funbox-small-strict-fields' '-fdicts-cheap'
 '-fdicts-cheap' '-fstatic-argument-transformation'
 '-fdo-lambda-eta-expansion' '-fcross-module-specialise'
 '-fstatic-argument-transformation' '-fsimplifier-phases=2'
 '-fomit-interface-pragmas' '-fstrictness-before=1'
 '-fignore-interface-pragmas' '-fenable-rewrite-rules' '-ffun-to-thunk'
 '-fenable-rewrite-rules' '-fliberate-case-threshold=2000'
 '-fworker-wrapper']",fast,0.441,0.441
