,ID,Mode,Flags,Runtime,Iteration,Best
0,-O0,fast,-O0,7.47,0,False
1,-O2,fast,-O2,7.47,0,False
2,6ac3224a-d326-4611-a93b-748c026d6e77,fast,"['-O0', '-fspec-constr', '-fdicts-cheap', '-fpedantic-bottoms', '-fsimplifier-phases=2', '-fmax-relevant-binds=6', '-fdmd-tx-dict-sel', '-fregs-graph', '-fliberate-case', '-fspec-constr-count=3', '-ffun-to-thunk', '-fno-pre-inlining', '-fcmm-elim-common-blocks', '-fstrictness-before=1', '-fvectorise', '-flate-dmd-anal', '-funbox-strict-fields', '-fcase-merge', '-funfolding-use-threshold=60', '-fspec-constr-threshold=2000', '-fcpr-anal', '-fexpose-all-unfoldings', '-fmax-inline-memset-insns=32', '-fno-opt-coercion', '-fenable-rewrite-rules', '-fregs-iterative', '-fcmm-sink', '-fmax-worker-args=10', '-fspecialise', '-fdicts-strict', '-fliberate-case-threshold=2000', '-fomit-interface-pragmas', '-fsimpl-tick-factor=100', '-fstatic-argument-transformation', '-fignore-asserts', '-foptimal-applicative-do', '-funfolding-fun-discount=60', '-fcross-module-specialise', '-feager-blackholing', '-funfolding-keeness-factor=1.5', '-fworker-wrapper']",7.432,0,False
3,eff2933f-cbb5-454b-a795-3abcbd0b0f73,fast,"['-O0', '-ffull-laziness', '-fdo-eta-reduction', '-fstrictness-before=1', '-fomit-yields', '-funbox-small-strict-fields', '-funfolding-keeness-factor=1.5', '-fmax-relevant-binds=6', '-fmax-inline-alloc-size=128', '-fexpose-all-unfoldings', '-fmax-simplifier-iterations=4', '-fregs-graph', '-fcmm-elim-common-blocks', '-fcall-arity', '-fmax-inline-memcpy-insns=32', '-fdicts-cheap', '-funfolding-creation-threshold=750', '-foptimal-applicative-do', '-fcase-merge', '-funfolding-use-threshold=60', '-feager-blackholing', '-fdo-lambda-eta-expansion']",7.451,0,False
4,6327ea89-1551-48a0-bbe2-c0e99d909b9c,fast,"['-O0', '-foptimal-applicative-do', '-fexcess-precision', '-fstatic-argument-transformation', '-fexpose-all-unfoldings', '-fenable-rewrite-rules', '-fdicts-strict', '-fcmm-sink', '-fregs-graph', '-funfolding-creation-threshold=750', '-fdmd-tx-dict-sel', '-ffloat-in', '-fregs-iterative', '-fdo-lambda-eta-expansion', '-funbox-small-strict-fields', '-fdo-eta-reduction', '-fignore-asserts', '-fvectorisation-avoidance', '-funbox-strict-fields', '-fmax-relevant-binds=6', '-fno-pre-inlining', '-fspec-constr-count=3', '-fmax-inline-alloc-size=128']",7.402,0,False
5,cb00dfb0-b258-4307-ad3f-cea6206c6069,fast,"['-O0', '-fcase-merge', '-fmax-inline-memset-insns=32', '-feager-blackholing', '-fliberate-case', '-fexpose-all-unfoldings', '-fcmm-elim-common-blocks', '-fcse', '-fstatic-argument-transformation', '-fdmd-tx-dict-sel', '-ffull-laziness', '-fdo-eta-reduction', '-fcpr-anal', '-flate-dmd-anal', '-fmax-relevant-binds=6', '-fstrictness-before=1', '-fsimpl-tick-factor=100', '-fdicts-strict', '-funfolding-fun-discount=60', '-floopification', '-fmax-inline-alloc-size=128', '-fworker-wrapper', '-ffun-to-thunk', '-ffloat-in', '-fstrictness', '-fregs-iterative', '-funfolding-dict-discount=30', '-fdo-lambda-eta-expansion', '-fcross-module-specialise', '-fliberate-case-threshold=2000', '-fomit-yields', '-funfolding-creation-threshold=750', '-funfolding-keeness-factor=1.5', '-fspec-constr', '-funbox-small-strict-fields', '-funbox-strict-fields', '-foptimal-applicative-do', '-fspecialise', '-fomit-interface-pragmas']",7.404,0,False
6,784fa542-58fa-4636-88d1-9230cbf926ad,fast,"['-O0', '-fliberate-case', '-funfolding-dict-discount=30', '-fexpose-all-unfoldings', '-fcross-module-specialise', '-fspec-constr', '-funbox-small-strict-fields', '-flate-dmd-anal', '-fcall-arity', '-fdicts-strict', '-funfolding-creation-threshold=750', '-fdo-eta-reduction', '-funfolding-use-threshold=60', '-funfolding-keeness-factor=1.5']",7.408,0,False
7,7d959e12-3cb4-4583-9aa3-30b6250b4c95,fast,"['-O0', '-fspec-constr', '-fregs-iterative', '-fno-pre-inlining', '-fcpr-anal', '-fcall-arity', '-fstrictness', '-fexcess-precision', '-fdo-lambda-eta-expansion', '-fmax-inline-memset-insns=32', '-fexpose-all-unfoldings', '-funbox-small-strict-fields', '-fmax-inline-alloc-size=128', '-fdmd-tx-dict-sel', '-fmax-relevant-binds=6', '-fdicts-strict', '-foptimal-applicative-do', '-fcmm-elim-common-blocks', '-funfolding-use-threshold=60']",7.42,0,False
8,544ca410-18d5-4a59-9fbf-806ef258698a,fast,"['-O0', '-O0', '-fomit-interface-pragmas', '-fenable-rewrite-rules', '-fpedantic-bottoms', '-fstatic-argument-transformation', '-fvectorisation-avoidance', '-ffloat-in', '-fmax-inline-alloc-size=128', '-fexpose-all-unfoldings', '-fdicts-strict', '-fdmd-tx-dict-sel', '-fspec-constr-count=3', '-foptimal-applicative-do', '-fregs-graph', '-fcmm-sink', '-fno-pre-inlining', '-fignore-asserts', '-ffull-laziness', '-fmax-relevant-binds=6', '-funbox-strict-fields', '-fomit-yields', '-fregs-iterative', '-fdo-eta-reduction', '-funfolding-creation-threshold=750', '-fexcess-precision', '-funbox-small-strict-fields', '-fdo-lambda-eta-expansion']",7.453,0,False
9,36b4e8bb-8f63-4b57-bd3d-24c5265a9e67,fast,"['-O0', '-O0', '-fenable-rewrite-rules', '-fstatic-argument-transformation', '-fvectorisation-avoidance', '-fcase-merge', '-ffloat-in', '-fmax-inline-alloc-size=128', '-fexpose-all-unfoldings', '-fdicts-strict', '-fdmd-tx-dict-sel', '-fspec-constr-count=3', '-foptimal-applicative-do', '-fregs-graph', '-fcmm-sink', '-fno-pre-inlining', '-funfolding-fun-discount=60', '-fignore-asserts', '-fmax-relevant-binds=6', '-funbox-strict-fields', '-fregs-iterative', '-fdo-eta-reduction', '-funfolding-creation-threshold=750', '-fexcess-precision', '-funbox-small-strict-fields', '-fdo-lambda-eta-expansion']",7.484,1,False
