,ID,Flags,Mode,Runtime,Elapsed_Time
0,-O0,['-O0'],fast,0.318,0.318
1,-O2,['-O2'],fast,0.317,0.317
2,98a2be3f-9463-4bcf-9051-83deb8ae8fa7,"['-O0' '-fmax-inline-alloc-size=128' '-fdo-eta-reduction' '-ffloat-in'
 '-fcse' '-fdo-eta-reduction' '-ffull-laziness' '-ffloat-in'
 '-fignore-asserts' '-fcmm-sink' '-ffloat-in' '-fstrictness'
 '-fstatic-argument-transformation' '-fmax-inline-memset-insns=32'
 '-funbox-small-strict-fields' '-flate-dmd-anal'
 '-fliberate-case-threshold=2000' '-fvectorisation-avoidance'
 '-fenable-rewrite-rules' '-fno-opt-coercion' '-fmax-worker-args=10'
 '-fcase-merge' '-fpedantic-bottoms' '-fspecialise'
 '-fomit-interface-pragmas' '-fignore-interface-pragmas'
 '-fmax-simplifier-iterations=4' '-funfolding-dict-discount=30'
 '-funfolding-dict-discount=30' '-fomit-interface-pragmas'
 '-fdo-eta-reduction' '-ffloat-in' '-ffull-laziness'
 '-fspec-constr-count=3' '-fmax-simplifier-iterations=4']",fast,0.319,0.319
3,bdfa98c8-fbae-44be-a858-f90520de6310,"['-O0' '-fregs-graph' '-fsimpl-tick-factor=100' '-fno-state-hack'
 '-fcross-module-specialise' '-ffun-to-thunk' '-fspec-constr'
 '-funfolding-creation-threshold=750' '-fcmm-sink' '-fno-pre-inlining'
 '-fvectorisation-avoidance' '-fcmm-sink' '-fspecialise'
 '-funfolding-creation-threshold=750' '-flate-dmd-anal' '-fcse'
 '-funfolding-creation-threshold=750' '-fliberate-case-threshold=2000'
 '-fstrictness-before=1' '-fvectorise' '-fspec-constr-count=3'
 '-fenable-rewrite-rules' '-funbox-strict-fields' '-fpedantic-bottoms'
 '-fmax-inline-alloc-size=128' '-flate-dmd-anal' '-fregs-graph'
 '-fspec-constr-threshold=2000' '-fcse' '-fno-state-hack'
 '-fmax-inline-memcpy-insns=32' '-fexpose-all-unfoldings'
 '-ffull-laziness' '-fstatic-argument-transformation'
 '-funbox-strict-fields']",fast,0.315,0.315
4,3b42e25a-d670-4ecb-8129-3f4e22b8eb9a,"['-O0' '-fliberate-case' '-fworker-wrapper' '-fliberate-case'
 '-fno-state-hack' '-fcse' '-fmax-inline-memcpy-insns=32'
 '-fignore-asserts' '-fsimpl-tick-factor=100' '-fdmd-tx-dict-sel'
 '-funbox-small-strict-fields' '-fstrictness' '-ffull-laziness'
 '-fsimpl-tick-factor=100' '-fdicts-cheap' '-fsimpl-tick-factor=100'
 '-fno-opt-coercion' '-fregs-graph' '-fmax-worker-args=10'
 '-fexpose-all-unfoldings' '-flate-dmd-anal' '-fcase-merge'
 '-fmax-relevant-binds=6' '-fstrictness-before=1' '-fexcess-precision'
 '-fcse' '-fmax-relevant-binds=6' '-fcse' '-fcse'
 '-fvectorisation-avoidance' '-fworker-wrapper' '-fignore-asserts'
 '-fcpr-anal' '-fstrictness' '-fmax-inline-memcpy-insns=32']",fast,0.315,0.315
5,18aaffef-db8e-4ff9-a585-1e7ef4e73ef3,"['-O0' '-fsimpl-tick-factor=100' '-fexcess-precision'
 '-fmax-inline-memcpy-insns=32' '-fliberate-case' '-fdmd-tx-dict-sel'
 '-fmax-simplifier-iterations=4' '-fignore-interface-pragmas'
 '-ffull-laziness' '-fstatic-argument-transformation'
 '-fignore-interface-pragmas' '-feager-blackholing'
 '-funbox-small-strict-fields' '-fpedantic-bottoms' '-ffloat-in'
 '-flate-dmd-anal' '-fvectorise' '-fdmd-tx-dict-sel'
 '-fspec-constr-threshold=2000' '-fdo-lambda-eta-expansion'
 '-fspec-constr-count=3' '-foptimal-applicative-do'
 '-fspec-constr-count=3' '-fignore-asserts' '-feager-blackholing'
 '-fomit-interface-pragmas' '-fregs-graph' '-ffull-laziness'
 '-feager-blackholing' '-fliberate-case-threshold=2000'
 '-fspec-constr-threshold=2000' '-funbox-small-strict-fields'
 '-funfolding-keeness-factor=1.5' '-funfolding-dict-discount=30'
 '-fstrictness']",fast,0.315,0.315
6,2d60f1ba-595e-4594-9d36-96da2a5632c3,"['-O0' '-fcase-merge' '-fsimplifier-phases=2' '-fstrictness-before=1'
 '-fcase-merge' '-fcall-arity' '-fdicts-strict' '-ffloat-in'
 '-fmax-relevant-binds=6' '-funfolding-dict-discount=30'
 '-fstrictness-before=1' '-funfolding-keeness-factor=1.5'
 '-fsimpl-tick-factor=100' '-fdmd-tx-dict-sel'
 '-fmax-inline-memset-insns=32' '-fexcess-precision' '-fvectorise'
 '-fcmm-sink' '-fdicts-strict' '-fregs-graph' '-fno-pre-inlining'
 '-fliberate-case-threshold=2000' '-fvectorisation-avoidance'
 '-fcmm-elim-common-blocks' '-fspec-constr-count=3'
 '-fmax-simplifier-iterations=4' '-funfolding-creation-threshold=750'
 '-funfolding-creation-threshold=750' '-fspec-constr' '-flate-dmd-anal'
 '-fcmm-sink' '-fexpose-all-unfoldings' '-funbox-small-strict-fields'
 '-fdicts-cheap' '-ffloat-in']",fast,0.315,0.315
7,d5291f2e-0e68-474f-b166-f3edb67eed33,"['-O0' '-fcmm-elim-common-blocks' '-floopification' '-fspec-constr'
 '-fdicts-cheap' '-fpedantic-bottoms' '-fdo-eta-reduction'
 '-fexcess-precision' '-funfolding-creation-threshold=750'
 '-fdmd-tx-dict-sel' '-fmax-relevant-binds=6' '-fcall-arity'
 '-fliberate-case' '-fcross-module-specialise' '-fenable-rewrite-rules'
 '-fstatic-argument-transformation' '-fspec-constr-threshold=2000'
 '-funbox-strict-fields' '-fregs-iterative' '-fspec-constr-threshold=2000'
 '-fexcess-precision' '-fregs-iterative' '-fcall-arity'
 '-fenable-rewrite-rules' '-funbox-strict-fields' '-ffun-to-thunk'
 '-ffun-to-thunk' '-fexpose-all-unfoldings' '-fmax-inline-memcpy-insns=32'
 '-fmax-inline-memset-insns=32' '-fno-pre-inlining' '-fdmd-tx-dict-sel'
 '-fdo-lambda-eta-expansion' '-fomit-yields' '-flate-dmd-anal']",fast,0.317,0.317
8,f9b65591-aab1-472b-94f1-4634a897df4d,"['-O0' '-funbox-small-strict-fields' '-fspec-constr' '-fno-pre-inlining'
 '-funfolding-creation-threshold=750' '-fdicts-strict'
 '-fsimpl-tick-factor=100' '-fworker-wrapper'
 '-funbox-small-strict-fields' '-ffun-to-thunk'
 '-funfolding-dict-discount=30' '-fmax-simplifier-iterations=4'
 '-fspec-constr' '-ffloat-in' '-fstrictness-before=1'
 '-fliberate-case-threshold=2000' '-fcross-module-specialise'
 '-fdicts-strict' '-ffloat-in' '-fspecialise' '-fomit-interface-pragmas'
 '-fspec-constr-threshold=2000' '-fomit-yields'
 '-fcross-module-specialise' '-fstrictness-before=1' '-fpedantic-bottoms'
 '-ffun-to-thunk' '-ffloat-in' '-fignore-asserts'
 '-funfolding-fun-discount=60' '-fspecialise' '-fcmm-elim-common-blocks'
 '-fpedantic-bottoms' '-fsimpl-tick-factor=100' '-fspecialise']",fast,0.318,0.318
9,568c5f28-feca-44bd-a4e1-065da7cf2a03,"['-O0' '-fdicts-strict' '-fmax-inline-alloc-size=128'
 '-fexpose-all-unfoldings' '-fstatic-argument-transformation'
 '-fdo-eta-reduction' '-fcmm-sink' '-fmax-worker-args=10'
 '-funbox-small-strict-fields' '-fenable-rewrite-rules'
 '-funfolding-fun-discount=60' '-fenable-rewrite-rules'
 '-fmax-worker-args=10' '-fdo-eta-reduction' '-fspec-constr-count=3'
 '-fmax-simplifier-iterations=4' '-fsimplifier-phases=2'
 '-fno-pre-inlining' '-foptimal-applicative-do'
 '-funfolding-keeness-factor=1.5' '-fexpose-all-unfoldings' '-fvectorise'
 '-fdo-lambda-eta-expansion' '-fmax-relevant-binds=6' '-fomit-yields'
 '-fregs-iterative' '-fignore-asserts' '-fcmm-elim-common-blocks'
 '-fdicts-cheap' '-fdo-eta-reduction' '-fmax-simplifier-iterations=4'
 '-fmax-relevant-binds=6' '-fliberate-case' '-fmax-inline-alloc-size=128'
 '-fmax-worker-args=10']",fast,0.314,0.314
