,ID,Mode,Flags,Runtime,Iteration,Best
0,-O0,fast,-O0,0.516,0,False
1,-O2,fast,-O2,0.516,0,False
2,f6529b5b-35f1-47c1-8cf7-cfadfb54c25d,fast,"['-O0', '-fdicts-cheap', '-fsimpl-tick-factor=100', '-fliberate-case-threshold=2000', '-fno-pre-inlining', '-fdo-eta-reduction', '-fdo-lambda-eta-expansion', '-fregs-iterative', '-fno-opt-coercion', '-fworker-wrapper', '-funfolding-dict-discount=30', '-fstrictness-before=1', '-fmax-inline-alloc-size=128', '-ffun-to-thunk', '-fregs-graph', '-fcse', '-fomit-yields', '-flate-dmd-anal', '-fomit-interface-pragmas', '-fcall-arity', '-funfolding-fun-discount=60', '-fignore-asserts', '-fliberate-case', '-fignore-interface-pragmas', '-ffull-laziness', '-foptimal-applicative-do', '-fvectorisation-avoidance', '-funfolding-creation-threshold=750', '-ffloat-in', '-fmax-inline-memset-insns=32', '-feager-blackholing', '-fcmm-elim-common-blocks', '-fspecialise', '-funfolding-use-threshold=60', '-fmax-worker-args=10', '-fexpose-all-unfoldings', '-fmax-relevant-binds=6', '-fcross-module-specialise', '-funfolding-keeness-factor=1.5', '-fspec-constr-count=3', '-fcpr-anal', '-fspec-constr', '-fdicts-strict', '-floopification', '-fsimplifier-phases=2', '-fexcess-precision', '-fvectorise', '-fstrictness', '-fspec-constr-threshold=2000', '-fcmm-sink', '-fdmd-tx-dict-sel', '-fstatic-argument-transformation', '-fmax-inline-memcpy-insns=32']",0.514,0,False
3,8c6d9275-ec82-4b99-9de6-8963bed96a10,fast,"['-O0', '-fcross-module-specialise', '-fvectorisation-avoidance', '-fpedantic-bottoms', '-fspecialise', '-foptimal-applicative-do', '-funbox-small-strict-fields', '-fsimpl-tick-factor=100', '-fstatic-argument-transformation', '-fstrictness', '-fspec-constr', '-fmax-relevant-binds=6', '-ffloat-in', '-fcall-arity', '-fcpr-anal', '-funfolding-fun-discount=60']",0.517,0,False
4,04120646-a748-4578-97c2-fb97a4172421,fast,"['-O0', '-fomit-yields', '-fstrictness-before=1', '-fignore-interface-pragmas', '-fmax-inline-memset-insns=32', '-fstrictness', '-funfolding-fun-discount=60', '-fdmd-tx-dict-sel', '-floopification', '-fvectorise', '-fexcess-precision', '-fcase-merge']",0.512,0,False
5,fd942cce-da4c-42d1-a314-3322251621a1,fast,"['-O0', '-fignore-asserts', '-funfolding-keeness-factor=1.5', '-fvectorisation-avoidance', '-fcross-module-specialise', '-fsimplifier-phases=2', '-ffloat-in', '-fcse', '-ffun-to-thunk', '-fno-state-hack', '-fomit-interface-pragmas', '-funfolding-dict-discount=30', '-fignore-interface-pragmas', '-funfolding-fun-discount=60', '-fomit-yields', '-fcase-merge', '-fmax-inline-memset-insns=32', '-fmax-inline-memcpy-insns=32', '-fliberate-case-threshold=2000', '-fregs-iterative', '-fdo-eta-reduction', '-fdicts-cheap', '-fspecialise', '-fworker-wrapper', '-fspec-constr-threshold=2000', '-funfolding-use-threshold=60', '-fcmm-elim-common-blocks', '-fregs-graph', '-fstatic-argument-transformation', '-fmax-worker-args=10', '-fno-opt-coercion', '-ffull-laziness', '-fno-pre-inlining', '-fsimpl-tick-factor=100', '-feager-blackholing', '-fexpose-all-unfoldings', '-fdicts-strict', '-fmax-inline-alloc-size=128', '-fspec-constr-count=3', '-fspec-constr', '-fdo-lambda-eta-expansion', '-fvectorise', '-fliberate-case', '-fstrictness-before=1', '-fmax-simplifier-iterations=4', '-fenable-rewrite-rules', '-funfolding-creation-threshold=750', '-fcall-arity', '-funbox-strict-fields', '-foptimal-applicative-do', '-flate-dmd-anal', '-fdmd-tx-dict-sel', '-fcmm-sink', '-fmax-relevant-binds=6', '-floopification', '-fcpr-anal']",0.518,0,False
6,47f1d83c-da3e-42be-a0fa-1f9ad37a5027,fast,"['-O0', '-fspecialise']",0.525,0,False
7,a38893ac-0925-460c-ad68-95994285022b,fast,"['-O0', '-fexpose-all-unfoldings', '-fno-opt-coercion', '-fworker-wrapper', '-fcall-arity']",0.517,0,False
8,42529a41-ed5d-4ea1-8806-55db56c50a03,fast,"['-O0', '-fspecialise', '-funfolding-keeness-factor=1.5', '-fcpr-anal', '-ffun-to-thunk', '-fspec-constr-count=3', '-fcall-arity', '-fdo-eta-reduction', '-fspec-constr', '-fsimplifier-phases=2', '-funbox-small-strict-fields', '-fstrictness', '-fdicts-strict', '-fignore-asserts', '-fexpose-all-unfoldings', '-fworker-wrapper', '-fmax-inline-alloc-size=128', '-fignore-interface-pragmas', '-fomit-yields', '-fspec-constr-threshold=2000', '-fregs-iterative', '-fvectorisation-avoidance', '-fcmm-sink', '-fliberate-case-threshold=2000', '-fsimpl-tick-factor=100', '-O0', '-ffull-laziness', '-ffloat-in', '-floopification', '-fdo-lambda-eta-expansion', '-foptimal-applicative-do', '-fno-opt-coercion', '-funfolding-use-threshold=60', '-fmax-worker-args=10', '-feager-blackholing', '-fcmm-elim-common-blocks', '-fmax-inline-memcpy-insns=32', '-funfolding-dict-discount=30', '-fvectorise', '-fstatic-argument-transformation', '-flate-dmd-anal', '-funfolding-creation-threshold=750', '-fmax-relevant-binds=6', '-fcross-module-specialise', '-fcse', '-fno-pre-inlining', '-fdicts-cheap', '-fomit-interface-pragmas', '-fregs-graph', '-fexcess-precision', '-fstrictness-before=1', '-fmax-inline-memset-insns=32', '-fliberate-case', '-fdmd-tx-dict-sel', '-funfolding-fun-discount=60']",0.512,0,False
9,1b63c61d-5f9a-49f3-9371-643687b73f15,fast,"['-O0', '-O0', '-fcase-merge', '-floopification', '-funbox-small-strict-fields', '-fworker-wrapper', '-fignore-interface-pragmas', '-fenable-rewrite-rules', '-fomit-yields', '-fvectorise', '-fdmd-tx-dict-sel', '-fexcess-precision', '-fstrictness-before=1', '-fmax-inline-memset-insns=32', '-funfolding-dict-discount=30', '-fstrictness', '-funfolding-fun-discount=60']",0.514,1,False
10,1f36ab88-b466-4d5b-b374-9fc4ba2a4185,fast,"['-O0', '-flate-dmd-anal', '-O0', '-fcase-merge', '-floopification', '-ffun-to-thunk', '-fignore-interface-pragmas', '-fomit-yields', '-fomit-interface-pragmas', '-fvectorise', '-fdmd-tx-dict-sel', '-fexcess-precision', '-fstrictness-before=1', '-fmax-inline-memset-insns=32', '-fmax-worker-args=10', '-fstrictness', '-funfolding-fun-discount=60']",0.517,2,False
11,8ed9e6ee-51e5-4199-99b8-d90773baa8c6,fast,"['-O0', '-O0', '-fcase-merge', '-floopification', '-funfolding-creation-threshold=750', '-fworker-wrapper', '-fignore-interface-pragmas', '-fomit-yields', '-fvectorise', '-fdmd-tx-dict-sel', '-fexcess-precision', '-fstrictness-before=1', '-fmax-inline-memset-insns=32', '-fspec-constr-threshold=2000', '-fstrictness', '-funfolding-fun-discount=60']",0.518,3,False
12,ed677142-d5da-4a52-9c56-62bb5e8855fa,fast,"['-O0', '-O0', '-fcase-merge', '-floopification', '-fexpose-all-unfoldings', '-fcmm-sink', '-fignore-interface-pragmas', '-fomit-yields', '-fvectorise', '-fdmd-tx-dict-sel', '-fexcess-precision', '-fstrictness-before=1', '-fmax-inline-memset-insns=32', '-fstrictness', '-funfolding-fun-discount=60']",0.513,4,False
