,ID,Mode,Flags,Runtime,Iteration,Best
0,-O0,fast,-O0,3.509,0,False
1,-O2,fast,-O2,3.509,0,False
2,5b6db6be-e336-4fa2-9eac-10bffc46658b,fast,"['-O0', '-fstrictness-before=1', '-flate-dmd-anal', '-ffloat-in', '-fworker-wrapper', '-foptimal-applicative-do', '-funbox-small-strict-fields', '-fomit-yields', '-fcse', '-fliberate-case-threshold=2000', '-fspec-constr-count=3', '-fdicts-cheap', '-fdmd-tx-dict-sel', '-fexpose-all-unfoldings', '-fmax-inline-memcpy-insns=32', '-fomit-interface-pragmas', '-funfolding-keeness-factor=1.5', '-fdicts-strict', '-fvectorise', '-fexcess-precision', '-fno-opt-coercion', '-fsimpl-tick-factor=100', '-fstrictness', '-feager-blackholing', '-fmax-worker-args=10', '-fspecialise', '-fliberate-case', '-fno-pre-inlining', '-fregs-iterative', '-fspec-constr-threshold=2000', '-funfolding-creation-threshold=750']",3.506,0,False
3,770aee42-59c1-4a7e-a460-1d884fd3e127,fast,"['-O0', '-funbox-small-strict-fields', '-fignore-asserts', '-fdicts-cheap', '-fmax-inline-alloc-size=128', '-foptimal-applicative-do', '-fomit-yields', '-fdo-eta-reduction', '-fstatic-argument-transformation', '-fsimplifier-phases=2', '-fcase-merge', '-fignore-interface-pragmas', '-fcmm-elim-common-blocks', '-fcmm-sink', '-fspec-constr-threshold=2000', '-fvectorise', '-ffloat-in', '-fno-pre-inlining']",3.499,0,False
4,0e025c41-31b8-4418-a7dc-38d6d39ef504,fast,"['-O0', '-funfolding-fun-discount=60', '-ffun-to-thunk', '-fspecialise', '-fcase-merge', '-fvectorise', '-fmax-inline-alloc-size=128', '-fspec-constr-threshold=2000', '-fstrictness', '-fdicts-cheap', '-feager-blackholing', '-fliberate-case', '-fcross-module-specialise', '-fmax-worker-args=10', '-floopification', '-fdmd-tx-dict-sel', '-foptimal-applicative-do', '-fpedantic-bottoms', '-fmax-inline-memset-insns=32', '-fno-state-hack', '-fomit-interface-pragmas', '-fomit-yields']",3.503,0,False
5,1e276609-a54b-422d-8855-b30887f3af90,fast,"['-O0', '-fliberate-case', '-funbox-small-strict-fields', '-fno-pre-inlining', '-fmax-simplifier-iterations=4', '-fspec-constr', '-fcpr-anal', '-fcall-arity', '-fstatic-argument-transformation', '-ffun-to-thunk', '-fcse', '-fdicts-strict', '-fregs-iterative', '-fliberate-case-threshold=2000', '-fpedantic-bottoms', '-fsimpl-tick-factor=100', '-fsimplifier-phases=2', '-fmax-worker-args=10', '-fdicts-cheap', '-fexcess-precision', '-fmax-inline-memset-insns=32']",3.501,0,False
6,25e700bc-d84d-422e-8e90-8c29499af321,fast,"['-O0', '-fno-state-hack', '-funfolding-dict-discount=30', '-ffloat-in', '-fliberate-case', '-fworker-wrapper']",3.502,0,False
7,aeb4f33b-0f30-4cf6-be55-064f1729d5b1,fast,"['-O0', '-fliberate-case-threshold=2000', '-fspec-constr-threshold=2000', '-fno-opt-coercion', '-fregs-graph', '-ffun-to-thunk', '-fmax-simplifier-iterations=4', '-funfolding-fun-discount=60', '-fcmm-sink', '-funfolding-use-threshold=60', '-fcpr-anal', '-funfolding-dict-discount=30', '-fignore-interface-pragmas', '-fspecialise', '-fdicts-strict', '-fpedantic-bottoms', '-funfolding-keeness-factor=1.5', '-foptimal-applicative-do', '-fspec-constr-count=3', '-fexpose-all-unfoldings', '-fvectorisation-avoidance', '-fmax-inline-memcpy-insns=32', '-fmax-worker-args=10', '-fcmm-elim-common-blocks', '-fdmd-tx-dict-sel', '-fno-pre-inlining', '-funbox-small-strict-fields', '-ffloat-in', '-fcse', '-fmax-inline-memset-insns=32', '-fcase-merge', '-fmax-relevant-binds=6', '-fregs-iterative', '-fdicts-cheap', '-fdo-eta-reduction', '-fstrictness-before=1', '-fcross-module-specialise', '-fsimplifier-phases=2', '-fcall-arity', '-fstatic-argument-transformation', '-fspec-constr', '-flate-dmd-anal', '-ffull-laziness', '-fworker-wrapper', '-feager-blackholing', '-fomit-interface-pragmas', '-fdo-lambda-eta-expansion', '-floopification', '-fsimpl-tick-factor=100', '-fignore-asserts', '-funbox-strict-fields', '-fmax-inline-alloc-size=128', '-fstrictness', '-fvectorise', '-fexcess-precision']",3.497,0,False
8,4d0e1862-9391-4bf6-85e6-b6b5a4fc0b4c,fast,"['-O0', '-fcmm-elim-common-blocks', '-fignore-interface-pragmas', '-fmax-simplifier-iterations=4', '-fstatic-argument-transformation', '-O0', '-fdicts-cheap', '-fmax-inline-alloc-size=128', '-fvectorise', '-fsimplifier-phases=2', '-fspec-constr', '-fdo-eta-reduction', '-fomit-yields', '-fcase-merge', '-fworker-wrapper', '-fspec-constr-threshold=2000', '-funbox-strict-fields', '-foptimal-applicative-do', '-fexcess-precision', '-fcmm-sink', '-ffloat-in', '-fno-pre-inlining', '-fignore-asserts', '-funbox-small-strict-fields']",3.504,0,False
9,a75b3d40-a23d-4542-81a0-a8b1822e3f83,fast,"['-O0', '-fcmm-elim-common-blocks', '-fignore-interface-pragmas', '-funfolding-dict-discount=30', '-floopification', '-fstatic-argument-transformation', '-O0', '-fdicts-cheap', '-fcse', '-fspecialise', '-fmax-inline-alloc-size=128', '-fvectorise', '-fsimplifier-phases=2', '-fdo-eta-reduction', '-fomit-yields', '-fcase-merge', '-fspec-constr-threshold=2000', '-foptimal-applicative-do', '-fcmm-sink', '-ffloat-in', '-fno-pre-inlining', '-feager-blackholing', '-fignore-asserts', '-funbox-small-strict-fields']",3.496,1,False
10,db8e8c91-ff3c-4462-b986-5a93ba89ed06,fast,"['-O0', '-fcmm-elim-common-blocks', '-fignore-interface-pragmas', '-fmax-simplifier-iterations=4', '-funfolding-keeness-factor=1.5', '-fomit-interface-pragmas', '-funfolding-dict-discount=30', '-fdo-lambda-eta-expansion', '-floopification', '-fignore-asserts', '-fstatic-argument-transformation', '-fsimpl-tick-factor=100', '-ffun-to-thunk', '-fmax-worker-args=10', '-fpedantic-bottoms', '-O0', '-fregs-graph', '-fenable-rewrite-rules', '-fdicts-strict', '-fcse', '-fdicts-cheap', '-ffull-laziness', '-fcross-module-specialise', '-flate-dmd-anal', '-fspecialise', '-fmax-inline-alloc-size=128', '-fvectorise', '-fcpr-anal', '-fdmd-tx-dict-sel', '-fsimplifier-phases=2', '-fspec-constr', '-fdo-eta-reduction', '-fcase-merge', '-fstrictness', '-fmax-inline-memcpy-insns=32', '-fworker-wrapper', '-fno-opt-coercion', '-fspec-constr-threshold=2000', '-funbox-strict-fields', '-foptimal-applicative-do', '-fspec-constr-count=3', '-fexcess-precision', '-fcmm-sink', '-funfolding-fun-discount=60', '-funfolding-use-threshold=60', '-ffloat-in', '-fmax-inline-memset-insns=32', '-fexpose-all-unfoldings', '-fno-pre-inlining', '-fstrictness-before=1', '-fcall-arity', '-feager-blackholing', '-fliberate-case-threshold=2000', '-funbox-small-strict-fields', '-fregs-iterative', '-fmax-relevant-binds=6', '-fvectorisation-avoidance']",3.502,2,False
11,3a4b2ad9-62d9-4e7b-8d72-b28cae2fd958,fast,"['-O0', '-fcmm-elim-common-blocks', '-fignore-interface-pragmas', '-funfolding-dict-discount=30', '-floopification', '-fstatic-argument-transformation', '-fmax-worker-args=10', '-O0', '-fdicts-cheap', '-fcse', '-fspecialise', '-fmax-inline-alloc-size=128', '-fvectorise', '-fsimplifier-phases=2', '-fspec-constr', '-fdo-eta-reduction', '-fomit-yields', '-fcase-merge', '-fno-opt-coercion', '-fspec-constr-threshold=2000', '-foptimal-applicative-do', '-fcmm-sink', '-ffloat-in', '-fstrictness-before=1', '-fno-pre-inlining', '-feager-blackholing', '-fignore-asserts', '-funbox-small-strict-fields']",3.501,3,False
12,0ab85271-3e37-422e-b249-49461fc58fde,fast,"['-O0', '-fcmm-elim-common-blocks', '-fignore-interface-pragmas', '-fomit-interface-pragmas', '-funfolding-dict-discount=30', '-floopification', '-fstatic-argument-transformation', '-fmax-worker-args=10', '-O0', '-fdicts-cheap', '-fcse', '-fspecialise', '-fmax-inline-alloc-size=128', '-fvectorise', '-fsimplifier-phases=2', '-fdo-eta-reduction', '-fomit-yields', '-fcase-merge', '-fmax-inline-memcpy-insns=32', '-fspec-constr-threshold=2000', '-foptimal-applicative-do', '-fcmm-sink', '-funfolding-fun-discount=60', '-ffloat-in', '-fno-pre-inlining', '-feager-blackholing', '-fignore-asserts', '-funbox-small-strict-fields']",3.511,4,False
13,ba3b6d76-3958-41dd-9f9d-3477450685c3,fast,"['-O0', '-fcmm-elim-common-blocks', '-fignore-interface-pragmas', '-funfolding-dict-discount=30', '-floopification', '-fstatic-argument-transformation', '-O0', '-fdicts-cheap', '-fcse', '-fspecialise', '-fmax-inline-alloc-size=128', '-fvectorise', '-fliberate-case', '-fsimplifier-phases=2', '-fdo-eta-reduction', '-fomit-yields', '-fcase-merge', '-fspec-constr-threshold=2000', '-foptimal-applicative-do', '-fcmm-sink', '-ffloat-in', '-fexpose-all-unfoldings', '-fno-pre-inlining', '-feager-blackholing', '-fignore-asserts', '-funbox-small-strict-fields', '-fmax-relevant-binds=6']",3.501,5,False
14,8aa43e73-33e1-4984-b6a9-2c8745456c93,fast,"['-O0', '-fcmm-elim-common-blocks', '-fignore-interface-pragmas', '-fmax-simplifier-iterations=4', '-funfolding-dict-discount=30', '-floopification', '-fstatic-argument-transformation', '-O0', '-fdicts-cheap', '-fcse', '-fdicts-strict', '-fspecialise', '-fmax-inline-alloc-size=128', '-fvectorise', '-fsimplifier-phases=2', '-fdo-eta-reduction', '-fomit-yields', '-fcase-merge', '-fspec-constr-threshold=2000', '-foptimal-applicative-do', '-fcmm-sink', '-ffloat-in', '-funfolding-use-threshold=60', '-fexpose-all-unfoldings', '-fno-pre-inlining', '-feager-blackholing', '-fignore-asserts', '-funbox-small-strict-fields']",3.509,6,False
15,70570e02-a9b8-41c1-ab07-902a60e7401b,fast,"['-O0', '-fcmm-elim-common-blocks', '-fignore-interface-pragmas', '-fmax-simplifier-iterations=4', '-fomit-interface-pragmas', '-funfolding-dict-discount=30', '-floopification', '-fstatic-argument-transformation', '-O0', '-fdicts-cheap', '-fcse', '-fspecialise', '-fmax-inline-alloc-size=128', '-fvectorise', '-fno-state-hack', '-fsimplifier-phases=2', '-fdo-eta-reduction', '-fomit-yields', '-fcase-merge', '-fspec-constr-threshold=2000', '-foptimal-applicative-do', '-fcmm-sink', '-ffloat-in', '-fno-pre-inlining', '-feager-blackholing', '-fignore-asserts', '-funbox-small-strict-fields']",3.503,7,False
16,2243d128-be65-4412-a276-419a07238fd6,fast,"['-O0', '-fcmm-elim-common-blocks', '-fignore-interface-pragmas', '-fomit-interface-pragmas', '-funfolding-dict-discount=30', '-floopification', '-fstatic-argument-transformation', '-fmax-worker-args=10', '-O0', '-fdicts-cheap', '-fcse', '-ffull-laziness', '-fspecialise', '-fmax-inline-alloc-size=128', '-fvectorise', '-fdmd-tx-dict-sel', '-fsimplifier-phases=2', '-fdo-eta-reduction', '-fomit-yields', '-fcase-merge', '-funfolding-creation-threshold=750', '-fmax-inline-memcpy-insns=32', '-fspec-constr-threshold=2000', '-foptimal-applicative-do', '-fcmm-sink', '-funfolding-fun-discount=60', '-ffloat-in', '-fno-pre-inlining', '-feager-blackholing', '-fignore-asserts', '-funbox-small-strict-fields']",3.502,8,False
17,be7fe386-544b-4e62-bdad-d3f32d85cd19,fast,"['-O0', '-fcmm-elim-common-blocks', '-fignore-interface-pragmas', '-fmax-simplifier-iterations=4', '-funfolding-dict-discount=30', '-floopification', '-fstatic-argument-transformation', '-O0', '-fdicts-cheap', '-fcse', '-fdicts-strict', '-fspecialise', '-fmax-inline-alloc-size=128', '-fvectorise', '-fcpr-anal', '-fsimplifier-phases=2', '-fdo-eta-reduction', '-fomit-yields', '-fcase-merge', '-fspec-constr-threshold=2000', '-foptimal-applicative-do', '-fexcess-precision', '-fcmm-sink', '-funfolding-fun-discount=60', '-ffloat-in', '-funfolding-use-threshold=60', '-fexpose-all-unfoldings', '-fno-pre-inlining', '-feager-blackholing', '-fignore-asserts', '-funbox-small-strict-fields', '-fvectorisation-avoidance']",3.509,9,False
18,da09c549-8fce-419c-9f71-d5aacccba479,fast,"['-O0', '-fcmm-elim-common-blocks', '-fignore-interface-pragmas', '-funfolding-dict-discount=30', '-floopification', '-fstatic-argument-transformation', '-fmax-worker-args=10', '-O0', '-fregs-graph', '-fdicts-cheap', '-fcse', '-fspecialise', '-fmax-inline-alloc-size=128', '-fvectorise', '-fsimplifier-phases=2', '-fspec-constr', '-fdo-eta-reduction', '-fomit-yields', '-fcase-merge', '-funfolding-creation-threshold=750', '-fno-opt-coercion', '-fspec-constr-threshold=2000', '-funbox-strict-fields', '-foptimal-applicative-do', '-fcmm-sink', '-ffloat-in', '-fstrictness-before=1', '-fno-pre-inlining', '-feager-blackholing', '-fignore-asserts', '-funbox-small-strict-fields', '-fregs-iterative']",3.508,10,False
19,1705e6bc-c07b-4f5e-858a-b7a2d37e928f,fast,"['-O0', '-fcmm-elim-common-blocks', '-fignore-interface-pragmas', '-funfolding-dict-discount=30', '-fdo-lambda-eta-expansion', '-floopification', '-fstatic-argument-transformation', '-O0', '-fdicts-cheap', '-fcse', '-fcross-module-specialise', '-fspecialise', '-fmax-inline-alloc-size=128', '-fvectorise', '-fliberate-case', '-fsimplifier-phases=2', '-fdo-eta-reduction', '-fomit-yields', '-fcase-merge', '-fspec-constr-threshold=2000', '-foptimal-applicative-do', '-fcmm-sink', '-ffloat-in', '-fexpose-all-unfoldings', '-fno-pre-inlining', '-feager-blackholing', '-fignore-asserts', '-funbox-small-strict-fields', '-fmax-relevant-binds=6']",3.5,11,False
20,3ac1d5be-2274-436d-99a8-26dc28f6c5ca,fast,"['-O0', '-fcmm-elim-common-blocks', '-fignore-interface-pragmas', '-funfolding-dict-discount=30', '-fdo-lambda-eta-expansion', '-floopification', '-fstatic-argument-transformation', '-O0', '-fenable-rewrite-rules', '-fdicts-cheap', '-fcse', '-fcross-module-specialise', '-fspecialise', '-fmax-inline-alloc-size=128', '-fvectorise', '-fliberate-case', '-fsimplifier-phases=2', '-fdo-eta-reduction', '-fomit-yields', '-fcase-merge', '-fspec-constr-threshold=2000', '-foptimal-applicative-do', '-fcmm-sink', '-ffloat-in', '-fexpose-all-unfoldings', '-fno-pre-inlining', '-feager-blackholing', '-fignore-asserts', '-funbox-small-strict-fields', '-fmax-relevant-binds=6', '-fvectorisation-avoidance']",3.494,12,True
21,e10e48f7-0c4b-4b89-a247-b24e31f6898c,fast,"['-O0', '-fcmm-elim-common-blocks', '-fignore-interface-pragmas', '-funfolding-dict-discount=30', '-fdo-lambda-eta-expansion', '-floopification', '-fstatic-argument-transformation', '-O0', '-fenable-rewrite-rules', '-fregs-graph', '-fdicts-cheap', '-fcse', '-fcross-module-specialise', '-fspecialise', '-fmax-inline-alloc-size=128', '-fvectorise', '-fliberate-case', '-fsimplifier-phases=2', '-fdo-eta-reduction', '-fomit-yields', '-fcase-merge', '-fno-opt-coercion', '-fspec-constr-threshold=2000', '-foptimal-applicative-do', '-fcmm-sink', '-ffloat-in', '-fexpose-all-unfoldings', '-fno-pre-inlining', '-feager-blackholing', '-fignore-asserts', '-funbox-small-strict-fields', '-fmax-relevant-binds=6', '-fvectorisation-avoidance']",3.503,13,False
22,c30d2289-24f2-4940-99f8-edd41b34bc68,fast,"['-O0', '-fcmm-elim-common-blocks', '-fignore-interface-pragmas', '-funfolding-dict-discount=30', '-fdo-lambda-eta-expansion', '-floopification', '-fstatic-argument-transformation', '-fmax-worker-args=10', '-O0', '-fenable-rewrite-rules', '-fdicts-cheap', '-fcse', '-fcross-module-specialise', '-fspecialise', '-fmax-inline-alloc-size=128', '-fvectorise', '-fliberate-case', '-fsimplifier-phases=2', '-fdo-eta-reduction', '-fomit-yields', '-fcase-merge', '-fspec-constr-threshold=2000', '-funbox-strict-fields', '-foptimal-applicative-do', '-fcmm-sink', '-ffloat-in', '-fexpose-all-unfoldings', '-fno-pre-inlining', '-feager-blackholing', '-fignore-asserts', '-funbox-small-strict-fields', '-fmax-relevant-binds=6', '-fvectorisation-avoidance']",3.499,14,False
