,ID,Mode,Flags,Runtime,Iteration,Best
0,-O0,fast,-O0,3.496,0,False
1,-O2,fast,-O2,3.496,0,False
2,841f510d-f1e1-4336-bdde-c3dcf4f8d9fb,fast,"['-O0', '-fspecialise', '-fsimpl-tick-factor=100', '-fcpr-anal', '-fdo-lambda-eta-expansion', '-foptimal-applicative-do', '-fdicts-strict', '-fmax-simplifier-iterations=4', '-fstrictness-before=1', '-fmax-inline-memset-insns=32', '-fvectorisation-avoidance', '-funfolding-fun-discount=60', '-fstatic-argument-transformation', '-funbox-small-strict-fields']",3.501,0,False
3,ed243467-dfc7-4a81-86d3-9e13d7e57541,fast,"['-O0', '-funfolding-fun-discount=60', '-fregs-graph', '-fstrictness', '-fdo-lambda-eta-expansion', '-foptimal-applicative-do', '-funfolding-dict-discount=30', '-fcse', '-fspec-constr', '-fomit-interface-pragmas', '-fstatic-argument-transformation', '-fomit-yields', '-ffun-to-thunk', '-fno-state-hack', '-fmax-simplifier-iterations=4', '-ffull-laziness', '-fvectorise', '-fdo-eta-reduction', '-fstrictness-before=1', '-funfolding-keeness-factor=1.5', '-fexpose-all-unfoldings', '-fpedantic-bottoms', '-funfolding-creation-threshold=750', '-floopification', '-funbox-small-strict-fields', '-fsimpl-tick-factor=100', '-fdicts-cheap', '-fcpr-anal', '-fno-opt-coercion', '-fignore-asserts', '-fcase-merge', '-fregs-iterative']",3.498,0,False
4,2f883264-d25a-4fed-a168-4bfe89cd9e49,fast,"['-O0', '-fregs-iterative', '-funbox-strict-fields', '-fmax-relevant-binds=6', '-fcse', '-funfolding-keeness-factor=1.5', '-fexcess-precision', '-fmax-worker-args=10', '-fmax-simplifier-iterations=4', '-fsimplifier-phases=2', '-fno-state-hack', '-fspec-constr-threshold=2000', '-fpedantic-bottoms', '-fcross-module-specialise', '-funfolding-fun-discount=60', '-fmax-inline-alloc-size=128', '-feager-blackholing', '-fdicts-cheap', '-fstrictness', '-ffull-laziness', '-fdo-eta-reduction', '-fworker-wrapper', '-funfolding-creation-threshold=750', '-fspecialise', '-fenable-rewrite-rules', '-fstrictness-before=1', '-fliberate-case', '-fno-opt-coercion', '-fomit-interface-pragmas', '-funfolding-dict-discount=30', '-fdicts-strict', '-fvectorisation-avoidance', '-fvectorise', '-funbox-small-strict-fields', '-fspec-constr-count=3', '-fignore-interface-pragmas']",3.499,0,False
5,746dc07f-dfb9-4905-a86e-0bbc6c0ef227,fast,"['-O0', '-fspec-constr-threshold=2000', '-fcmm-elim-common-blocks', '-fcpr-anal', '-fcall-arity', '-fregs-iterative', '-fspecialise', '-ffloat-in', '-funfolding-fun-discount=60', '-fmax-inline-memcpy-insns=32', '-fspec-constr', '-fstrictness', '-fcross-module-specialise']",3.497,0,False
6,c00ee2c3-c824-487d-b177-9a8f0fb8dca6,fast,"['-O0', '-fignore-asserts', '-ffull-laziness', '-fcmm-elim-common-blocks', '-fno-state-hack', '-fcall-arity', '-fliberate-case-threshold=2000', '-fmax-worker-args=10', '-feager-blackholing', '-fmax-inline-alloc-size=128', '-fsimplifier-phases=2', '-fmax-simplifier-iterations=4', '-fmax-relevant-binds=6', '-fdicts-cheap', '-fdicts-strict', '-fenable-rewrite-rules', '-fspec-constr-count=3', '-fregs-graph', '-funfolding-creation-threshold=750', '-floopification', '-fliberate-case', '-fno-opt-coercion', '-fstrictness', '-fcse', '-fignore-interface-pragmas', '-fregs-iterative', '-fdmd-tx-dict-sel', '-fcross-module-specialise', '-fstatic-argument-transformation', '-flate-dmd-anal', '-fdo-eta-reduction', '-foptimal-applicative-do', '-ffloat-in', '-fcase-merge', '-funbox-small-strict-fields', '-fexcess-precision', '-ffun-to-thunk', '-fworker-wrapper', '-fspec-constr-threshold=2000', '-fdo-lambda-eta-expansion', '-funfolding-use-threshold=60', '-fexpose-all-unfoldings', '-fsimpl-tick-factor=100', '-fno-pre-inlining', '-fomit-yields', '-fvectorisation-avoidance']",3.503,0,False
7,762df116-8df8-4e52-841b-2b80156599d2,fast,"['-O0', '-fignore-interface-pragmas', '-fcall-arity', '-fmax-inline-alloc-size=128', '-fworker-wrapper', '-fcpr-anal', '-fomit-interface-pragmas', '-fliberate-case-threshold=2000', '-fcmm-sink', '-funbox-strict-fields', '-fspec-constr-count=3', '-fexpose-all-unfoldings', '-fspec-constr-threshold=2000', '-foptimal-applicative-do', '-funfolding-use-threshold=60', '-fmax-inline-memset-insns=32', '-fsimplifier-phases=2', '-funfolding-dict-discount=30', '-fpedantic-bottoms', '-fomit-yields', '-funfolding-fun-discount=60', '-fspecialise', '-funfolding-creation-threshold=750', '-feager-blackholing', '-fvectorise', '-fmax-inline-memcpy-insns=32', '-fregs-iterative', '-fno-pre-inlining', '-fno-opt-coercion', '-fregs-graph', '-ffloat-in', '-fdmd-tx-dict-sel', '-fcse', '-fstrictness-before=1', '-fdo-lambda-eta-expansion', '-fliberate-case', '-funbox-small-strict-fields', '-fdicts-strict', '-fsimpl-tick-factor=100', '-fdo-eta-reduction', '-fcross-module-specialise', '-flate-dmd-anal', '-floopification', '-ffull-laziness', '-fdicts-cheap', '-fvectorisation-avoidance', '-fmax-worker-args=10', '-fstatic-argument-transformation', '-fcmm-elim-common-blocks']",3.507,0,False
8,8a86edb1-f2fe-44c5-9bb2-f7c48320777c,fast,"['-O0', '-fcross-module-specialise', '-fstrictness', '-fno-state-hack', '-fexcess-precision', '-fstrictness-before=1', '-fno-opt-coercion', '-fworker-wrapper', '-fenable-rewrite-rules', '-ffull-laziness', '-funbox-strict-fields', '-fspec-constr-threshold=2000', '-funfolding-fun-discount=60', '-fdicts-strict', '-fspec-constr-count=3', '-fsimplifier-phases=2', '-fcse', '-O0', '-fvectorisation-avoidance', '-funfolding-creation-threshold=750', '-feager-blackholing', '-fvectorise', '-fliberate-case', '-fomit-interface-pragmas', '-fregs-graph', '-fdo-eta-reduction', '-fspecialise', '-funbox-small-strict-fields', '-fdicts-cheap', '-fmax-worker-args=10', '-funfolding-dict-discount=30', '-fmax-relevant-binds=6', '-funfolding-keeness-factor=1.5', '-fmax-simplifier-iterations=4', '-fignore-interface-pragmas', '-fmax-inline-alloc-size=128', '-fregs-iterative', '-fomit-yields', '-fpedantic-bottoms']",3.501,0,False
9,2e4ff526-cc1d-4c34-8eb7-b8f9159df2af,fast,"['-O0', '-fdicts-cheap', '-fcmm-elim-common-blocks', '-ffloat-in', '-fspec-constr', '-fmax-inline-memcpy-insns=32', '-funfolding-keeness-factor=1.5', '-fspec-constr-threshold=2000', '-funfolding-fun-discount=60', '-fstatic-argument-transformation', '-fcpr-anal', '-fcross-module-specialise', '-fstrictness', '-fregs-iterative', '-fspecialise', '-foptimal-applicative-do', '-fcall-arity', '-fregs-graph', '-O0']",3.506,1,False
10,37c3423d-e0d7-40e5-a54b-7553bd8f271b,fast,"['-O0', '-funfolding-creation-threshold=750', '-fworker-wrapper', '-fcmm-elim-common-blocks', '-ffloat-in', '-fspec-constr', '-fmax-inline-memcpy-insns=32', '-fcase-merge', '-fspec-constr-threshold=2000', '-funfolding-fun-discount=60', '-fcpr-anal', '-fcross-module-specialise', '-fstrictness', '-fregs-iterative', '-fspecialise', '-fcall-arity', '-O0', '-fvectorisation-avoidance', '-fexcess-precision']",3.503,2,False
11,84bd8053-ee41-4dbc-9724-3fff005d411a,fast,"['-O0', '-fcmm-elim-common-blocks', '-ffloat-in', '-fspec-constr', '-fmax-inline-memcpy-insns=32', '-fspec-constr-threshold=2000', '-funfolding-fun-discount=60', '-fcpr-anal', '-fcross-module-specialise', '-fstrictness', '-fexpose-all-unfoldings', '-fliberate-case', '-fregs-iterative', '-fspecialise', '-fdo-eta-reduction', '-fcall-arity', '-fno-state-hack', '-O0']",3.496,3,False
12,6103f98c-873f-4f82-bf2e-af003f0dfb58,fast,"['-O0', '-fcmm-elim-common-blocks', '-fcase-merge', '-fcross-module-specialise', '-fstrictness', '-fno-state-hack', '-fcall-arity', '-ffloat-in', '-fspec-constr-threshold=2000', '-funfolding-fun-discount=60', '-fexpose-all-unfoldings', '-O0', '-fspec-constr', '-fliberate-case', '-fspecialise', '-fdo-eta-reduction', '-fmax-inline-memcpy-insns=32', '-fno-pre-inlining', '-fcpr-anal', '-fregs-iterative']",3.498,4,False
13,ae84ce0d-29a4-4ad5-b0d7-f48e74b8711b,fast,"['-O0', '-fcmm-elim-common-blocks', '-fcross-module-specialise', '-fstrictness', '-fno-state-hack', '-fcall-arity', '-ffloat-in', '-ffun-to-thunk', '-fspec-constr-threshold=2000', '-funfolding-fun-discount=60', '-fexpose-all-unfoldings', '-O0', '-fspec-constr', '-fliberate-case', '-fomit-interface-pragmas', '-fspecialise', '-fdo-eta-reduction', '-fmax-worker-args=10', '-fmax-inline-memcpy-insns=32', '-fcpr-anal', '-fregs-iterative']",3.494,5,False
14,ec04757d-5fb0-4506-8021-49ae0bc8503d,fast,"['-O0', '-fcmm-elim-common-blocks', '-fcross-module-specialise', '-fstrictness', '-fdmd-tx-dict-sel', '-fno-state-hack', '-fcall-arity', '-ffloat-in', '-ffun-to-thunk', '-fspec-constr-threshold=2000', '-funfolding-fun-discount=60', '-fexpose-all-unfoldings', '-O0', '-fspec-constr', '-fvectorise', '-fliberate-case', '-fomit-interface-pragmas', '-fdo-eta-reduction', '-fspecialise', '-fmax-worker-args=10', '-fmax-relevant-binds=6', '-fmax-inline-memcpy-insns=32', '-fcpr-anal', '-fregs-iterative', '-fpedantic-bottoms']",3.497,6,False
15,04ec6da0-d82c-420c-9d60-fac3dea3f3e8,fast,"['-O0', '-fcmm-elim-common-blocks', '-funfolding-use-threshold=60', '-fcross-module-specialise', '-fstrictness', '-fno-state-hack', '-fcall-arity', '-fworker-wrapper', '-ffloat-in', '-ffun-to-thunk', '-fspec-constr-threshold=2000', '-funfolding-fun-discount=60', '-fexpose-all-unfoldings', '-O0', '-fignore-asserts', '-fspec-constr', '-fliberate-case', '-fomit-interface-pragmas', '-fdo-eta-reduction', '-fspecialise', '-fmax-worker-args=10', '-fmax-inline-memcpy-insns=32', '-fno-pre-inlining', '-fcpr-anal', '-fregs-iterative']",3.498,7,False
16,18cb820f-c876-4785-85cf-2d1d554ad2a7,fast,"['-O0', '-fcmm-elim-common-blocks', '-fcross-module-specialise', '-fstrictness', '-fno-state-hack', '-fcall-arity', '-ffloat-in', '-ffun-to-thunk', '-funbox-strict-fields', '-fspec-constr-threshold=2000', '-funfolding-fun-discount=60', '-fexpose-all-unfoldings', '-O0', '-fspec-constr', '-fliberate-case', '-fomit-interface-pragmas', '-fdo-eta-reduction', '-fspecialise', '-fcmm-sink', '-fmax-worker-args=10', '-fmax-relevant-binds=6', '-fmax-inline-memcpy-insns=32', '-fno-pre-inlining', '-fcpr-anal', '-fregs-iterative']",3.504,8,False
17,8af54040-55c1-4aa2-b2ca-aa48e0aff4d2,fast,"['-O0', '-fcmm-elim-common-blocks', '-fcross-module-specialise', '-fstrictness', '-fno-state-hack', '-fcall-arity', '-fworker-wrapper', '-ffloat-in', '-ffun-to-thunk', '-fspec-constr-threshold=2000', '-funfolding-fun-discount=60', '-fexpose-all-unfoldings', '-floopification', '-O0', '-fsimpl-tick-factor=100', '-fspec-constr', '-fvectorise', '-fliberate-case', '-fomit-interface-pragmas', '-fdo-eta-reduction', '-fspecialise', '-fmax-worker-args=10', '-fmax-inline-memcpy-insns=32', '-fcpr-anal', '-fregs-iterative']",3.499,9,False
