,ID,Mode,Flags,Runtime,Iteration,Best
0,-O0,fast,-O0,3.493,0,False
1,-O2,fast,-O2,3.493,0,False
2,12acaa2b-38fc-4f00-8191-85195cd3a3e9,fast,"['-O0', '-fcase-merge', '-fworker-wrapper', '-funbox-strict-fields', '-fignore-asserts', '-fvectorisation-avoidance', '-fregs-iterative', '-funfolding-use-threshold=60', '-fmax-inline-memcpy-insns=32', '-fvectorise', '-fspec-constr-count=3', '-fcmm-sink', '-fcross-module-specialise', '-fspec-constr-threshold=2000', '-fcmm-elim-common-blocks', '-floopification', '-fstrictness-before=1', '-fomit-interface-pragmas', '-funfolding-keeness-factor=1.5', '-fno-pre-inlining', '-fregs-graph', '-fdo-lambda-eta-expansion', '-funbox-small-strict-fields', '-fcse', '-fmax-relevant-binds=6', '-fno-opt-coercion', '-ffloat-in', '-fexpose-all-unfoldings', '-fspecialise', '-foptimal-applicative-do', '-fsimplifier-phases=2', '-ffull-laziness', '-fignore-interface-pragmas', '-fmax-inline-memset-insns=32', '-fmax-worker-args=10', '-fomit-yields', '-fdmd-tx-dict-sel', '-fliberate-case', '-funfolding-fun-discount=60', '-fsimpl-tick-factor=100', '-fmax-simplifier-iterations=4', '-fmax-inline-alloc-size=128', '-fstrictness', '-fexcess-precision', '-fspec-constr', '-fcpr-anal', '-fdicts-cheap', '-fdicts-strict', '-fcall-arity', '-fpedantic-bottoms', '-feager-blackholing', '-fstatic-argument-transformation', '-flate-dmd-anal', '-funfolding-dict-discount=30', '-funfolding-creation-threshold=750', '-fenable-rewrite-rules', '-fdo-eta-reduction', '-fliberate-case-threshold=2000', '-ffun-to-thunk']",3.508,0,False
3,f6cb5f3d-33c0-4fb0-9cbf-d1b9f7fb6027,fast,"['-O0', '-ffun-to-thunk', '-fno-pre-inlining', '-fcall-arity', '-fliberate-case-threshold=2000', '-fsimplifier-phases=2', '-funfolding-creation-threshold=750', '-fcmm-sink', '-fpedantic-bottoms', '-fexpose-all-unfoldings', '-fmax-inline-alloc-size=128', '-funfolding-dict-discount=30', '-ffloat-in', '-fworker-wrapper', '-fcmm-elim-common-blocks']",3.516,0,False
4,89e6543b-e0ec-4ff6-b25e-80260c2bbc01,fast,"['-O0', '-fmax-inline-memcpy-insns=32', '-fignore-asserts', '-fcall-arity', '-fsimplifier-phases=2', '-fcmm-elim-common-blocks', '-fignore-interface-pragmas', '-funbox-small-strict-fields', '-floopification', '-fmax-inline-alloc-size=128', '-fspec-constr-count=3', '-funfolding-keeness-factor=1.5', '-fvectorisation-avoidance', '-fspec-constr-threshold=2000', '-fstrictness', '-fliberate-case-threshold=2000', '-fregs-iterative', '-fmax-worker-args=10', '-fdicts-cheap', '-fsimpl-tick-factor=100', '-fcpr-anal', '-fomit-interface-pragmas', '-fcmm-sink']",3.513,0,False
5,ab6bbb7a-a533-4b42-b1f4-7371903c973a,fast,"['-O0', '-fvectorisation-avoidance', '-fdicts-strict', '-fmax-inline-alloc-size=128', '-fdo-eta-reduction', '-fstrictness-before=1', '-funfolding-use-threshold=60', '-fliberate-case-threshold=2000', '-fno-pre-inlining', '-fexcess-precision', '-funfolding-creation-threshold=750', '-fspec-constr-threshold=2000', '-fexpose-all-unfoldings', '-fomit-interface-pragmas', '-fsimpl-tick-factor=100', '-fmax-worker-args=10', '-fspec-constr', '-fno-state-hack', '-fcse', '-fstrictness', '-fcmm-sink', '-fmax-inline-memcpy-insns=32', '-fmax-simplifier-iterations=4', '-funfolding-dict-discount=30', '-fsimplifier-phases=2', '-fdicts-cheap', '-fcmm-elim-common-blocks', '-fmax-relevant-binds=6', '-fomit-yields', '-fpedantic-bottoms', '-fignore-asserts', '-funfolding-fun-discount=60', '-fliberate-case', '-fworker-wrapper', '-fmax-inline-memset-insns=32', '-ffloat-in', '-fcase-merge', '-ffull-laziness', '-funfolding-keeness-factor=1.5', '-fcpr-anal', '-foptimal-applicative-do', '-flate-dmd-anal', '-fignore-interface-pragmas']",3.499,0,False
6,2acce939-5439-480c-97e4-3f989aec3c9d,fast,"['-O0', '-O0', '-fvectorisation-avoidance', '-fdicts-strict', '-fmax-inline-alloc-size=128', '-fdo-eta-reduction', '-fstrictness-before=1', '-funfolding-use-threshold=60', '-fliberate-case-threshold=2000', '-fno-pre-inlining', '-fexcess-precision', '-funfolding-creation-threshold=750', '-fspec-constr-threshold=2000', '-fexpose-all-unfoldings', '-fomit-interface-pragmas', '-fsimpl-tick-factor=100', '-fmax-worker-args=10', '-fspec-constr', '-fno-state-hack', '-fcse', '-fstrictness', '-fcmm-sink', '-fmax-inline-memcpy-insns=32', '-fmax-simplifier-iterations=4', '-funfolding-dict-discount=30', '-fsimplifier-phases=2', '-fdicts-cheap', '-fcmm-elim-common-blocks', '-fmax-relevant-binds=6', '-fomit-yields', '-fpedantic-bottoms', '-fignore-asserts', '-funfolding-fun-discount=60', '-fliberate-case', '-fworker-wrapper', '-fmax-inline-memset-insns=32', '-ffloat-in', '-fcase-merge', '-ffull-laziness', '-funfolding-keeness-factor=1.5', '-fcpr-anal', '-foptimal-applicative-do', '-flate-dmd-anal', '-fignore-interface-pragmas', '-fdo-lambda-eta-expansion', '-funbox-strict-fields', '-fomit-yields', '-fenable-rewrite-rules']",3.505,0,False
7,3f4ca396-39aa-4dfd-9d7e-64d109d396ee,fast,"['-O0', '-O0', '-fvectorisation-avoidance', '-fdicts-strict', '-fmax-inline-alloc-size=128', '-fdo-eta-reduction', '-fstrictness-before=1', '-funfolding-use-threshold=60', '-fliberate-case-threshold=2000', '-fno-pre-inlining', '-fexcess-precision', '-funfolding-creation-threshold=750', '-fspec-constr-threshold=2000', '-fexpose-all-unfoldings', '-fomit-interface-pragmas', '-fsimpl-tick-factor=100', '-fmax-worker-args=10', '-fspec-constr', '-fno-state-hack', '-fcse', '-fstrictness', '-fcmm-sink', '-fmax-inline-memcpy-insns=32', '-fmax-simplifier-iterations=4', '-funfolding-dict-discount=30', '-fsimplifier-phases=2', '-fdicts-cheap', '-fcmm-elim-common-blocks', '-fmax-relevant-binds=6', '-fomit-yields', '-fpedantic-bottoms', '-fignore-asserts', '-funfolding-fun-discount=60', '-fliberate-case', '-fworker-wrapper', '-fmax-inline-memset-insns=32', '-ffloat-in', '-fcase-merge', '-ffull-laziness', '-funfolding-keeness-factor=1.5', '-fcpr-anal', '-foptimal-applicative-do', '-flate-dmd-anal', '-fignore-interface-pragmas', '-fmax-inline-memcpy-insns=32', '-fdo-eta-reduction', '-fvectorisation-avoidance', '-fdmd-tx-dict-sel']",3.501,1,False
8,81fdad24-7275-47ba-a295-7e16a2d36f1e,fast,"['-O0', '-O0', '-fvectorisation-avoidance', '-fdicts-strict', '-fmax-inline-alloc-size=128', '-fdo-eta-reduction', '-fstrictness-before=1', '-funfolding-use-threshold=60', '-fliberate-case-threshold=2000', '-fno-pre-inlining', '-fexcess-precision', '-funfolding-creation-threshold=750', '-fspec-constr-threshold=2000', '-fexpose-all-unfoldings', '-fomit-interface-pragmas', '-fsimpl-tick-factor=100', '-fmax-worker-args=10', '-fspec-constr', '-fno-state-hack', '-fcse', '-fstrictness', '-fcmm-sink', '-fmax-inline-memcpy-insns=32', '-fmax-simplifier-iterations=4', '-funfolding-dict-discount=30', '-fsimplifier-phases=2', '-fdicts-cheap', '-fcmm-elim-common-blocks', '-fmax-relevant-binds=6', '-fomit-yields', '-fpedantic-bottoms', '-fignore-asserts', '-funfolding-fun-discount=60', '-fliberate-case', '-fworker-wrapper', '-fmax-inline-memset-insns=32', '-ffloat-in', '-fcase-merge', '-ffull-laziness', '-funfolding-keeness-factor=1.5', '-fcpr-anal', '-foptimal-applicative-do', '-flate-dmd-anal', '-fignore-interface-pragmas', '-fstatic-argument-transformation', '-fvectorise', '-funfolding-fun-discount=60', '-fmax-inline-alloc-size=128']",3.501,2,False
9,1a5e0c89-9f9d-480e-a021-02d7007c8149,fast,"['-O0', '-O0', '-ffun-to-thunk', '-fno-pre-inlining', '-fcall-arity', '-fliberate-case-threshold=2000', '-fsimplifier-phases=2', '-funfolding-creation-threshold=750', '-fcmm-sink', '-fpedantic-bottoms', '-fexpose-all-unfoldings', '-fmax-inline-alloc-size=128', '-funfolding-dict-discount=30', '-ffloat-in', '-fworker-wrapper', '-fcmm-elim-common-blocks', '-fregs-iterative', '-ffun-to-thunk', '-fstrictness-before=1', '-fvectorise']",3.502,3,False
