,ID,Flags,Mode,Runtime,Elapsed_Time
0,-O0,['-O0'],fast,3.6,3.6
1,-O2,['-O2'],fast,3.634,3.634
2,371b3a42-38dd-4e82-996a-f5a2c0426341,"['-O0' '-funfolding-fun-discount=60' '-fignore-asserts'
 '-fexcess-precision' '-fomit-interface-pragmas' '-flate-dmd-anal'
 '-fcross-module-specialise' '-ffloat-in' '-funbox-strict-fields'
 '-fliberate-case-threshold=2000' '-fstrictness-before=1'
 '-funbox-small-strict-fields' '-funfolding-keeness-factor=1.5'
 '-fcmm-sink' '-fno-opt-coercion' '-fmax-inline-alloc-size=128'
 '-funfolding-fun-discount=60' '-flate-dmd-anal' '-fspec-constr'
 '-fcpr-anal' '-fvectorisation-avoidance' '-fignore-asserts'
 '-funbox-small-strict-fields' '-funfolding-keeness-factor=1.5'
 '-fvectorisation-avoidance' '-fdmd-tx-dict-sel']",fast,3.673,3.673
3,9fd296bb-93d5-4284-a15e-5461c99234a0,"['-O0' '-fenable-rewrite-rules' '-fno-pre-inlining' '-ffloat-in'
 '-foptimal-applicative-do' '-fmax-simplifier-iterations=4'
 '-fno-pre-inlining' '-fmax-relevant-binds=6'
 '-funfolding-keeness-factor=1.5' '-fenable-rewrite-rules' '-fstrictness'
 '-fstrictness' '-fstrictness-before=1' '-fmax-inline-memcpy-insns=32'
 '-fregs-iterative' '-fcmm-sink' '-ffull-laziness'
 '-funfolding-keeness-factor=1.5' '-fstatic-argument-transformation'
 '-ffloat-in' '-funbox-small-strict-fields' '-funbox-strict-fields'
 '-funfolding-fun-discount=60' '-fmax-inline-memcpy-insns=32'
 '-funfolding-creation-threshold=750' '-fno-opt-coercion']",fast,3.663,3.663
4,cd2e4adc-dbe8-4109-80c0-bd5206ec7122,"['-O0' '-ffun-to-thunk' '-fcmm-elim-common-blocks' '-fdmd-tx-dict-sel'
 '-fexcess-precision' '-flate-dmd-anal' '-fcse'
 '-fmax-inline-memset-insns=32' '-fcase-merge' '-fspec-constr-count=3'
 '-fliberate-case' '-fvectorise' '-fcmm-elim-common-blocks' '-fspecialise'
 '-fexcess-precision' '-flate-dmd-anal' '-fdmd-tx-dict-sel'
 '-funfolding-creation-threshold=750' '-ffull-laziness'
 '-fno-pre-inlining' '-fcpr-anal' '-fvectorisation-avoidance'
 '-fspec-constr-threshold=2000' '-funbox-strict-fields'
 '-fstrictness-before=1' '-floopification']",fast,3.621,3.621
5,1517e2de-1830-4f2a-8484-c42506066a51,"['-O0' '-fsimpl-tick-factor=100' '-fstatic-argument-transformation'
 '-funfolding-dict-discount=30' '-fignore-interface-pragmas'
 '-fspec-constr-count=3' '-fcross-module-specialise'
 '-fcmm-elim-common-blocks' '-flate-dmd-anal' '-fcse'
 '-fmax-inline-memset-insns=32' '-funfolding-use-threshold=60'
 '-fcross-module-specialise' '-funbox-small-strict-fields' '-fstrictness'
 '-fignore-interface-pragmas' '-fignore-interface-pragmas'
 '-funfolding-keeness-factor=1.5' '-fmax-simplifier-iterations=4'
 '-fworker-wrapper' '-fignore-interface-pragmas' '-fliberate-case'
 '-fliberate-case' '-funfolding-creation-threshold=750'
 '-funbox-small-strict-fields' '-flate-dmd-anal']",fast,3.6,3.6
6,97c0774a-4e1f-41a7-84a4-57151bba7505,"['-O0' '-floopification' '-fmax-inline-alloc-size=128' '-fdmd-tx-dict-sel'
 '-fcse' '-fignore-interface-pragmas' '-funbox-small-strict-fields'
 '-fregs-iterative' '-funbox-strict-fields' '-ffull-laziness'
 '-funfolding-use-threshold=60' '-fcall-arity'
 '-fspec-constr-threshold=2000' '-fspec-constr'
 '-fmax-inline-memcpy-insns=32' '-fomit-interface-pragmas'
 '-fliberate-case' '-fno-opt-coercion' '-ffun-to-thunk'
 '-fmax-inline-memcpy-insns=32' '-fexcess-precision' '-fno-state-hack'
 '-flate-dmd-anal' '-fomit-interface-pragmas' '-fvectorisation-avoidance'
 '-fstatic-argument-transformation']",fast,3.66,3.66
7,bc7dd570-5d36-4276-baa6-a91f86b2959c,"['-O0' '-fregs-graph' '-fstrictness' '-fworker-wrapper'
 '-fignore-interface-pragmas' '-fsimpl-tick-factor=100'
 '-fmax-inline-memset-insns=32' '-fworker-wrapper' '-fstrictness'
 '-ffull-laziness' '-fregs-graph' '-fspecialise' '-fno-pre-inlining'
 '-fmax-relevant-binds=6' '-ffloat-in' '-fspec-constr-threshold=2000'
 '-fexcess-precision' '-fworker-wrapper' '-fcmm-sink' '-fdicts-cheap'
 '-fcmm-elim-common-blocks' '-floopification' '-fno-pre-inlining'
 '-funfolding-dict-discount=30' '-fmax-inline-memset-insns=32'
 '-fstatic-argument-transformation']",fast,3.645,3.645
8,a484a47e-1f22-4ac2-ada0-2fa082649ee6,"['-O0' '-floopification' '-fstrictness-before=1' '-fignore-asserts'
 '-fno-state-hack' '-fmax-simplifier-iterations=4'
 '-fmax-inline-alloc-size=128' '-funfolding-dict-discount=30'
 '-fpedantic-bottoms' '-fdicts-strict' '-fregs-iterative'
 '-flate-dmd-anal' '-fcpr-anal' '-fcall-arity' '-fexcess-precision'
 '-fspec-constr' '-ffloat-in' '-fvectorisation-avoidance'
 '-ffull-laziness' '-ffloat-in' '-ffloat-in' '-fregs-iterative'
 '-fno-pre-inlining' '-fvectorise' '-floopification'
 '-fspec-constr-count=3']",fast,3.631,3.631
9,235d2c6e-c338-4faa-981f-db43a7f565f3,"['-O0' '-funfolding-dict-discount=30' '-fstrictness'
 '-fmax-worker-args=10' '-fspec-constr-threshold=2000' '-fignore-asserts'
 '-fno-state-hack' '-fmax-worker-args=10' '-fmax-inline-alloc-size=128'
 '-foptimal-applicative-do' '-fmax-inline-alloc-size=128'
 '-fstrictness-before=1' '-fno-state-hack' '-fpedantic-bottoms'
 '-fomit-interface-pragmas' '-fomit-interface-pragmas' '-fvectorise'
 '-fmax-worker-args=10' '-fvectorisation-avoidance' '-fignore-asserts'
 '-funfolding-keeness-factor=1.5' '-flate-dmd-anal' '-ffull-laziness'
 '-fregs-iterative' '-fno-opt-coercion' '-ffull-laziness']",fast,3.631,3.631
10,6382112d-401d-4036-8c5b-5dce61e72599,"['-O0' '-funbox-small-strict-fields' '-funbox-small-strict-fields'
 '-fomit-interface-pragmas' '-fcase-merge' '-fno-state-hack'
 '-fmax-inline-memset-insns=32' '-fmax-worker-args=10' '-floopification'
 '-fworker-wrapper' '-fdicts-strict' '-funfolding-creation-threshold=750'
 '-fspec-constr' '-fvectorise' '-fspecialise' '-fspec-constr-count=3'
 '-fomit-interface-pragmas' '-funbox-strict-fields'
 '-fstrictness-before=1' '-fsimplifier-phases=2' '-fdicts-cheap'
 '-fcmm-elim-common-blocks' '-fcpr-anal'
 '-fstatic-argument-transformation' '-fspecialise'
 '-funfolding-fun-discount=60']",fast,3.683,3.683
