,ID,Mode,Flags,Runtime,Iteration,Best
0,-O0,fast,-O0,0.563,0,False
1,-O2,fast,-O2,0.563,0,False
2,cb8cb486-965c-424f-b463-44070b49480f,fast,"['-O0', '-fomit-yields', '-fstrictness', '-fliberate-case-threshold=2000', '-fignore-interface-pragmas', '-fmax-inline-memset-insns=32', '-fcmm-elim-common-blocks', '-funbox-strict-fields', '-fmax-worker-args=10', '-ffloat-in', '-fworker-wrapper', '-fdicts-strict', '-fsimpl-tick-factor=100', '-fomit-interface-pragmas', '-foptimal-applicative-do', '-fcross-module-specialise', '-fdo-eta-reduction', '-funfolding-keeness-factor=1.5', '-fvectorisation-avoidance', '-fno-pre-inlining', '-fcpr-anal', '-funfolding-fun-discount=60', '-fliberate-case', '-fdo-lambda-eta-expansion', '-funfolding-dict-discount=30', '-fno-opt-coercion', '-fmax-relevant-binds=6', '-funfolding-creation-threshold=750', '-fmax-inline-alloc-size=128', '-fstrictness-before=1', '-flate-dmd-anal', '-fcmm-sink', '-funfolding-use-threshold=60', '-fmax-inline-memcpy-insns=32', '-fspec-constr', '-fpedantic-bottoms', '-ffull-laziness', '-fregs-iterative', '-fcall-arity', '-fignore-asserts', '-fcse', '-fstatic-argument-transformation', '-fdicts-cheap', '-fno-state-hack', '-fexpose-all-unfoldings', '-fvectorise', '-fdmd-tx-dict-sel', '-fspec-constr-count=3', '-fcase-merge', '-fspecialise', '-fregs-graph', '-fspec-constr-threshold=2000']",0.563,0,False
3,e8812067-547a-496b-b800-196bb895526d,fast,"['-O0', '-fpedantic-bottoms', '-fworker-wrapper', '-fmax-simplifier-iterations=4', '-fregs-iterative', '-fmax-inline-memcpy-insns=32', '-ffun-to-thunk', '-funbox-strict-fields', '-fcpr-anal', '-ffull-laziness', '-funfolding-use-threshold=60', '-ffloat-in', '-fdicts-cheap', '-fliberate-case', '-fdo-eta-reduction', '-fstrictness', '-fmax-worker-args=10', '-fno-opt-coercion', '-foptimal-applicative-do', '-fexpose-all-unfoldings', '-funfolding-dict-discount=30', '-fcmm-elim-common-blocks', '-fcase-merge', '-fsimplifier-phases=2']",0.562,0,False
4,a9665948-4477-4ade-bc2a-d1402d09f10f,fast,"['-O0', '-fliberate-case', '-fregs-iterative', '-fcmm-elim-common-blocks', '-fomit-interface-pragmas', '-fmax-inline-memset-insns=32', '-funfolding-creation-threshold=750', '-fno-state-hack', '-fcse', '-ffloat-in', '-fexpose-all-unfoldings', '-fdo-eta-reduction', '-fstrictness-before=1', '-fregs-graph', '-fomit-yields', '-fstrictness', '-fsimpl-tick-factor=100', '-fspec-constr', '-fmax-relevant-binds=6', '-fspec-constr-count=3', '-fexcess-precision', '-foptimal-applicative-do', '-fliberate-case-threshold=2000', '-fvectorise', '-fignore-asserts', '-fworker-wrapper', '-fenable-rewrite-rules', '-fcross-module-specialise', '-fno-pre-inlining', '-ffun-to-thunk', '-floopification', '-fstatic-argument-transformation', '-funfolding-fun-discount=60', '-fdicts-cheap', '-fmax-simplifier-iterations=4', '-fcall-arity', '-funfolding-dict-discount=30', '-fcpr-anal', '-fspecialise', '-fdo-lambda-eta-expansion', '-fignore-interface-pragmas', '-fpedantic-bottoms', '-fsimplifier-phases=2', '-fspec-constr-threshold=2000', '-funfolding-use-threshold=60', '-fcmm-sink', '-fcase-merge', '-fmax-inline-memcpy-insns=32', '-fvectorisation-avoidance', '-funbox-strict-fields', '-fno-opt-coercion', '-feager-blackholing', '-fdicts-strict', '-funfolding-keeness-factor=1.5', '-fmax-worker-args=10', '-fmax-inline-alloc-size=128', '-fdmd-tx-dict-sel', '-flate-dmd-anal', '-ffull-laziness']",0.562,0,False
5,2a642ace-a224-42b8-a34e-1cbf041c24d6,fast,"['-O0', '-funfolding-creation-threshold=750', '-fspec-constr', '-fmax-relevant-binds=6']",0.565,0,False
6,f79f1a85-9f7d-437d-b8e2-dc812e45829a,fast,"['-O0', '-fstatic-argument-transformation', '-funfolding-use-threshold=60', '-fvectorise', '-fspecialise', '-fcmm-sink', '-fmax-simplifier-iterations=4', '-fomit-interface-pragmas', '-fexcess-precision', '-fregs-iterative', '-fsimpl-tick-factor=100', '-fno-opt-coercion', '-fspec-constr', '-feager-blackholing', '-fliberate-case', '-funfolding-creation-threshold=750', '-floopification', '-ffloat-in', '-fcross-module-specialise', '-fignore-asserts', '-fmax-worker-args=10', '-foptimal-applicative-do', '-fmax-inline-memset-insns=32', '-fdicts-cheap', '-fcase-merge', '-fdo-lambda-eta-expansion', '-fignore-interface-pragmas', '-ffun-to-thunk', '-fstrictness-before=1', '-fcmm-elim-common-blocks', '-fno-state-hack', '-fsimplifier-phases=2', '-fspec-constr-threshold=2000', '-fmax-inline-memcpy-insns=32', '-fcall-arity', '-ffull-laziness', '-fdmd-tx-dict-sel', '-fmax-inline-alloc-size=128', '-fvectorisation-avoidance', '-fliberate-case-threshold=2000', '-fomit-yields', '-fspec-constr-count=3', '-fenable-rewrite-rules', '-fregs-graph', '-fmax-relevant-binds=6', '-funfolding-dict-discount=30', '-fdo-eta-reduction', '-funbox-small-strict-fields', '-fdicts-strict', '-fstrictness', '-funbox-strict-fields', '-fexpose-all-unfoldings', '-fno-pre-inlining', '-funfolding-keeness-factor=1.5', '-fcse', '-fworker-wrapper', '-flate-dmd-anal']",0.561,0,False
7,590fb553-0ba7-4025-8114-689c602db2d5,fast,"['-O0', '-fomit-yields', '-fignore-interface-pragmas', '-foptimal-applicative-do', '-fno-opt-coercion', '-fworker-wrapper', '-funfolding-dict-discount=30', '-fcross-module-specialise', '-fstatic-argument-transformation', '-funbox-small-strict-fields', '-floopification', '-fmax-worker-args=10', '-funfolding-fun-discount=60', '-fcmm-sink']",0.562,0,False
8,45730b48-b02f-4259-abcd-71c3f473dfe1,fast,"['-O0', '-fstatic-argument-transformation', '-floopification', '-fmax-simplifier-iterations=4', '-fomit-yields', '-funfolding-dict-discount=30', '-fcmm-sink', '-fstrictness-before=1', '-fignore-interface-pragmas', '-fworker-wrapper', '-funfolding-fun-discount=60', '-funbox-small-strict-fields', '-fmax-worker-args=10', '-fcross-module-specialise', '-foptimal-applicative-do', '-fno-opt-coercion', '-O0']",0.561,0,False
9,0f28a846-3263-444a-a7c3-dd3a0959f4cd,fast,"['-O0', '-fomit-yields', '-fcmm-sink', '-fworker-wrapper', '-fcase-merge', '-fcross-module-specialise', '-fignore-asserts', '-ffloat-in', '-fno-opt-coercion', '-O0', '-fstatic-argument-transformation', '-fcpr-anal', '-floopification', '-fstrictness-before=1', '-fmax-simplifier-iterations=4', '-funfolding-dict-discount=30', '-fdmd-tx-dict-sel', '-funfolding-fun-discount=60', '-funbox-small-strict-fields', '-foptimal-applicative-do', '-fignore-interface-pragmas', '-fmax-worker-args=10']",0.561,1,False
