,ID,Mode,Flags,Runtime,Iteration,Best
0,-O0,fast,-O0,0.212,0,False
1,-O2,fast,-O2,0.212,0,False
2,3d005424-4b5e-462e-8829-90f5ade77fc1,fast,"['-O0', '-foptimal-applicative-do', '-fdo-lambda-eta-expansion', '-floopification', '-fstrictness', '-fdicts-strict', '-funbox-strict-fields', '-fmax-inline-memset-insns=32', '-fstatic-argument-transformation', '-funfolding-fun-discount=60', '-funbox-small-strict-fields', '-fcall-arity', '-ffloat-in', '-fliberate-case-threshold=2000', '-fignore-asserts', '-fvectorisation-avoidance', '-fliberate-case', '-fmax-worker-args=10', '-feager-blackholing', '-funfolding-keeness-factor=1.5', '-fdmd-tx-dict-sel', '-fregs-graph', '-fomit-yields', '-fomit-interface-pragmas', '-fcmm-elim-common-blocks', '-fspec-constr-count=3', '-fcse', '-fcase-merge', '-fdo-eta-reduction', '-fspecialise', '-fexpose-all-unfoldings', '-fspec-constr-threshold=2000', '-fvectorise', '-ffull-laziness', '-fmax-inline-alloc-size=128', '-fenable-rewrite-rules', '-fmax-simplifier-iterations=4']",0.21,0,False
3,92f42251-1376-42f9-a676-98ebb78eec94,fast,"['-O0', '-funfolding-keeness-factor=1.5', '-fignore-asserts', '-fcall-arity', '-fspecialise', '-fdmd-tx-dict-sel', '-fmax-simplifier-iterations=4', '-fregs-graph', '-fmax-inline-memset-insns=32', '-flate-dmd-anal', '-fliberate-case-threshold=2000', '-fsimplifier-phases=2', '-fmax-inline-memcpy-insns=32', '-fworker-wrapper', '-fcpr-anal', '-fcse', '-feager-blackholing', '-fstrictness', '-foptimal-applicative-do', '-fexpose-all-unfoldings', '-fliberate-case', '-funbox-small-strict-fields', '-fomit-yields', '-fvectorise', '-fstrictness-before=1', '-fcmm-elim-common-blocks', '-fno-pre-inlining', '-fsimpl-tick-factor=100', '-fspec-constr-threshold=2000', '-fno-opt-coercion', '-fdo-eta-reduction', '-ffloat-in', '-fcmm-sink', '-fregs-iterative', '-funbox-strict-fields', '-funfolding-dict-discount=30', '-ffun-to-thunk', '-fdicts-strict', '-fstatic-argument-transformation', '-fmax-inline-alloc-size=128', '-fdo-lambda-eta-expansion', '-fenable-rewrite-rules', '-fmax-worker-args=10']",0.212,0,False
4,ffdba7ea-4aa1-47ea-b5dd-dfa81f76807d,fast,"['-O0', '-floopification', '-fignore-interface-pragmas', '-fdicts-strict', '-fvectorise', '-fspec-constr-count=3', '-funfolding-dict-discount=30', '-fomit-yields', '-fdmd-tx-dict-sel', '-fenable-rewrite-rules', '-fmax-worker-args=10', '-ffloat-in', '-flate-dmd-anal', '-fspec-constr', '-funbox-strict-fields', '-fsimplifier-phases=2', '-fdicts-cheap', '-fmax-relevant-binds=6', '-funfolding-creation-threshold=750', '-fexcess-precision', '-fregs-iterative', '-fignore-asserts', '-fdo-eta-reduction', '-fno-opt-coercion', '-fmax-inline-memset-insns=32', '-fspecialise', '-fspec-constr-threshold=2000', '-fdo-lambda-eta-expansion', '-fmax-inline-memcpy-insns=32', '-fcmm-elim-common-blocks', '-fno-pre-inlining', '-funbox-small-strict-fields', '-funfolding-fun-discount=60', '-fpedantic-bottoms', '-fstrictness', '-fmax-simplifier-iterations=4', '-fcmm-sink', '-feager-blackholing', '-fcase-merge', '-fliberate-case']",0.213,0,False
5,4cf56fb9-fcb7-4a00-9710-04bdd65666ee,fast,"['-O0', '-funfolding-use-threshold=60', '-fregs-graph', '-fcmm-elim-common-blocks', '-foptimal-applicative-do', '-fno-opt-coercion', '-fcse', '-fworker-wrapper', '-funfolding-keeness-factor=1.5', '-fsimpl-tick-factor=100', '-fmax-inline-memset-insns=32', '-fno-state-hack', '-fmax-inline-memcpy-insns=32', '-funfolding-dict-discount=30', '-fvectorise', '-fmax-relevant-binds=6', '-fcmm-sink', '-ffun-to-thunk', '-fmax-inline-alloc-size=128', '-fcpr-anal', '-fstrictness', '-fpedantic-bottoms', '-fdicts-cheap', '-fmax-simplifier-iterations=4', '-fdmd-tx-dict-sel', '-fvectorisation-avoidance', '-funfolding-fun-discount=60', '-fdo-eta-reduction', '-feager-blackholing', '-floopification', '-fexpose-all-unfoldings', '-fignore-interface-pragmas', '-fcase-merge', '-funbox-strict-fields', '-fregs-iterative', '-fstrictness-before=1', '-fstatic-argument-transformation', '-fenable-rewrite-rules', '-fspec-constr-count=3', '-funfolding-creation-threshold=750', '-flate-dmd-anal']",0.214,0,False
6,30b0a295-7af3-4105-a4b2-ae27983309ca,fast,"['-O0', '-funbox-strict-fields', '-fspec-constr', '-fmax-inline-memset-insns=32', '-funfolding-fun-discount=60', '-ffun-to-thunk', '-fmax-worker-args=10', '-fdmd-tx-dict-sel', '-fspec-constr-count=3', '-fstatic-argument-transformation', '-fno-opt-coercion', '-ffull-laziness', '-ffloat-in', '-fdo-eta-reduction', '-fomit-interface-pragmas', '-funfolding-dict-discount=30']",0.213,0,False
7,c2a1db0b-9c08-4e6b-825f-253330d1f79f,fast,"['-O0', '-fmax-worker-args=10', '-funfolding-dict-discount=30', '-fregs-iterative', '-fignore-interface-pragmas', '-fsimpl-tick-factor=100', '-fdmd-tx-dict-sel', '-funfolding-use-threshold=60', '-fcall-arity', '-fdicts-strict', '-fenable-rewrite-rules', '-fno-pre-inlining', '-feager-blackholing', '-fdicts-cheap', '-fmax-relevant-binds=6', '-fcase-merge', '-fstrictness', '-fexpose-all-unfoldings', '-fignore-asserts', '-fpedantic-bottoms', '-fdo-lambda-eta-expansion', '-fsimplifier-phases=2', '-fstrictness-before=1', '-fspec-constr', '-fliberate-case', '-fcse', '-ffun-to-thunk', '-fcross-module-specialise', '-funfolding-fun-discount=60', '-foptimal-applicative-do', '-fmax-inline-memcpy-insns=32', '-fomit-yields', '-fmax-inline-memset-insns=32', '-fvectorise', '-fno-opt-coercion', '-fexcess-precision', '-funfolding-creation-threshold=750', '-fspec-constr-count=3', '-fvectorisation-avoidance', '-floopification', '-flate-dmd-anal', '-fspecialise', '-fregs-graph', '-fliberate-case-threshold=2000']",0.211,0,False
8,93eba381-86b9-4c40-955d-0f3cf2612548,fast,"['-O0', '-funbox-strict-fields', '-funfolding-dict-discount=30', '-flate-dmd-anal', '-fdo-eta-reduction', '-fspec-constr-count=3', '-ffloat-in', '-fomit-yields', '-fregs-iterative', '-fignore-interface-pragmas', '-fenable-rewrite-rules', '-fmax-relevant-binds=6', '-fspecialise', '-funbox-small-strict-fields', '-fsimplifier-phases=2', '-floopification', '-fmax-inline-memcpy-insns=32', '-fdmd-tx-dict-sel', '-fmax-inline-alloc-size=128', '-fspec-constr', '-funfolding-fun-discount=60', '-fdicts-strict', '-fcase-merge', '-fcmm-sink', '-fvectorise', '-fignore-asserts', '-feager-blackholing', '-fcmm-elim-common-blocks', '-fpedantic-bottoms', '-fno-pre-inlining', '-fdo-lambda-eta-expansion', '-fliberate-case', '-fmax-worker-args=10', '-funfolding-creation-threshold=750', '-fstrictness', '-fspec-constr-threshold=2000', '-fmax-simplifier-iterations=4', '-fmax-inline-memset-insns=32', '-fno-opt-coercion', '-O0', '-fdicts-cheap', '-fexcess-precision']",0.213,0,False
9,356053e7-6ac4-4f65-a9b5-3f2d347f0266,fast,"['-O0', '-fcross-module-specialise', '-funfolding-dict-discount=30', '-fcse', '-foptimal-applicative-do', '-flate-dmd-anal', '-fspec-constr-count=3', '-funfolding-use-threshold=60', '-fvectorisation-avoidance', '-fregs-graph', '-fomit-yields', '-fregs-iterative', '-fignore-interface-pragmas', '-fenable-rewrite-rules', '-fmax-relevant-binds=6', '-fspecialise', '-funbox-small-strict-fields', '-fsimplifier-phases=2', '-floopification', '-fstrictness-before=1', '-fmax-inline-memcpy-insns=32', '-fdmd-tx-dict-sel', '-fsimpl-tick-factor=100', '-fspec-constr', '-fliberate-case-threshold=2000', '-funfolding-fun-discount=60', '-fdicts-strict', '-ffun-to-thunk', '-fcase-merge', '-fvectorise', '-feager-blackholing', '-fexpose-all-unfoldings', '-fignore-asserts', '-fpedantic-bottoms', '-fcall-arity', '-fno-pre-inlining', '-fdo-lambda-eta-expansion', '-fliberate-case', '-fmax-worker-args=10', '-funfolding-creation-threshold=750', '-fstrictness', '-fmax-inline-memset-insns=32', '-fno-opt-coercion', '-O0', '-fdicts-cheap', '-fexcess-precision']",0.211,1,False
