,ID,Mode,Phase,Runtime,Iteration,Best
0,e86bd20a-0a78-4249-a324-fc27e091d9d0,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|17|14|16|21|20|22|18|19,0.117,0,False
1,61228e63-da97-41d4-b91c-24a34df17e63,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|19|18|15|14|17|16|20|21,0.118,0,False
2,c508681f-4c1d-45ce-b3b1-7406189333e4,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|14|16|18|22|19|21|15|17,0.117,0,False
3,db751a43-5d9e-4aa0-94e7-25a68139d068,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|14|15|16|22|18|19|20|17,0.118,0,False
4,442609d9-83de-4eec-8403-933a0953b6e5,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|18|20|22|14|15|16|21|17,0.117,0,False
5,edf5bdfa-9e50-414d-a032-675a497891b6,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|15|16|17|22|21|18|13|20|19|14,0.12,0,False
6,f6550ee1-8751-4db0-b586-3d27119e6dee,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|16|14|19|18|22|15|17|21|13|20,0.116,1,False
7,5828f38e-c7aa-44a2-897f-779890146001,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|18|15|22|14|20|17|19|16|13|21,0.115,2,False
8,1bc8183a-498a-49e5-836e-f7ec36c60d32,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|19|22|21|16|18|17|20|14|13|15,0.117,3,False
9,61b5a5d7-1792-4748-803d-b335f6a64f9f,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|22|16|17|13|15|20|19|21|14|18,0.116,4,False
10,5ffcda33-cc79-4c15-9ddd-0f56edb4c7fe,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|18|14|17|15|21|13|19|22|16|20,0.115,5,False
11,18916cd6-e629-442a-bcd2-9cd5db6d4e78,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|22|16|17|19|15|14|13|21|20|18,0.115,6,False
12,56fa1d5d-c463-4e2c-b84f-3b6aeacb7ea9,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|18|14|21|15|16|13|17|20|22|19,0.119,7,False
13,c9673881-b1bb-4f3f-a2ab-db7ff8e7e9c4,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|19|17|16|13|22|15|14|20|18|21,0.118,8,False
14,ea151c81-50e7-489c-966c-c202a00c3c1c,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|21|19|20|17|22|16|13|18|14|15,0.115,9,False
15,e563abfc-d39b-458a-ab64-a625726daafb,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|20|13|16|22|19|14|17|18|15|21,0.115,10,False
16,ddbafa68-0767-440c-8cfb-2f23a60de0ee,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|21|14|22|18|16|15|17|20|13|19,0.115,11,False
17,3c8f2232-dc68-46af-8eb2-2e09be82e7ae,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|22|14|18|17|19|13|15|20|16|21,0.119,12,False
18,8e698aea-56ac-4016-bb0f-7fc5785de97e,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|17|16|22|21|13|18|15|19|14|20,0.118,13,False
19,0bd7dbc5-d989-41e2-969c-4f9b1e6191ad,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|22|17|19|18|15|16|21|20|13|14,0.117,14,False
20,f9542504-f5ce-47f6-90c6-5d7cfc33b6f9,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|22|13|15|16|20|19|14|18|21|17,0.117,15,False
21,6efc845e-d5c8-47bf-902e-66a99f9a2e7a,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|22|20|16|18|15|14|13|19|21|17,0.119,16,False
22,7d0e62fc-8434-44bd-99a9-70008d2b1694,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|20|15|22|19|17|14|21|13|16|18,0.117,17,False
23,54fa4cc2-c58c-4c91-a5da-e0f5df5a816b,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|17|13|19|22|16|14|15|21|20|18,0.119,18,False
24,2dd7820c-e8a1-457c-8711-656b0670beda,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|17|19|16|14|22|15|18|20|13|21,0.117,19,False
25,4bba6d23-5891-48df-ac67-ad79e52253f8,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|20|17|21|19|22|14|13|15|18|16,0.116,20,False
26,1380800f-5262-4f81-8afb-66dab355480e,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|22|17|16|19|20|18|15|14|13|21,0.125,21,False
27,b9090dbb-ab29-4008-8f5b-f4e88c29489b,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|21|18|20|22|19|16|15|17|14|13,0.117,22,False
28,dddd0829-6b7a-4bd8-98e2-7dafc2334cdb,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|17|20|18|15|14|22|19|13|16|21,0.115,23,False
29,8cb630c8-ecb6-4dd8-959c-e633a90bce09,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|17|14|20|21|18|22|13|15|16|19,0.116,24,False
30,fc32b5d2-5ba0-47a0-a7b5-c0b3e116352a,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|18|17|19|13|21|15|20|16|14|22,0.123,25,False
31,041b9478-7b34-44cb-8604-f62ac8356682,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|18|14|19|22|16|20|21|17|13|15,0.119,26,False
32,10214d36-9ce5-48a3-9da2-96af700b989c,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|19|15|18|17|21|22|20|13|14|16,0.117,27,False
33,05152d2a-b483-4e4f-8874-5c42873bda70,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|19|21|18|17|20|16|22|15|14|13,0.118,28,False
34,d7eb1457-978a-437d-8ef7-d65fdc710c61,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|22|17|16|20|15|21|18|13|14|19,0.117,29,False
35,f004e599-544c-43b9-a76d-00dc1a2ded2f,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|21|13|22|18|15|14|20|16|17|19,0.116,30,False
36,6f5672f7-354e-4fe4-aaba-b4145f416c07,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|18|21|19|16|14|13|20|17|15|22,0.116,31,False
37,e1a98691-677b-4a96-96c4-dfed7d5f40af,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|22|14|13|15|19|17|18|16|20|21,0.117,32,False
38,9e226ee3-1ce5-47a1-8fe5-ebc52cee9f13,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|18|16|14|22|17|15|19|21|13|20,0.119,33,False
39,7c47c37f-95b8-463a-bb9e-dff343ad4661,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|22|14|15|17|18|13|19|16|21|20,0.117,34,False
40,091bedd5-a7e7-4bbc-9826-3b94f8257c58,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|22|16|20|18|21|19|13|17|15|14,0.119,35,False
41,66fb85a5-2976-461f-bb2d-fed92abeb705,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|22|15|16|19|13|21|18|17|14|20,0.115,36,False
42,12643025-82c4-49dd-a1f9-d62f74170ec8,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|22|16|21|13|20|15|19|14|17|18,0.12,37,False
43,966b9e10-c0bf-47a3-bffb-15203c590c9b,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|16|13|18|20|17|22|19|15|14|21,0.117,38,False
44,358cbc43-892b-4c27-9fd8-6b39c89c3a1f,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|19|16|14|18|15|21|13|22|17|20,0.117,39,False
45,166d950e-fb66-48cd-923b-1d369d599449,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|16|13|20|19|21|15|18|17|14|22,0.117,40,False
46,48f577e0-bf52-4923-b0f3-ec15a04b5935,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|20|16|13|14|18|19|22|15|17|21,0.118,41,False
47,7e6f80f9-d62d-420d-b4aa-f628eee3a8dc,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|21|13|15|18|22|16|20|14|17|19,0.117,42,False
48,df921157-3df4-46f0-b81e-ea57fd3e399f,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|20|15|19|17|21|16|22|14|13|18,0.118,43,False
