,ID,Mode,Phase,Runtime,Iteration,Best
0,ebd75517-a618-41cf-8a65-80648023556e,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|17|19|22|21|16|15|18|14,0.118,0,False
1,74be77b5-0759-469e-9e29-04568fb2d565,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|20|19|21|15|17|16|14|22,0.114,0,True
2,026deb3c-22ee-472c-8dca-b99c0d42d6bd,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|15|19|17|18|14|20|16|22,0.116,0,False
3,276ef179-21f5-4402-a95f-853b2ac60c41,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|16|17|14|20|15|19|18|21,0.117,0,False
4,9800a4f4-f993-44a6-8a60-caf3830e51e1,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|18|19|22|20|21|17|14|15,0.119,0,False
5,3aed3d10-19eb-4cdb-854a-03dea59c700a,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|14|16|20|17|18|15|19|13|21|22,0.118,0,False
6,1315dfd8-6da7-444c-94f4-1d50e7d17cc7,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|20|17|14|19|22|16|18|21|13|15,0.118,0,False
7,8e690b05-5ebe-4c8f-8954-cb8299d6d9fd,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|21|17|16|14|15|19|18|22,0.119,0,False
8,0c92e279-4ac6-4f1b-bad6-f0ce75ec8391,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|17|14|18|16|21|15|19|20,0.119,0,False
9,f1abc2f5-74f6-472d-80a1-2f1c06d1a8e9,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|14|17|21|20|22|19|13|16|15|18,0.116,0,False
10,963a5660-40be-4081-b65f-8386894d4348,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|21|19|17|13|18|16|15|20|14|22,0.118,0,False
11,caeabb00-2cb9-4594-b070-dc726e93b7ec,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|19|17|14|22|21|13|16|18|15|20,0.118,0,False
12,b823cfce-a4b2-468d-81d5-f247accd480d,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|16|18|17|15|19|14|21|20|13|22,0.121,0,False
13,0590f018-622c-40dc-a2da-34224cc1a339,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|16|14|17|22|15|20|19|18|13|21,0.12,0,False
14,8580b5b1-ab12-484d-9553-6e256c4385ea,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|22|16|19|20|18|21|14|17|13|15,0.121,0,False
15,1be40a32-a994-4dc8-932b-c16585aaf45a,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|22|21|17|19|18|15|14|16|13|20,0.119,0,False
16,414efdd0-583f-406a-9bba-91d2f117386f,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|14|21|17|16|18|19|22|13|15|20,0.117,0,False
17,7b317e22-1406-4f17-aa6e-fb4a7d76cd47,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|17|15|16|20|21|14|19|13|18|22,0.118,0,False
18,e7b9eddd-3dd2-4a6d-9d13-0405c88ecf87,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|15|14|19|20|22|18|13|21|17|16,0.117,0,False
19,6817ec38-32f6-483d-87fa-335da0c240cd,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|20|17|16|15|18|22|14|21,0.119,0,False
20,6a136126-c18c-4428-841b-ba2d2a921e32,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|16|20|15|18|22|17|21|14|13|19,0.118,0,False
21,d4c5697b-86b6-4efe-add2-aa8ede44120d,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|20|16|14|22|19|17|18|13|15|21,0.118,0,False
22,9fc606d8-2d25-4e79-9e20-a3afdcae04d3,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|20|16|19|17|22|18|14|13|15|21,0.118,0,False
23,dc23bef7-a2ad-49c2-baa9-458af51077fd,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|15|21|22|14|20|16|17|18|13|19,0.118,0,False
24,353c8628-3bb1-430a-b2eb-af3349a50fc5,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|16|13|20|17|22|14|15|19|18|21,0.119,0,False
25,42ad6b23-07fa-4b54-b3be-3ad7af0fdb5d,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|17|15|20|19|16|21|14|13|18|22,0.12,0,False
26,61ba0ef1-39aa-4edc-a618-8ceb2fcaff0e,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|18|20|17|13|21|16|19|14|15|22,0.118,0,False
27,cfd37d87-bddd-4b9f-bfa8-be3c8953878d,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|18|17|21|22|16|14|15|20,0.121,0,False
28,1431d827-1bcb-4f28-820c-82649eda4314,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|15|21|20|22|19|16|14|13|17|18,0.12,0,False
29,d8023ffd-8da0-4ea8-a4e4-6ac1c357f76e,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|14|13|18|17|19|21|16|15|20|22,0.118,0,False
30,b0029043-6794-4eec-873c-b9277fbec76e,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|15|21|16|17|14|19|13|22|18|20,0.121,0,False
31,09fca822-1744-433c-a01b-e18222c8d775,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|20|22|16|18|19|17|15|14,0.119,0,False
32,99741568-f09b-4516-90ec-cd70e0765e74,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|16|18|21|20|19|14|17|15|13|22,0.118,0,False
33,15d7495a-0ca0-41cd-9df9-215388e6a1a6,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|17|20|14|16|21|19|15|18|13|22,0.118,0,False
34,34dc0c65-9bef-4ae5-92f2-f084cf8d0ae9,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|14|15|13|22|18|21|16|20|17|19,0.117,0,False
35,982020e1-3d11-4ee1-8905-2dd3d059d9c5,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|15|21|22|14|20|18|16|19,0.119,0,False
36,8aa3168e-9644-435d-a8cb-7483cd5cbdd3,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|15|19|21|22|20|17|13|18|16|14,0.121,0,False
37,c86047bc-2722-4f50-bbc1-a5419e27bfac,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|14|17|13|22|20|16|15|21|18|19,0.12,0,False
38,2fb0c444-444c-4ea6-a091-e54471344245,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|14|22|17|19|16|21|18|20,0.117,0,False
