,ID,Phase,Mode,Runtime,Elapsed_Time
0,37d2dd82-8f6a-45b4-8fc2-bb265943deca,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|15|20|17|23|14|18|16|22|19|,fast,0.116,0.116
1,021d4073-8c82-42b3-849e-a5236f7d9606,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|14|22|20|17|19|21|18|23|16|,fast,0.117,0.117
2,3b219f7b-270d-484a-bd56-8b0666568a0e,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|21|15|14|18|16|19|17|23|20|,fast,0.116,0.116
3,6e62530b-523c-4fd5-892b-d773f3e557ae,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|23|18|17|22|16|21|20|19|14|,fast,0.117,0.117
4,0a51412b-5d4d-49cf-b14e-d46396061a06,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|16|21|22|18|20|15|17|23|14|,fast,0.117,0.117
5,83accae8-7779-45d3-b7a7-453ba0630d9a,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|16|23|14|19|22|15|21|18|17|,fast,0.116,0.116
6,f6d40785-280e-4cad-93ac-23c62bbd60e9,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|14|16|22|20|19|17|18|15|23|,fast,0.117,0.117
7,35ea66bd-e766-4fbc-8500-f45efd11e91a,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|15|23|18|16|19|21|14|20|17|,fast,0.117,0.117
8,0d0d17ab-02b3-4710-9d62-a52f029fe9ef,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|14|20|16|23|22|19|17|21|18|,fast,0.116,0.116
9,8a8d911a-2a0c-4978-9565-3b1474bb11d1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|19|22|16|18|17|14|23|21|20|,fast,0.118,0.118
10,bb7b8417-1595-4dd6-bd4d-89ced7724c3b,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|19|20|18|22|17|15|16|14|23|,fast,0.116,0.116
11,7be7bced-0adf-4634-9f90-089f94a30e38,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|16|14|21|18|17|22|15|23|20|,fast,0.117,0.117
12,78affc59-e2bc-40e2-9f0b-cdeb7a2904fb,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|14|22|17|23|19|16|20|18|15|,fast,0.117,0.117
13,bd3e65ff-d276-486f-a80e-f0eb6ea1cf64,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|15|23|20|19|21|22|17|16|14|,fast,0.116,0.116
14,7e253798-8c35-4a08-b489-e80e85c2f04d,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|16|17|14|20|18|23|21|22|19|,fast,0.117,0.117
15,2945f136-ce4e-4da0-946c-69b55e1f42bf,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|18|14|23|20|16|19|17|21|22|,fast,0.117,0.117
16,a013d06b-08c3-4543-866e-f1df396704f5,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|20|16|19|18|14|15|22|23|21|,fast,0.117,0.117
17,ba256d37-6b17-484a-8ac4-fbfbd4b3df36,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|19|16|18|22|14|20|15|17|21|,fast,0.116,0.116
18,6748a31f-4fb8-4dc1-b631-771bb126d0ec,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|18|20|22|16|17|14|19|15|23|,fast,0.117,0.117
19,845be588-f586-4d1e-9f16-ebf346250750,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|16|15|17|23|22|19|21|18|14|,fast,0.118,0.118
