,ID,Mode,Phase,Runtime,Iteration,Best
0,5f5be085-53d6-4b5d-9716-f295d168e1b8,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|17|19|15|20|22|16|21|18,0.13,0,False
1,9ccbec3e-80cc-40af-a742-cee5ce31d533,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|22|17|18|21|15|14|20|16,0.13,0,False
2,714310e6-5eed-431a-bd95-b14aa7a611e2,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|16|19|22|20|21|17|15|14,0.129,0,False
3,e5a5c6e7-513f-447f-803b-ab70b42a5f62,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|20|22|19|21|14|16|18|17,0.128,0,False
4,2499496b-76c8-4908-8a3f-0b04fd5500d2,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|20|17|16|15|19|18|22|14,0.128,0,False
5,acd392c5-8b2d-4ff2-9109-0d1e380db68a,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|16|22|21|19|13|15|20|18|14|17,0.127,0,True
6,d89405d6-eff9-424c-a6f5-70936d57f22c,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|22|14|18|16|17|15|13|19|20|21,0.128,0,False
7,119e0c8a-b52f-4d04-802c-fd1f819d2b86,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|18|15|14|20|19|16|22|17|13|21,0.129,0,False
8,ad3bc8cd-da31-41f7-83f5-3e7dec01bb90,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|15|21|16|20|13|14|22|18|17|19,0.129,0,False
9,31a1896a-866c-49e4-a9a1-09ff78b949ef,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|17|22|21|16|18|20|15|14|13|19,0.134,0,False
10,389462d0-7761-4ef9-9ae7-6b16d5bb46ca,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|21|17|16|22|18|14|13|19|20|15,0.132,0,False
11,61df90c5-f34e-4f68-ba86-e5fb85e40997,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|15|21|22|17|14|16|19|20|13|18,0.128,0,False
12,aa5e10ae-66fb-4762-866c-ec29b812f663,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|19|15|21|22|16|18|14|17|13|20,0.128,0,False
13,8bf0bde2-460e-4faa-8cfb-b2b1c1d2f345,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|19|22|20|21|13|14|16|15|18|17,0.127,0,False
14,ed1d5b2b-b1e7-48fa-8c03-edc3656fe043,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|22|19|20|21|16|15|13|14|18|17,0.129,0,False
15,15c55bad-11d7-43c6-9370-35bd8037463f,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|15|21|20|17|19|16|13|22|14|18,0.128,0,False
16,99f6a864-34e9-417a-b87b-a93358118208,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|18|22|17|20|13|15|14|21|19|16,0.127,0,False
17,c20a86e6-fe1f-4258-bc43-38b8bed820ff,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|20|21|19|18|13|16|17|15|14|22,0.13,0,False
18,101158eb-a75b-416e-95ec-f2273bc08968,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|17|20|16|21|15|18|14|22|13|19,0.131,0,False
19,9c102f98-b608-4051-96ea-88b46f10e844,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|16|18|17|21|19|13|22|14|20|15,0.129,0,False
20,27a4e45c-35d8-430b-aba9-38cb09797f4f,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|14|17|20|21|19|16|13|22|18|15,0.129,0,False
21,e73429ee-e87a-4235-8522-aa5c01f32a21,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|20|13|18|14|17|16|19|21|22|15,0.128,0,False
22,bd859393-bc34-4837-9eb6-cb81640c8fe0,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|14|20|16|22|13|17|18|19|21|15,0.131,0,False
23,3310903a-7291-4d6a-b4da-2e56e2de7523,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|21|15|18|14|17|16|20|19,0.131,0,False
24,e8cfca16-837e-4631-b5e1-7a8d563ba461,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|20|22|21|17|13|15|14|19|18|16,0.128,0,False
25,b097fe76-69a4-441b-aa2e-9bbf3859225f,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|20|19|17|22|13|16|21|18|14|15,0.129,0,False
26,5c6dff88-06ca-46d6-bcdc-7de23dba1cb4,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|22|21|19|14|13|16|15|20|17|18,0.128,0,False
27,2a0b9d3c-bed4-4636-8dab-9f5750bb2e6b,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|21|18|14|17|15|20|19|16,0.129,0,False
28,975f7d93-0150-4f87-b4cc-e39c6d1b8dec,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|20|22|19|15|14|16|18|13|21|17,0.129,0,False
29,24a566e3-df7a-4087-bbd3-90d78b205607,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|22|17|20|13|14|15|16|18|21|19,0.129,0,False
