,ID,Phase,Mode,Runtime,Elapsed_Time
0,52df06c6-2ea4-4ea1-9bd6-fb4a3b42fb07,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|21|17|14|16|15|20|22|23|18|,fast,0.129,0.129
1,ed1b5f82-8c32-4fc7-a6dd-81008a6ee99b,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|23|16|17|15|21|14|20|19|18|,fast,0.129,0.129
2,27537ffc-f934-4511-8323-666fc038def8,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|22|20|15|23|17|16|14|21|19|,fast,0.13,0.13
3,f1b691bd-8c42-47dd-8c44-784357ca454c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|16|23|17|20|15|14|18|19|21|,fast,0.13,0.13
4,cb150c3e-cf51-46d1-bfef-3c23fbf55da2,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|14|15|23|20|21|17|19|22|18|,fast,0.128,0.128
5,3005486a-79d1-445f-8072-2b2b20b67d66,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|23|21|19|16|18|14|22|17|15|,fast,0.129,0.129
6,927f820b-fcee-4972-9d52-4d8506e28b38,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|18|23|14|19|21|15|16|17|20|,fast,0.129,0.129
7,c375af25-8f8e-4189-a87c-164644d24a5f,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|22|16|18|20|17|23|21|19|,fast,0.129,0.129
8,c3ef7f8f-02cf-402d-909a-7dcdf2b50186,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|22|18|17|14|20|16|15|23|21|,fast,0.13,0.13
9,cd358957-2bfe-4b1b-b359-b60c4e7798de,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|19|20|23|21|14|16|22|15|18|,fast,0.129,0.129
10,3de30463-12cc-44e9-b602-747b478c15af,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|23|15|20|18|14|17|21|16|19|,fast,0.132,0.132
11,ad4827ab-a362-4043-867c-fba0613ccde1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|14|20|16|19|18|23|21|22|15|,fast,0.13,0.13
12,49ed606f-2ae0-4fac-9e57-c169abe3490c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|17|23|21|16|20|18|22|19|15|,fast,0.129,0.129
13,b612f60d-7dbb-47e4-a62e-3247565b091d,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|18|22|16|17|15|14|20|19|23|,fast,0.129,0.129
14,a835c218-f903-4a51-9ff2-a323f5f22252,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|23|22|17|16|15|18|14|19|21|,fast,0.13,0.13
15,44818c22-5b20-4c77-929b-7750ad06feb3,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|15|14|18|16|23|17|20|19|22|,fast,0.13,0.13
16,9ab8adb6-ce44-4ff5-9f66-330eb284e46f,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|22|16|23|21|20|15|19|18|17|,fast,0.13,0.13
17,9606db9d-fe48-4db1-882f-a8ca5f48f60e,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|17|22|15|19|16|14|21|23|18|,fast,0.129,0.129
18,935be918-fc62-43ae-8550-5c35d2dda229,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|18|15|14|19|17|21|16|22|20|,fast,0.129,0.129
19,310df8b7-14f4-410f-85f2-44f34df01ac6,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|15|20|14|23|22|18|16|17|19|,fast,0.129,0.129
20,9f0fa1e8-1d58-4a58-a559-80c55c411334,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|14|19|17|18|23|15|16|20|21|,fast,0.128,0.128
21,58de0fec-f86b-4cae-bc3b-a0289dcdc2d1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|16|17|22|20|15|23|19|18|14|,fast,0.13,0.13
22,c1b402b3-935e-4d95-98e8-b45ec8b20685,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|21|20|17|23|19|14|18|15|22|,fast,0.129,0.129
23,54e7db23-9e05-4232-9241-dfa403b81c71,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|21|20|18|22|15|17|14|16|23|,fast,0.13,0.13
