,ID,Phase,Mode,Runtime,Elapsed_Time
0,29f0304a-34c5-4516-b0de-4477f17b4c79,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|19|20|16|15|21|14|18|22|17|,fast,0.127,0.127
1,f4ab1adc-3823-461d-b034-e9e3e0fc9b60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|19|16|20|23|14|21|22|18|15|,fast,0.128,0.128
2,74b739ae-cc33-495c-aec3-78bc47829df9,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|23|22|17|20|21|15|18|14|19|,fast,0.128,0.128
3,77190985-0df8-428f-83b8-c390deaafb4b,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|23|18|20|14|19|16|17|21|22|,fast,0.128,0.128
4,ccd6232c-62e3-4b09-9419-88f8c41d9bc8,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|23|17|15|16|14|21|19|20|18|,fast,0.129,0.129
5,65850763-695e-480b-ad52-49e5006edf79,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|17|23|22|19|16|14|20|15|18|,fast,0.129,0.129
6,7bb9d05d-1f89-4dc3-b1ce-9314c390e643,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|22|23|15|18|16|17|14|19|20|,fast,0.129,0.129
7,265ec132-aa63-485f-9153-cdb97862372a,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|23|19|14|18|21|16|15|22|20|,fast,0.129,0.129
8,01b3582e-6b2d-44bf-8a8e-cff2e304a877,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|19|14|21|15|16|20|18|23|22|,fast,0.128,0.128
9,b97f8b8c-90d0-4a55-b831-9bf8cd04f69f,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|22|19|20|14|21|18|23|16|17|,fast,0.13,0.13
10,7cbfcf21-fa4d-4538-b68b-e0d9c935dfe6,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|22|21|14|18|16|15|19|23|20|,fast,0.128,0.128
11,15fd631a-b9a2-44fd-b500-236b9dbd0389,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|19|21|22|17|23|20|18|16|,fast,0.128,0.128
12,6d9d8b4f-2ca7-4162-9f55-f58e9821de48,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|23|20|21|17|18|19|16|14|22|,fast,0.129,0.129
13,35cbfedd-6a37-42db-b0f1-7174b48def25,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|22|17|23|18|20|21|19|16|15|,fast,0.128,0.128
14,de248757-3239-473f-8a3a-d490515518f6,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|20|14|16|22|23|19|18|15|17|,fast,0.128,0.128
15,94d824c6-ad16-4f8f-9e6a-4e19065014e0,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|21|17|23|16|18|22|20|15|19|,fast,0.13,0.13
16,32d25db0-fbba-4d6b-9c82-774b39737279,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|17|22|15|19|21|23|16|18|14|,fast,0.128,0.128
17,dbd200fa-6a11-4f7c-9ca6-9bdc3d5c6d61,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|19|18|21|16|22|14|15|20|17|,fast,0.129,0.129
18,56c6e407-7096-4127-bbf8-a9f0d14db05e,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|20|22|17|16|21|19|23|15|14|,fast,0.127,0.127
19,03fe8bc0-ca9c-460b-bc86-1ce04210c6fc,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|14|23|15|22|18|16|21|19|20|,fast,0.131,0.131
20,c54c8d6e-3702-4614-be53-223010aec094,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|19|15|17|23|18|14|20|21|16|,fast,0.128,0.128
21,62f5438a-ded9-4c14-a92b-74c24f1d2496,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|20|17|21|15|19|18|23|22|14|,fast,0.128,0.128
22,f904de4b-e742-4fac-a465-cb425bcb3614,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|23|19|22|20|15|16|21|14|,fast,0.129,0.129
23,0efe5581-83bd-4b9b-a063-1b13e84d0f82,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|16|14|22|17|21|15|18|20|23|,fast,0.127,0.127
24,f9cecb8e-dc31-4046-9662-c640fff8a2a2,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|22|23|20|17|14|21|15|18|16|,fast,0.13,0.13
25,635105a6-579e-40f3-abb7-3ccc8fdeb3b9,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|18|14|23|22|21|20|16|15|17|,fast,0.128,0.128
26,05ac7f46-dc38-40f5-a385-f9ca8ef741c3,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|23|21|20|16|18|19|15|17|22|,fast,0.128,0.128
27,eeae56bb-9dfb-4d2e-a51c-1883649c6e5c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|15|22|16|20|21|14|19|18|17|,fast,0.13,0.13
28,b7d660ac-c805-43e8-88fd-d20d688f8cfe,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|15|17|23|16|18|22|14|19|21|,fast,0.128,0.128
29,f03b804f-156e-48db-93f5-8915f74eaaa3,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|19|16|17|15|21|23|14|22|20|,fast,0.129,0.129
30,5c111f60-1c58-411a-a8bc-a655d52d7d6e,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|22|20|18|23|21|19|15|14|17|,fast,0.128,0.128
31,47c87a91-7331-4fc6-82ca-0cfe6333b05b,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|16|19|17|14|15|20|23|21|22|,fast,0.128,0.128
32,c33f7eea-ce1b-47c0-9347-7e8bee694b77,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|22|14|20|15|17|23|19|21|18|,fast,0.129,0.129
33,37b371f2-b09d-4f72-ab47-05e5db34ea98,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|20|15|21|14|23|17|22|16|19|,fast,0.129,0.129
34,7681d02c-1dc6-4a39-a20e-cdb2f0798f8b,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|19|21|18|22|16|20|17|14|15|,fast,0.128,0.128
35,ccd98b5b-a038-49d4-a88b-52e74b6df93d,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|23|20|17|21|19|22|15|16|14|,fast,0.128,0.128
36,97ce171d-99b9-4f1c-a423-9e2094e34afb,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|21|14|16|20|19|23|18|15|17|,fast,0.126,0.126
37,d96a87a3-2379-4300-b6bc-7e56800939c6,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|15|20|14|16|23|18|19|22|21|,fast,0.129,0.129
38,9447e9e1-08b7-4b01-bd68-cca39c0d2d2e,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|18|20|16|17|23|15|22|21|14|,fast,0.128,0.128
