,ID,Mode,Phase,Runtime,Iteration,Best
0,dc718fa8-b465-4ee3-980a-febf259585fd,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|18|14|20|19|15|17|16|21,0.637,0,False
1,309e825a-bceb-49c3-b723-4d2b8060cd83,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|14|15|18|21|22|20|19|17,0.632,0,False
2,77ecdd89-bc85-4f54-8a0e-bf57ed19109e,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|19|16|21|14|22|18|20|15,0.623,0,False
3,5b8f1812-284b-4a7d-983c-27a4f8804a67,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|19|17|21|14|16|22|18|15,0.629,0,False
4,9e5ecb44-1e85-4a49-900f-b72b7b88102e,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|18|16|21|17|14|19|22|20,0.616,0,False
5,aee7897c-8bff-480b-b1d5-a867b7e28dfc,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|14|20|22|15|16|21|19,0.621,0,False
6,c496f51a-a96a-4974-9456-b0466a013dac,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|15|16|17|21|19|14|22|18,0.628,0,False
7,3a362f4e-f2c6-4362-aebe-3b6e8b341bad,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|14|17|19|16|15|21|22|20,0.627,0,False
8,daa93d78-49a0-4f93-abda-2fcf76aa00c6,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|16|19|22|17|20|14|21|18,0.621,0,False
9,642bbb28-2ccf-456b-9b9c-1d42c23197b7,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|14|20|15|22|18|16|21|19,0.636,0,False
10,122927ac-ba62-4622-abb6-5874b0ecc8b3,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|19|15|20|21|22|16|17|18|13|14,0.686,0,False
11,ae882517-5ff5-47b0-9681-149876382d3a,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|14|13|17|21|18|15|16|20|22|19,0.663,1,False
12,6e6f803a-f1f4-47c8-aec4-88f54cd373ca,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|17|20|18|22|16|13|14|15|19|21,0.634,2,False
13,c9a25afb-876b-42e9-9b6e-d2f01498b133,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|16|19|22|17|14|18|15|21|20|13,0.631,3,False
14,cd1a90b6-99c0-435e-9c73-bc9f80ba8e30,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|17|18|19|20|22|21|16|13|14|15,0.632,4,False
15,ddbb23ec-8394-41e1-905a-8733040133ee,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|15|18|17|16|22|13|21|20|14|19,0.639,5,False
16,e6fab6c3-f9fc-4173-9ee4-1494dd8065fe,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|19|21|22|17|15|18|14|13|16|20,0.665,6,False
17,6876c97d-d931-47c0-b787-254553de439c,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|14|20|21|19|17|16|13|15|22|18,0.691,7,False
18,e99af957-a25b-4d77-81e1-9ee6d8dd0ce5,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|22|16|17|14|18|15|21|20,0.628,8,False
