,ID,Mode,Phase,Runtime,Iteration,Best
0,a00d31e3-bab7-4537-b24b-1991ea50bd81,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|21|19|15|16|20|14|17|22,0.636,0,False
1,13a7b0f8-35e6-4e72-ae2f-b15b0edddd7c,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|15|21|19|16|20|22|17|14,0.648,0,False
2,2262c448-c7fe-4723-bee0-257f41fbe69e,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|20|14|22|16|19|17|15|21,0.622,0,False
3,d8e9f4a1-83db-4c3e-a48c-22705377c3ef,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|14|17|18|16|21|15|19|20,0.628,0,False
4,bd71f588-a67f-4b43-a5f0-07b3de1f1c46,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|21|20|22|17|18|19|16,0.632,0,False
5,8e4041b1-b391-449a-988e-374bb68a1c59,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|17|20|16|13|19|15|21|22|14|18,0.672,0,False
6,a674e92d-95c1-4a0d-bbe6-0ebfc70c6201,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|18|22|21|16|19|20|15|14|13|17,0.63,1,False
7,50f46ed3-ac01-4633-b8e4-b301dd525854,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|14|13|20|16|22|17|15|18|19|21,0.631,2,False
8,c547e8f6-011e-4662-93bb-d6fd025948d0,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|18|14|15|13|19|20|21|17|16|22,0.625,3,False
9,d3bf3a82-7d1e-42fc-960f-f1d54d2dad12,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|16|19|20|14|17|22|13|18|15|21,0.629,4,False
10,f26356af-262d-42da-a9e9-cb1d5914c280,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|15|18|21|16|19|13|22|14|17|20,0.639,5,False
11,629cade2-0969-47f5-bed0-747c61c8a88b,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|17|22|13|14|15|21|19|16|20|18,0.676,6,False
12,3a03c87f-638b-41ef-886c-1e76320c9e89,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|19|21|18|14|22|15|17|16|13|20,0.636,7,False
13,48ae16b1-068f-4c30-a13f-5ea91740640a,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|18|14|17|13|22|15|16|21|20|19,0.63,8,False
14,022d7557-2b36-40f6-a1b8-4109288893ce,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|20|14|17|16|15|22|19|18,0.646,9,False
15,9bbdb0d5-5f58-4449-b3e7-cfac1cb9567e,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|15|19|20|22|21|18|14|16,0.63,10,False
16,e506e727-3b4c-4260-97fe-4e607247133c,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|15|16|13|17|19|20|21|18|22|14,0.672,11,False
17,b48a8926-6c45-46dc-a5d9-f315d72346aa,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|15|17|13|20|21|22|16|18|14|19,0.637,12,False
18,4fcbbe94-5242-41b9-a775-e15844ed91fb,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|19|20|18|15|21|22|17|14|13|16,0.644,13,False
19,4fb7ecc9-06ff-431b-8f55-5ef9f3436bb9,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|16|14|17|15|21|13|20|18|22|19,0.663,14,False
20,2280eead-201b-4d6f-b992-942889e0d416,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|17|16|19|13|20|15|22|14|18|21,0.636,15,False
21,6535fd1c-dcb7-4c55-bc75-aab8580f38e2,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|14|19|13|20|21|16|17|22|15|18,0.639,16,False
22,4a70f0ba-70ae-40ca-8069-edffc46dd1e3,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|17|20|16|14|18|21|13|19|15|22,0.641,17,False
23,79f1d632-0e3e-43a0-868f-3bcde521fd97,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|22|17|20|18|16|19|15|14|13|21,0.663,18,False
24,a0aa2761-96f3-412b-b9ed-cb55d001ba9c,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|15|21|16|13|20|17|22|18|14|19,0.636,19,False
25,263b93eb-19d8-4b26-92f9-d98a1e53e289,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|15|19|18|17|16|13|22|14|20|21,0.662,20,False
26,2442fd6b-081d-4557-aee4-32888c3c55cd,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|17|21|22|14|18|16|19|20|15|13,0.63,21,False
27,087d9a62-14ae-4b5f-9503-60b97cbfdb60,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|20|14|17|16|22|21|18|19|15|13,0.665,22,False
28,3529f5d9-806e-40b4-a841-f44c535f0353,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|17|18|20|13|21|22|16|19|14|15,0.623,23,False
29,1a199912-011c-4dbb-8971-fcf761791b56,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|21|13|22|15|20|17|18|16|14|19,0.642,24,False
30,6d030fbb-b920-4bad-ab33-17508ad603c8,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|14|19|22|18|20|21|16|13|15|17,0.636,25,False
31,e51b14b2-f7c9-4bb7-b4fa-f58e005289c2,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|15|17|18|13|20|16|19|22|14|21,0.672,26,False
32,534888b0-477c-4ab9-b07b-3a156f875dfa,fast,0|1|2|3|4|5|6|7|8|9|10|11|12|14|15|16|13|17|18|20|19|21|22,0.626,27,False
