,ID,Phase,Mode,Runtime,Elapsed_Time
0,7609fd28-ba93-411a-ab5f-a6b861c96fe2,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|15|14|21|20|22|23|18|16|17|,fast,0.642,0.642
1,bddbed87-7f8c-4308-932f-4874725f7574,0|1|2|3|4|5|6|7|8|9|10|11|12|13|19|18|17|15|16|22|21|14|20|23|,fast,0.629,0.629
2,f745376d-c1a1-4f55-b348-09bc57b22824,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|16|19|14|21|17|23|18|15|22|,fast,0.621,0.621
3,daf1c7ed-bcff-4e8d-a867-016786f8948c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|17|18|20|22|14|19|21|23|15|,fast,0.628,0.628
4,9092d24b-bd97-47f9-8b61-e0d665bafc99,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|21|22|20|23|15|19|14|17|18|,fast,0.63,0.63
5,cd4a856b-8fc2-4d3c-af0c-141d2e88514c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|20|22|19|18|16|15|17|14|23|,fast,0.631,0.631
6,bc756750-e6b7-4e09-bcca-09a094e45c42,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|14|17|16|21|23|19|22|15|18|,fast,0.633,0.633
7,94605fa4-0303-4d04-90ae-b06ea425e02c,0|1|2|3|4|5|6|7|8|9|10|11|12|13|20|14|22|15|23|19|16|21|18|17|,fast,0.629,0.629
8,f54d09a5-af1d-46e8-b9dd-07ab39142367,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|19|22|23|21|15|20|17|14|16|,fast,0.631,0.631
9,a2b960fc-2533-4f46-be13-ceb516b5e492,0|1|2|3|4|5|6|7|8|9|10|11|12|13|18|21|19|23|16|14|15|17|20|22|,fast,0.627,0.627
10,eb1baae7-262c-49d5-9298-e00e0ffd15a8,0|1|2|3|4|5|6|7|8|9|10|11|12|13|15|23|22|17|18|21|19|20|14|16|,fast,0.628,0.628
11,8c136d0b-f1fb-4a27-9238-9f6ba0d2dee9,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|23|15|14|20|17|16|22|18|19|,fast,0.626,0.626
12,dcd0e642-188f-4cce-8065-0f2c11551294,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|17|14|22|15|20|21|23|18|19|,fast,0.623,0.623
13,be108f40-1104-4461-8219-28f63b823418,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|20|23|18|16|15|22|21|17|19|,fast,0.633,0.633
14,b88cffa4-8006-4db2-9eda-016b3b810c6a,0|1|2|3|4|5|6|7|8|9|10|11|12|13|16|22|14|18|15|20|21|17|23|19|,fast,0.646,0.646
15,516452cc-0ceb-4b36-af96-10a2dd5a14b7,0|1|2|3|4|5|6|7|8|9|10|11|12|13|22|16|15|19|14|17|21|18|20|23|,fast,0.634,0.634
16,71d5478d-ffe6-4388-bd41-8acc7815fbfd,0|1|2|3|4|5|6|7|8|9|10|11|12|13|23|22|16|15|18|17|19|14|21|20|,fast,0.632,0.632
17,a743e0e4-a7f0-42fb-aac9-65adfb3077f8,0|1|2|3|4|5|6|7|8|9|10|11|12|13|17|21|19|14|22|20|16|15|18|23|,fast,0.633,0.633
18,e550469b-ec2c-4d3b-a890-a3ab5101efc6,0|1|2|3|4|5|6|7|8|9|10|11|12|13|21|23|16|17|20|22|14|19|15|18|,fast,0.622,0.622
